source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
293799.7427559654,180901748551.55212,425325.46191305324,575397.812438688,544586919162.5757,737961.3263326037,250271.24405266208,123916145727.70819,352017.2520313574,1087751.4459144028,2205998308134.031,1485260.3502867876,,,,,
241855.47548487587,127373310550.7125,356893.97662430856,486097.9820607692,339355933568.472,582542.6452788431,290993.19056368654,134774616806.58598,367116.62561996013,994635.3352955262,1614301264879.4587,1270551.5593156614,,,,,
230303.35474752652,101000129575.74281,317805.17550182034,518454.16478192835,500884933282.5723,707732.2468861882,289655.49886261264,152144150713.469,390056.59937176935,1004365.0012762998,1815478183558.061,1347396.8174068325,,,,,
288365.70967668743,170886561695.33875,413384.27848109894,874910.9842295072,1897644019284.6733,1377550.0060922194,456887.9819223047,428486336656.8518,654588.6774584876,1441621.0447387313,4015487645960.2344,2003868.1708037169,,,,,
300013.8421682759,165184155011.10834,406428.5361673173,614955.3459359442,1373141871620.8462,1171811.363497063,366392.21863434726,263851584617.6291,513664.85631939926,1048806.0633383896,2409175562808.486,1552151.9135730516,,,,,
318546.0984375638,193902306648.72812,440343.3962815022,563292.9083815067,731961833128.5205,855547.6802192386,252725.4574008391,113514384230.67294,336918.95795676584,1121567.5700914448,2136198612847.183,1461574.0189423123,,,,,
335218.3315945605,252921171805.97354,502912.68805427203,580097.1660498563,892956742791.6674,944963.8843848305,366474.0090313987,301904764579.4144,549458.6104334105,1003038.8476054084,1993342362897.92,1411857.7700667726,,,,,
305238.40740359423,189283620648.55945,435067.37483815016,523876.5539295756,460670163758.16675,678726.8697776498,230049.80502010576,98996669567.55959,314637.3620019714,1015967.8539676805,1813735865777.1226,1346750.1125959198,,,,,
224368.26257182454,90537010868.7947,300893.68698727246,429988.86396977445,377808251358.4487,614661.0865822309,213697.02849281393,85034017895.31314,291605.9291154985,612737.5790985915,724038474604.222,850904.5038100468,,,,,
389962.9947933407,256106232109.10242,506069.3945587921,555204.9232753353,578737574300.0736,760748.0360146016,233558.19842176483,100037745960.44147,316287.44198978477,1218654.4735568722,2536911630764.7944,1592768.5427471232,,,,,
311582.9218534729,187974549709.4286,433560.31842112646,691711.956059689,1646262291814.7078,1283067.5320553894,414656.1712471683,475326327806.46466,689439.1400308403,1148625.4853863788,3193784300153.022,1787116.1966008316,,,,,
398842.5947758245,533473265743.9375,730392.5422291341,582650.0067940803,772653892399.4644,879007.3335299679,397249.27907178714,322052829015.08026,567496.985908366,991175.5721438767,1687453840963.6938,1299020.3389338036,,,,,
314368.86984225083,170161256289.94562,412506.0681856033,538929.1716080802,557865932995.8534,746904.2328142567,290263.1452716652,178002229578.92212,421903.10449073743,836484.151067533,1303664830181.5776,1141781.4283747908,,,,,
299729.99190723686,197264611044.04965,444144.80864246254,569016.0138586686,819299237661.606,905151.49983945,278298.7053878412,211127726230.2063,459486.3721920448,972094.8477425172,1671051726634.692,1292691.6595362916,,,,,
297231.85214532405,160532400808.34827,400664.94831510814,491609.66455576936,611433568297.9155,781942.1770808348,178713.4084235804,63560409576.621086,252111.89891915274,945276.7906149108,1881989534750.0662,1371856.2369104375,,,,,
216896.89572959646,84169304138.86504,290119.46528777597,481023.12590693514,617124350350.2583,785572.6257643263,215632.08296487783,78004325212.41547,279292.54414039676,659497.432999453,867700333682.0923,931504.3390570397,,,,,
289787.31412888,168770490337.95526,410816.85741697025,623023.4000096433,741928253544.3527,861352.572147058,367709.58116491616,260743368104.92328,510630.36347726453,1273119.1269934976,2856593091826.4917,1690145.878859719,,,,,
305049.2019681809,165680560157.11453,407038.7698452256,545903.8046848124,785329304752.0211,886188.0752707188,260322.4658080994,131708736978.54037,362916.98359065584,1000223.1616302049,1835716887068.4094,1354886.300420965,,,,,
329739.03460510407,245422499267.07004,495401.35170089116,584601.9040194812,652960142209.1167,808059.4917511437,315297.121547379,182398218901.32947,427081.04488648224,1005791.7879233797,1680822578030.663,1296465.417213534,,,,,
311481.9703588292,204488068918.11093,452203.570218227,463693.9179478107,399903512574.2316,632379.2474253338,268416.31363663607,120016034753.05699,346433.3049131636,1113450.830267971,2186847299541.231,1478799.2762850646,,,,,
346860.2202263995,274006284854.24054,523456.0963960975,545483.155014543,818633184049.6001,904783.5012032437,303004.0775593893,172553301992.55032,415395.35624817753,840924.9717214138,1542835007715.5925,1242109.0965432918,,,,,
328898.33876004885,219711668141.08698,468734.11241458304,536965.1456119707,758713693000.9672,871041.7286220948,315239.634927765,242113595983.75528,492050.39984106837,942636.8998012318,1639039278169.6975,1280249.693680767,,,,,
356250.66220259125,225469699486.19006,474836.4976349123,699631.6833655689,991614560393.9658,995798.453701333,351345.6781670794,216091421284.95425,464856.34478293854,1309912.64396721,2991746564681.8813,1729666.6050663872,,,,,
266935.4210282459,137331542784.23306,370582.7070766161,483862.0413893319,463503294637.38354,680810.7627214654,333330.5990163155,190777394043.0561,436780.71619870776,946034.8904496199,1539940333145.55,1240943.3239054675,,,,,
329833.300663244,204552059679.4229,452274.3190580501,706153.0176900235,1064129620468.0166,1031566.5855716811,362323.08848955325,252048690364.25986,502044.51034172246,1389279.302634868,3682328812992.6636,1918939.5021710985,,,,,
190288.8073991715,75696784358.56012,275130.48605808866,435473.0219591062,433404401737.1509,658334.5667190437,297014.2134407165,166605515391.7407,408173.38888239727,714588.4756393572,971841786010.3214,985820.3619373671,,,,,
253804.4416528602,118587405206.9423,344365.2206697742,469220.2255071489,342411541711.932,585159.4156398169,236840.73705793227,100715760107.9411,317357.46423857927,882919.6328491399,1281303848026.525,1131946.9280962446,,,,,
338892.3012429479,229116207379.3545,478660.8479699948,485682.26214491867,445990547510.9085,667825.2372521636,309657.1361009655,204780050207.5767,452526.297807737,1189611.9000410691,2346469711987.1846,1531819.0859194777,,,,,
294320.4087499678,202386875071.11807,449874.28807514446,582265.251304157,687380722548.984,829084.2674595774,351805.7012761325,216530787466.05777,465328.6875597267,965229.7408029261,1502141266582.3936,1225618.72806448,,,,,
400216.2786248408,329786956030.3203,574270.8037418586,566864.4583515638,538288446169.22925,733681.433708956,350827.2743382956,203269289326.78653,450853.9556517016,1029562.300002732,2085091335976.4934,1443984.5345350807,,,,,
303436.20291885926,209051403275.57974,457221.3941577753,498693.2652042,378395505071.58563,615138.6063901254,266173.91859233245,132701587909.34859,364282.29151215765,874361.2350746685,1199312802925.659,1095131.4089759544,,,,,
190718.66902562126,75491009130.46487,274756.27223134483,522419.94049120316,527347465465.10736,726186.9356199596,262632.10596983915,150871344791.07324,388421.6070085098,1000177.3149680161,2093856639601.356,1447016.4614133993,,,,,
343847.1431332692,222154362642.97513,471332.5393424213,612180.8502356219,727073732170.7067,852686.1862201748,277560.14083166467,172067000861.37036,414809.5959128361,1251931.724789437,2695590915202.28,1641825.4825657567,,,,,
