source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
311367.12571894156,197692864309.57053,444626.657218807,1125213.3146409423,2241598762791.6055,1497196.968602196,519814.9024840537,602486708517.561,776200.1729692934,107589207.18327881,
243638.031586266,130708434495.66132,361536.21463922714,966847.3062668049,1592255378938.3079,1261846.0202965764,455566.14870215073,401258129888.41876,633449.3901555346,90389603.12330626,
231052.77848516373,105871415811.79434,325378.88040220796,1011780.3188913089,1792746091005.4138,1338934.6851155264,634917.9767722931,1071887195143.2568,1035319.8516126584,93327327.54524952,
300174.2848445744,176207726563.7336,419771.0406444609,1356316.8443992403,3772655763876.5425,1942332.557487657,899326.3688891734,2074594074809.1375,1440345.1235065635,125741213.21136768,
308335.2458790641,172872341743.86603,415779.19830586284,1057716.7068847937,2514678876974.595,1585773.9047463844,617449.7778545456,1278006154938.3435,1130489.3431334696,106927259.0544085,
315172.1131163666,188777852337.13666,434485.7331802008,1104508.3677376686,2068669249298.5298,1438286.9148047373,523343.971695168,682372719107.1708,826058.544600303,107886250.59761916,
343241.33922737004,260726241390.36588,510613.5930332896,1060124.4186912135,1955446025731.157,1398372.6347905828,584166.963791179,969313710311.9741,984537.3077298666,97731425.62086849,
284507.525848916,172842501322.08023,415743.31181881955,1050459.5028315822,1941352011150.4006,1393324.0869052687,537265.336275062,549486096758.63336,741273.2942435154,101911391.15787646,
215184.36266296796,82090287547.61742,286514.02679034305,642311.7596892916,729531969449.1407,854126.4364537259,486115.60688294354,510981972277.23047,714830.0303409409,62266348.80661376,
367403.2376018611,229875505293.47653,479453.3400587345,1268238.0147469705,2574546137949.6553,1604539.229171308,531795.3259604159,659777363312.0917,812266.805496871,122944068.1827184,
344674.0576108082,207262921878.94577,455261.37753926124,1106204.5928041635,3120059346170.3833,1766368.972262133,650825.9687223338,1562317819062.9685,1249927.1255009104,104441144.3183761,
404561.43926275976,544280720006.26624,737753.8342877427,991221.0423997636,1764549238241.9888,1328363.3683002512,666640.4836387021,1176994463546.6633,1084893.7568014038,93655853.24786596,
312223.04737052054,171125633356.746,413673.34136580036,873586.6682037652,1385302350375.58,1176988.6789496236,522377.85363764147,615312337780.8314,784418.4710859577,81777764.21169135,
276766.0970561945,182770255877.55722,427516.3808295037,982600.4406292997,1748944772139.2456,1322476.756748203,559945.4993995248,917569721699.0063,957898.5967726471,92470588.27552767,
280624.04003615654,168302720425.7187,410247.1455424385,923962.2874127196,1795173599584.3564,1339840.8859205472,465954.52371726115,538748838335.6688,733995.1214658506,90140302.44086955,
213656.4060501673,84371884151.2884,290468.3875248534,671434.7411560643,876917715298.365,936438.8476021085,542345.0892779417,787322484138.7222,887311.9429708597,64598212.47547532,
298590.96062523796,177326181146.04062,421101.15310462,1286652.993262473,2854401907207.3306,1689497.530985864,612191.3123169309,1070864591368.886,1034825.8749030612,120411328.67419514,
282046.18109346554,137048445657.05008,370200.54788864113,975122.0840685412,1811040176510.9395,1345748.9277391008,548520.5197995857,880713246872.4578,938463.236825214,91487169.5057195,
329977.19736749557,256674739712.4584,506630.772567615,1005389.8728187036,1701027917843.7876,1304234.6099700728,617602.718393145,673511204854.952,820677.2842323297,93238757.9771196,
337893.2828759423,225421249902.96133,474785.4777717631,1092790.9680428915,2094589105487.9275,1447269.534498646,459249.49868297,495166144918.38,703680.4281194553,98264769.8681692,
353029.97621262853,284232394408.07587,533134.4993602232,818676.8619839734,1490582404370.5671,1220894.1003914168,596591.6693451594,972435621742.309,986121.5045532214,78554483.7858577,
312769.5364787471,190071920976.68857,435972.38556666474,954399.342911931,1684340425486.3784,1297821.41509777,494080.1461630166,875454562981.9819,935657.2892795642,91389433.06396519,
362815.9772588548,226220113079.7638,475626.02229037444,1306304.3453137884,2927336938015.6846,1710946.21131574,703104.7797942525,1166803480443.7996,1080186.780350417,120406419.59512919,
260093.61350000088,144938900465.72995,380708.4192209701,923911.5449677412,1525347960860.673,1235049.7807216814,497631.8756565126,586957934937.9724,766131.7999782886,83438529.3078188,
301909.71721537015,171416083624.29333,414024.2548743894,1416088.3572967343,3661818954670.3906,1913587.9793389146,706177.5946695927,1240743119533.122,1113886.4931101024,137169363.3691427,
190751.7968837157,75778720138.4213,275279.3492770958,745202.3958003692,1003451748169.915,1001724.387329127,469975.065088502,621047887092.2614,788065.9154488674,67077316.6156548,
252001.95265830916,118058653172.76147,343596.6431337208,876377.5908164141,1271794233216.9011,1127738.5482534952,512926.63966059184,489673858647.15466,699767.0031140042,83371536.44398215,
307390.4440702758,198871397645.03146,445949.9945565999,1173663.5403205312,2435000440665.822,1560448.794631154,532850.984561236,636115089745.5394,797568.2351658317,108565549.45304626,
278395.8683062122,200066136216.1893,447287.53192570584,922837.8353372694,1456993441567.7024,1207059.8334663045,592201.0003554426,783523773032.7928,885168.7822290125,84602531.8128685,
402440.44683724275,331756935322.04395,575983.4505626389,1017627.8705660042,1867707871835.454,1366641.0910826053,621530.625396553,704295675913.0082,839223.2574905251,95232997.53573857,
307893.245294958,195723634993.17737,442406.6398610868,866711.6212360642,1252547870897.8342,1119172.851215501,538970.7455010075,528865725957.0467,727231.5490660775,83021911.58598898,
185701.67582228768,71778432272.13354,267914.9720940089,976855.9519885575,2080150776509.6868,1442272.7815880347,569609.637986881,806264627658.78,897922.3951204135,91495513.81528082,
324732.84720755316,184541101257.52744,429582.4731731119,1346230.623403065,3016175626175.906,1736714.031202577,577609.9034238114,812236230675.393,901241.4940932274,131988698.10195987,
388227.4460287668,295580533182.31934,543673.1860063722,1215722.7119625213,2670699367748.4316,1634227.4528805444,546901.2645921854,555185378313.4615,745107.6286775365,118293303.1934488,
334220.3631009426,200916270014.73215,448236.8458914686,975866.8573310174,2168558128004.0479,1472602.501696927,578683.354947537,1317965649401.8347,1148026.8504707697,93205355.30505802,
