source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
237483.9176478734,113231327433.82843,336498.62917080126,521571.7161799456,440574633631.7661,663757.9631400034,307783.1704677977,149321985773.63184,386422.03065253905,530765.1852618769,453859120410.79596,673690.6711620667,,,,,
237865.00150284357,113301799829.45953,336603.32712179114,472329.23203222454,325194565349.8626,570258.3321178767,274583.75427906367,111053904960.18857,333247.51305927034,466735.58768117294,325665796825.0193,570671.356233182,,,,,
168799.70510211328,71888609752.20816,268120.51348639507,461327.9859770391,428371121601.6372,654500.6658527073,316540.5392120416,173396276846.82355,416408.7857464388,474195.1774616241,442312992713.0108,665066.1566438415,,,,,
270990.0830354218,219721792731.54803,468744.91221937333,720726.0085768047,1436662648719.9143,1198608.6303376572,505392.45825738437,452200930717.32,672458.8691639958,730269.6853430888,1453324415760.875,1205539.0560910397,,,,,
262708.43481503706,190598582365.9979,436575.9754796385,507418.009868112,968414087030.7855,984080.3254972561,474344.7736535935,492513142315.8605,701792.8058307954,507471.5445713931,971799516629.0793,985798.9230208559,,,,,
339659.6119106217,226627571424.2461,476054.16858194413,514076.4998714799,610609792117.0164,781415.2494781609,312554.07637497596,169373093390.7282,411549.624457037,514010.36759719974,617502502883.4343,785813.2748200645,,,,,
293380.8745392315,181270113374.02853,425758.2804526866,535479.225571603,792457182921.7852,890200.6419464014,332599.901989232,303407381067.22833,550824.2742174934,531704.342951035,795274090080.6356,891781.4138457,,,,,
276161.6425548666,174829820921.3179,418126.56088954443,467965.5493703566,357423596898.35693,597849.1422577747,238343.79655271943,94668538525.28133,307682.52879434236,463893.0877599601,348227738048.91675,590108.2426546139,,,,,
204660.5413318075,110208816701.6504,331977.13279930956,423775.39611026784,356943130531.94995,597447.1780266018,302563.97654918546,175004538522.68182,418335.4378040209,421865.7452167654,356872951874.404,597388.443037195,,,,,
347949.74662601505,267802058117.55905,517495.9498561888,529930.2474231239,464834775088.08417,681787.925302351,351725.3196959458,227577285243.26038,477050.61077757814,525731.8967809982,456957477658.5442,675986.299904476,,,,,
257792.18945199225,198749958143.63153,445813.8155594009,571967.0031709952,1214889290660.8877,1102220.164332375,376896.9598095307,220062023515.69376,469107.68861285335,575530.2465662474,1213974863332.0776,1101805.274688807,,,,,
428021.37014102447,660807356470.9685,812900.5821568641,540111.5244926969,711797593986.3481,843680.9787984722,412889.28180659714,337966151624.812,581348.562933471,539019.8279064219,709185343831.7089,842131.4290725106,,,,,
237894.8599664952,128971590439.42477,359126.14836492314,471862.9351364066,433412966605.3183,658341.0716378846,373708.03070654534,248589356903.67017,498587.36135573086,472845.418341574,433718421528.34686,658573.0191317792,,,,,
192820.23131237878,84156269273.301,290096.9997661144,514556.33692884375,766452164513.7231,875472.5378409782,403630.37312131433,305366208439.3017,552599.500940149,511324.399937183,748552194896.6483,865189.1093261914,,,,,
278767.27179973206,156439485468.47214,395524.3171645356,418487.17863209645,439086077004.4387,662635.7045952465,274212.8644330472,124189334477.67563,352405.07158336363,424451.1117747593,460037170762.64526,678260.4004087554,,,,,
192050.9151234851,85429634446.436,292283.48302022816,470515.01269690937,628787213569.2699,792961.0416466057,324575.28900276514,170011023737.89206,412323.93059085484,463544.65339897224,611269347512.1978,781837.1617620883,,,,,
281968.4529704905,180471458938.6647,424819.3250532098,558896.0604421352,685631028470.3278,828028.3983477425,391407.91537805484,319027982805.2391,564825.6215906278,573978.9074787151,685911072490.3394,828197.4839917949,,,,,
329419.05585881893,193461274312.9601,439842.32892362704,485081.5139279475,589957880934.1427,768087.1571209498,298151.22832973243,137074238714.93498,370235.38285114645,492177.85833275487,595592899690.9443,771746.6551213191,,,,,
370713.55532555486,343279284294.94025,585900.4047574471,541861.0746163955,567299441063.9639,753192.8312616656,311888.66738000984,172852612646.67,415755.4721788638,545763.8186757367,569981675018.5934,754971.3074141251,,,,,
295068.1037730469,191664063919.24734,437794.5453283393,483882.55521400674,433161867809.5493,658150.3383039086,293116.7675046798,131646849488.85358,362831.7095966856,509369.19725650124,466514836070.40173,683018.913406065,,,,,
315076.87740574224,257052173824.71143,507003.1299949848,522321.110139715,706346849569.9039,840444.4357421281,375488.5073836258,236697181231.42233,486515.34531957196,516245.82206051925,705031425468.5173,839661.4945729722,,,,,
316275.413856617,224513795631.01047,473828.8674521746,494456.1596878407,738999388545.6086,859650.7363723995,347179.14859739743,256282885037.4275,506243.898765632,492563.61166230665,736339546065.8544,858102.2934743004,,,,,
388256.87526752526,241062948775.17026,490981.6175532137,649089.0529520646,975563240826.1759,987706.0498074191,405761.0590146767,293936554969.98706,542159.1601826784,647103.2538099525,982675096471.2222,991299.7006310564,,,,,
174027.72381813018,66086148680.495094,257072.2635378914,449959.45802219637,443325513195.6368,665826.9393736159,323291.09665266966,177079062023.42908,420807.6306620747,449285.62643242406,441967710496.53345,664806.5210995853,,,,,
266957.7713397227,156746170443.31235,395911.82155034516,556038.8072273672,690479976196.7906,830951.2477858076,396222.0479083074,298548433240.40295,546395.85763474,562243.0767599607,704356282435.4758,839259.3654142179,,,,,
222927.04695143588,102153815271.61885,319615.10488651635,416971.19906368456,405102495175.2403,636476.625788599,325492.3402007352,185483515964.55954,430677.97246267373,417253.12371256866,406369039557.2795,637470.8146709773,,,,,
209805.7660289163,125559159825.95798,354343.27963989665,433523.35087280005,305531527415.8285,552749.063695117,241423.94313385687,99475218947.26393,315396.9228563651,421035.23234877863,290566370945.07166,539042.0864321,,,,,
307634.2484162294,231796041309.03287,481452.01350605325,490492.1278615076,498957918475.3843,706369.5339377146,322329.4022568877,225649372699.51804,475025.6547803687,492284.7089011617,506425763122.78656,711635.9765517666,,,,,
234932.71955950678,170667988656.7878,413119.82360664784,585153.3626525506,645149731660.6692,803212.1336612571,401926.55800279015,261813078453.3066,511676.7323743641,566763.2464464841,614052455756.0446,783614.992043953,,,,,
285150.4078674806,150822369851.74216,388358.55836036644,503270.91764804506,406709004107.6205,637737.4099953839,326697.5647437955,170214869473.5909,412571.04778885166,516422.8578066711,414595365566.8258,643890.8025176519,,,,,
329658.5935386056,240770632077.33438,490683.8412637351,452918.49000000575,315163865627.92596,561394.5721397081,289116.5545378279,133827255890.41302,365824.077789329,451038.57728099776,314643275503.9266,560930.7225530855,,,,,
193349.0550901973,81390774591.94566,285290.6843763842,488721.981363934,494339175659.42096,703092.5797214909,303990.7183729403,160755835559.0591,400943.68128087407,483179.5070377018,495834989645.3349,704155.515241722,,,,,
272698.3491681715,236654552151.10416,486471.53272427374,567249.1016387258,639738232939.2953,799836.378854635,341042.1109597403,190701549661.56378,436693.8855326048,562204.792549705,628544347885.603,792807.888385076,,,,,
281103.17018093675,157633170377.16583,397030.4401140621,462470.0346848578,436647473784.8812,660793.0642681423,278457.9612288138,119855681409.62384,346201.79290353745,463292.44554788695,440316442661.5801,663563.4428308872,,,,,
277438.4409328278,143844559987.3079,379268.4537201953,495100.32495063334,717663539611.9365,847150.2461853721,298040.8220494295,149871446446.19955,387132.3371228494,497615.8035912819,721847420778.4078,849616.0431503209,,,,,
327082.4793934345,243783866673.20135,493744.73837520677,516307.8724498594,581913979242.4419,762832.8645532008,303798.30581896886,163779426683.10733,404696.7095036817,512952.95705114136,584541556042.519,764553.1741105514,,,,,
216638.72325287358,102710588238.68387,320484.9266949756,513299.4914473313,883134598249.18,939752.4132712722,395149.6180886864,262265517453.90762,512118.65563940123,501789.230889533,868891263311.9225,932143.3705776824,,,,,
318432.1296165624,233850116341.8095,483580.5169170999,453402.7194237711,377666153942.2179,614545.485657667,276974.3291148202,138531819283.49234,372198.62880388525,469007.4396738681,396596459610.85126,629759.0488519012,,,,,
269531.028681741,206173720085.6559,454063.5639265233,548458.1406889565,664179289598.8203,814971.956326609,382029.6564361462,224066911526.81235,473357.0655718708,552123.0258122766,666698461484.7964,816516.050965807,,,,,
