source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
491019.0481238045,513843558071.46967,716828.8206200066,1394953.6190915473,3337937039363.5376,1827002.2001529,1398176.4177038341,3024813237736.76,1739199.0218881678,137623021.027577,
431643.0372358872,536549197277.9785,732495.1858394556,1766735.8610801152,6326468180629.009,2515247.1410636785,1894748.8143852556,8135851167912.375,2852341.3484210433,174466203.16294658,
586519.2860665391,808823025408.1831,899345.8875250296,2069232.294792793,6803419867483.968,2608336.6093132934,2068226.1091855476,10314803852871.715,3211666.8340398753,202136892.06785655,
448138.1384131377,531142539454.887,728795.2658016427,876164.6892227393,1387056895016.439,1177733.7963293907,1042796.1486138542,2328036996156.217,1525790.613471002,79655571.66481185,
383757.5851991867,309342947285.6664,556186.0725383784,962423.5228530084,1774498175615.5354,1332102.9147988288,1129856.4860837213,2148108624421.8513,1465642.7342370483,86990526.0357165,
322290.44195619185,301167964319.8164,548787.7224572507,1046629.5374959825,1975901237493.6062,1405667.5415949556,1092765.1537366947,1863756617719.8015,1365194.7178771978,102629102.28580533,
475454.78816455364,502970204924.009,709203.9233704287,1769300.3534493328,5571504796267.215,2360403.5240329597,1778079.3186010069,5460571716066.627,2336786.621852031,173812470.5811232,
762371.1476510318,1526625757057.51,1235566.977973072,1356912.399204154,3343949552669.0513,1828646.9185354102,1453200.038345538,3895173339820.6816,1973619.3502853285,134372848.3599223,
685036.002034177,1297901128654.565,1139254.6373197543,1232500.9053440783,3330722195263.9395,1825026.6286451656,1396729.2092497721,3766456108631.284,1940735.9708706602,119357379.96025892,
502189.24844669277,592573764678.5939,769788.1297334961,1141872.4509949598,2146912833115.8323,1465234.736523753,1156777.0602649753,2370582870489.2607,1539669.7277303534,107846693.19158655,
484697.61293417204,401966253446.79047,634008.086262936,1324247.33714309,3117841297730.5264,1765741.0052809347,1590305.3926686656,4367201187119.0215,2089784.9619324524,121552245.23025377,
368563.4387880383,261077689999.99686,510957.6205518388,1629847.6681219684,4683451086741.711,2164128.2509920043,1863331.1012144468,5967874986273.607,2442923.4507600944,157367945.56064135,
397416.34737296135,359958627348.089,599965.5217994523,1047496.7068823208,2662160713262.9214,1631612.9177175944,1052739.5948537535,2452330322271.4526,1565991.801470063,96552573.1140634,
