source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
499079.8321652603,562220036994.2433,749813.3347668893,714984.6576452911,742814671425.545,861866.9685198204,245591.83756609217,121648373773.09059,348781.2692406096,1438306.470280135,3222116401632.885,1795025.4598843118,,,,,
468454.08462438796,548993507064.0943,740940.960579245,719128.6579180758,1638841823994.0337,1280172.575863908,221245.04673652689,93154564398.1082,305212.32674665714,1771172.1043056357,6222239388499.956,2494441.6987574506,,,,,
622761.0091190034,878343138245.3821,937199.6256109911,955668.7120825212,2231925836541.676,1493963.1309177866,286499.3971496138,148271121414.7727,385059.8932825551,2062801.1983491238,6808676443089.419,2609344.063761891,,,,,
443873.67051400786,527643126879.7762,726390.4782414044,607187.9438757752,759849181353.8,871693.2839903036,337672.6661709356,237712551643.85367,487557.7418561351,945103.6878810077,1555714504488.4712,1247282.8486307631,,,,,
387657.9650958338,319743512221.0495,565458.6741938349,628819.3946178878,779360257859.7885,882813.8296717992,327841.9271081533,189053010958.46936,434802.26650567196,938216.7894314255,1682705522378.3037,1297191.3977429483,,,,,
345979.97320019867,308569491059.2319,555490.3159004952,518848.19233773457,404211337168.04877,635776.1690784334,247333.6499246508,102386609127.59137,319979.07607778255,1117702.3048231509,1989492700802.974,1410493.7790727664,,,,,
511386.9125506555,549955444644.8892,741589.8088868867,737237.5536983097,872458866060.2961,934055.065860839,210456.04337728315,69295102825.75114,263239.63004409336,1703894.4919192833,5418837629490.498,2327839.6915360168,,,,,
763198.3887171856,1580568841315.6277,1257206.76156137,691699.8411248203,699421495063.4095,836314.2322497027,302805.6812860177,156232981376.14273,395263.1798892261,1445700.239481892,3452731771166.7236,1858152.7846672684,,,,,
661870.3903857062,1291142441297.3093,1136284.4895963816,834956.0521683992,1738431546927.7622,1318495.9411874434,484242.35468405,564509903217.9629,751338.7406609372,1298867.8595422525,3884489364463.3687,1970910.795663611,,,,,
504026.6140501881,590664511366.7655,768547.0131142046,725748.1639799072,840049467215.4773,916542.1251723662,273835.22138656885,152853725271.84222,390965.120275252,1165269.2028738076,2156964846888.5923,1468660.9026213614,,,,,
446697.2115059333,394827492761.8486,628353.0001216263,702081.5970591529,777404736463.8817,881705.5837771936,280946.4597158253,139070459138.16068,372921.5187384079,1291127.9600970114,3047071105824.324,1745586.178286344,,,,,
390367.5616137687,306754580257.09296,553854.2951508934,609337.1847329288,648862296324.968,805519.891948652,313020.2852637926,179851595529.20078,424089.13630179304,1644971.2571991791,4638869376242.168,2153803.4674134427,,,,,
383862.5790350065,334678863163.2009,578514.3586491186,681499.7923000513,1449238076483.0493,1203843.0447874214,304525.0537201539,179036446236.59128,423126.9859469983,1072860.0428652999,2607302412855.1685,1614714.3440420565,,,,,
333020.612690375,202901089770.17975,450445.43484220124,568964.0381690876,536118985836.9895,732201.4653338174,266550.8348493767,110861233665.47832,332958.3061968545,1113261.2218833887,2439722692015.561,1561961.1685363888,,,,,
495308.41189692507,522125486999.16156,722582.5122428314,615860.0102618908,573557961309.66,757336.0953431838,241736.38480966902,152377896244.91995,390356.11465035356,1195118.7046762637,2659079797149.3257,1630668.5123437338,,,,,
546308.8086039912,592926153819.2543,770016.9828122327,730160.1704748464,1152673991230.5852,1073626.5604159508,301387.87577558274,160878716455.5934,401096.891605499,1237851.9475255474,3092500395169.6377,1758550.6518635275,,,,,
400461.15305208403,545626602332.36676,738665.4197485942,611072.1987152076,887216630658.1842,941921.7752330521,370357.3009014386,274045229739.6156,523493.29483730317,1261215.9717930218,2840947847125.6514,1685511.1530706794,,,,,
305200.21423104854,163283773329.45956,404083.8691775008,556850.3806646059,482587049582.8963,694684.8563074456,258846.57183234592,126094479195.27805,355097.84453764017,897036.5907718827,1211468317028.8235,1100667.2144789374,,,,,
442128.67641333095,395813128567.0358,629136.8122809504,602901.0299169128,595418497154.3098,771633.6547574308,320688.7386626696,173724953454.7751,416803.2550913861,1000677.3829669233,1706949774566.1877,1306502.8796624169,,,,,
483842.63991309213,480196327303.5781,692961.9955694382,540478.4951558876,564215317429.7015,751142.6744831514,229387.72425550836,115510222173.46199,339867.94814083603,1018591.7291381017,1762250163605.7756,1327497.7075708176,,,,,
355697.38457007013,242021585945.5015,491956.8943977729,472054.35259625653,503402023781.01697,709508.2971896925,245487.36082168072,108874147812.08627,329960.8276933586,862669.1235810982,1423653049018.3738,1193169.329566585,,,,,
529817.1048615356,550811561702.8123,742166.8018059096,608134.3647156779,648248759735.1685,805138.9692066634,315273.31798134337,198079298467.36316,445061.0053322613,1135191.3703903675,1999764418862.405,1414130.269410285,,,,,
551423.0218773275,775409082087.5647,880573.1554434104,719026.5986771135,793711341676.2772,890904.788221658,259599.18325391295,127612883282.09673,357229.4546675802,1528734.036425446,3572589719370.8535,1890129.550949049,,,,,
524832.9912762098,633668355428.8601,796032.8858965941,659461.1162376874,708302274045.6986,841606.9593614935,356701.78499612183,223721538954.86896,472992.1129943595,1156867.242748849,1992460686089.561,1411545.4955790695,,,,,
464285.90155110444,458379874583.5306,677037.5725050498,603990.6121829428,707837153828.2974,841330.5853398517,335430.62580132217,190824816151.1288,436834.99877085036,993169.350107187,1582036271921.797,1257790.2336724503,,,,,
419412.24605811003,345557059309.6877,587841.0153346631,582929.6428408738,558940105802.0792,747622.9703547632,278323.2702196378,162103697977.7152,402621.03519030794,1183332.9475938857,2309427890563.306,1519680.1935154996,,,,,
667845.8456877448,844957487931.5632,919215.6917348416,766028.6062884923,851137619832.6019,922571.200413606,320961.53596270457,203499237259.14233,451108.8973398134,1709824.0059138178,5107041529657.122,2259876.441236804,,,,,
435323.7780761371,396577786737.85016,629744.2232667563,804155.168825887,1412759837155.3335,1188595.741686522,444318.7234238823,541560590990.85706,735908.0044345604,1614901.2094260582,5423612405956.244,2328865.046746214,,,,,
