source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
495157.58198897546,545736865858.0949,738740.0529672768,1429676.926595757,3296347788423.2627,1815584.696020338,694331.700152783,1110783290842.8164,1053937.043111597,141312126.5949531,
472371.08507702616,565916207358.2753,752274.0241150663,1749637.0242951883,6329613181545.893,2515872.250641096,632288.9996717926,1406947906780.826,1186148.3493985168,174600228.83276942,
611259.5436066358,801152516706.3442,895071.2355485144,2091667.760810855,7011229465053.085,2647872.6300660847,799820.387375364,2422985193738.346,1556594.1005086543,206557903.71316284,
440932.902073889,533748628167.8332,730581.0209469126,959624.732110296,1573838277783.5618,1254527.1132118118,714866.0398859457,1199599391246.2737,1095262.2477042992,87312564.15835819,
382256.34955765883,307933116555.8944,554917.215948374,1082426.6201019892,1979015726193.6785,1406774.9380031186,626173.3599322238,832607987447.6807,912473.5543826356,99753184.90313216,
369618.56360016554,332241048050.86694,576403.546181724,1044367.7807587855,1898432733938.397,1377836.250770895,469333.23180144595,388349930895.1914,623177.2868896871,101921324.46199398,
426944.9040378896,436043223313.48145,660335.6898680257,1663923.2205686963,5398513765957.576,2323470.1990681044,554010.976140919,759625562450.3098,871565.0075871047,165155558.8391353,
783105.8232661275,1601847133850.5676,1265640.9972225802,1405497.3985129923,3340466147342.463,1827694.2160390131,767408.4503656366,985940341310.9548,992945.2861618081,139170338.25701445,
647130.688627309,1264140959081.7234,1124340.2327950927,1311104.5463700634,3655891469599.3213,1912038.5638368598,873927.2887461993,1901711045435.8179,1379025.3969509837,128465527.72416247,
505088.2342891588,594869325850.4375,771277.7229055936,1166750.6496458587,2209822884416.2925,1486547.3031209912,666478.823162641,902824976243.6854,950171.0247338031,109806149.61232248,
461608.11886862037,418492927730.441,646910.293418215,1307087.5338054122,3148651227382.1333,1774443.920607843,812060.9419194513,2051026885360.0437,1432140.6653538065,125434709.43869959,
365876.7919042464,251070452268.76346,501069.30884735245,1671899.2575109154,5021933257210.773,2240967.03617228,638303.3600124182,851249489098.2081,922631.8274903636,165789697.72214,
399745.89231041993,352251753410.44495,593508.0061890024,1046503.4116060829,2707048860975.84,1645311.1745125419,737773.7707401084,1609567703873.2163,1268687.394070429,100578389.41850002,
331897.44624886813,200771763414.71887,448075.6224285348,1122051.257804492,2492456870330.1357,1578751.6810221092,584279.1871342133,802851249317.3617,896019.6701620795,107857463.36479907,
483376.15165171114,549354914647.90717,741184.8046525962,1195532.785117097,2635510332679.608,1623425.4934180405,514090.8129715057,575827903122.6044,758833.2511972603,115342931.7709083,
537423.8155661192,597482273692.6886,772969.7754069616,1242495.6248549924,3024533464124.306,1739118.5882866948,699339.522466384,1250839121285.4814,1118409.1922393527,125370183.2404307,
379138.6052767509,529306798389.43304,727534.7403316443,1248415.3140239806,2880134032872.936,1697095.7642021666,626473.787861849,1082263773805.3232,1040319.0730758151,119544417.52465479,
