source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
484740.5406264009,526333009151.5639,725488.1178569115,1368147.3873907293,3253428400012.517,1803726.2541784209,633886.9149350831,577176425569.9167,759721.2815038925,132590298.96328789,35.9808153598872,0.26054951241788255,1.0,0.2994984594239638
451999.83774718805,562449100582.2317,749966.0662871565,1762898.2179049798,6247749431430.063,2499549.8457582444,659530.9388346467,1325240173630.64,1151190.763353598,175498497.91071272,32.991148352833,0.28191852370117026,1.0,0.30115191627802945
576207.3755180252,826618582889.3391,909185.6701957742,2023797.1724062038,6129450827389.329,2475772.773779801,899848.6270403358,2270423863451.965,1506792.5747932144,197734464.67451656,34.83844425511124,0.2656285274744673,1.0,0.2273855887186719
440511.7502859241,525223279880.9111,724722.8986867402,935265.0545854553,1538999825236.6929,1240564.317251102,644659.8012654408,906599065174.9458,952154.958593897,86542892.9452258,36.56246048861208,0.2586544314531755,1.0,0.31848602784678753
381107.04179567634,313323840263.8885,559753.3744997778,956804.9596010131,1724804363108.3545,1313318.0738527717,623285.2191784238,752336565487.8455,867373.3714426823,86912256.70329772,33.54780978534106,0.2760922282536492,1.0,0.2806507358674597
348965.4033545421,314102005865.8762,560448.0402908697,1063378.217501273,1935137980290.0774,1391092.369431332,488740.01998466015,336242787310.51874,579864.4559813256,103310099.45896818,36.8475212479477,0.2534074691199722,1.0,0.3089755002967375
450333.6155815449,459564302367.87537,677911.7216628396,1790038.7363471102,5622867203776.41,2371258.5695736366,674699.7022582712,701867457435.7987,837775.3024742367,175400302.3191406,36.0865975696183,0.257942839422564,1.0,0.3281408088487696
775139.2343468522,1635656817984.2253,1278927.995621421,1386765.9293132315,3295332147761.0254,1815304.97376089,619357.8378579384,568097622843.3875,753722.510505947,133883306.7922833,35.20289103249701,0.2698620012582083,1.0,0.2226450994537494
664411.6853499699,1267453801096.7625,1125812.5070795591,1371871.3614474244,4028635140674.455,2007146.0187725394,778550.7587211734,1521361558202.2085,1233434.8617589048,133093233.32642192,33.92345393138874,0.27381635937196014,1.0,0.2931678107378194
491165.56686845125,583074846395.3776,763593.3776529087,1152814.080351591,2261206306125.604,1503730.79576286,667722.1824091739,612264293117.3132,782473.1900310152,107519594.51815335,32.29564380738948,0.2832328909452624,1.0,0.33058361369244604
460440.43293593166,390725501822.38947,625080.3962870612,1290230.2493923705,3238205440795.9595,1799501.4422878241,668110.3367415767,643466143271.6553,802163.4143188377,125253014.8549774,32.9708354205905,0.27882679910897135,1.0,0.43478332240623385
388444.8294443416,308875249998.06616,555765.46312097,1697643.057538557,4898154131283.179,2213177.3836010476,566166.1898602246,532760150598.61475,729904.2064535693,167382279.65300465,34.36999552370693,0.2707123457138702,1.0,0.2859387819947373
393863.92331080115,340357500221.26996,583401.6628543922,1029529.3669664465,2590735842172.8555,1609576.2927469003,664899.8195534381,1411212430035.7434,1187944.6241453106,94772785.05920935,35.653225171568984,0.2637226478041931,1.0,0.33307409242526187
328304.5207177995,220245140026.2737,469302.82337343093,1118826.765980037,2526579387111.615,1589521.747920303,493156.00687145896,384865657837.8607,620375.4168548756,109556863.53585519,33.24685452605278,0.2785659545952253,1.0,0.43019175583344726
516879.48002228886,573552072865.5374,757332.2077302254,1206301.5281120115,2615117396386.709,1617132.4609897325,579648.4350839497,475448890259.32947,689528.0199232874,114370088.04150331,34.14997401665115,0.27455233575495186,1.0,0.3716760885047626
549194.0662836569,597714893903.8892,773120.2325019629,1285547.2762836248,3162609791060.444,1778372.793049996,643187.8348769979,847169954242.3119,920418.3582710157,128617339.6103499,35.490734411035106,0.26163482425967927,1.0,0.34938963643914417
405957.5054640279,559143026290.7786,747758.6684825383,1258952.3723355918,2937065811526.458,1713786.9796233305,580622.1113816444,808903758104.9655,899390.7705246733,125667735.36285312,33.530244572514164,0.2788512511014231,1.0,0.36752380537728346
312645.6657991054,172619173709.05188,415474.6366615559,885333.4616646772,1201895740730.2283,1096310.0568407772,545378.496709944,455366389053.6613,674808.4091456339,85588917.79847778,36.453662073625225,0.2545815287481824,1.0,0.27899281090172895
440784.26151405904,409496901219.5396,639919.4490086542,992007.3662588398,1713239356262.7563,1308907.6958528268,584927.6585289229,564064070032.5286,751041.9895269029,92519579.62363636,34.892019316415535,0.2643126350712593,1.0,0.22096122550980218
476604.79840852506,469416329252.69495,685139.6421553018,912872.5887123091,1469564300379.173,1212255.8724869816,563128.5906660412,587047839366.6313,766190.4719889378,84450821.17230378,35.373581110136506,0.2663529033011934,1.0,0.31027777229191844
350248.8256841155,234457484257.59396,484208.10015694075,885424.4370175377,1470893417855.566,1212803.9486477466,524644.2868733569,581777111347.9364,762743.1490009835,83405260.373217,36.75114517570664,0.25374435546272095,1.0,0.2746942066155099
490915.73410344654,522864681807.9422,723093.8264208471,1076825.2219537366,2000050351428.894,1414231.3641794592,576605.2580296147,575583468963.6262,758672.1748974496,103879903.34576374,35.39727781539572,0.2631094203467547,1.0,0.24102118772065184
561441.0116889103,782075125783.3239,884350.1149337427,1531857.3289230228,3544181419809.2227,1882599.6440585083,576094.2775204723,473228330989.2012,687915.9330828158,151668632.11774462,34.489542455670545,0.267721936078824,1.0,0.25445582413395407
521340.2053673276,598075338490.4872,773353.3076741104,1130597.2638790784,2038076258085.1472,1427612.0824948025,651829.3630752807,724058332702.282,850916.1725471446,108059107.2237709,37.42217308439186,0.24856319585895573,1.0,0.3640992085766487
458352.5454725807,467155785538.1569,683487.9556642948,966255.3074049079,1489561522446.8613,1220475.940953717,589891.4108025308,644288676361.9879,802675.9472925471,85990438.1371245,36.66701781009483,0.254283406493695,1.0,0.3088770231735915
429095.6141947509,353575456922.30524,594622.1127088239,1170183.3169035253,2357229471998.926,1535327.154712938,588743.4345595955,548398541357.56354,740539.3584122072,112645165.59195688,36.86296135715028,0.2524762602915084,1.0,0.35306905205575134
654773.1263973906,841730398122.6912,917458.6628958774,1762706.7654291901,5161455017146.588,2271883.5835373667,708035.2865758723,736839650622.537,858393.6454928688,171044235.66748613,32.278509331234034,0.2861651127178307,1.0,0.29626467556454283
442748.7601005457,438151290769.17554,661929.9742187051,1643013.855246409,5522099095068.876,2349914.699530363,753348.584888371,1194266740588.9436,1092825.1189412437,166398895.6877041,32.30283789278139,0.2833028711720586,1.0,0.32858697453171304
285435.31823623285,339527628925.891,582689.9938439744,779202.8103050102,1325190300612.4219,1151169.1016581457,532286.4676230958,886361102804.9755,941467.5261552973,77010305.81366691,35.78301170132297,0.2596008986905772,1.0,0.23773131296652983
521490.8604362892,586033562872.0148,765528.2900533557,1136351.427707403,2381674671130.2725,1543267.530640839,560592.4622956322,488845663854.3401,699174.9880068223,109586564.96403131,33.84040683739122,0.2720339892838296,1.0,0.3567210205390596
434796.98175105074,439044840167.5351,662604.5880972566,890640.3986186716,1334177353556.021,1155065.9520373808,499470.55944380915,373696313645.9013,611307.0534894075,83149405.61674048,35.1604561182351,0.26960051852098876,1.0,0.35730025272712695
378531.6093079778,309722675730.90485,556527.3360140586,881471.0928342259,1413094255298.081,1188736.4111938698,583868.3039734665,755084684011.895,868956.0886557474,82142660.11894678,36.206302206944514,0.25560596201037705,1.0,0.3028514500059536
463715.7116729171,610152884930.5887,781122.8360063408,1090128.485407344,1987419166577.363,1409758.5490350334,626158.2197312866,703210329734.1835,838576.3708417877,102546980.08322597,37.15278775360314,0.24926698415406542,1.0,0.2825198238067566
419031.21157127677,327059141401.9396,571890.8474542494,1169039.6115773437,2258735525040.157,1502909.0208792272,547993.4400432928,397768610563.0151,630688.996703617,112059799.23124608,31.653228697871636,0.2928980006155396,1.0,0.3066417638613149
516430.8869570187,655038201001.9973,809344.3031256829,1192636.8947495997,2516717723621.49,1586416.629899438,561079.4760488931,622768158388.8077,789156.6120795084,115294397.60230623,35.678250114238686,0.2620737181475398,1.0,0.2947768024264164
344360.8176024958,202211255037.2203,449679.05781481566,1415679.4936819086,3835168917949.9326,1958358.7306594092,717310.9159242559,1131166404317.317,1063563.0702113141,135963631.62036574,35.233079453788015,0.27013596702044046,1.0,0.4004857965886685
430909.0336013029,423092796848.9893,650455.8377391883,1210613.8663123725,2397268918557.8657,1548311.634832557,641880.6257029078,592082865598.3871,769469.2102991432,112034960.97032645,33.39385452940989,0.27995642259540066,1.0,0.3619220845440655
399605.0374320922,488121909932.2822,698657.2191942786,1008236.2292268757,1660459228237.5632,1288588.0754677048,525782.6433131531,688858910678.5952,829975.2470276419,93070627.46883361,33.367631854179166,0.27728860233543257,1.0,0.2511652513055237
387733.5066316861,451919071014.03516,672249.2625611688,1073745.9030261682,2218328915762.043,1489405.5578525425,498048.9672860352,503313395569.3265,709445.8369525657,107414136.907411,31.643863974068672,0.29524124303348054,1.0,0.2673994535903517
411714.5561527061,340379633126.9801,583420.631386121,1374862.957753799,3153586300164.089,1775833.9731416586,592418.4647662491,552893752084.523,743568.2565067735,133753904.87699452,34.85617420170018,0.2657515709780505,1.0,0.32164891265434986
419547.29005456506,359137357326.7951,599280.6999451886,1634697.974810177,4216985569854.9243,2053530.0265286905,653095.8009335403,697576852867.7926,835210.663765611,158246586.38003257,37.134556998433595,0.25356334451256657,1.0,0.3311325528831822
388187.72165525035,269497353614.06842,519131.34524325194,1042623.3286842303,1941376095210.6138,1393332.729541158,607907.65447435,670038268251.1105,818558.6529083365,97839681.96367541,31.697975916139967,0.2893184934805927,1.0,0.2849100203950213
454001.64741571335,740253299446.4954,860379.7414203192,880994.4552294635,1286023277483.661,1134029.6634055306,584423.8380890359,501169253846.82,707933.0857127812,83653827.32517609,35.84268489220477,0.26021274000270705,1.0,0.326336873470518
365591.5130366237,288649673388.88306,537261.27106733,785498.4205968828,1106617148799.1008,1051958.72010222,503748.6170147726,496298378449.23065,704484.4770818095,72419537.53842211,35.359060380239896,0.26205329996223753,1.0,0.282892831674168
385307.0440756507,294317215093.2204,542510.105982571,945959.1768162752,1708723227350.374,1307181.4056780238,573962.6189386818,860862857613.5624,927826.954562952,91124991.57741272,32.33792632814971,0.28547809140290575,1.0,0.26905414224488844
554834.8414402896,654870957867.2484,809240.9763891399,1412909.4536983576,3236549207914.7695,1799041.1912779456,571801.6981230486,454119911729.5432,673884.1975662756,140443007.1624923,32.91630557328612,0.2772399940436803,1.0,0.3842336087134014
364821.6734936518,305394758102.2413,552625.3324832668,903781.629202421,1573128163514.4663,1254244.0605856846,528278.474095357,515329045693.3463,717864.225110394,89168116.98376428,35.243635128429666,0.26861468047957865,1.0,0.31102614012552293
464650.846904641,397387218647.5696,630386.5628704102,1080924.0322658762,2383659564323.016,1543910.4780792883,707207.3260544665,1190303368196.035,1091010.2511874188,103829909.09601873,35.41532118193492,0.26648190353951334,1.0,0.3805263283030832
453738.1433280326,525482557185.61523,724901.7569199397,1160773.0710067789,2145575634175.769,1464778.3566723564,560073.7221418405,417559686915.37274,646188.5846371574,115222588.36386062,31.273267750084273,0.2969671987535392,1.0,0.2745259215289602
343142.7580622589,232236480626.30246,481909.20371611754,1432714.4700219436,3313122450486.987,1820198.4645875809,549106.8088216789,496406212650.8111,704561.0070468072,141417004.07424116,33.984358660952196,0.2683570831212693,1.0,0.2508541076993419
315064.4990729262,210131663933.1347,458401.20411396684,937641.0598979145,1829050995180.9744,1352424.1180861033,710735.4996928313,1215568367833.348,1102528.1709930808,84509433.62766932,38.03386004167353,0.2463576036931554,1.0,0.2768740558502178
439993.69805387355,473799541807.212,688330.9827453737,989461.5276708788,1844578848111.0535,1358152.7337199794,500520.2289036565,609679561707.3678,780819.8010471865,93994992.98964319,33.3471030714657,0.27944931176981447,1.0,0.287723899770858
557634.7546125372,965155187640.8359,982423.120473473,1063534.9216005828,1760974549413.845,1327017.1624413321,586667.800828569,561676377701.4998,749450.7173266964,102691531.76361799,34.84077267531822,0.2666503613764096,1.0,0.3058373858745907
316444.53307626664,214127633754.94086,462739.27189610875,863036.341373258,1709850749350.956,1307612.6144049529,574838.5307827044,996177037042.3225,998086.6881400245,84956424.45743084,34.186105883749725,0.270020357116957,1.0,0.1937526903633218
579260.0919628659,1265419118544.8152,1124908.493409493,1147344.4136031873,1994489086121.9524,1412263.8160492368,533327.3436247155,407071054680.06415,638021.2023750184,109560504.75033337,35.24376012334452,0.26594812537135026,1.0,0.2680860939105374
401333.69037229655,343445302395.35846,586042.0653804286,826932.5354038598,1304684667253.2168,1142227.940147332,430228.02005141345,445003680988.4824,667085.9622181256,82623841.96470053,33.25843176060716,0.279984307458881,1.0,0.29651320003277637
547500.7354263401,682168778104.2028,825935.0931545425,1112694.4111694978,2143059085093.5234,1463919.0842029226,651294.127418275,707203718965.6239,840954.0528266833,105746254.43406327,36.57110792526323,0.25435322963928786,1.0,0.38482061752203517
369233.1564827934,384254846826.7215,619882.9299365497,808673.4355167849,960845564684.9419,980227.3025604531,552016.3048565823,522515090597.4579,722852.05304921,73206897.86495735,30.62734760624417,0.2933132093442319,1.0,0.25281993636564704
626198.2184434955,971197383481.9581,985493.4720646089,1307916.4073199965,2686106463332.927,1638934.5512658297,645765.8387540915,617514398560.8428,785820.8438065529,127688833.19582748,35.73307352465141,0.2604059518373282,1.0,0.29955868076314984
528552.9326070984,844726967589.5411,919090.2934910917,1058254.2482394285,2050984645035.0835,1432125.9180096851,639888.0587739253,612064458537.2651,782345.485407352,100536595.1346015,32.498294776219936,0.27997147594420896,1.0,0.37243666348723287
460636.1462989118,542736274839.4361,736706.3694847738,1332476.8972775638,3437564060749.64,1854066.8975928673,709264.648399913,1063394431504.0428,1031210.1781421879,129918663.33382292,34.419362872784575,0.2729570422486327,1.0,0.3811508704185675
422654.1708610701,429887267305.4212,655657.8889218227,1138739.8485707813,2140009246107.1443,1462877.0440837275,651894.5327820692,909276267326.1345,953559.7869699281,101461125.14699997,31.962281981737167,0.29050925898262664,1.0,0.31749194042533174
684086.8839120086,1010724993767.4761,1005348.1952873224,1357478.424271589,3309292390938.235,1819146.060913811,554381.4892651112,430415702437.2079,656060.7459962895,131370009.39956546,37.30102463992564,0.2504411897826842,1.0,0.34248513653101575
494507.88243425277,608865593507.0409,780298.4002976303,1514335.9850222308,9139459232426.81,3023153.8552357554,908085.3506533907,6698837118649.523,2588211.1812310684,155227862.7176235,32.20450828707642,0.2850301380890524,1.0,0.22642974603865912
372796.45814209303,237399173869.26706,487236.26083171094,928785.5050383398,1637243102610.8071,1279548.0071536226,576296.8601253696,663729489860.5383,814695.9493335771,87394868.55922756,34.58822173711636,0.26630951472741027,1.0,0.2941013400669776
475361.8252238528,487384810827.3328,698129.5086352767,1113455.9973332842,2159430280819.0796,1469500.0104862468,592981.9002893117,786399710623.2203,886791.8079364628,105198747.92613608,32.23499899865011,0.2908630462901543,1.0,0.3544462433279625
497110.3663076921,643682284163.207,802298.1267354467,981976.2008661892,1656797913949.1304,1287166.6224499182,565862.1163429455,681418090427.7242,825480.5209256753,90798947.39109997,35.72568146358189,0.2583855242536225,1.0,0.2933168993930939
357814.837331311,236215824058.23215,486020.3946937126,1058111.1705889618,1790026326176.012,1337918.6545436953,542292.7761928283,452067214716.7567,672359.4386314189,98801520.90672329,35.08995397840985,0.2661300864474636,1.0,0.35342187904646566
