source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
429261.11777712987,493885608381.77435,702769.9540971955,660682.0990382482,657123822922.1044,810631.7431004688,346887.53100818367,201011136851.17776,448342.6556231046,658230.2428719801,652938571810.5295,808046.1446047061,,,,,
385436.95022694697,498205096548.51013,705836.4517000451,591630.0894826935,1044039842556.7561,1021782.6787320072,423104.8896988966,307681556851.4926,554690.5054636258,598493.3282113865,1065308090758.1055,1032137.6316936155,,,,,
520845.37106800027,885269849849.2184,940887.7987566947,855341.7540483612,2090148874810.8428,1445734.717993188,460672.2932129431,363316691715.058,602757.5729221973,874951.0407602217,2200847077699.674,1483525.219772038,,,,,
431329.1934144773,488058411034.69324,698611.774188421,604871.9289137627,827340969129.5767,909582.8544610857,410854.4024566964,312741020169.6271,559232.5278179258,607248.1912647245,838832489603.3853,915877.9883823965,,,,,
352734.07419093064,322757907249.07635,568117.8638707609,586801.0634883264,671537462725.451,819473.8938645032,414298.16747357615,292363769421.43286,540706.7314371376,594324.3629725033,669488645585.1311,818222.8581414303,,,,,
311733.3398602725,269474388163.70187,519109.22565843683,484580.2913297163,352177695056.03156,593445.612551,274584.5127238422,130753969964.93611,361599.18413201114,496852.65690950333,365808310156.6024,604820.8909723625,,,,,
421345.67038485233,529060399304.1691,727365.3822558296,605513.8242054945,573162703483.0927,757075.0976508821,309438.6487057848,150119320838.0019,387452.3465382574,627919.7648649344,619391332243.6776,787014.188082831,,,,,
810122.742887942,2268116529264.8647,1506026.735906393,600685.5978244804,516126547728.29736,718419.4789454817,312480.82206008973,155285373501.8315,394062.6517469418,589529.3370698936,503666983326.71857,709694.9931672892,,,,,
704725.0090572702,1445820740668.4324,1202422.862668717,722358.2001204216,1361639087068.3652,1166892.9201380755,561569.6524349807,556736683537.4026,746147.896557648,726484.8122367264,1365502269426.107,1168547.076255855,,,,,
497059.5052089002,635373107795.497,797102.9467989043,600675.54314546,558258932282.7186,747167.2719563663,362737.9922153391,231150540092.10165,480781.17693198187,614440.0216917972,564514974379.7968,751342.115404026,,,,,
357345.96238217875,371086898325.24976,609169.0227886261,610749.254761046,558359762101.1047,747234.7436389081,340121.04558612255,183885809731.98956,428819.08741564845,597235.4941243686,524488832210.21954,724216.012119464,,,,,
216980.2345831826,112568097069.34818,335511.6943853793,559255.927513136,529258560861.2749,727501.5882190738,337656.05170775583,188892973605.80054,434618.1929070624,556913.6511281424,527598725815.95935,726359.9147915305,,,,,
351245.24208190717,311751353375.90063,558346.9829558503,637123.5128441378,1202794809651.767,1096720.0233659304,444524.69206477073,314698288116.5093,560979.7573143877,637153.4511977158,1205507336701.9053,1097955.981222337,,,,,
305433.1442774076,206700944448.9718,454643.75553720276,469058.29954574496,328622232192.4445,573255.8174082881,290221.82729208487,145440546346.4952,381366.6822711381,472576.2374488353,339387438762.2616,582569.6857563579,,,,,
450593.19589561224,571727395012.037,756126.5734068847,564003.0153537994,502226719330.31116,708679.5604011104,245217.87402701034,111676682172.76349,334180.6131013041,569176.3184693999,525581561761.06134,724970.0419748814,,,,,
520557.0242292259,498843640510.3328,706288.6382424205,641182.3910574104,876796588044.5331,936374.170961872,374750.64823450195,324074607577.80334,569275.5111348137,646005.0521799959,891143963618.7839,944004.2180090002,,,,,
411812.46648133197,708050992854.8145,841457.659573442,552330.581142604,806753026801.0587,898194.3146118543,411723.13603818417,399652653864.7533,632180.8711632718,559703.1173967584,812649132670.532,901470.5389920027,,,,,
278820.0116380546,138468837224.03488,372114.01105579844,494929.92750848486,379206545321.52905,615797.4872647087,334386.8172197521,164393704956.5911,405454.9357901456,503960.79541986145,385264092008.3893,620696.4572223603,,,,,
383635.3792109815,460275655445.19275,678436.1837676354,552491.6070946124,520762664212.25256,721638.8738228093,338392.0409746,181651969995.56485,426206.48750994494,554843.3821597297,523876875201.06055,723793.3926204774,,,,,
489532.9955551827,584904057935.5078,764790.2051775426,552673.7068893076,555695557335.8347,745449.9026331916,273982.9911407119,123389357026.69002,351268.21237722324,557815.3910805399,564342393563.3903,751227.2582670242,,,,,
288816.5801319714,220241555650.53,469299.00452752935,480890.23804673506,497147333252.5354,705086.7558340146,288930.6326237351,153509204313.9641,391802.5067734561,487665.4272942841,516593244886.57513,718744.2138108488,,,,,
446531.57077600743,558230169686.5779,747148.0239461106,554400.0690307544,505161023869.81134,710746.8071471101,307447.97163649485,164821409219.07108,405982.0306603127,552207.2202128224,509799571954.6665,714002.5013644325,,,,,
504777.5283466529,624624149812.7648,790331.6707640943,606574.781925774,604506411659.974,777500.1039613911,306160.6390070256,164843035233.08224,406008.66398770636,602803.9029392797,594051060398.523,770747.079396687,,,,,
459102.5046329524,516843978813.9547,718918.6176570716,706771.869787816,873858271238.4485,934803.8677917676,382408.242559755,247249483366.9161,497241.87611957634,712112.8595372019,883730303934.1687,940069.3080481719,,,,,
471379.6031949642,614310055768.7909,783779.3412490475,559475.4868269921,595455308270.4717,771657.5071043316,351500.7598849833,201809808287.18692,449232.4657537419,555034.1967794545,585603367555.4974,765247.2590970172,,,,,
484311.56343781395,557642259134.4332,746754.4838395235,564365.980901197,482928390438.285,694930.4932425149,257085.29273120157,120897855077.72289,347703.68861679174,560399.2507734433,473639853960.18005,688214.9765590546,,,,,
487099.4546825538,737222915774.0297,858616.8620368631,673704.7655387229,739916485041.3849,860183.9832509002,306477.80873647175,163692138658.5575,404588.85137699667,689845.2386530282,771637819442.2076,878429.1772489161,,,,,
291655.70833496324,195828226289.98105,442524.8312693662,712803.9088102583,1031351580235.0776,1015554.8139982783,406213.4604386194,271058797361.0492,520633.0736334844,719224.6908850112,1045869926200.3414,1022677.8213104758,,,,,
310453.625103953,380232845540.204,616630.2340464697,508778.523333994,817300492714.7677,904046.7314883494,334928.110128775,200770009204.50665,448073.6649307864,507447.3559933481,808685258608.2379,899269.2914851691,,,,,
555662.4030281125,720351444863.0883,848735.20303042,544778.9967887423,475278467386.889,689404.4294801775,250967.59908086085,111908399139.97292,334527.127659287,553293.1671262083,479385996558.82776,692377.062415291,,,,,
414061.65083310165,449143591261.4818,670181.7598692774,516919.502832845,406218800469.6122,637352.9638038974,273537.1298109572,124608774254.9463,352999.6802476545,508185.3835152306,394821527518.4011,628348.2533741946,,,,,
304263.7825584017,199774399192.578,446961.2949602885,581186.6901507187,765229143168.9619,874773.7668500136,406550.6501853378,343332658838.42706,585945.9521478299,578656.0766205573,758464292326.0011,870898.5545550074,,,,,
453046.58776895254,776419995996.6423,881146.977522276,618644.7477044323,694735224780.542,833507.7832753225,394918.8064992151,333712676085.0918,577678.6962361445,619787.4842290954,696751206442.1904,834716.2430683797,,,,,
404726.8843553034,340575933925.64276,583588.8397884617,483374.3650079422,353919580761.2224,594911.4058086484,267236.4446608735,107931907431.72322,328529.9186249606,488573.9435597982,351197136510.3743,592618.8796438858,,,,,
475666.4475356616,436999763535.4767,661059.5763889037,589319.6133857085,672823737633.517,820258.3359122399,313701.61179861525,157451073770.8007,396801.0506170576,591388.7444916267,666773588740.3389,816562.0544333045,,,,,
311367.9642203948,274696195141.59915,524114.6774720196,623674.9363575698,847467018350.5327,920579.7186287197,384776.45658617816,245931304492.01663,495914.61411418056,659734.6212010718,897137331099.1636,947173.3374093486,,,,,
376155.2069462826,303463240422.43695,550874.9771249706,622947.7883486764,578775903523.1475,760773.2273964084,350778.2227551739,198299005826.3859,445307.7652886663,629109.7269200642,578845269277.5597,760818.8150128516,,,,,
366905.6097584808,555756103557.6548,745490.5120507268,526228.1921362128,705361135194.721,839857.806533178,372336.1346939313,296858215824.3301,544846.9655089675,517782.6306503994,693422720957.7936,832720.0735888343,,,,,
329512.5492734675,369708752250.4968,608036.801723791,516926.5115122991,512655845385.896,715999.8920292489,343022.6159421447,196420585271.64078,443193.6205222733,511960.1993258348,493399101478.0312,702423.7335668771,,,,,
436741.46509230905,398650211428.377,631387.5287241403,587655.7939401733,535098420217.97534,731504.2174984197,275287.29911542876,165259481947.08905,406521.19495432096,591701.9465652339,531988107502.8122,729375.1486737207,,,,,
405261.8606309561,346120753429.57623,588320.2813345604,611851.3988467613,613979865223.9222,783568.6729469998,333680.8820011657,179165256457.2779,423279.1708285182,624358.4804892268,626249690769.9532,791359.3941882242,,,,,
482985.41318828333,450022796828.0957,670837.3847871745,575218.6557177103,600357420489.7421,774827.3488266545,350143.8502473272,257614898686.1249,507557.77866773447,576810.1563625995,601272067019.6449,775417.3502183484,,,,,
549670.9835404983,875078170190.6958,935456.1294848069,563826.1365888511,482804976670.5157,694841.6918050584,296520.3847584869,149207162731.22073,386273.4300093921,564749.9768494066,489123223059.89526,699373.450353883,,,,,
334598.8002198485,275929303998.88153,525289.7333842358,500907.66997360624,496450932105.7149,704592.742018902,266206.73985226353,121900571516.28413,349142.62345964595,496081.4468858429,484088815455.2101,695764.9139294177,,,,,
391456.7559436529,341660615624.36487,584517.4211470218,569740.4675840802,820651545308.5184,905898.1980932065,371157.9476358801,222186205839.1193,471366.31809996703,574579.5599159723,831962675909.8024,912119.8802294589,,,,,
586684.2754108836,849823803796.1873,921858.8849689454,549814.3421440935,436287409643.7481,660520.5595920146,293300.3868704435,133312049601.34354,365119.2265566736,556105.8145275436,456538754946.80945,675676.5164979537,,,,,
338891.0161934773,364012062860.1328,603334.1220751009,489849.9711516673,442606758953.41376,665286.9748863371,281920.8160569686,119395136920.73457,345536.01392725273,485102.1938869814,429129310364.41016,655079.6213930106,,,,,
372832.9241912431,318934108073.34705,564742.5148449044,627358.7837138191,990458935681.1881,995218.0342423404,393035.2334153244,265117439527.7312,514895.5617673658,631297.1601921092,1021555237319.109,1010720.1577682663,,,,,
424605.69473869976,544746313418.50305,738069.3147791087,569281.148651862,483528507145.2503,695362.1410065767,220495.98986415847,80498253490.32486,283722.1413466437,583311.6273465988,514006241227.42096,716942.2858413507,,,,,
302587.0707331107,225577807570.214,474950.3211602388,496903.65276154643,402087613146.21295,634103.7873615115,260925.9665717146,131035963941.91971,361988.9003020945,506041.84577556496,424015111881.75226,651164.4276845537,,,,,
270038.22706331,153910892515.33893,392314.7875308028,657953.3355025274,1120654320847.1885,1058609.6168310528,526955.2745542211,534387095030.01263,731017.8486398349,650422.7637486262,1118146270899.0125,1057424.357057758,,,,,
300632.09028190625,208849754505.09296,457000.82549716794,484648.11746909365,557946485164.3218,746958.1548951198,256467.27847075197,108911191157.60205,330016.955863789,486649.51669708005,554467408827.8168,744625.6837014265,,,,,
535969.124041865,1215504138697.1104,1102499.0424926048,556556.293937838,516264232186.4833,718515.2971137658,327160.9358280157,164591240078.43942,405698.45954654476,564564.5360653787,518228826542.83417,719881.1197293857,,,,,
328318.00185574207,211237336658.22357,459605.6316650434,535676.6910732914,933436819463.0931,966145.3407552578,442383.6287839939,340225353131.6986,583288.3961915397,532195.319364859,920896027627.448,959633.2776782223,,,,,
556436.3643217175,912356461054.8638,955173.5240545897,544521.2312443984,510335210306.5597,714377.4984604146,264560.37131164543,113409775545.61162,336763.6790772004,534432.8474439894,503510380007.37756,709584.6531650594,,,,,
326392.2604712369,326248012482.67395,571181.2431117411,416972.6824557103,394323187296.88403,627951.5803761338,283708.066650722,146243483493.5951,382417.9434775454,423245.6765536119,402723884773.11206,634605.2984124164,,,,,
448713.7457207708,619940968564.4037,787363.3015097945,620288.035296475,751788161718.0608,867057.1848027445,387263.4429412851,245843346153.8668,495825.9232370437,624877.586307665,756468110261.0688,869751.7520885307,,,,,
391709.7558726472,432062336900.94916,657314.4885828618,554641.034693254,485204603514.3477,696566.2951323066,314633.68003175576,164020058093.50156,404993.8988349103,549901.4097763465,477774155044.3924,691212.0912168655,,,,,
564965.8940769109,1108899565819.8347,1053043.0028350384,655708.4205071194,721582202743.9034,849459.9476984794,283923.5594451823,162959921257.52393,403682.94645367906,652583.775224912,722948566974.2328,850263.8219836433,,,,,
509552.0124840306,631671892182.8518,794777.88858451,630381.1661356528,563518623530.3463,750678.775196386,303196.46239132027,149878570178.79868,387141.53765618935,627415.291263561,565832270733.7366,752218.2334494004,,,,,
454399.2015063021,725379426829.2433,851692.0962585266,679898.9859727314,945585480598.4514,972412.1968581284,396420.5436877435,272799434549.17908,522302.05298196856,697776.3660582463,992517696374.0958,996251.8237745394,,,,,
357265.7658088729,279628571986.3119,528799.179260248,657072.5197210282,921559497730.2117,959978.9048360446,495722.8485519249,497344398446.09717,705226.487340129,659128.3829976346,920626354835.515,959492.7591365736,,,,,
433788.81707347085,518053358394.20154,719759.2364077043,508958.2301356043,433548176661.91974,658443.7536053628,238650.513156905,101848402220.43379,319136.96467258973,521109.24857581506,451688679148.5147,672077.8817581447,,,,,
494126.7623053992,669123560811.1655,817999.7315471232,857948.2333201268,6847767092523.615,2616823.8558457876,873839.7481679535,1502022301954.3423,1225570.1946254822,862784.1875618863,6888376600855.37,2624571.6985549033,,,,,
331918.6628424755,217367765921.85706,466227.16128713166,564224.0017834638,614449478198.4165,783868.2786019705,387918.27639280615,271135542491.09735,520706.7720810796,560833.8323032048,608211563483.8263,779879.1980068621,,,,,
285866.7092035494,170662998045.95767,413113.78341318714,590082.245789464,898212843925.0238,947740.9160340308,387377.7376412617,272094249195.99216,521626.5418822092,593208.6717377006,897457235254.5336,947342.1954365453,,,,,
396181.0411241159,701189076178.3556,837370.333949296,573726.2067963325,701208800694.8475,837382.111520689,440489.69831817976,387119181579.12787,622189.0239944191,575136.9972071185,695095505843.9294,833723.8786576341,,,,,
302261.1602694218,216433885028.7472,465224.5533382209,526996.5235649534,391653872037.4397,625822.5563507916,264727.1079797217,112554383822.72293,335491.2574460368,517918.06212254433,379852157288.47217,616321.4723571395,,,,,
339946.22182686836,245327163283.36066,495305.1213982757,563684.7489369637,511991892256.68274,715536.0873196283,267879.7920168006,130883622514.76585,361778.4163196664,557151.8144772153,502264854636.37274,708706.465778585,,,,,
427742.52277213964,535431918455.2608,731732.1357267704,579247.3870054418,987867853683.4229,993915.4157590186,306575.8656253153,171808987824.54572,414498.4774695146,566580.0803915925,962885350160.7109,981267.2164913648,,,,,
484358.0353372853,509025048027.0956,713459.9133988507,623765.2911760998,660625435355.5481,812788.6781664395,416430.0835066646,318286836183.79706,564169.1556473086,621870.3445694951,663660602681.0294,814653.6703906939,,,,,
376546.47973931214,326029114226.62286,570989.5920475458,484424.42087822856,392174218971.89044,626238.1487676158,354396.72469862265,209872498308.9258,458118.43262296903,481756.2430064758,390934164013.928,625247.2822923167,,,,,
382719.05438146635,451726784718.0055,672106.2302329934,564453.5136910175,618477685613.2742,786433.5226916984,408395.22035268304,273918412251.53812,523372.15463906573,560243.6065862605,611763234077.7913,782152.948008119,,,,,
537875.5801729588,643378169482.0581,802108.5771153792,562857.3736116444,477844976449.1548,691263.319183909,334174.1921628227,185460928251.8722,430651.7482280459,566871.0361005067,473134571128.8736,687847.7819466118,,,,,
568706.1826779566,1008039340509.9386,1004011.6236926436,691954.4133682739,1374308026942.7686,1172308.8445212587,532001.9817707943,681246598879.9087,825376.640619244,687405.9578009034,1373355706045.1208,1171902.600920879,,,,,
293746.9366897351,203944394322.08176,451602.03091005,482989.49474763026,554208291687.1307,744451.6718277491,334469.6683637253,194734342356.43027,441287.1427499676,487219.8444378816,550828730086.8687,742178.3681076057,,,,,
329805.5265154137,232008125598.71292,481672.21800588927,539545.1206256216,707169570168.4077,840933.748976938,291589.4721459325,131426334272.96207,362527.7013870279,536082.8101380712,671323925071.4315,819343.5940259931,,,,,
473594.2959868185,614823464867.8654,784106.7943002824,618839.8716385472,761059058375.1176,872386.9888845875,381298.9437544055,281369622340.63513,530442.8549246705,627349.6272639658,754423569570.5874,868575.5980745645,,,,,
500830.7332246384,662671670367.7284,814046.4792428798,684341.0646506408,783707165024.4014,885272.3677063468,406751.91122166946,264786841891.76224,514574.4279419278,682868.5424715683,778726881249.2272,882455.0307235079,,,,,
486935.20866553794,523316106766.91315,723405.9073348193,669020.4176966317,940047992278.6793,969560.7212953087,368363.7102951709,245110379623.52457,495086.2345324545,669578.7807159924,942665565563.2147,970909.6588062221,,,,,
407699.150293854,429797387134.5416,655589.3433656023,588048.2290423196,538615079714.692,733903.9989771768,295342.20372320246,155497613141.24643,394331.85661476356,587817.9410020459,537306487402.1196,733011.9285537717,,,,,
394630.0497179469,396049542031.6025,629324.6713991137,549444.9989217329,578027036816.4482,760280.8933653721,363745.47859256313,226827642046.0845,476264.2565279117,549908.8371830607,581032709253.049,762255.0158923514,,,,,
291770.3582202232,185811353902.32364,431058.4112418219,527495.4935592039,818119153354.9052,904499.3937836029,450944.3642096789,388189924196.59314,623048.8939052803,530065.8909331172,810895852367.1072,900497.5582238451,,,,,
521005.75395227387,1157969671891.915,1076089.9924689918,584989.4074804048,549818293352.8033,741497.3319930446,417098.3942485502,302803155587.74225,550275.5269751166,581954.3550268954,543238999489.97577,737047.4879476734,,,,,
287062.2171559782,208328671145.87317,456430.3573885869,423822.03995067714,344080056703.4988,586583.3757476415,257368.61386815362,107293953997.91754,327557.55829764873,419691.1581772737,339838168070.3652,582956.4032330078,,,,,
370673.4669297382,447792953275.89233,669173.3357478407,654604.7290157645,805131034659.3031,897290.9420356939,417098.24417915934,288220158012.7456,536861.3955321668,660249.6588415233,831038094713.674,911612.9083737647,,,,,
412944.8806830046,390989690819.2246,625291.684591459,596015.284813534,714921864827.6743,845530.522706114,344850.95717900945,201439024046.20325,448819.58964176604,603858.079582076,719762957439.668,848388.4472573091,,,,,
355561.48122380563,443657173130.8302,666075.9514731261,534622.7487968823,606919081060.8386,779050.1146016465,326246.52795680065,191528743525.49188,437639.9702100939,536665.3448595761,569959705973.4287,754956.7576844575,,,,,
327137.04514526913,241447919318.51376,491373.50286570576,491350.5709822005,502607726750.2099,708948.3244568745,299648.337855824,149082407949.40344,386111.9111726592,495513.11096710333,520770394249.83685,721644.229693439,,,,,
479563.7045823856,836881719801.4142,914812.3959596384,599100.5957514718,604873486159.7933,777736.1288764933,261135.8136226484,125523738717.99635,354293.2947686088,590999.1689393168,578635880873.0403,760681.1952934293,,,,,
519273.46917090187,791474167515.5854,889648.3392417396,605891.2963450502,758905393183.6282,871151.7624292728,400210.007948777,285942283417.3505,534735.7136168769,605369.4452414385,763816063890.6724,873965.710935316,,,,,
304612.88921035704,307022392808.51636,554096.0140702298,499983.6653438777,354832297587.99713,595678.0150282509,256458.48269483657,102088629983.25662,319513.11394566676,493076.6607537206,349478847544.7647,591167.3600130209,,,,,
433970.7198324,558493555845.381,747324.2641888332,652969.7897348406,720662180042.851,848918.2410826446,382456.0513007889,258281304597.53403,508213.8374715254,663961.6454057966,741329210857.0256,861004.7681964517,,,,,
317501.75447331107,222368438622.68973,471559.58120124094,623922.7020213098,1944135676755.4712,1394322.658768576,578159.7177404193,548655285079.775,740712.6872679953,637160.6166109021,1982601461560.3628,1408048.8136284065,,,,,
470941.87130490714,504556540160.43396,710321.4343946225,574562.6264567475,901669926804.0825,949563.0188692494,367166.82220192,237653441387.78192,487497.1193635732,560484.5391884383,843538806978.2203,918443.6874290227,,,,,
295944.13408361934,179828965903.96393,424062.4551925859,580889.7042034847,856588746857.1295,925520.7976361901,484097.1076446117,400838460993.802,633118.0466499134,578656.8817309812,849478121772.1937,921671.3740657207,,,,,
415127.8124147368,454905078929.45703,674466.5143129472,513791.1028768119,420162579004.12537,648199.4901294858,247970.51212916657,104957993573.41205,323972.2111129472,522484.48591065797,448203385624.8208,669479.9366857986,,,,,
380882.4582851402,327358879390.1383,572152.8461784825,517115.5705118054,685487887559.479,827941.9590523717,270355.0025572709,107816049250.62737,328353.54307609866,509448.78374495415,654998294100.6743,809319.648903123,,,,,
535092.28555416,670516020879.3547,818850.4264390138,574821.4216125216,518218472937.9638,719873.9285027371,255965.2005378221,100937993680.50458,317707.40262150735,576354.7788177432,531158144149.9624,728805.9715383529,,,,,
393661.75032370887,447099929663.09625,668655.3145403813,546011.5632539489,502565689111.2994,708918.675950422,311758.18576000986,152745600994.6796,390826.81713858835,569650.9834664383,537442642748.57556,733104.7965663406,,,,,
