source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
444885.73603695555,465240711305.66016,682085.5601063991,1161909.2534401037,1919896332475.179,1385603.2377542928,253797.43904502678,128718532353.29507,358773.6505838954,1210894.5614518463,2623189926262.7046,1619626.477389989,,,,,
324084.93874300824,288329031563.0201,536962.7841508386,782529.4820996961,1006570490919.9678,1003279.8666972081,294568.17168793356,183122353479.50458,427927.97697685595,886669.0087279571,1479646292074.122,1216407.1243108213,,,,,
373094.29688033636,274415801913.09818,523847.1169273514,1349337.4886112753,3283436139989.0796,1812025.4247634273,341996.8083793175,294853805916.2742,543004.4253192364,1189129.7784017043,2837695593008.7505,1684546.1088995903,,,,,
394525.3523443,399712195013.0065,632227.961271096,1274071.0674227553,2740429436523.277,1655424.2466882248,260705.7610057191,109691587007.92125,331197.202596763,966981.2314258699,1654082105622.0054,1286111.2337671285,,,,,
319108.53663491964,213810214082.8423,462396.165731121,810867.8706542145,1288421652593.5151,1135086.627792573,250275.79750076207,115629712809.78047,340043.6925010968,837815.5556781432,1235013359606.0945,1111311.549299338,,,,,
451019.91360625974,429934831768.3274,655694.1602365598,1140689.0718508507,2531254608743.28,1590991.7060573508,319471.1199117372,189028670784.6374,434774.2756703039,1187784.1512406094,2736534554799.8896,1654247.4285305357,,,,,
427801.6617161039,369107474113.1064,607542.1583010568,1448376.6169326862,3753847308230.252,1937484.7891610018,517670.5387993806,703516771613.6625,838759.0664867131,1427824.9382908326,3787891671346.748,1946250.6702238405,,,,,
409212.05893616914,302857323660.94586,550324.7438203609,1161872.711709132,2515725090584.1543,1586103.7452147177,288120.76223827,166771304261.10376,408376.4247126709,1183975.8159590047,2884272042998.32,1698314.4711737928,,,,,
301545.2672651351,182440826292.97943,427130.9240654198,928101.293434465,1581418492962.0571,1257544.628616439,261483.90165724757,117648637458.3197,342999.47151317843,819284.879528325,1298225917774.9834,1139397.1729712968,,,,,
361746.2961988232,318567268885.16235,564417.6369366591,1031610.0699405951,2009592669917.9824,1417601.0263533187,404631.24729170126,399415727367.3084,631993.455161767,1049652.9437061741,2164198588494.057,1471121.541033934,,,,,
429652.48088735604,571271198958.148,755824.8467456915,1242033.6409644706,2801768998480.1445,1673848.5590041126,398555.6976050885,300295431133.2908,547992.1816351861,1273347.4557805308,2830364039626.1846,1682368.5801946565,,,,,
238677.7794627744,108277795534.49037,329055.91551359533,963041.6335483766,1545749862647.7983,1243281.891868372,251682.26575975533,104084262469.74956,322620.9268936991,927541.2576647043,1786134485145.4653,1336463.4245445947,,,,,
