source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
438462.85368193785,383613535152.8449,619365.4294137225,516449.90286167094,482984579122.97797,694970.9196239638,258226.6562518322,128379370046.99443,358300.6698947051,1116824.879599242,2172528431583.5837,1473949.9420209574,,,,,
314176.91706871375,271144073384.60983,520714.96366496885,465892.82818044233,346557981447.68604,588691.7541869311,302504.9664573693,187095181961.02164,432545.00570578966,764938.631702379,948730319315.9128,974027.8842599491,,,,,
367679.0425531119,269978839534.11063,519594.8802039052,644728.3910893276,891746098686.2773,944323.0902007413,335850.0098744806,292378827105.48987,540720.6553346098,1402780.1148075298,3336508164902.561,1826611.1148524638,,,,,
395031.9253016972,399845130791.4421,632333.0853208948,586198.3946937079,577738499201.386,760091.1124341516,270298.9055351065,115929885250.18953,340484.7797628986,1273419.5426566396,2817217758725.0317,1678456.9576623142,,,,,
331103.25179507735,232799314554.24564,482492.81295605394,480904.259695613,641549257011.5074,800967.7003547068,268086.4007000739,126285734816.6977,355367.04238955205,785882.9731902415,1251050516454.979,1118503.6953246864,,,,,
442969.67685334885,402419348814.2338,634365.3117993084,633782.6324451439,843784987410.124,918577.6980800938,325855.4353712777,192466914775.1222,438710.5136364094,1161772.4112719605,2450338147222.6445,1565355.597691031,,,,,
409105.8895580443,322354864293.2611,567763.0353353951,756075.3278354594,1455544985971.6638,1206459.6909850175,514755.7634555399,698954829634.1132,836035.1844474688,1504258.60903033,3800650414656.0225,1949525.689663007,,,,,
382492.3240920443,268194402488.04135,517874.8907680709,687597.3321781883,1066384484969.3317,1032658.9393257251,292725.1886188236,169367788279.1389,411543.17911871517,1240371.4373433064,2572676236115.206,1603956.4321125452,,,,,
326376.9269142631,213332562779.48788,461879.38120194094,537828.3896395962,667002408012.1886,816702.1537942634,267760.9825229941,120713819353.90776,347438.9433467523,886981.7825571746,1549693246590.1208,1244866.7585690129,,,,,
404932.785025546,353781136539.06445,594795.0374196682,579645.4610324434,951841807046.0425,975623.8040587378,419382.9119992671,415929656769.9554,644926.0862842775,993997.4208876393,1966304305089.537,1402249.729930278,,,,,
426389.2603478586,581753355489.5892,762727.5761958455,631874.9351516423,964512848641.0322,982096.1504053624,390646.6565857591,304029594089.0016,551388.7866913886,1200979.5094110086,2585064924393.477,1607813.7094805099,,,,,
