source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
235049.4779600847,100304679755.9863,316709.1406258845,686930.0683686186,791805545873.2275,889834.5609568261,641177.8014682063,858573277188.141,926592.2928603179,65868915.55704356,
248046.458470784,104571532049.53708,323375.2186694848,796356.9259980578,1083908545379.925,1041109.2859925537,792871.4075832984,1049177317985.3081,1024293.5702157405,74289663.81555726,
238448.2788243658,107001716580.55069,327111.1685353325,870567.6103881975,2096377904256.7085,1447887.3935001674,822013.6657701136,1888916174084.4294,1374378.4682846386,87716462.36548007,
226138.1426992566,96905160268.99277,311295.93680129,763522.5472619408,996799720312.6111,998398.5778799022,732448.2243316236,886239364439.2155,941402.8704222308,76176873.62386924,
186476.53898265611,78239157661.05644,279712.63407478837,633095.9176857175,663278541356.9393,814419.143535403,571043.5324368621,629156793974.364,793194.0455994132,60671058.415288486,
228759.8960641755,96425587640.07301,310524.6973109756,678640.7053355143,1026752749679.6986,1013288.0881958983,597987.3676536026,744754348662.665,862991.5113502942,64058294.64145076,
283044.2286508908,144383980223.22842,379978.9207617028,700031.234641037,1008493199291.3002,1004237.6209300766,807154.4645678573,1253319774940.1963,1119517.652804187,68925226.43322642,
291915.1963639402,175383459514.21436,418788.0842552882,890511.4456374747,1626899505694.3374,1275499.7082298128,870578.1423159343,1773804886318.724,1331842.6657524996,82178313.5096688,
251370.5194605733,118199962420.70677,343802.21410093736,595504.0204118731,642917498458.5581,801821.3631841934,585009.8644070431,827731527561.8644,909797.5200899728,54407859.57050776,
272365.07045180356,155723802827.61002,394618.55357751495,872680.3124584623,1550470501472.176,1245178.9033998994,930567.8679686486,1562385800213.2139,1249954.3192505932,82853021.69167532,
245671.13710492104,118979361458.86803,344933.85084515554,834098.4470265077,1196334097503.653,1093770.5872364885,801022.7809577424,1190691128838.9333,1091187.9438661945,75720694.00509739,
256359.2908702692,127565615306.87363,357163.28941658273,855582.2041121039,1298311580357.0698,1139434.7635371978,791290.2561370857,1150985375544.1045,1072839.8648186524,81226061.9655867,
282183.3235458898,216296480222.5472,465076.8541032194,710534.7879543327,1200141858521.3525,1095509.862356954,745498.5674701402,1222607465411.1572,1105715.8158456255,71103218.75501359,
238185.10079843277,117856205927.13638,343301.9165794685,751998.5967409597,1204425466333.8008,1097463.1958903228,709188.6873129499,1172636363068.7644,1082883.356169428,74032354.00336461,
306611.56557498017,176010261110.012,419535.76857046643,898808.1541030052,1435862521665.5962,1198274.8105779393,958318.2315073834,1640896074235.0415,1280974.657920695,86731653.10249448,
214134.50836819364,100825193902.86153,317529.83151644433,651275.9049898467,812838721554.3705,901575.6882005917,685636.3028265121,894241562146.1069,945643.4646028634,60184550.5856408,
194356.24689151542,72336765770.39906,268954.9511914571,691079.6777692478,1040637223694.3972,1020116.2794968019,683724.7670134593,1211746126934.7788,1100793.407926655,64898265.02765921,
233212.00436094688,111987614116.8976,334645.5051496996,632807.4564334722,825737192791.8657,908700.8268907131,701840.440604743,1083320434228.1622,1040826.8031849306,57665575.926993676,
237764.21167476467,125459500433.67403,354202.6262376862,920023.3721076681,1565871981620.1572,1251348.065735572,876837.7134012732,1359181341500.6738,1165839.329196212,85237072.02067782,
327889.00828755373,266099453501.51303,515848.28535288654,705281.566497122,923626643065.9996,961054.9636030187,828369.2874516861,1253731541340.4624,1119701.5411887502,66075475.87804885,
289645.81164991955,140220093920.20346,374459.73604675237,887711.7187929557,1480026122631.8794,1216563.242347836,909267.4098633006,1537611614209.6963,1240004.6831402276,84085579.14196445,
240472.82999106907,134934662385.57402,367334.5374254564,762146.6500789133,1164584979567.7617,1079159.3856181586,817273.0820977921,1511698097879.6118,1229511.3248277185,72237031.20098825,
251809.52687722404,130266762034.7338,360924.87034663296,799681.8953826051,1201808618235.025,1096270.32169763,890395.2720079939,1457967994873.4565,1207463.4548811226,77035388.10755366,
283052.6795471945,149264677173.8306,386347.8706733487,832442.5208772755,1475941740913.9631,1214883.4268825809,805346.0117560909,1286469919144.9312,1134226.5731082705,80137214.24055937,
209390.65991074115,88526248644.99576,297533.6092696013,615831.3634495912,650189458943.0721,806343.2637177991,646945.0024270114,714671668128.631,845382.5572654258,55752866.333037496,
256980.18646451217,120028735215.35367,346451.6347419271,660502.0345428761,863955773830.223,929492.2128938052,650896.9982539659,828741113904.533,910352.1922336064,61420042.283286974,
239186.73850760522,112517812045.82217,335436.7482042213,785021.4475786191,1491357439995.456,1221211.4640779688,690930.7465874727,1047120775628.0465,1023289.1945232523,76816350.66175167,
287851.15918513294,155184863415.06723,393935.1005115782,919434.1739088064,1700399048097.6877,1303993.500021257,881229.1245546537,1520883644429.3586,1233241.113663244,87152950.03616442,
260128.48420191754,127149000261.14255,356579.5847509256,745064.3793436975,1033065345347.027,1016398.2218338572,665824.4081855702,977204269849.6989,988536.4281854761,73005879.16847444,
236023.62408280087,107116991021.82506,327287.321816512,864468.216958918,1312756482307.0813,1145755.856326766,828711.1987862528,1300014835319.0596,1140181.9307983527,80715457.03839666,
238687.94053931726,108627737249.09398,329587.22252098,792888.2682542754,1073716233142.5914,1036202.7953748201,797257.7765019673,1215905092603.5247,1102680.8661636987,69391231.231002,
259041.45849555533,119139026949.81729,345165.2168886913,681842.9149206514,828974347986.2816,910480.2842380947,661001.830912414,833758140192.7373,913103.5758295645,66840487.532186076,
245988.77186713286,109753886205.34013,331291.2407615694,760307.5423000265,1027125572566.2457,1013472.0383741456,714603.8345651011,904795601427.386,951207.4439507851,73655255.57094988,
196226.8384152906,67200567954.99752,259230.72340098408,564940.0766955253,610360367680.961,781255.6352954909,558155.0648014693,546134076986.94275,739008.8477054539,51451992.89436406,
275541.36578982585,139608626670.04575,373642.37804355886,878778.7394401549,1503713528630.2422,1226259.9759554423,877709.2615457795,1341723015171.945,1158327.6803961585,81211668.24771024,
275519.5762551406,225985871476.25778,475379.7129414104,749725.6336493025,1193916229552.9082,1092664.7379470558,738973.2796802328,1314308354883.4849,1146432.8828516237,71793672.88095206,
233682.62343602444,87884707689.52765,296453.5506441568,664426.8912408396,1007562797536.5878,1003774.2761879226,672405.1449677033,1044313148540.8372,1021916.4097619909,65239361.73684038,
367158.25985945127,235785136617.03357,485577.1170648732,813500.9327927872,1205922975130.9795,1098145.2431855176,851145.0820522862,1352897091392.6638,1163141.0453563505,78644960.28702761,
223683.88116686017,88682821811.72884,297796.61148463195,818033.1141340787,1755982745046.926,1325134.991254448,918699.237070787,2218538817221.132,1489476.0210292516,84555009.67944777,
369220.1358268388,320615019207.7263,566228.7693218407,932498.238097614,1708454949958.3892,1307078.7849086944,844924.8158258166,1334948674038.458,1155399.7896998501,94241232.21584354,
304427.1032485909,257168839558.79694,507118.1711975986,826262.7141208943,1693191442463.3474,1301226.8989163064,765089.0001136618,1656011983398.2288,1286861.2914367379,84197887.77177756,
277261.3992145903,160998120675.00223,401245.7110985764,908287.4326380796,1551573223843.5054,1245621.621457939,908950.17436982,1546034232957.6946,1243396.2493741463,89720882.56742053,
245173.90979493633,114081668069.88846,337759.77864436206,808851.1170972825,1034020716656.6528,1016868.0920633968,765345.4476835562,1068277929008.1542,1033575.3136603807,71696016.21800987,
