source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
227705.27063109784,97722681345.20125,312606.27208231325,494496.5932214918,522029642825.3222,722516.1886250869,655985.1306162041,765472068646.6567,874912.6062908551,44959168.14442956,
237536.34820612427,105896064362.99707,325416.7548897829,448634.1584983827,343247368091.2745,585873.1672395268,782812.7374258654,1042950036563.6597,1021249.2529072713,38643993.82228981,
239692.03888715393,108193568836.85025,328927.9082669183,550213.2985459887,1427414017796.5354,1194744.3315607468,885625.1407577214,2027416497014.8586,1423873.76442396,54830772.40520418,
234901.20003832772,99799725135.83414,315910.9449446697,398403.37572669884,312312412180.1566,558849.1855412842,763176.4395977984,959550153336.221,979566.3088000837,35245507.28448361,
188995.1334224714,77800468066.03874,278927.3526673903,419304.30345221213,394920551732.1883,628427.0456721196,620825.7044545898,660221421276.9036,812540.1044114091,37196656.06257572,
231171.86740021658,98492272692.69417,313834.78566388105,492296.4594176754,716331280972.3473,846363.5631171437,692754.3539394431,1058608076275.0709,1028886.8141224626,45048851.64379376,
245223.61145957108,108126451407.48766,328825.8679110992,493841.6527302399,536358719926.3342,732365.1547734465,778582.9502992588,1090245688391.4009,1044148.3076610338,41131575.580059886,
286312.8563202725,172409423412.18112,415222.137430293,565050.8144370987,1053234189004.7451,1026271.985881299,877372.4714534845,1573054626071.232,1254214.7447990044,57108878.260201424,
255169.85001982332,121510686977.42111,348583.83063105657,464756.27537185804,560948140112.8687,748964.7121946858,563699.3066485443,615297610143.45,784409.0834146746,43553847.66968413,
269355.4226134945,151645805756.8337,389417.2643281673,509781.4742891081,603273601556.5995,776706.8955253323,865941.1897525177,1579244227063.8093,1256679.8427060924,44090449.49936944,
248763.22279097568,113942398521.92438,337553.54911765386,483687.46605446184,576343176495.46,759172.6921428747,852476.2910825543,1285992395780.8418,1134016.0474088723,42307673.9229554,
255581.21644134572,126708951627.35628,355962.00868541613,525085.6455566069,550743772266.418,742121.1304540641,837488.3206743124,1331974068945.9539,1154111.809551377,44069813.092722476,
283386.55340739037,217945025825.76675,466845.82661277667,542916.9822289184,948214101731.7783,973762.8570302825,704582.4384879812,1227264926297.335,1107819.8979515284,52794619.359919064,
232516.18842423646,113181899538.37334,336425.17673083465,569742.5688742143,799604304121.103,894205.9629196749,776276.6785950601,1180027497736.52,1086290.7059054312,55562424.237214714,
297698.77632178867,166079184402.45663,407528.139399547,518092.9179354441,655867253279.0769,809856.3164408098,904450.5538636122,1486011416935.189,1219020.6794534656,45958234.72109945,
215983.64458243593,100351587781.54842,316783.1873404086,502570.2639990909,614344438584.6826,783801.2749317792,646904.433424047,848614164600.3391,921202.5643691723,47874714.67039128,
194282.14637179827,71412410830.74681,267231.0064920364,521392.18243966607,821853495990.7806,906561.358094851,683146.7698722518,996354199863.1864,998175.4354136282,47860651.8217476,
232184.8387525532,112508655536.79074,335423.09928922716,448323.1361013358,575617931530.4683,758694.8869805755,637693.4664477904,886562783257.1752,941574.6296800775,41484994.053973846,
241082.8842842918,129760917850.3974,360223.4276812065,520271.68908512377,659722469135.8037,812233.0140641931,878101.3068164234,1517575667602.407,1231899.211625045,46712335.40789541,
322531.07702487544,261674870717.22214,511541.66078357893,476955.3978636927,524399209239.94806,724154.133620701,743920.4229865243,990302907619.9095,995139.6422713294,40449942.60342545,
