source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
237088.75938681656,103353373730.97458,321486.1952416846,637347.0560082223,694208882349.6218,833191.9840886744,488626.35213741066,519658274861.43,720873.272400517,60147637.144966595,1.469800650136481
233256.00094046444,97902029379.42705,312892.9998888231,809629.4069971903,1074986833502.3978,1036815.7181979823,400713.26265764626,307580073149.74335,554599.0201485604,75783387.54242286,1.455641162056147
243299.33902657768,110609270560.79024,332579.72060964606,865820.5527548007,2060979200279.2456,1435611.0894943818,512519.54061260395,1339641115663.9617,1157428.665475312,84583728.09359437,1.4702454004759273
236311.74939713615,101988037900.78877,319355.6605115819,753477.9197718155,973348252861.935,986584.1336966326,400268.4868518578,326777092415.0938,571644.2008934349,75196624.77332217,1.4274300683147216
181263.22979525328,76016385474.38222,275710.6916214571,595476.7369884021,651385054276.0906,807084.2919274855,420942.17935107125,404134272939.46936,635715.5597745499,55499223.7596011,1.543718969381568
222399.1348279943,95109498503.29085,308398.2790212858,689092.6505270221,1070423757855.2299,1034612.8540933705,468759.0553485116,677198219416.9816,822920.5425902196,65374971.05526771,1.4001861590176374
254938.1520615649,120126256514.7997,346592.3491867639,732023.9049952005,1040027994211.6403,1019817.6279176783,485102.1038846294,521820379645.0153,722371.3585442153,72436122.01793231,1.5327634652700999
274738.55218034267,164653604915.8559,405775.31333960657,896275.8581699482,1675510479684.7903,1294415.1110384916,525702.1581732736,1011715945760.3534,1005840.9147376902,84243837.06615798,1.3572162676584492
249671.51805551298,117172363000.31485,342304.48872358486,605960.299500987,700712010641.6234,837085.4261314215,459446.7824901455,586180941178.6202,765624.5432185545,55711750.42547493,1.442235963541771
268302.7766784792,148489363094.22794,385343.17574627936,828572.8043795652,1469380112669.5806,1212179.9011159937,499590.20081850514,596437102076.3931,772293.404138863,79416516.83944152,1.5016212895898424
257135.62150922455,126802866715.68109,356093.90154238965,856961.3488056995,1280828838659.623,1131737.0890183034,450191.83726618096,575889914708.7183,758874.1099212163,77678419.68255225,1.4445767373087963
265067.76045301405,131491979048.68117,362618.22768399434,859196.2630423604,1374881329962.8489,1172553.3377901616,463089.828562264,452224968213.22577,672476.7417637771,82685844.8564194,1.4320718557624486
276519.5823794995,221742721984.53693,470895.6593392393,751173.901784047,1253376812734.0332,1119543.1267861158,541086.9211722162,956714842366.3889,978118.0104498581,74015309.41729626,1.4978167301840561
236361.17671184416,118262872929.37166,343893.6942274046,788518.6318160301,1226389065726.543,1107424.519200538,535099.5120609358,746937276453.2806,864255.3305900291,75441125.94226336,1.4516134107368497
297230.4642666258,166201033835.52832,407677.6101719695,920865.3094671159,1504969202453.394,1226771.862431395,485519.4789891353,662114137852.0479,813703.9620476527,89893626.93706843,1.4951668535220048
215605.1760870045,100741443673.28447,317397.9263846638,636396.5866362213,822329500731.111,906823.8531992368,506766.00418026303,623350429922.0483,789525.4460256796,59888315.20846617,1.397416007423477
