source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
217819.93712155236,94587570819.66591,307550.92394539464,665051.7217853483,719054669341.2347,847970.9130278201,538227.1856472618,560358066190.5981,748570.6821607416,60037148.01064783,
248941.53503509195,117378086442.25471,342604.8546682529,789000.2492931085,1034756817438.76,1017229.9727390852,521999.7203728629,467779799470.767,683944.2955904867,74141814.32943542,
243008.1144441224,115286563529.42378,339538.7511454676,871812.4427252554,2028751423939.6377,1424342.4531830952,625380.080979796,1484699406143.2861,1218482.419300043,82452416.62691852,
228311.4190886854,97339079545.24463,311992.11455619294,739060.7885939906,948478717438.4475,973898.7203187237,454383.0240558152,360699776678.3264,600582.864123117,71785475.999712,
186976.74936927579,76405675243.07051,276415.76518547296,625089.7526605291,654038679424.9971,808726.5789035235,473827.1864138049,464682598684.52875,681676.3151852415,60288230.458470665,
229135.36777630926,97466281345.75244,312195.9021924414,675315.1723739969,1027131806566.1836,1013475.113935307,556204.6776801734,806306455488.4911,897945.6862686579,63354932.43968709,
250330.00155981493,123428211361.2899,351323.5138178057,739313.5342738689,1020091855889.2621,1009995.9682539639,535054.8199852724,581784559493.3191,762748.0314581736,71117709.98617347,
285697.8962851597,173288995108.7251,416279.9480022129,909683.5646709646,1720042889225.029,1311504.0561222176,707141.8095569158,1291183141894.5833,1136302.3989654265,84526269.44493653,
256096.9066071287,122370702107.85068,349815.23995939724,610717.9381657098,719398633327.0208,848173.7046896825,503592.1886573662,566469715764.3114,752641.8243522688,58502563.19271111,
281627.549426514,156999372545.9168,396231.4633467625,873836.7773950201,1552435966030.6763,1245967.8832259988,625332.0007670646,792414839784.9325,890176.858711196,84077723.17099409,
258615.2267276521,123206114248.38405,351007.2851785046,819501.1570098354,1200688051623.7192,1095759.1211683885,564564.7436122409,695328210337.5258,833863.4242713406,74062424.3820467,
256195.16115503598,126378129417.94183,355497.0174529483,870841.7294413483,1323824744923.823,1150575.8318875914,639019.1588417237,786982939855.371,887120.5892410405,83223728.1168031,
274029.70245417673,208057697646.6919,456133.42088328925,787403.4626786062,1368521765039.4373,1169838.3499609837,624370.3117979184,1110664402118.2314,1053880.6394076282,74011191.13918667,
234079.22875572144,115820466747.95947,340324.0613708638,795981.4789532952,1277765960227.6077,1130383.10330065,649605.0636922903,981906725064.7953,990912.0672717611,77016678.51970609,
306394.4678810582,177393230048.1289,421180.75697748695,879336.2975845849,1446565034145.6091,1202732.3202382186,606757.7815679079,779208925769.0468,882728.1154291205,84310949.30978626,
216302.72422625445,101279347694.723,318244.1636459701,656490.8626943929,829298917597.7128,910658.5076732731,557157.3576222628,715931815453.2798,846127.5408904261,59543972.836539395,
196160.39226261296,71602856519.80405,267587.10080981866,681191.8966711472,1014180294067.1055,1007065.1885886561,580575.3815872786,948673909529.96,973998.926862838,63557609.49727756,
232334.79298483406,114643683651.24025,338590.7317857951,646336.5672553936,872121807026.3207,933874.6206136671,507032.38511192927,626697845029.3982,791642.4982461453,62241729.26243688,
229011.31005739674,124878797658.61159,353381.9430285192,932128.8309127375,1541381574712.3428,1241523.8921230403,666032.6200172434,861073150702.8337,927940.2732411358,86952496.6722285,
320565.1372318267,254300606187.73282,504282.2683653797,723350.3153670216,933078034589.1656,965959.6443895395,579683.3159068329,663130694849.6028,814328.3704069279,67899778.54199699,
283464.2740460276,129745689952.2483,360202.290320659,901660.3209144888,1620595196869.0457,1273026.0000758215,612358.8474351638,834813034355.1846,913681.0353483236,85000847.42292842,
243162.18175650146,134281516838.09169,366444.4253063371,759840.7110659212,1169874240261.39,1081607.2486172556,653257.1632606324,1141225235095.6614,1068281.4400220858,71180069.35563773,
253806.98279011805,137501291051.994,370811.6652048503,770260.0724207498,1089660291374.4248,1043867.9472875986,534169.4398738263,652240373773.4146,807614.0004813033,75715912.18028618,
281578.63021016965,147641730427.08655,384241.7603893238,832618.4687483236,1409946028766.7356,1187411.4824974262,596030.3912895394,838849233237.2998,915887.1290924989,78261089.40987588,
207057.1651287979,87140147941.02126,295195.1014854773,612843.0318505042,645397870996.9196,803366.5856860861,490983.386280569,445596265364.7318,667529.9733830173,55703774.7951334,
