source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
217645.91081771775,91759646408.37904,302918.54748162755,693711.6374814181,772099877177.4447,878692.1401591371,245460.31334103685,118896725400.13028,344814.04466774594,488675.8995341239,519777397043.44635,720955.8911913033,65466964.676371366,0.41085460537584506,0.23716557415178485,1.0,0.2946671556130823
243029.51104338365,106556094747.48526,326429.31049077876,765872.5429339649,1030776639746.8024,1015271.7073506985,208873.8766943485,89238190456.86873,298727.61917316704,400879.61501432955,307900975334.6751,554888.2548177382,72724877.50564359,0.3723088983766508,0.26699266106430936,1.0,0.22327739176870834
236591.02328848807,103876012212.50719,322298.01769869326,850084.2949388933,2067797830570.765,1437983.9465622574,315540.8173607656,286831995546.52405,535566.9851162635,512654.64611733635,1340055378342.906,1157607.6098328424,83201708.65883765,0.34382551596487365,0.2870709168269688,1.0,0.251492163498373
238733.61069206052,103330998371.54076,321451.39348203293,746366.3589256643,959971607680.6478,979781.4081113439,226415.57326815472,76495385012.5262,276577.9908317475,400219.38969984493,326937923225.25604,571784.857464113,71769482.19003218,0.3849060131461108,0.2576114543438028,1.0,0.43064234826309544
187255.57849086646,76723855596.66423,276990.71391774894,629471.4129533734,654401617113.8909,808950.9361598458,199237.01040361074,71534843429.30264,267459.984725384,421082.95444832265,404404298558.6227,635927.9035854794,59364155.02932631,0.38591964439167886,0.25622653897099024,1.0,0.2791837892983973
226236.69055506133,96924588276.88412,311327.14028314996,707868.840295145,1055215703643.6022,1027236.926732875,251677.01516878672,125901836494.93248,354826.4878710896,468839.38242367865,677531450125.4783,823122.9860266801,66798578.36078789,0.36033911587038053,0.2725840848194877,1.0,0.27769179125456095
251833.95134325948,118565592221.44044,344333.5479174814,709877.6174411969,1032315751665.7986,1016029.4049218254,245685.40758618872,105045349228.12906,324107.0027446631,485352.7649946495,522293254768.48364,722698.5919236896,72033818.1534615,0.39636634309019725,0.25061676454294934,1.0,0.2805642608544576
296681.0936372649,178932766785.77496,423004.45244202216,882230.2837870545,1583934972431.4446,1258544.7836415851,469656.2667031535,470228714031.825,685732.2466034575,525817.3037342182,1012010642173.5208,1005987.3966275725,79475169.14354788,0.37895141252183834,0.2591702105398872,1.0,0.255562930602293
255783.9621537187,124443198637.91508,352765.0757060782,607906.5971546122,685074222786.8147,827692.1062731085,257542.0273915533,126936293444.86978,356281.19995990494,459517.9147915026,586285267789.6937,765692.6718923812,56445870.391148806,0.36647477130467815,0.26807331289659825,1.0,0.2608038563581914
272152.41957569396,147154426776.7218,383607.12555519847,875719.0972410522,1566595819781.4854,1251637.2556701424,247337.75263169,110104518751.7385,331820.00957106025,499605.77415658213,596550126401.8068,772366.5751453819,84547762.3903975,0.37183798432668036,0.2647658437121966,1.0,0.30729795804967197
