source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
210022.1187945464,101827004802.67844,319103.4390329857,497094.956784776,524446379892.883,724186.7023723116,282840.48804153735,128478646546.83871,358439.1810988842,495550.9317900307,522393316870.59265,722767.8167092062,,,,,
241237.8668558822,120054353966.41533,346488.6058248025,395820.6502512959,308451170443.80383,555383.8046286585,213403.44950222212,86792972392.03854,294606.470383864,393792.1829886851,303713599189.44946,551102.1676508354,,,,,
194234.16946446683,88185749037.46332,296960.85438566364,496856.60168100306,1222449318332.878,1105644.3000951428,392296.44142199226,261203775298.06528,511080.98702462536,494642.51032528863,1220269937030.5388,1104658.289712497,,,,,
171819.46840738252,68148887420.21191,261053.41871006382,391858.9229023571,311213033982.04236,557864.7093893307,266427.2728783528,118582642880.79144,344358.30595586257,392697.6743122928,308308231726.34845,555255.1050880563,,,,,
173257.02028520548,84187556388.72185,290150.9200204643,432957.896544489,411060324493.28235,641139.8634411078,293648.5359637469,146178179120.44516,382332.55043279426,429735.5158405436,403732114598.88556,635399.1773671772,,,,,
216394.7167090191,113595204589.12497,337038.8769698905,458830.551007075,666943570558.2284,816666.1316341142,350526.76130259206,230483085641.46176,480086.5397420154,456006.49018048955,665622919621.0084,815857.1686398352,,,,,
268151.2995819177,149899408926.34402,387168.4503240728,419477.8489758312,429158639569.4121,655102.0069954084,233405.24583911977,102020501152.63928,319406.4826402859,423509.6337615185,428697646531.80896,654750.0641709086,,,,,
255412.89672908073,144089798381.4754,379591.62053643307,555713.1861955653,1006971265139.1835,1003479.5788351567,486185.54965032806,485700752365.6994,696922.3431385303,554170.7622639121,1013579708518.6176,1006766.9583963399,,,,,
231775.71826023847,119160214257.5314,345195.90706949495,476201.2293021928,564304268286.6223,751201.8825100362,325857.7451784488,186630934934.2374,432008.0264696912,472434.5554644351,562974036693.8037,750315.9579096021,,,,,
226758.9355550147,116842166140.29234,341821.8339139446,498906.75431819004,591990248784.2145,769409.025671141,322493.14183650236,167384268916.88165,409126.22614161717,498741.4807856034,591550770667.645,769123.3780529916,,,,,
204294.64397680393,103843654484.20024,322247.8153288246,443998.75162314624,558459988866.3499,747301.8057427333,366547.6820876646,204476804860.96262,452191.11541577487,440266.666290558,569632805713.5189,754740.2239933412,,,,,
215768.60307003785,125123654603.07077,353728.2213834101,432361.44340405083,389271081233.36615,623915.9248114814,291153.92423358257,177066810203.24432,420793.0729031127,432980.6406504645,390822203863.18713,625157.7431842199,,,,,
232243.9968416216,243147768438.21936,493100.1606552358,521633.3864739729,949114221269.9945,974224.933611327,360863.4633845157,245863361856.52496,495846.10702971637,520294.92357988114,948864169316.6726,974096.5913689836,,,,,
222633.83583283194,136207125578.18785,369062.49549119436,526456.4835375081,708519341303.2311,841735.9094770943,385883.69425791973,278687924794.4779,527909.0118519269,526443.8881462942,709368363112.6099,842240.0863842862,,,,,
263505.4399981777,160842704094.7026,401051.9967469338,473500.13571804983,573914070014.1605,757571.1649833041,340095.04713190836,199951449386.02042,447159.31096872,472032.91037851886,566018202023.5269,752341.81196018,,,,,
196800.49210453374,109182186237.31554,330427.2782887568,478651.5259034689,572339778967.3618,756531.4130737479,322391.26415183046,193017297922.52444,439337.33954960445,477885.65531935217,570605079950.8713,755384.0612237402,,,,,
185537.35996411278,74617768826.71239,273162.5318866268,514795.1935676169,824395365507.2814,907962.2048892131,331901.7012836322,195935319015.2729,442645.8166697985,519562.11620255356,821354474113.1704,906286.0884473348,,,,,
192139.54000944403,97791488874.13637,312716.3073364361,453976.4108732878,556860083748.5493,746230.5834985252,363340.62787249335,255355826360.6,505327.44469363627,453835.86742981314,555832788069.7968,745541.9425289208,,,,,
200483.0415041452,99953689373.13672,316154.5340069263,464916.34840884106,556620745967.9055,746070.2017691804,330680.6610742631,176273643481.29953,419849.54862581374,470755.2463488674,568367716018.0726,753901.6620342952,,,,,
289704.71436349506,298476437263.6646,546329.9710464955,465351.8404934326,474632087305.35266,688935.4739780443,281126.627435355,132928167888.69582,364593.153924612,466571.318268587,474914860856.8518,689140.6684101961,,,,,
222653.89185647972,103768537130.5346,322131.24209013727,481130.89281732624,482627648456.738,694714.0767659296,331910.5781681308,199088858613.3577,446193.74560089665,480540.4629572893,481151575071.534,693650.9028838166,,,,,
