source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
275139.4706845738,154128222052.3541,392591.6734373694,656320.4325704863,1319567054180.3276,1148724.098371897,812252.8715705132,1613510717938.593,1270240.417377196,62575611.98404039,
436981.8249796469,372276867595.4018,610144.9562156536,732828.2180062108,1528352109335.3337,1236265.3879063886,1030115.4459176101,2257131084576.135,1502375.1477497672,68748189.3240343,
439323.42983422056,387502686524.80273,622497.1377643456,776006.2524401441,1353543363562.9233,1163418.8255150951,1304527.440244885,2919238994373.868,1708578.0621247212,72773681.75936675,
248375.02149645222,131691595195.03041,362893.3661491078,660621.3126586652,1762796885211.9182,1327703.6134664686,936918.9465759709,2465668452673.924,1570244.7110797488,66220464.06213846,
293521.3518162204,167197926907.52356,408898.43104067247,526978.5429063262,702751178528.993,838302.5578685735,642286.5343812786,860743915224.5737,927762.85505757,49166614.07183744,
241808.89889026168,110699995421.40262,332716.0883116454,745723.1802590729,2290823247243.418,1513546.5791456231,1202587.8997136885,3431899364854.627,1852538.6270884143,69525683.59286974,
318306.9130874901,260981201665.25104,510863.1927094093,845852.4994835256,1636995971463.1262,1279451.4338040059,1142409.1403207926,2533798407012.3994,1591790.9432498978,79908132.62907559,
332888.27893180476,197754002752.9293,444695.40446571884,591389.2763142332,812506256508.9292,901391.2893460471,956772.4610635585,1839558478558.0076,1356303.239898072,51393048.82611134,
275263.752812063,134234018024.45535,366379.6091821369,505340.6926095973,573629233345.1516,757383.1483107817,674641.389333663,819978883943.7175,905526.8543470799,49006208.15235972,
279971.1383546741,145013776694.42038,380806.7445495423,680249.9538540213,1604497571717.6426,1266687.637785118,880275.750224841,2278669916433.4336,1509526.3881209344,67439732.68326777,
307545.26433275716,182687781438.9556,427419.91230984504,629220.7594152713,1401344367281.1677,1183783.9191681764,993217.1364365387,2260878597166.5293,1503621.8265130795,60929595.92583772,
239911.46134865,99171886580.39427,314915.68169971195,567153.6056269035,1540804544749.2842,1241291.4825895182,780243.1350624014,1960653001778.0537,1400233.1954992546,51790193.04332141,
222445.8652531859,92968684089.51266,304907.66485858086,694398.8796874199,1887397705268.9822,1373825.9370345946,1035614.019386367,2852444133988.591,1688918.036492177,71140701.07279466,
237693.64594876027,108138152679.58955,328843.6599352184,678336.6594122181,2100642964338.1921,1449359.5014137079,894606.6235792832,2365118632217.817,1537894.2201002697,65589098.03743264,
254954.8905521689,119134836438.28082,345159.14653718914,798144.1777312049,3145681122357.2944,1773606.8116573342,927340.5918180431,3709013039502.7373,1925879.8092048054,76721150.29331724,
381690.4819526579,299694692050.3333,547443.7798078752,636386.9182734183,916181925824.418,957173.926632155,953380.7846496971,2047436252138.3594,1430886.5266464562,61902093.55950127,
273339.2082797984,162690589936.85944,403349.21586245764,720643.6703218882,1910501488892.1904,1382208.916514501,1070877.9589169784,2755187174214.2344,1659875.6502263157,73123095.99884726,
423305.90370039124,371980401478.7816,609901.96054676,879399.3219497644,3691472524820.2515,1921320.515900523,1125555.7414202765,4180572763966.1094,2044644.8992346101,89080160.8557526,
354371.5615618756,256486754698.26746,506445.2139158464,666226.9620941934,1459935648349.6465,1208277.9681636367,917707.2121553798,2392116939114.3096,1546646.9988702366,64687749.38418161,
279936.3183197314,184759983406.84903,429837.1591740866,552683.4893006012,507779382829.82007,712586.4037643576,1002221.6848524244,1737266511293.7056,1318054.0623562091,48174663.4128306,
264721.4706942046,135693709575.24004,368366.27095221414,780311.8426351878,2595301827146.1675,1610994.0493826063,944245.2866488949,3156587704980.803,1776678.8412599512,79722560.33601823,
279710.6767115875,163604393238.72647,404480.3990785295,608098.4333412268,990040855190.0088,995007.967400266,876093.5114600676,1598132987646.1436,1264172.8472191386,57027640.275247104,
