source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
278232.65562169347,152863981986.21817,390978.23722838867,819012.2200321275,1665859152838.9482,1290681.6620836249,661781.4311666759,1398767827075.3845,1182695.1539071193,77627388.04217681,1.3131599901445425
438440.9147194495,366048100616.5224,605019.091117398,1014249.6916243057,2254006993894.972,1501335.070493916,755634.0114598437,1617951051744.757,1271987.0485758716,97302475.51041605,1.3313474549386013
441677.1137368966,403123318885.727,634919.9310824374,1280982.825787434,2759575585615.272,1661197.0339533093,711400.4132772529,1335231023742.4834,1155521.9702552105,125638640.93723072,1.3678582526904695
257830.03834320468,139183770090.03235,373073.4111271297,947808.3316502724,2481301232853.7734,1575214.6624678725,674696.6868762283,1832074048121.7922,1353541.2990085646,97570887.69650503,1.2824225791136006
290359.8046846765,159440012606.47464,399299.40221151675,645012.0254068843,931471755046.8367,965127.8438874492,546648.1365786039,751720623148.7301,867018.236918192,61921186.26794381,1.2171101593023814
237241.51656236473,103221258900.98979,321280.6544144695,1186511.625103043,3395195183374.9956,1842605.5419907419,696275.1210274948,2213864010402.9604,1487905.9144996232,114424115.94216642,1.3079588808598472
321880.14517220017,254424091991.44186,504404.6906913553,1118575.9567618424,2381391935319.2847,1543175.9249415747,908031.7577268068,1862573387873.2947,1364761.2933671935,106865059.63424848,1.311432614808045
319491.5375156958,199767176151.9728,446953.2147238375,975505.8982135453,1845957734205.3203,1358660.2718138632,602592.6988339162,832356636114.4559,912335.8132368015,90837081.48886788,1.3787995491689555
270473.70984126563,124702845129.50407,353132.90009499836,699276.622911432,899410817596.0585,948372.7208202787,511652.49999488535,593823325693.1592,770599.328894828,69599620.90850426,1.320281189597328
284259.91691960226,147181216843.5644,383642.0425912212,852497.3034784393,2284095518790.4795,1511322.440378121,703600.6194600709,1589195316169.392,1260632.9030171281,82793190.17917162,1.366613953645742
316649.9778120621,186408182214.01352,431750.1386380941,1018964.5271384177,2226190723268.662,1492042.4669789604,645083.317363521,1447652174494.7737,1203184.1814513577,100034607.88132188,1.3455245445425272
235109.30344344923,98738880149.16133,314227.43379463436,770578.7547225973,1985751648278.8347,1409167.0051057946,579015.6973753736,1532125405644.049,1237790.5338319764,72929271.87532227,1.3250085083153926
197333.5663523869,79800701647.96317,282490.1797372135,1054396.137894898,2829887191137.882,1682226.8548379205,681998.5185648268,1832352583397.0918,1353644.1864083381,106737257.37290119,1.3527158894096536
246922.04572595996,112118683730.7917,334841.28140178847,931284.3311954802,2435732184451.131,1560683.2428302455,691947.7880204676,2186912654670.0276,1478821.3734829598,89632843.5894706,1.3405719426077378
257439.68213366915,120426575228.00058,347025.32361198164,948066.0109229528,3704616066383.005,1924737.921479962,801994.0674208316,3140365281373.8086,1772107.5817720008,92355169.71621439,1.2879846050774906
390685.93311558844,313473016228.4345,559886.6101528367,944183.9811170115,2104889290212.407,1450823.659240642,654722.9282160309,856300541363.7758,925365.0854466986,93258683.69352083,1.3234406930040405
265865.15219902183,156843704597.10886,396034.9790070428,1058324.0883268688,2716203987424.027,1648091.0130887877,751695.4473725344,1903898841798.2073,1379818.4089938093,107211480.58603816,1.3065847744624737
448670.2562107928,421101002648.49725,648922.955864945,1100942.0309249624,4039616058207.2563,2009879.6128642273,916688.1667560787,3828230182418.845,1956586.3595606622,109559146.86715256,1.3030605376289806
349934.0522745141,253745197300.50507,503731.27488821367,937312.8924466282,2436270807908.6533,1560855.793437899,673238.1855196474,1409227587747.5847,1187108.9199174542,94144035.71444345,1.3781665330198916
321907.33678091806,214496707651.75452,463137.8926969316,1005058.1447631281,1754738310231.2932,1324665.3578286455,536335.1237436264,471212097436.481,686448.9037331773,94328795.99106121,1.347902422480923
257429.10344517994,138615353921.70972,372310.8297131709,932717.4891950653,3128073492169.411,1768636.0541867882,781679.6331084071,2595342674075.214,1611006.7268870152,99291494.0602585,1.2460000051858704
280639.3441558003,163433321590.4491,404268.87289333704,884413.0907507796,1512948760528.6094,1230019.821193386,598843.2045903502,1037479694415.1418,1018567.4717048163,84868254.5457543,1.3186296059188325
236404.27229384755,108171530004.14024,328894.40555312013,976865.0226061554,4227894158216.727,2056184.3687317357,874156.832029994,4342827289818.72,2083945.1263933799,108095803.31923653,1.334432545252847
270817.0749680815,165732855415.14246,407103.00344647723,1107079.6915328784,2732018978508.5854,1652882.0219569772,769656.4739264277,2011616637848.5667,1418314.7174899394,103662094.00914502,1.3538025331375798
318201.433250303,230424719555.70273,480025.7488465621,957335.6650617538,1775325063448.3406,1332413.2480009124,671499.2303623313,934142995662.1633,966510.7323057326,93758635.98434956,1.323229641014912
242983.99580255232,107919555245.45404,328511.1189068858,1084921.8121522188,2125979363413.866,1458073.8538955653,564029.958075936,522986608709.75726,723178.1306910195,100681424.02926163,1.3328699474127554
245748.22809475003,102853545869.22969,320707.88245571655,742010.0327365395,1052653602038.7837,1025989.0847561604,546420.4127279256,510178153072.15405,714267.5640627636,71718392.38583803,1.3358340174371834
259990.23902547415,138663430363.9017,372375.3890416252,750357.9909118417,1358107098582.6448,1165378.5215897213,636562.260132624,1192126534637.765,1091845.4719591802,69771728.83821647,1.3366956660071458
391022.41000979755,319448993252.5412,565198.1893570973,937317.6405939325,1548042177080.3252,1244203.4307460838,752909.6274743654,1352193176011.7356,1162838.41354323,90259733.13707425,1.3274070646667389
301989.082712578,153559113449.04538,391866.19329695357,837412.307889289,1320020396928.0374,1148921.4058968688,713588.5094382424,1235399902457.2808,1111485.4486034808,71607286.27208458,1.3223869103135009
291750.7202195725,214968224449.98816,463646.65905189933,964445.8173157529,1748650827393.3657,1322365.6178959606,576260.3932841582,669187205444.813,818038.6332226694,92431031.98520318,1.3343307487636427
230505.27228558675,90768346688.9015,301277.85628701875,885746.0240914178,1449193562553.2256,1203824.556384038,673553.7940594559,1020589733389.6642,1010242.4131809474,86557914.19157101,1.3955423534126474
193700.19743178866,79970073567.40349,282789.8045676391,889123.522885406,2467434815939.7173,1570807.0587884807,705684.4111612412,2549865325808.8086,1596829.7735854026,90013849.40678546,1.2831449298363897
242574.43013933886,138920271192.15247,372720.097649902,863749.785454146,1740523673822.2344,1319289.0789445026,731292.1357063852,1489316427353.2861,1220375.5271854997,84469395.2754898,1.3624544243976136
297429.4695598575,176135961010.15625,419685.5501564907,1042746.7220706062,2040394407274.7842,1428423.7491986698,630826.0433378093,1067051194780.3766,1032981.7010868957,97511265.96102744,1.3162903968101674
314246.00222032436,200984604262.45633,448313.06501423346,721816.6230235207,1248014223676.2815,1117145.5695997195,557999.8478470849,846499896172.44,920054.2897962271,68567861.30886364,1.370083487514885
248385.97904983285,125752934596.681,354616.6022575381,1153151.0735788103,3047373567914.0605,1745672.8123889829,714430.697425488,1683404138214.0688,1297460.6499674928,115082377.12224054,1.2883534295086938
313029.3832540353,249216583632.95822,499215.96892823675,770161.0849108245,1128902676762.3188,1062498.3184750548,519905.12307955005,459273570386.43945,677697.255702308,69773516.51650983,1.3104339579039688
201594.23345221244,79213875892.3823,281449.59742799826,1039808.0622439263,2453164952682.689,1566258.2650005997,608121.4302509584,947883855368.7606,973593.2699894555,100719364.34045173,1.2749443396909979
253004.7378829779,133938572680.34183,365976.19141187565,897411.7767686856,2616460984954.244,1617547.830808797,577763.1004048983,1881718230073.1846,1371757.3510184607,91996031.47677769,1.238982999313527
279876.84068542055,162320814108.23468,402890.57336730364,980220.4641832716,1677282775995.7534,1295099.523587185,586836.6423450728,623391126096.3834,789551.2181590144,98683904.79884443,1.4268705916884326
