source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
334795.6046784267,223455727586.34134,472711.04026280297,939604.6882557534,2199451093762.3936,1483054.6496209751,315191.8290347028,305914193590.4295,553095.1035675777,734907.865112643,1689996634220.3696,1299998.7054687284,,,,,
324734.41691696766,223159342290.60443,472397.4410288485,1010668.476080962,1920915794859.972,1385971.0656647822,289293.54462534207,154871002310.2396,393536.53237055335,676335.4467648213,1587193414474.9248,1259838.6462063007,,,,,
475859.21548328176,553569175057.1954,744022.2947312772,1152101.0813462902,2656350697487.291,1629831.4935867728,172169.07129535172,56668774660.50195,238052.04191626242,511940.6268901097,868745307662.575,932065.0769461191,,,,,
537361.1684485857,653310506352.5338,808276.2562098022,1191271.1652656735,3097296361685.179,1759913.7370011006,327414.4018286444,243498219493.57642,493455.3875413424,823582.1664009999,2004315722196.942,1415738.578338862,,,,,
468497.08827865863,485589003213.04565,696842.1652089128,1326902.1013093253,3147616085035.9487,1774152.215858591,227843.87794518488,101207886440.53973,318131.8695769723,651500.5961541563,1348179064642.422,1161111.1336312394,,,,,
529097.1372030248,723395695008.5879,850526.7162227109,1326985.7333548062,3587650930398.1064,1894109.5349525346,313039.1696379673,198277359220.97934,445283.4594064542,774224.794664108,1459835419940.404,1208236.491726849,,,,,
509174.5367065592,555222808234.3347,745132.7453778519,1444027.872452733,4762282469669.387,2182265.444364958,378807.5418223057,266670430448.6514,516401.42374769977,858363.9549103123,2979673056397.0957,1726172.9508937092,,,,,
531723.5826738604,647553384194.2036,804707.0176121267,1033316.6096795945,1725915030462.1577,1313740.8536169368,219500.82494859252,95094968211.13722,308374.72044760286,569631.6821748624,590412990851.3434,768383.3619042928,,,,,
428619.71308175154,406504362544.4539,637576.9463715372,1212916.6999045645,3040612532153.765,1743735.2242108793,271175.98354422156,155944674061.8055,394898.30850714655,733555.9695285009,1618216909267.4204,1272091.5490904814,,,,,
488165.781392451,575980072063.8407,758933.5096461618,1054713.8873957365,2153345634781.3137,1467428.2383753264,248992.01998704916,117854515811.24077,343299.4550115697,593732.6781036993,928712116634.9346,963697.1083462555,,,,,
302952.1454676063,159953034236.88782,399941.2884873076,753712.5756852711,1291415541336.9102,1136404.6556297233,207602.93004719738,90297113796.48596,300494.78164601454,536172.9110440523,1071880175718.8605,1035316.4616284532,,,,,
390269.0819817588,301441741995.32733,549037.104388517,913720.8855199018,2023123371425.1738,1422365.4141693595,277365.6393956684,148757940656.737,385691.5097026858,594251.2027047193,1477786004577.3726,1215642.2189844232,,,,,
336740.765346509,477922342086.7568,691319.2765190023,1014472.3060657206,1954512509981.9316,1398038.808467752,359076.2735362349,383494465794.34314,619269.2998965338,673330.9945069269,1250082197979.4443,1118070.7481995244,,,,,
391114.0857344812,415720456788.39606,644763.8767707106,1103623.387115574,2409565911002.18,1552277.652677568,252777.04882996334,227984048749.29553,477476.75205112924,761834.008451777,1960492497691.6072,1400175.8809848165,,,,,
423766.1449066331,553619762809.5553,744056.2900813051,1328550.6088944965,2806463795943.4556,1675250.36813709,292586.88069881895,152209935750.487,390140.9178110994,928242.9803755635,1994580810604.74,1412296.2899493647,,,,,
576338.3695743956,820403487625.8218,905761.2751855876,1044633.7033394548,2796377745176.134,1672237.3471418864,328094.9748777337,233927886150.94275,483660.92063649587,787344.2084657873,2131901907770.9963,1460103.3894115158,,,,,
553242.3160826367,1032118673359.9417,1015932.415744247,1019367.1560084851,2153244481810.7224,1467393.7718999363,243281.65826256984,113694533824.5854,337186.20052514813,768176.5373462129,1775788404414.3518,1332587.109503297,,,,,
530492.2291715377,521842143176.7152,722386.4223369063,973740.7857021982,2169773946837.0557,1473015.256824265,324396.6970872056,231703783990.89902,481356.19243019924,897470.4073452316,2127032520110.8313,1458434.9557353703,,,,,
503514.53146407875,526178845495.0265,725381.8618459015,1320408.5293298967,3617462965866.372,1901962.9244194988,245936.89733786907,177969306780.98453,421864.08567331795,846885.0840120777,1908850386817.9602,1381611.5180534506,,,,,
348245.74133536476,244015423527.45578,493979.1731717601,1270000.6140225213,2650106226348.692,1627914.686446649,317821.99047465215,219090182094.94464,468070.70202582073,744666.3072319764,1393954504928.225,1180658.5047879955,,,,,
471360.6056382568,483450510446.7401,695306.0552352037,1035624.6598126839,2448099630375.044,1564640.4156786453,192734.3026409778,81865969907.23135,286122.2988640196,619225.9143734652,1353439392112.106,1163374.1410707503,,,,,
724884.6757676795,1057873297544.4562,1028529.6775224603,1537952.0400959754,3899515456936.469,1974719.0830435778,201762.63111441222,87804318089.64792,296317.9341343482,849562.1409310019,1784448115411.3604,1335832.368005567,,,,,
312077.33382801525,172065454466.17725,414807.7319267051,1106462.8256995438,2368329190119.82,1538937.6823379886,358211.1589659715,369173238846.5405,607596.2794870789,706225.2740947425,1700687039733.9397,1304103.9221373193,,,,,
532532.1330740509,619520859641.2252,787096.4741638887,1527313.6364027953,4202221596016.7563,2049932.0954648124,395340.6008183305,299102004126.74634,546902.1888114421,714774.6827852732,1577912483256.4075,1256149.8649669185,,,,,
339261.05223377625,242191010607.44608,492129.0588935448,1165937.7924156128,2772193874636.635,1664990.6530177984,294136.51308898197,174419282228.60593,417635.34600007924,786221.6201673476,1923070145112.2764,1386748.0467310117,,,,,
452120.0151342216,528043748591.26886,726666.1878684523,1067573.9550846692,2727957285385.006,1651652.894946455,233053.07919425,95603230682.38483,309197.72101745,791800.0042752303,2028777297754.828,1424351.5358768804,,,,,
269525.47144550964,127698811635.32454,357349.7049604554,876845.0640928417,1733074547800.72,1316462.8926789847,336919.348608829,239374192411.2808,489258.8194517098,627239.7474435322,1562953430561.0935,1250181.3590679928,,,,,
612146.3227963597,787324523350.9204,887313.0920655462,1268599.3820511359,2825173145963.6455,1680825.138425662,218938.9245679074,119689500508.69527,345961.7038180603,662775.9105820745,1147849852167.594,1071377.5488442876,,,,,
373183.5843917556,249931922156.61038,499931.91752138647,1224703.8780851366,3446870116203.5005,1856574.8345282236,216407.35982372545,112330613651.2043,335157.5952461831,631120.0114086199,2097997262582.7905,1448446.4997309325,,,,,
528480.0387392632,684980422522.8883,827635.4405913803,1085165.8010894826,2355939412639.4434,1534906.9719821601,243097.15719363972,100196029003.69576,316537.5633375852,728344.1433946936,1514824074545.9658,1230781.8956037522,,,,,
655403.735928679,1267554212850.1985,1125857.1014343686,1232692.8631220602,3624745424553.0967,1903876.420504518,426039.5280806136,320186883819.5092,565850.5843590773,748991.3481531288,1416538916262.1638,1190184.404309754,,,,,
294263.1544244738,148339644641.89532,385148.8603668656,669902.7866388123,716109421734.818,846232.4868112887,214284.3356263608,90892353949.45285,301483.58819254633,563829.0101522049,759304808665.1201,871380.977910994,,,,,
686762.3409175473,1505555490265.3325,1227010.7946816655,1192486.1684805327,3167499624650.433,1779747.067605516,477715.2142376628,513700522527.06537,716729.0440097048,893272.7025152375,2253295426037.774,1501098.0734241763,,,,,
524423.8941232947,773408965847.9548,879436.7321461816,932529.8732675941,1429355016368.724,1195556.3626900758,175801.81214744665,61782347608.79049,248560.55119183834,528820.6248225534,580647843147.2703,762002.5217460046,,,,,
557832.9954020813,651415209110.6884,807102.9730528122,1581496.8430411846,4174071016047.3525,2043054.3350697632,202546.35809646954,77629512831.75204,278620.73295387055,620280.6645119628,992915147908.4521,996451.2772376039,,,,,
609658.8608592435,909576328763.4028,953717.1114976405,1237820.5204286105,4142002346025.8794,2035190.985147556,369931.79062531656,296036712508.5999,544092.5587697371,858757.4498273229,3055755037833.181,1748071.8056856764,,,,,
