source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
321517.1585433096,227048946542.5195,476496.53361018223,885645.1111151356,2137183146274.9807,1461910.7860177313,327705.897919775,308032529901.3309,555006.7836534351,709501.6214296585,1359247476394.388,1165867.6924910424,82720685.66033134,0.34471420361559224,0.28585584105910467,1.0,0.3295146982342911
301138.3004014822,192260407175.78445,438475.09299364366,1034804.0143231584,2026446917562.2397,1423533.2513019287,315387.7980749296,185829382362.30966,431079.3225872817,744532.663132221,1401622187800.8943,1183901.2576228199,99712234.09954631,0.3237387739519381,0.3017821655476184,1.0,0.32229687984806527
468977.19400618534,588701590259.3083,767268.9165209994,1170782.2567887637,2783231753577.111,1668302.057055949,169586.1641964705,54875412150.87379,234255.01520965094,592346.3260920536,1044480378951.7366,1021998.2284484336,116689543.65111807,0.29856573496082894,0.3079744661615343,1.0,0.37399702451973843
592559.8748284717,719027255966.0265,847954.7487726137,1141840.0983411314,3020318777898.005,1737906.435311753,339442.50478038774,255083550298.47446,505057.9672656144,809920.4859655909,1466734786365.95,1211088.2653076735,111353084.73806207,0.34427471168803053,0.2816050506201249,1.0,0.4256420644225991
470197.90449605894,478756525740.47723,691922.3408305857,1321312.4928453914,3235080324816.6377,1798632.9044072996,229057.70357418995,99434357981.6576,315332.13915117754,861958.6188149768,1206954210730.5366,1098614.678006141,129451906.82855172,0.35391907987570176,0.2704162760202302,1.0,0.2710398302461319
525076.34944744,751597962467.3938,866947.4969497252,1390464.6892174208,3782068622722.369,1944754.1291182206,323396.3529291901,207848026103.71262,455903.5271893744,816551.8440928371,1434183114143.077,1197573.8449645087,134725990.54332626,0.3318089391850534,0.2949224896920547,1.0,0.2537293659615053
512447.791531733,583445765511.5011,763836.2164178268,1433488.0351334396,4910535165688.644,2215972.735772858,395464.6275980892,304503546116.58545,551818.3995814071,874167.35535669,2962375724138.701,1721155.345731088,142002721.3517214,0.33381665872346206,0.29209543807442223,1.0,0.2988163489907209
557987.0134198193,699006319152.7766,836065.9777510245,1044252.2345574576,1786502609418.4924,1336601.1407366418,231803.9102773698,101449061091.00243,318510.6922710797,788396.7683074218,870143934138.8733,932815.0589151492,98386610.27713524,0.32546818260115257,0.2897086137883111,1.0,0.33385548013418836
424043.2874267747,398106458174.11993,630956.7799573279,1213147.1290212271,3042272598828.989,1744211.168072544,266432.4849682807,149508378183.54028,386663.1326924514,798287.0521235887,1348848491883.5366,1161399.3679538218,118610090.13738471,0.33950011226589427,0.2767230031665129,1.0,0.257201825552664
487060.8476472328,521585753272.2776,722208.9401774791,1078276.145256739,2229500449827.4985,1493151.1811693746,214973.5304321453,100234343614.71391,316598.07898140175,701165.5362722746,728620983483.355,853592.9846732311,102933391.51079388,0.3214876898499424,0.3004461613749764,1.0,0.4096611448393336
271133.712184355,141145713446.81927,375693.6430748054,785973.5261813301,1319861964709.0652,1148852.455587342,205484.02701482736,90213586650.36899,300355.76680058765,574661.8399792729,1032793956578.4039,1016264.7079272231,77741108.60694121,0.3438340773005917,0.2866318771752106,1.0,0.25028015317328484
393458.61460531625,280043215785.36566,529191.0957162504,994882.9683904994,2161935855103.2407,1470352.2894542112,251534.64148547352,126616811968.888,355832.56170408014,670953.6190719906,1463356517843.9512,1209692.7369559393,94452498.52440271,0.36440106194043953,0.2596330872358065,1.0,0.3004940107172782
325243.6006577486,454782966000.1715,674375.9826685493,1010910.5371099716,1984601995276.8606,1408759.0266886884,360305.95789167675,390350946129.1248,624780.7184357763,844294.2925165944,1572580470218.6934,1254025.7055653578,92323109.83754562,0.29808830341667036,0.30792431805320813,1.0,0.27960518089900543
380709.05621585087,387165093590.08527,622225.9184493083,1123932.1220751172,2442177632004.0566,1562746.8227464284,243334.50186918932,227913510626.6076,477402.88083191076,772121.5621865896,1601494228359.3936,1265501.5718518067,109878130.05848435,0.3326011797825477,0.29034396203929125,1.0,0.44648586350888686
414096.4992445073,553541812104.8934,744003.9059742183,1313307.225546532,2706306229567.8784,1645085.4778910056,284565.01141687384,153674174780.9939,392012.97782215563,875548.236846102,1388889260323.669,1178511.4595639997,126301559.02213155,0.30377002620781307,0.31319006928448107,1.0,0.367504500868104
593058.3344571213,851416986234.6967,922722.5944099866,1033252.7601984557,2798520691555.5464,1672877.9667254712,312359.2557553962,217936230700.59583,466836.40678571316,857108.8911960046,1651279920947.6465,1285021.3698408469,103122336.70528634,0.31953915354219586,0.3020077252698704,1.0,0.573612928268598
537485.6667438528,1066622495092.5536,1032774.1742958882,1046780.0769083011,2065534863956.617,1437196.877242856,259172.22447367027,131670617106.53989,362864.46106850955,678496.9412716005,1375444199021.831,1172793.331760473,101886838.19954477,0.3301566402633911,0.29582375171329484,1.0,0.25329383033763325
