source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
321207.2118649335,199854214450.41635,447050.57258705795,726295.2227512129,1493960573800.2295,1222276.7991744871,662074.6221229858,1341457682044.198,1158213.1418889177,72527161.27333833,
327110.2543949268,211954723691.75797,460385.4077745709,691367.4821410739,1055331973039.2388,1027293.5184450638,618070.957034198,980295294558.9526,990098.6287026928,64661042.721037425,
323025.8674684968,165115638367.57733,406344.2362918137,737353.2086803116,1834752128528.5505,1354530.2242949584,668194.8919066815,1608379944732.876,1268219.2021621799,69796416.91155598,
337567.59449037287,240193681430.6659,490095.58397384675,833500.0096052705,1765451933587.872,1328703.1021217164,746813.3193950066,1587595179534.1377,1259998.0871152694,79506594.29735583,
319879.29654887354,205790761148.38132,453641.6660188759,810250.7600688555,1334862979966.017,1155362.704939889,707308.1222779675,1082808357853.7351,1040580.7791102693,76901746.86786695,
317367.81529277575,169978543712.09225,412284.5421697159,848017.3981010392,2023740739682.2163,1422582.419293243,787765.8143823864,1810870267834.358,1345685.7983327154,80439873.39963987,
360303.5670447992,330191761370.9983,574623.1472634898,920448.0187251248,2111232852288.7012,1453008.2079219997,802466.4312397104,1783732114642.2346,1335564.3431307361,87292619.44672762,
303964.1987994189,157488804652.88,396848.59159745043,823988.6246740717,1151031349553.2053,1072861.290919383,737017.2292967833,982439303309.2327,991180.7621767246,79451673.67589325,
262168.9539214091,127123974964.44687,356544.4922649162,960816.3683427387,3114904695075.541,1764909.2597285395,940384.5605314189,3189252830679.0776,1785847.9304462285,93116360.85548624,
304195.7947423091,162207472455.58945,402749.8882130068,804216.7939864773,1398456487574.3062,1182563.523695157,707156.7686925977,1189558460334.819,1090668.8133135645,76309939.4033434,
285765.38636157726,137986277908.84515,371465.0426471449,878741.8067856266,1663290998315.921,1289686.395336448,695541.2346629751,1402788719627.2263,1184393.8194820278,79739326.64788811,
288448.7197098872,142701625433.66574,377758.6867745939,884850.6179167465,2200396763002.484,1483373.440170237,825829.0803846436,2187775810257.3484,1479113.1837210255,84808296.19581501,
354218.69890531723,361242925992.4948,601034.8791813124,759155.4667216048,2147548160420.8174,1465451.5210066887,680889.4650318924,2117095731387.722,1455024.3061157851,74973120.25725937,
430491.2541973247,415422689423.41656,644532.9234596294,830290.0107193625,1500952446731.3635,1225133.64443695,728279.6690919986,1171495053221.882,1082356.2506041538,82846097.15696996,
307631.42582091707,185819816077.46725,431068.22670833353,848644.7704731864,1088586778192.2906,1043353.6208746729,714285.7418953365,813090952397.4954,901715.5606938894,79255617.87873521,
283691.14186071686,145384847026.40836,381293.64933920465,878011.8174265277,2105306624447.9507,1450967.4787699243,790633.46464985,1853076702428.7195,1361277.5993267205,87196981.85332502,
566052.2510497781,758915386751.4882,871157.4982467224,919981.0711433694,1731024876768.969,1315684.185801809,817692.9128544215,1441608774634.3591,1200670.1356469058,77827458.87918745,
349108.95447311545,241308581920.24463,491231.69881456613,820546.7122000189,3148154505235.2676,1774303.9495067545,743742.9740151783,2943996455632.493,1715807.814305697,80192673.94196917,
272371.811230774,129415649309.30435,359743.8662566804,618360.9103686233,847454996624.655,920573.1891732754,578442.8158368398,870743669687.3303,933136.4689515303,56294174.583657086,
322803.1056452257,166029086748.48242,407466.6694939384,1087101.240161108,3492863382919.409,1868920.3789673354,1045009.5865704566,3471231177807.078,1863124.0371502587,104162142.36329018,
