source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
329347.2672680075,205872430932.0225,453731.67283320933,718280.1546470025,1494583538173.3467,1222531.61029617,338796.1555950676,332751751346.92365,576846.3845313791,701707.1648813039,1664170534083.9722,1290027.3385025498,,,,,
332709.0372253147,210450994395.46375,458749.3808120767,670811.3595103656,1016265998575.9061,1008100.192726847,217747.8259164193,96829006847.79132,311173.5960003537,633422.87920456,1040850907456.5422,1020221.009123289,,,,,
350674.5301149115,189303433787.42722,435090.14443839935,745906.0344684715,1781399063608.2703,1334690.6246798432,226584.4347325062,97176162447.29234,311730.9135252587,652147.0360972956,1598978354731.6895,1264507.1588297512,,,,,
333725.0007763884,227657405320.1927,477134.5777872242,832938.0690637875,1735959936546.9468,1317558.3237743014,236438.5050635831,131500691032.1254,362630.240096059,717110.2819845636,1849030559617.1418,1359790.6308020886,,,,,
307288.28369757667,187644052589.66177,433179.00755884027,769219.5520955243,1281464536664.1968,1132017.904745414,220574.5535874028,91878057626.13428,303113.93505765166,614955.9767410362,1044614891665.9011,1022064.0350124355,,,,,
320814.7380197648,176307660589.20334,419890.05774036056,835159.2864457391,2004291541726.9822,1415730.0384349348,366518.42534731166,330753405931.5266,575111.6464926846,689640.6790645192,1724934128885.3604,1313367.476712196,,,,,
359806.4591914671,331720807408.1277,575952.0877713073,933706.8252525107,2086018737813.6763,1444305.6247947235,267714.471953719,128844141599.99126,358948.6615102378,594348.9810756999,1591106050439.7668,1261390.5225741023,,,,,
315366.77064020454,166625848100.2064,408198.29507263546,821033.3075521636,1191896434308.956,1091740.094669494,204921.86762724633,102095075596.95319,319523.20040484256,654700.1259872452,991077086700.6813,995528.5464016998,,,,,
258360.8214759626,125703814993.20247,354547.33815557335,984442.9614569314,3078215404444.149,1754484.36996291,317095.17527114454,265244022373.13843,515018.4679923026,860096.4822079767,3561752251813.7007,1887260.5150889214,,,,,
308572.5657800086,165579401037.5666,406914.48860610335,798138.950361909,1316003395358.8257,1147171.9118592583,269869.7626460678,153910156682.61984,392313.84972062847,660690.5261167551,1101568228128.6196,1049556.2053213823,,,,,
294166.23495901894,144008521474.5847,379484.5470827299,865018.9418167308,1650600826285.2087,1284757.1078944101,257586.6808206415,140231073185.23605,374474.3959007559,565386.4021579796,1576107809497.6538,1255431.3240865283,,,,,
306814.18538290745,166620219415.11234,408191.4004668794,890765.120095923,2318802622572.716,1522761.5120473448,359776.60857842147,229691194170.3417,479261.09185948083,795051.3678163168,2166374106558.4712,1471860.7633055754,,,,,
348943.3226330996,364543628236.6659,603774.4845856489,787813.5860358273,2114847045946.6528,1454251.3695873395,232747.3536054261,130448842278.73564,361177.02346458257,669522.9353969861,2365055387299.1245,1537873.6577817842,,,,,
424993.8876345465,352496494342.3688,593714.1520482468,856370.4860669249,1545542122892.7312,1243198.3441481618,222858.3472906842,87861568116.67027,296414.520758802,700251.4211795134,1160920767653.28,1077460.3322875882,,,,,
303894.02986570244,176291321926.42752,419870.6014076569,848906.4048963949,1141920607704.3865,1068606.853667141,198745.21263016987,92172449562.3873,303599.1593571815,612759.4976206248,738168274636.4265,859167.1983010214,,,,,
277407.80677089485,140805035517.89706,375239.9705760263,886635.2315474353,2145732681157.8232,1464831.9634544514,250121.72486882072,148780623640.8883,385720.91418652463,737539.362488233,1814258487010.6003,1346944.1291347612,,,,,
541124.4070804563,715324170474.904,845768.3905626315,949042.2872409155,1730366446448.856,1315433.9384586578,389773.38750676793,654289718145.5791,808881.7701899203,816197.7124365568,1574900055007.304,1254950.2201311828,,,,,
