source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
224899.32038281436,87884972467.7816,296453.997220111,809177.615879886,1754798791823.6865,1324688.1866400435,330697.4521207565,315282884102.98395,561500.5646506367,952575.7472940856,2535941631354.8574,1592464.0125776336,,,,,
277469.78247308097,148466501700.07187,385313.5109233413,920844.0736918848,3098088093582.543,1760138.657487683,206134.83829774693,83373626405.81042,288744.915809457,941380.1099897444,2299525136376.9526,1516418.5228283624,,,,,
243520.21681731354,107218493245.23917,327442.3510257022,903089.8255323771,2852392731668.8145,1688902.8188942117,336437.25131015584,334906884092.88983,578711.399656936,952298.5097920991,2937654768432.7754,1713958.8000978248,,,,,
219646.73578438562,97617037433.095,312437.2535935736,644672.1614443538,883930664547.4689,940175.8689455228,211317.51405182976,118523903701.02782,344273.00751152105,642648.7821563168,930125952181.4744,964430.3770524208,,,,,
224902.62047948875,104552430656.61406,323345.6829101234,654322.9544945618,1019028263377.0372,1009469.2978872797,148020.31123633462,47504291432.46025,217954.79217594702,674282.560629802,1164674576649.5813,1079200.8972612936,,,,,
286924.93535551353,226093650356.86008,475493.0602615143,752215.371221263,1281498774030.8608,1132033.026916998,178107.21286789837,54125432302.04384,232648.73157196416,860252.2028037388,1733289505599.2178,1316544.5323266576,,,,,
300311.58821937727,230392136831.20795,479991.8091292892,1041170.2351790569,2477068103912.841,1573870.4215763255,252326.88045653014,133301445468.6866,365104.7048021795,977743.626735719,2864039274381.054,1692347.2676673231,,,,,
302562.7824713982,228964459951.38007,478502.30924351874,902147.5536643334,1971002570095.1548,1403923.9901416155,267768.58770578733,135917891259.70752,368670.4371924979,909149.4601041037,1734915375221.1885,1317161.8637134877,,,,,
219905.0989126594,86818463384.32639,294649.7299919455,876557.6503305314,3468527146261.64,1862398.2244035888,337882.48471823195,307803509177.92053,554800.4228350231,834274.5131961158,3342582258825.216,1828273.0263352944,,,,,
183775.56077767597,61659508500.9758,248313.32727217,602184.8929846208,781164495045.9092,883835.1062533719,193411.12687437504,67424869147.492226,259662.99148606492,591020.785786432,785185776212.9877,886107.0907136381,,,,,
235324.67909932055,107779835899.23824,328298.39460350433,732643.7343872263,1181771748591.034,1087093.256621084,256595.80673879868,184437594886.01215,429461.98305090074,792800.7860658542,1356809907236.5752,1164821.8349758796,,,,,
236360.89756007722,107475167804.68819,327834.0552851216,785434.3453573169,2036628000689.7275,1427104.7616379561,309363.6311092812,174024589603.04068,417162.5457816661,792030.435982577,2098158096656.134,1448502.0181746846,,,,,
292037.3378011876,246576969588.89728,496565.1715423639,856348.9413544986,2205952801105.314,1485245.0306617133,318257.7991727807,183521965642.11316,428394.63773734745,1003951.7439369508,2073880782490.16,1440097.4906200483,,,,,
245936.46219629204,113084780420.25192,336280.8059052017,742376.9734755765,1467246272061.7253,1211299.4147037822,215603.7710976686,74929829486.62354,273733.1355291564,772241.4723942917,1521952000626.9944,1233674.1873878185,,,,,
458808.3813308562,371729987395.2439,609696.6355452881,934892.6547438678,1809421475092.3997,1345147.3804354672,215150.89645758222,79272123116.73856,281553.0555982985,1001487.7096788646,2350172652080.7427,1533027.2835408843,,,,,
261253.66632460945,134796843310.45763,367146.89609263703,1011722.0973633545,2758600922107.342,1660903.646244219,268427.7526202898,179801860659.9361,424030.4949646147,1075513.756306525,3207782563553.496,1791028.3536430951,,,,,
197038.42409777347,71280539268.69772,266984.15546376107,724790.7553834507,1237646703595.7766,1112495.7094729743,288892.34392519784,139501062152.7827,373498.4098396976,733546.335160042,1299461956281.1748,1139939.452901414,,,,,
257288.94250965497,121792523178.4659,348987.85534523387,882979.6027896698,1927090360539.989,1388196.801804409,163872.04471326235,51719098733.80138,227418.33420769175,830496.1179998628,2041476427093.4646,1428802.4450894059,,,,,
198351.58073207448,92628520670.7442,304349.3398559363,738369.6362234196,1993578272634.5168,1411941.3134526934,267118.4243825503,173205066330.99808,416179.1276974352,846569.062971601,2096870148640.9653,1448057.3706317598,,,,,
225100.47361926685,89701186461.2552,299501.5633703023,810082.2276227319,1863417480872.195,1365070.50399318,278815.3797355992,158114351828.84073,397635.95389355917,842235.0979964208,2365724474533.08,1538091.1788749977,,,,,
236268.12071448792,108690006469.37677,329681.67445185175,918728.7542890789,3685514729948.0015,1919769.4470816024,286034.5909134914,215978598992.5569,464734.9771563971,966917.6973325522,3964704414716.866,1991156.5520362447,,,,,
267189.4173271643,132835370214.21735,364465.8697521859,785833.6485899175,1598857667945.3674,1264459.4370502231,175834.32955086735,77647132647.01613,278652.3508729401,755485.3241796764,1710896566118.22,1308012.4487627095,,,,,
224289.02068589863,91599649824.14706,302654.3405010856,751651.17995836,1135233924169.6223,1065473.568029551,191045.880356756,89557718779.3624,299261.956785961,864228.2876188442,1676531882551.4814,1294809.5931647562,,,,,
257699.43405085025,126590189711.42104,355795.1513320847,662580.6018505045,1648096031043.5684,1283781.9250338308,258829.1892584522,138170507904.35748,371712.9374992986,663438.6634869903,1628909222612.6008,1276287.280596575,,,,,
210652.82277276565,90481600378.20572,300801.59636911127,749065.5954005196,1033225363272.9292,1016476.9369114722,154213.62018243785,54492550602.94371,233436.39519780054,808963.6988725209,1503413054578.0222,1226137.4533787076,,,,,
333775.49936166714,275712177678.95374,525083.0197968258,820452.217261339,1472603236060.1648,1213508.6468831464,253626.1347491055,148965452687.2426,385960.428913694,824770.7084748995,1221019118652.2468,1104997.3387534681,,,,,
292231.2556941679,146571675954.7757,382846.8048120236,604155.8849441269,860758092066.3109,927770.4953631102,232417.5979087395,126805939587.6536,356098.21620959236,633171.6047777546,1055153203825.7751,1027206.5049569026,,,,,
273667.8863934856,184686914275.92487,429752.15447502397,914821.6040529327,1488808528483.2195,1220167.4182189999,262113.99682461002,142350648304.2951,377293.848749612,857157.9746559688,1527592512625.5935,1235958.1354664054,,,,,
273705.6850162569,143682371491.65952,379054.5758748462,831582.7564297382,1365470083388.8733,1168533.3043558807,215942.08236603733,118911489761.71994,344835.453168203,870283.3302103447,1648553296815.5696,1283960.0059252507,,,,,
325545.2753658024,189266146667.83914,435047.292449728,950308.958781965,2113845207154.7869,1453906.877057395,289551.77673979243,198014213938.90097,444987.880665194,1047592.862337346,2797035767909.88,1672434.084772814,,,,,
213769.63531689084,74477053930.19075,272904.8440944036,990581.4978507697,3013942798587.966,1736071.0810873976,420454.4885027912,566306896628.0251,752533.6514920945,1152919.1535815967,2996777809358.898,1731120.391353212,,,,,
191604.10177642727,73426703135.51456,270973.6207373599,845891.4869951849,1741538930877.0269,1319673.7971472447,265995.1962727523,131005423650.78537,361946.71382785804,810867.7018824284,1844736587903.2566,1358210.803926716,,,,,
280819.49292463023,143668591887.71106,379036.3991593829,989068.2052355814,3825809063573.0967,1955967.5517689695,430985.3074630466,568872411722.7437,754236.310265386,952355.9304565307,2815627160263.6636,1677983.06316353,,,,,
404199.2779104419,320889808996.8585,566471.3664404041,976713.1309334019,2000962110983.5732,1414553.6790746306,256513.0329625468,130770336218.923,361621.8138040389,1062073.8691218507,2695004127309.794,1641646.7730025828,,,,,
235938.19171870063,122225833842.78369,349608.11466953065,791897.7420695173,1707574232384.0525,1306741.838460854,400372.40541591385,330272056589.1373,574693.0107362863,738625.3406798095,1512328350789.2532,1229767.600316927,,,,,
233508.43146511907,120610552483.17253,347290.3000130763,595569.8759619683,843727137480.7194,918546.2086801727,323908.78593395086,214781390353.70508,463445.1319775676,655036.7405225232,972914241993.1108,986364.1528325686,,,,,
161994.74789450932,66229434502.84329,257350.8004705703,846971.3348439712,4114794274759.2954,2028495.5693220766,584700.4782398909,716881969536.3569,846688.826864012,935864.7254682477,4188071045532.0215,2046477.7168422875,,,,,
278268.23174439924,150847075165.79233,388390.364409047,711688.707753726,1258480879424.2507,1121820.341865956,248030.0225944059,137614618704.79028,370964.44398997363,799392.8737833123,1533397265930.0635,1238304.1895794682,,,,,
232117.78213073692,100871808934.40674,317603.22563602333,660903.0888643521,1579630293022.7021,1256833.43885445,223686.0303259038,118700326059.72514,344529.13673552364,654009.0440322561,1718603788426.35,1310955.2961204855,,,,,
284001.96839170984,152075367695.6465,389968.418843945,962325.392739324,3981267866652.598,1995311.4710873081,369658.2913762328,348290942392.0608,590161.7934025049,989928.5119343766,4250694821315.3486,2061721.3248437212,,,,,
248248.97663759283,125223594644.1342,353869.4598918282,877072.1780909352,1512082026927.3315,1229667.445664612,267042.8210767746,137452331237.24344,370745.64223634975,766409.7780679428,1336250847034.5908,1155963.168545863,,,,,
221481.58688678918,88259073261.41234,297084.28645994107,632143.6807965399,1004988121953.7638,1002490.9585396587,229131.4548833417,114904841958.90144,338976.16724321706,608726.3928511431,1017145040658.1058,1008536.0879304745,,,,,
217689.76174128737,89186505685.18266,298641.0984529468,748568.9907067323,1239141061432.8088,1113167.130952405,229404.5634623865,92625776709.1462,304344.83190806146,651726.4937414954,945697957763.7322,972470.0292367535,,,,,
198349.68330562217,74485096619.17911,272919.57903232065,769429.8724968636,1507519381293.1594,1227810.8084282202,321950.5265839814,241333489870.5559,491257.05070823757,757974.6944091246,1909820776120.686,1381962.6536635084,,,,,
195709.4100179149,83351714000.18639,288706.9690883585,624772.2901696003,1048514426388.3726,1023969.9343185681,316130.7530132729,232164226636.05408,481834.23149051383,651268.7254367485,1335110919704.0571,1155469.9994824864,,,,,
229051.3380595543,101850397412.93663,319140.090576124,1285892.6088774032,4567838727454.852,2137250.272535917,310001.66488019715,196880483987.00296,443712.16344270186,1143330.5953128308,4132377815956.426,2032825.0824791654,,,,,
332642.0083412942,310381816175.082,557119.2118165393,824863.5875032836,1688313779504.9033,1299351.2918009907,246596.62608557646,127276592858.47124,356758.45169872465,768385.858255086,2040932466896.752,1428612.0771212708,,,,,
