source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
244087.30462885898,97908109463.30621,312902.7156534539,808871.7480112263,1794917458879.9722,1339745.296270889,644142.4802565211,1481209837939.593,1217049.644813059,83178303.63598043,1.3102008450262823
269585.9904967277,140729295873.26932,375139.0353899062,937436.1724408289,3121909621976.9746,1766892.6458551392,600242.009668803,2043235364662.748,1429417.841172674,92928069.51910897,1.3020548101555074
245492.0876169512,109421593985.5549,330789.34986718494,955361.6059401651,2916160284888.6006,1707676.8678203146,773882.6218287135,2870823510941.7,1694350.4687465637,94312256.76433031,1.2673806652486226
208101.35154005015,92500045599.85355,304138.2014805992,675687.7082589106,952573526154.9576,975998.7326605284,503259.6153195668,785653543096.5884,886370.9963083112,63118152.9984947,1.281081056601141
228329.43342376334,108288713839.80113,329072.50544492644,636879.7645876829,1017408540599.3961,1008666.71433105,566588.5740698843,1068656816650.0376,1033758.5872194908,63316774.323718734,1.3139310616823134
288689.1503764778,219985564685.2694,469026.187632705,771640.9651642437,1282485915264.3232,1132468.946710824,583745.459034917,1049700124019.5146,1024548.7416514232,76149138.89512968,1.2284179008886196
283974.50878093543,223073233468.68896,472306.29200624564,1054206.794654178,2413262865957.2427,1553468.0125310733,638882.1779267893,1762698350171.755,1327666.5056299926,98879920.18745342,1.2264313252591437
309123.57290320337,233809354005.6586,483538.36870062194,926801.2973695442,2099417375127.743,1448936.6359947363,601146.0032846304,1462718099859.1296,1209428.8320769973,88411146.35172996,1.3411244072853126
222277.92371926442,88655097875.28734,297750.0594043389,881847.6729796908,3490547135114.663,1868300.6008441637,745244.5222696933,3344386056922.216,1828766.2663452143,86975774.96965015,1.3657201224999065
185839.50993702296,62980573793.98701,250959.30704794952,638282.2181862476,912835959929.691,955424.4920084951,475124.0173909031,603468523745.1562,776832.3652791226,59977898.11474305,1.3204686900601532
238470.4083959138,108083616185.72014,328760.7278640807,748251.7728439169,1214413187383.0032,1102004.1684962008,505552.4062583148,960288182500.7961,979942.948594864,72776497.77192454,1.317267095383715
233617.23844152264,110643454671.87758,332631.108995953,790120.2272000397,1956907473726.5823,1398895.090321852,642528.4093510377,1908176747241.8147,1381367.708918163,77572991.41382785,1.3382789499556855
291679.59693765576,242021642837.16705,491956.9522195688,880009.1477206727,2085751477828.5757,1444213.09986739,580613.6092083977,1461373718040.429,1208872.912278387,90979199.91604827,1.3054578783014548
244637.5080323417,118822510447.16356,344706.4119611986,711553.6164128721,1404614749258.0488,1185164.4397542684,629482.7560064578,1273697599341.2812,1128582.1190065353,72905691.3547808,1.3274499594523959
426275.22275643947,364384226723.169,603642.4659706845,982406.1830978218,1782280081773.4993,1335020.6297183197,697934.2086268575,1661004305906.599,1288799.5600195553,94795037.01691008,1.222063833304273
262148.78144179017,132442841465.52066,363926.9727095268,1050114.9819970443,2831992791793.0645,1682852.5757751523,838289.2747550558,2641579758705.9326,1625293.7453598757,102158578.31726073,1.4106788944463038
188749.45063463523,67913432857.83949,260602.05842978196,715711.1236039198,1180646061750.3127,1086575.3824518172,581532.9312202958,1047266384510.6268,1023360.3395239757,68981442.75304163,1.2352232441651507
237808.44846200905,112708946092.59302,335721.5305764482,858652.3234662367,1969909166093.7444,1403534.5261495153,584985.9014510325,1219716050740.07,1104407.5564482843,85019112.59778462,1.275237138834457
199040.94968344254,93341627840.62503,305518.6211029125,746362.5752364941,1942579070290.1377,1393764.3524965537,680054.0557212305,1926668847275.4487,1388044.973073801,74272200.2295896,1.3203306764219058
228022.39996710935,94160711410.74547,306856.17381885194,768258.7760019824,1738071769123.3347,1318359.4991971403,694078.0506319073,1721891711925.4006,1312208.7150775217,77884242.87839021,1.2714558241009866
238910.15306825459,120142691033.65765,346616.0570914995,913862.8782140028,3729582030009.518,1931212.580222467,714521.2630676922,2984481522523.793,1727565.2006577908,98216951.714721,1.2514906907708172
262865.12923939724,130687690600.72386,361507.5249572599,794835.7121071338,1596034669523.0757,1263342.657208675,522653.81725245947,1135426550731.6316,1065563.9590055735,78458567.6840825,1.413970725536859
215626.13103858288,87740213602.04942,296209.7459606105,733703.1871327009,1149678864043.5151,1072230.7886101364,507829.1684790462,872511157662.4398,934083.0571541482,70344063.74835722,1.275770940272359
269372.2021381205,139595640639.61423,373625.00001955737,637681.3550287754,1584166216586.3782,1258636.649945638,565862.8881228579,1526512112108.2732,1235520.9881294097,65820273.231426805,1.2979042489498311
198438.33041846575,80971944171.85257,284555.69608049066,760462.095306284,1090043080686.8889,1044051.2825943412,517597.6285109471,876474336958.2673,936202.0812614482,74310735.48121352,1.2535333258874994
348631.8232212226,290082087870.44293,538592.6919950204,783336.0306444314,1442520501464.2468,1201049.7497873462,605196.4495291879,953434987753.8328,976439.9560412472,70568710.81380308,1.297211960862565
310590.0016739455,166935753948.44647,408577.7208175288,609733.966418808,866027793869.153,930606.1432577978,465499.8736644398,724861104462.2145,851387.7521213319,56509989.64739889,1.238979825459847
278751.5045858697,185564569613.9696,430772.0622486672,915408.6634903816,1462174764651.732,1209204.1865010771,556742.4050201698,999113735605.6746,999556.769576233,89194140.09647004,1.2367201180625071
275609.6819434673,145166615029.37405,381007.3687336953,815305.295516031,1367106506013.7668,1169233.2983685364,510755.71220621193,846600632086.0264,920109.0327162463,81157361.33851807,1.267168307047141
322208.49752244813,188983918528.383,434722.80654272443,907382.4136547509,2080701707338.919,1442463.7629205522,692180.77630447,1539064862082.3984,1240590.5295795219,89430920.63718498,1.3367997849240987
187035.9971906813,60206872439.156296,245370.88751348702,1045142.6708517501,3296775129763.8936,1815702.3791810963,637454.7504664517,2171969568657.117,1473760.349804919,108602048.61754578,1.2494252114483133
185074.13755522866,70334500805.02505,265206.52481608564,836961.7110131569,1780901461132.6362,1334504.200492691,607773.7542194054,1522719996142.0085,1233985.411640676,85928996.49981982,1.2682853824433222
271901.7126533019,134661024581.53218,366961.8843715682,1013809.3781405655,3782332996620.464,1944822.0989644437,606375.3949794983,2376858416957.035,1541706.3329172113,111627472.72762688,1.377848888425413
405508.1248111515,306461586951.6903,553589.7280041333,951036.940517264,2075212283397.3372,1440559.711847217,634880.6233380008,1362274094331.7192,1167164.981625014,92089393.30445851,1.3546175028753087
251444.55229761597,129394020288.87193,359713.80330600595,755901.6208373322,1652051743464.4126,1285321.6498077097,577663.4371451271,1329498213823.6897,1153038.6870455344,77711972.48023978,1.3330975866978227
242814.17861292113,123814666099.74876,351873.0823745243,602930.7094369961,862178722088.7783,928535.7947267183,528621.5617863331,773309386296.9092,879380.1147950238,58663521.77265644,1.3124530068936764
180904.28379663092,73703976329.45729,271484.76261009066,861674.0361058647,4013002651529.7485,2003248.0254650817,697380.5400420718,3741587606936.303,1934318.3830321997,98384655.53649049,1.2940001043721245
