source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
287665.0487847087,176181953539.64355,419740.3406150564,552698.0945811174,756395075697.9122,869709.7652078607,225885.57206459506,98391004448.89604,313673.40411468747,739988.7364656776,1188847001599.0283,1090342.6074399864,,,,,
220550.20956918786,99775943701.78107,315873.3032432166,638257.2615122796,979895213450.2852,989896.5670464188,219235.2324957273,134908839168.21336,367299.38628891465,962667.0563899078,1759745140173.435,1326553.8587533622,,,,,
206356.8031502477,85401679572.48006,292235.6575992739,456327.50208224694,305553944379.2776,552769.3410268677,211089.26401591566,95599580317.06271,309191.8179982496,779984.0500598066,966675090956.8774,983196.3643936431,,,,,
313346.5692563174,307722112252.5402,554727.0610422213,616542.949742792,984015598987.0931,991975.6040281904,239306.6337292371,169852193856.10498,412131.28230711265,976517.0621109995,1787997027035.0518,1337160.0603648957,,,,,
293369.00302425236,229742578817.38815,479314.6970596543,608325.7631077461,535924033683.0047,732068.325829635,292853.0481616366,174674551718.53946,417940.84715248813,987425.8740729028,1812942655284.7202,1346455.5897929645,,,,,
233021.7346182218,93994101700.60532,306584.5751185231,497631.3879667375,407168825635.07104,638097.8182340628,170349.35176941936,56599647865.9413,237906.80500133094,765471.235386315,946808247211.6367,973040.7222781772,,,,,
249125.95038123865,118236753141.97923,343855.71558719105,589036.6930104707,499241124079.38055,706569.9711135342,227381.13978924695,84065321098.70114,289940.2026258193,847806.7139312769,1483618117625.0654,1218038.635522316,,,,,
297313.06834758597,173464702830.0541,416490.93967342685,663117.5992576174,537926633593.3161,733434.8189125712,185632.43340508456,74714562891.45596,273339.6474927411,1078696.4736719625,2218632128503.022,1489507.344225943,,,,,
401598.32965503447,326465872220.3401,571371.9210989809,645288.9557109979,480114110366.5199,692902.6701972795,139555.03381038184,45405047849.09316,213084.60256220572,764906.313689977,893557326817.3241,945281.6124400834,,,,,
255572.98884108305,123429140827.38902,351324.8366218776,531347.9727161061,429431218025.0889,655310.0167287914,194890.06724064454,72945548475.8695,270084.33585802326,851681.8246531235,1339342888092.5664,1157299.8263598618,,,,,
