source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
292621.4439188474,190757334140.82617,436757.75223895704,733565.7903974339,1133128608276.839,1064485.137649577,230108.79382190167,102730043831.17311,320515.2786236143,576679.2374057281,799513087076.5997,894154.9569714412,71938031.30439255,0.31960014871428816,0.30043053963503685,1.0,0.40845018225159774
243294.32736175574,117358369579.91283,342576.07852842385,950159.4516902971,1722246645470.2485,1312343.9509024487,223423.77488271747,136325514098.32413,369222.85153863934,630519.8023846786,968810320021.5713,984281.6263760953,93892294.81665479,0.29353816449958353,0.31908079112064053,1.0,0.36373492076732195
222919.10140284212,95890848093.08379,309662.47446709423,789120.57445138,1010564589266.6669,1005268.4165269826,212933.32693660574,95305128727.82283,308715.2874864198,442141.36003945634,279958266084.2268,529110.8258996662,73448976.79932387,0.32675982189719055,0.29929241918660177,1.0,0.2745253744156308
334531.1197466089,312165656867.4473,558717.8687561795,961511.8686437438,1798774222019.4395,1341183.888219449,240494.79430309217,172460008609.98807,415283.04637919914,597356.1573909156,929496528795.6946,964104.0031011668,93099827.26101133,0.33253643451385134,0.29422096025367434,1.0,0.3068600096910868
318109.18860768416,250337008891.5856,500336.8953930797,977330.9819768931,1751871070834.2021,1323582.664903935,301754.1667419214,176565783792.45734,420197.3153084838,575825.5060803838,444558010261.7746,666751.8355893552,94169806.09915371,0.3285293251052726,0.29819516239021837,1.0,0.3843909323397647
204919.03695549062,72058220249.618,268436.62240763276,761084.4975367094,1015880609986.9309,1007909.0286265576,175170.67950250464,59769534394.45462,244478.08571414865,479064.60287230596,355807523526.15375,596496.0381479107,71587699.56364763,0.3280393026992121,0.29739277639295936,1.0,0.23635621723239975
245074.3692368498,114964827960.5069,339064.63684747025,861054.1627025579,1443322155745.394,1201383.4341064447,229849.58627848703,88976659589.0967,298289.556620906,590180.1053781703,480278285391.41284,693021.1291089276,81092874.84265855,0.36214502015025285,0.2703471539185438,1.0,0.39923360618226084
300224.258664722,180032820441.39597,424302.74621005694,1064300.3370672155,2205354674662.466,1485043.6608606717,177355.11770852015,70346186493.74911,265228.5552005084,640886.7414223383,495554551237.1295,703956.3560598977,102996519.44958536,0.33057272173056407,0.29328806268606866,1.0,0.3410269608984958
394036.4178523625,315186553096.9947,561414.7781248679,779039.48279863,901972206879.3237,949722.1735219852,146649.43809904292,46136136929.330315,214793.24228040862,651760.5954867802,498886224509.75104,706318.7839139994,75219425.8219577,0.3484306471623809,0.27998969796242146,1.0,0.3437630489730311
241346.42644001258,99853131649.36452,315995.46143792087,905868.29552165,1377464409142.56,1173654.2971175797,193107.30545035892,69588197877.31905,263795.7503018558,508358.82654525206,362329224760.7011,601937.8911156043,86057308.04049432,0.3003610233841371,0.3180061289355243,1.0,0.24582940177299734
207474.0307351305,71195358153.94507,266824.5831139722,1033066.9571481083,2205081250604.0845,1484951.598741213,217281.9025321888,84148885163.08069,290084.2725193503,589510.2672319403,449920035174.7981,670760.7883402235,100163906.13532284,0.3126603827191501,0.3074413441478009,1.0,0.39145337667968294
270962.4657910928,168716298236.31277,410750.89560013474,1089210.6569991289,2104010072407.624,1450520.6211590457,348745.49743836594,322667876967.3049,568038.6227778045,629228.0602287366,683967629543.8344,827023.3548962413,100974860.66290589,0.34595960399309106,0.2870458899577438,1.0,0.2670405189600149
223981.34235944023,134135218356.74606,366244.751985262,716721.4365609336,855154903249.6227,924745.8587361301,198413.37231205168,74206189437.13582,272408.13026988716,400702.53842042875,285248073306.3542,534086.2040030188,66923194.25413938,0.32842844613663286,0.3005977194298792,1.0,0.2502905670594458
230077.02499176655,114601586308.45139,338528.56055058545,962876.4336471328,1415828372797.8374,1189885.8654500595,201480.5205457853,69408273420.15779,263454.49971514585,655039.0393692179,568741814563.7976,754149.7295390336,89158267.56799918,0.3211346182658893,0.3006500969078289,1.0,0.3549754650123979
325905.68136701523,189510246524.2009,435327.7460996495,702780.9722659047,797225617099.3456,892874.9168272931,222867.68369239545,89504629293.16434,299173.24294322234,520043.4169990695,414575835608.6619,643875.6367565572,65530156.849803,0.3157292914273539,0.30295702395843244,1.0,0.3581760724464933
371014.40527209133,253816773702.00568,503802.3160943245,995616.7436006516,1515047869917.069,1230872.808180061,153354.37325983308,42730717594.079704,206714.0962636068,668386.381321725,539748381217.5865,734675.6979903354,98200063.94152428,0.34128876873664954,0.2809138723984852,1.0,0.30385995569733815
294569.2120297617,165857042716.75156,407255.5005359063,1013685.2740509282,1776283736890.3591,1332772.950239597,289270.50908989715,227540748587.6473,477012.31492242136,617003.9756656636,707092230906.846,840887.7635611342,93104783.06854773,0.33706036255189137,0.2871247894316284,1.0,0.39084556288738387
284125.1155325937,155390685801.6742,394196.2529016152,722689.8716839715,992386987725.1327,996186.2214089958,204728.2920265786,95245194828.89139,308618.20236157713,493896.2041090637,408100232535.69135,638827.2321494218,67999697.34644684,0.33955715657704055,0.2847262804493143,1.0,0.33088656412084116
309055.36447072536,204173804363.8338,451855.9553262896,875385.7663729218,1307980751163.0159,1143669.8610888615,236042.4437793367,127518750078.53375,357097.67582348356,684587.8269930265,725529054751.8673,851779.9332878577,78038408.24617438,0.3235899752626569,0.2988471290673802,1.0,0.3634322368800433
289542.77042398177,159921138192.28082,399901.41059051146,978842.8171280107,1882220860312.037,1371940.5454727393,295731.21278042963,243359532776.7952,493314.84143171203,545725.3587667887,564834901843.3433,751554.9892345491,88923352.82132232,0.3365299959929792,0.29116170215472537,1.0,0.3038363132626269
292914.5883673014,157184143062.83603,396464.55461092107,798060.1235883218,1073475117905.5425,1036086.4432592208,238910.08248918477,130406421075.38774,361118.2923577643,585216.1024704081,570067417528.0444,755028.0905556061,70713718.7777357,0.299297890694212,0.31450434129723037,1.0,0.2958461683353934
275971.5789829896,188207804703.55557,433829.23449619615,1022264.1092680785,2237721244492.772,1495901.4822149125,320558.0788573562,291246307552.7006,539672.4076258676,633940.0923928007,733270605320.7003,856312.2125257237,93356538.22542182,0.32087292016351276,0.2972333574349806,1.0,0.42815165073016626
299922.60830967873,180432932746.50626,424773.97842441604,892418.3115793727,1417015597064.995,1190384.6424853588,174195.31546688784,51906794538.12447,227830.62686593406,544874.6685696442,456403012625.2632,675576.0598372793,88871663.81865266,0.3419517955180527,0.28327924699750684,1.0,0.2822027781993696
289086.9977954635,191201468305.43784,437265.9011464738,795487.1188665588,1372579025707.8423,1171571.1782507463,233481.31496332248,90381096352.43037,300634.48962557566,593269.7816894844,845718879452.5216,919629.7512871806,78231555.3113416,0.3667342340946275,0.2667279117065283,1.0,0.2462498911020631
211561.4101096481,83059285908.48294,288200.07964690594,721382.7004494091,792161799521.1787,890034.7181549598,215369.33746682774,98951615042.26498,314565.75630901876,497264.1328100709,376765347634.65076,613812.1436031148,65976828.324200444,0.3382800369429993,0.2846999534357677,1.0,0.248403928826619
317669.1350005267,168573147972.07254,410576.60426779377,1253382.1177136272,2693107786888.83,1641069.098755086,229827.7978435018,93862248773.83003,306369.4644931672,690543.8016471363,569064469547.1193,754363.6189180383,120341239.56901447,0.3379858871056688,0.293962876563161,1.0,0.3156353102506873
277074.2519810061,134678032060.42105,366985.05699881166,940241.1962870616,1458006386381.6265,1207479.3523624437,178128.5901950945,49543153477.623024,222582.9137144696,572837.6675725221,417097308517.5134,645830.7119652281,89660794.43740952,0.3217324645224212,0.29492046226867175,1.0,0.30733377882962837
262697.8876514652,136480753664.73929,369433.01647895423,738212.8482477723,903546110432.4061,950550.4249814452,197481.516885648,76766352500.35165,277067.4150822353,511243.09277069534,342072771666.0703,584869.875840832,67617211.3177769,0.3587154862131314,0.27300871543381916,1.0,0.28519779466664935
313268.8538365695,176787840763.3201,420461.46168622887,883199.167682625,1163025129337.4268,1078436.4280463762,190649.95754223148,67590870008.62068,259982.44173139977,506931.0704474811,326814801202.775,571677.1826851016,83428038.02959155,0.3347716129644715,0.29132829737123994,1.0,0.23910886425234557
353854.7457263747,268069043429.58978,517753.84443728643,981108.9501992959,1697033367003.2,1302702.3324624854,184875.20478456697,66458082932.88847,257794.65264603234,579130.3497762015,420479766124.79297,648444.1117974571,95780226.22451961,0.3416854717712882,0.282093734214672,1.0,0.3245731231096972
252528.4083843055,115457007207.53038,339789.65141323884,1021722.2329759161,2188810983682.1206,1479463.07276732,230798.94763733514,105256828725.28947,324433.08820971,600135.7109062865,844519788015.4335,918977.5775368153,94355395.88072328,0.32037002678434784,0.29843386212922185,1.0,0.32888465518657956
361743.9674229565,249353716653.4298,499353.2984305098,694967.8903154995,824688953051.9131,908123.864377494,196915.490542634,69364283287.35738,263370.9993286227,501551.42493045586,446615413279.8002,668292.9097931536,65990625.33520268,0.3063775986821916,0.3091608734857111,1.0,0.26781442587683696
270840.33873852465,123252228676.9714,351072.9677388611,966107.1721186361,1861868722747.8652,1364503.10470437,222841.26941257826,122385803489.35266,349836.8240899643,593307.1274263264,783991961154.7875,885433.2053603972,94467823.25475337,0.33748155146653835,0.2858031255135246,1.0,0.3326512088900175
309158.3960479375,171966977128.68646,414689.01254878513,679586.3856661182,958972451286.8395,979271.3879649703,234994.11891407278,99748516268.0217,315829.88501410326,486859.40735003905,481692330284.1657,694040.5825916564,63587705.99626805,0.36361304012845125,0.267927758824306,1.0,0.3549748554258196
308979.937883689,212581268488.7628,461065.36249078915,973618.8320110562,1599463174148.1313,1264698.8472154671,233308.43740178208,112062602494.9599,334757.52791380195,595937.2732706702,444708906520.0291,666864.9837261131,93128051.18664883,0.28894709116753403,0.32612840505245944,1.0,0.3687980514275457
309727.0151300815,175974803526.12112,419493.5083241708,724825.4288338278,989698316806.482,994835.8240466022,213804.1577147656,72809116925.86696,269831.64552340214,509291.8580789774,497946718034.7795,705653.3979474481,67718084.99776348,0.32749735763283383,0.2924891193004944,1.0,0.35616513459609667
331320.8821758253,212794844767.22568,461296.91606082267,741555.2337924241,891614477973.2347,944253.397120304,154939.3212014375,39698178218.24054,199244.0167689874,650564.8347054155,509372293885.11914,713703.2253570942,72305703.3487147,0.33270490285702287,0.2914322138697779,1.0,0.2686160338851336
253132.94401287907,117476585512.86278,342748.5747787477,1084381.1781447688,2249323510035.595,1499774.4863930694,194477.86115932767,72917855593.25372,270033.0638889499,611390.8053197778,472742816942.2544,687562.9548937714,103826811.33584459,0.3122282286878391,0.3071501684842658,1.0,0.3501585979785425
241880.40914685468,113098510530.02327,336301.21993537765,859547.9515592024,1348139221328.9683,1161093.9760970979,192887.81805539306,99042061144.10005,314709.4868987906,512398.8346468439,361488905013.71,601239.4739317355,78880491.58557361,0.2883326820084822,0.32482863389665617,1.0,0.33083126242550126
292698.50831030257,168119597385.00327,410023.89855349076,667573.2495510199,875470472189.0848,935665.7908618252,226390.8243681366,105676066600.3833,325078.55450703495,477406.4139730794,318349378127.3536,564224.5812859925,58917810.37918568,0.33127123893889476,0.29055655836143635,1.0,0.39126093890854213
245034.90052996067,117900771311.65155,343366.8174294825,726045.6375068845,928283380104.0363,963474.6390559723,211952.67260114916,102019553547.373,319404.9992523176,495885.28280676226,321129827643.459,566683.1810133939,65191186.685970835,0.3543686951589801,0.2767532163650892,1.0,0.3323496288402903
308783.86101253866,165848234190.3499,407244.6858957768,774440.2438869752,1110297467984.8374,1053706.5378865395,251723.9827121077,104001658414.358,322492.8811840007,558815.334362081,581171565902.5018,762346.0932558794,72196046.63732433,0.3155825084868012,0.30307695657638317,1.0,0.32359821516826615
362603.37586624385,278146025797.01495,527395.5117338551,971265.1051282117,1828128692603.1309,1352083.0938234273,185968.7575276406,66956209433.41749,258758.97942567614,660694.9484248916,841695776508.6757,917439.7944871781,94321985.85677262,0.34204981990367617,0.28100208646999864,1.0,0.37051867686296125
281606.0501102459,143849627014.78308,379275.13366259995,902063.7241523815,1479556972904.791,1216370.409416799,239580.3872993835,229021533427.54898,478561.94314586796,557374.962346948,547197490204.98474,739727.9839271897,87348492.97819787,0.3341130632829972,0.2891642343813292,1.0,0.24652536020802482
257902.66449090154,116209656531.26094,340895.3747578001,929466.3198042464,1688046584676.5674,1299248.4691838461,298441.4297540538,285288153548.8322,534123.7249447287,677857.3298237253,906424262419.5101,952063.1609402341,84437830.36667448,0.29618631623112596,0.31900262233469867,1.0,0.30746538477135815
310515.6195756002,191512526537.30112,437621.44204472104,1025508.6839262448,1995391118836.9624,1412583.1369646753,210229.19207931962,96508245745.6628,310657.76305391564,667283.0362042312,522896827201.5907,723116.0537573417,98714779.2715778,0.3536055372060665,0.27624697420797506,1.0,0.3750915520941902
271811.2449553645,142001462666.45773,376830.8143802172,754900.646000167,1211533117760.8674,1100696.6511082277,184956.53606519534,61105772572.945076,247195.81827560326,545232.6817458854,373447730720.8725,611103.6988276805,70067417.3656899,0.3406665285323965,0.28333674435515255,1.0,0.4285198041683451
314211.92759383086,200719954036.5968,448017.80549058184,809781.95646289,1102414611623.0237,1049959.338080777,215007.79113325366,95745987734.15123,309428.485654038,608732.5904747153,486464912459.23157,697470.3667248032,75084278.98136769,0.31872312913776674,0.3017476990190739,1.0,0.28148918034156317
318408.0149869392,223813801365.26953,473089.63354238647,989754.5425104537,2347816732874.993,1532258.7029855608,326487.2530719666,276362412421.98975,525701.8284369855,695148.1803126315,1191031701311.6438,1091343.988535074,92841994.92196006,0.3170730208205672,0.3003434657977507,1.0,0.35489224195311814
319141.1778358106,199027344781.3411,446124.80852485786,747722.9181988485,1296551218350.8367,1138662.02990652,277862.4424355723,180584404735.8627,424952.2381819664,576978.167984721,1076877779899.2694,1037727.2184438787,68351222.91085772,0.33936695808375394,0.28486080966193833,1.0,0.3846809268205136
235913.1322159283,86538661286.75577,294174.5422138968,743047.5669136796,1326073458504.4067,1151552.6294982817,266305.52714867605,180672738311.63565,425056.15900917805,642025.6391760687,979186484047.2521,989538.5207495724,63985564.43336049,0.331396493455616,0.28890409343609036,1.0,0.30584668016496225
223123.290943501,99602188032.97113,315598.1432660388,674890.6460465349,933556625469.7527,966207.340827916,222182.65162549925,98445787802.8014,313760.71743097703,450482.1127772043,312069983794.29706,558632.2437832397,61315254.35564003,0.32263472981047325,0.2990364807593681,1.0,0.3784818198491083
325641.4858881869,199581939913.40002,446745.94560376264,1040295.2787643434,1961842461603.2913,1400657.8674334753,286221.70242622646,138281212419.3685,371861.81898572017,696623.7272219317,943275778527.8711,971223.8560331346,97622214.41072366,0.3396775032750199,0.2870047233299461,1.0,0.2738553090472757
266181.33750267304,144062006522.97455,379555.0111946548,811781.0088550048,1254984218984.5676,1120260.781686375,237640.18460603186,129920551244.88158,360444.9351078214,549900.0434937085,420805450959.24927,648695.1911022998,74876171.4378286,0.34290798273773593,0.2835560434184232,1.0,0.30168484680240487
268761.70554580446,135326293356.30583,367867.2224543875,879691.4818471335,1250107293742.056,1118081.9709404386,149433.73966273744,41229183140.03809,203049.70608212682,572862.6814496204,488643357667.3157,699030.2981039633,83320085.38210727,0.32501841365492234,0.29858590655364564,1.0,0.3637149644622574
193947.3878411255,80454582757.97073,283645.1705176218,622601.8839227154,704650428117.5161,839434.5883495129,181437.59406514265,88941658375.37079,298230.88098882517,425781.43061631353,294472444628.52637,542653.1531545047,56210903.25538586,0.33738684613889924,0.2881607288181146,1.0,0.25737973960274413
204658.22829416755,83186136089.79927,288420.06880555185,518367.11767281,457601583772.4372,676462.5516408408,213035.88892014732,96488364016.45244,310625.76199737913,406583.4155051835,243698865513.60452,493658.6528296699,42887774.71865986,0.3059885566173761,0.3068102683859895,1.0,0.329987704892865
241677.24350490523,127262903695.54404,356739.26570472174,808368.7487333772,1250711632546.851,1118352.1952170753,250240.90682576384,125823842499.78842,354716.5664298588,543048.4620636806,481222678337.048,693702.153908324,75049370.5561475,0.3060945995781979,0.3090951078277131,1.0,0.279959621885935
206666.0593641898,74753630747.87207,273411.10209329845,638906.4185021634,709277811634.5027,842186.3283350678,183166.74917060544,85746546357.32396,292825.1122382163,478313.69003024185,429460340034.3558,655332.2363765999,57608257.57817097,0.33515063101502607,0.28550064434086875,1.0,0.27732118116501675
224600.8511123472,97357991151.49138,312022.42091152904,635877.8822170194,687010371729.4781,828860.8880442352,182254.62992781817,59084642983.627785,243073.32840858493,464175.5367338798,364989610935.3889,604143.7005674966,57313635.62041078,0.3295141638772769,0.29426587744357097,1.0,0.2834820373603697
