source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
418031.18443353125,375549456324.77484,612820.9006918537,1034610.4132003293,2495328050751.022,1579660.739130723,1244153.3289262026,2873823762245.888,1695235.6067065983,100152682.5286749,
332620.5968095731,223722815940.68094,472993.4628942359,767864.7828243283,1060774973990.3483,1029939.3059740696,851603.1645573699,1135521202739.9065,1065608.3721235988,72950771.46207093,
292762.7512115786,190091428397.972,435994.75730560336,893712.4023987383,1645903225264.989,1282927.5993854795,846702.1074385915,1673062193470.6338,1293469.0539284786,87607470.93403135,
621719.962469586,1125408262453.2163,1060852.6110884661,973193.4744813261,1642474013622.2764,1281590.4235059952,1046503.7779715373,1888094196347.508,1374079.3995790447,87278877.13247865,
447852.4552551676,597784220883.8157,773165.0670353748,922158.7708569254,1395614575567.7078,1181361.3230369901,827347.4771635453,1233347550055.4734,1110561.81730486,81585451.83655827,
455687.55831268936,428800393785.27576,654828.5224280291,979943.0997467181,1523332692931.686,1234233.6460053606,961116.395323794,1529155451535.916,1236590.2520786407,93272772.39018363,
491827.0051304713,437329664052.81146,661309.0533576653,1136172.880996217,2574010799406.5356,1604372.4004751937,1150243.2294620767,2108307391316.8904,1452001.167808377,111720883.41688177,
340678.13926404517,227098145563.33575,476548.156604698,1080868.8590046724,2439291668584.972,1561823.1873630804,1221034.0355919937,2363119728208.679,1537244.199276315,106736587.0574025,
270676.8441101069,131303454469.20972,362358.1853211125,701869.0625624256,806152922216.5472,897860.1907961769,857795.4053828109,1259534078300.285,1122289.658822661,63953877.6924257,
465341.53615542507,461295277147.993,679187.2180393216,916248.1490796731,1688150901451.45,1299288.6136080197,836309.8773440071,1176559695392.4863,1084693.364685378,86823701.39247705,
306935.80391655874,196018180115.26822,442739.40429474786,725593.3061812712,998987126528.9934,999493.434960427,751007.5246274242,1046111768656.7677,1022796.0542829483,70087504.26354702,
491517.50321090297,433763279069.11127,658607.0748702228,1150567.0913157703,1981011671862.6143,1407484.1639828898,1140045.4795259396,1983433910824.1143,1408344.3864425044,108717044.55967957,
542961.7935473919,625853518860.0632,791109.0435964332,1041293.8424748043,2400996540010.746,1549514.9370079483,1105355.2828880316,2269258412157.427,1506405.7926592778,101838188.42886503,
356294.57868523593,362542761819.59235,602115.2396506771,970518.2509627109,1665406343966.3896,1290506.2355395225,1070493.4527667891,2239731310788.1436,1496573.1892520804,91762071.8037474,
420854.04882799916,441445583682.27515,664413.7142490929,913144.225751651,1406267067195.5527,1185861.3187028037,951906.7796069093,1468580635585.929,1211850.087917614,86200634.57983372,
359031.5671975293,248841888283.1631,498840.5439448192,712103.9099762383,792501772685.7422,890225.6863771918,692274.387235055,750728626026.7516,866445.9740957607,66836319.90787291,
660352.1565804787,918383510517.4779,958323.280796975,917420.4742132337,1340670689479.5986,1157873.3477715077,974233.616296277,1309297221852.8787,1144245.26298031,85477614.75042826,
550815.7265945628,655516705272.5424,809639.8614646776,979191.3186242902,1877696958312.6653,1370290.8298287138,1054022.0354031853,1805516593694.2307,1343695.1267658265,93515087.75657438,
