source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
466907.2416956758,468031607322.345,684128.3558823921,1047081.3775986743,2433112393199.2773,1559843.7079397659,686324.2912773505,903647938689.1112,950603.986257743,103831992.71073748,1.270677179185818
330341.8380751578,233897591803.02823,483629.601868029,781741.7232661092,1008975823922.1278,1004477.8862285261,568953.9143105005,472829419019.712,687625.9295719672,70424977.36439785,1.3203684243441751
295565.7770175764,191593370796.07742,437713.80009782355,917553.4044700058,1663368208475.3625,1289716.3286844757,641285.8367542886,823947218786.9653,907715.3842405478,86789940.71073765,1.3429820951733824
659475.9530674742,1223716182910.7217,1106217.059582215,933386.28316413,1480742075072.5425,1216857.4588145246,764989.1858600271,815376514431.8281,902982.0122415663,81340398.68535767,1.365318151067966
447510.45875668206,605725492211.2396,778283.6836342129,893115.5525894719,1342090049926.0583,1158486.1026037638,678549.4127609017,737585863321.8289,858828.191969633,79806588.47588857,1.3696663184975089
412680.6252202898,364758835784.4081,603952.6767755965,1014544.3327575676,1576680710825.9778,1255659.4724788954,709660.5053311171,626080367872.0618,791252.4046548369,98141184.06309187,1.3505908380403566
495876.5505544144,440600374815.1766,663777.3533461175,1132236.110103397,2544624575755.2827,1595187.9437092303,708032.5791083503,578582085710.8531,760645.8346108609,109922081.12757789,1.3041333788710248
312205.4463441197,174896628816.5913,418206.44282051816,1127029.6079630125,2427323988653.5103,1557987.1593352463,723579.1150910483,696428405306.7772,834522.8608652834,110100315.38393879,1.3263594609182228
269217.4982418297,130738353569.87637,361577.5899718847,728886.5658536184,829632120350.1133,910841.4353498161,634037.4202062103,631042494118.105,794381.8314375682,67277690.6794776,1.3347797644350232
475826.6691325512,492211777112.3293,701578.0620232715,896240.0816346077,1689833402798.669,1299935.9225741355,594652.5559532923,450533017664.7727,671217.563584843,85416038.89809628,1.3481417162255966
295509.96506570966,177688996310.4711,421531.72633915837,737437.5418611632,979408546731.2972,989650.7195628654,560593.1544160214,580937769157.7034,762192.7375393335,68445963.89994389,1.3500827704528202
450456.6590088725,393059951550.68176,626944.9350227512,1196870.7416463625,1974500204880.4211,1405169.1018807741,849623.0090943028,880239205220.9354,938210.6401128349,114181573.97123027,1.3438585426721068
