source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
433080.66242047783,416884025706.59015,645665.5680045128,1043397.023708481,2412527308313.9194,1553231.2475333218,863939.4021961635,1827267191385.5376,1351764.4733405067,103668978.54252857,
321780.82447006874,213513711186.69025,462075.4388481282,773245.4457704523,1024431780694.0233,1012142.1741504616,655300.9082833655,754753874297.2618,868765.7188778007,70632870.78930975,
296792.2373846624,198430491681.10434,445455.3756338612,918782.274702915,1701677755478.407,1304483.7122319338,769389.4831333801,1236137228686.2056,1111817.0841852564,89221747.29282227,
633150.263257662,1217097720791.2898,1103221.5193655759,914029.400856299,1464220904640.1494,1210049.9595637154,791285.279479103,999013829470.8228,999506.7931088926,81342727.55350122,
442421.48394188966,599005393393.2836,773954.3871529404,882712.5462975559,1346218312953.087,1160266.483594647,761716.9666527148,1006805511747.0692,1003396.9861161978,78324780.77302742,
435163.24226188596,388799017469.752,623537.5028574881,992804.5463063786,1546384126151.9153,1243536.9420133505,858812.100226925,1010433088631.8953,1005203.0086663566,95395779.16768661,
482676.6091778342,432543633648.7642,657680.4951104786,1138988.8832761417,2588770901447.4634,1608965.786288653,922951.0512768588,1732524347917.4043,1316253.907085333,111249088.30260885,
304133.9804756766,163891898932.46823,404835.6443452926,1131360.576386723,2433123978546.662,1559847.4215597697,900888.4533893578,1347095546788.781,1160644.453219323,109471241.90062441,
264286.55865515734,125685515405.32773,354521.5302422798,737818.9297648726,837120822758.6301,914943.0707746958,668385.1155131735,651535618519.8053,807177.5631915231,67692490.40806454,
491368.2790773753,490107217439.8082,700076.5796966845,920168.8561406679,1717403356387.5837,1310497.369851456,761942.3154785922,945073541379.7407,972148.9296294785,86987096.47020076,
304429.3628014824,189702084857.95517,435548.0281874264,748807.5603262746,989889218259.7454,994931.7656300584,642210.8820586925,730922420207.1986,854940.0097124936,70193538.23457257,
487371.1599483316,429360394033.05426,655255.9759613447,1142131.290563602,1864172626103.7766,1365347.0716648484,960595.8311287516,1232155656960.0615,1110025.0704196107,106370656.53689304,
546810.4511714167,662018153580.3516,813644.9800621592,989933.7402690405,2348782206969.865,1532573.7199136182,893936.1841143549,1872037915941.278,1368224.3660822876,97171571.45137583,
352337.14418676414,365496442070.14856,604563.0174515711,993691.2325868015,1730196329319.6006,1315369.2748880826,837357.42262628,1301024215387.2258,1140624.4848271608,95549453.62070699,
