source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
446240.600388042,467978662041.76355,684089.6593588911,1055210.7516740856,2399677308587.859,1549089.186776494,226852.0790163678,95352320635.62589,308791.710762491,686361.4721239322,903871425433.7081,950721.5288577976,105818225.12929848,0.3481946492963232,0.27718773644075,1.0,0.44901270082946354
333532.49627195747,215606517480.57742,464334.4887907611,789317.1554758508,1010404949316.8633,1005189.0117370281,243264.50589701955,113917274277.92339,337516.33186843473,569069.1797110356,472972495031.6378,687729.9579279921,71924819.51028956,0.3343546409960225,0.290827582497317,1.0,0.27371636031484636
308105.8509327329,212935401092.70633,461449.2399958053,903777.5865506077,1621616093547.849,1273426.9093857915,186681.86182209916,72951354797.71198,270095.08473445417,641180.4763234116,824118941353.6447,907809.9698470185,87598755.70270261,0.34548920423425594,0.28282937709552364,1.0,0.25557947460986286
644294.5522824485,1152986521350.2156,1073772.0993535898,992494.3450861016,1663068741527.007,1289600.2254679576,315296.7179613174,262471401560.9325,512319.62831901386,764786.4986195947,815040634101.577,902796.0091302891,91219488.74239282,0.3366280450810181,0.29277654519829505,1.0,0.3795795680161125
444936.972413961,607006845305.9518,779106.4402929498,925540.416895882,1384365918754.1975,1176590.8034462098,297449.5989059616,275889994562.6298,525252.3151425702,678753.5126446189,737870457806.3317,858993.863660464,81899075.97350265,0.3303255653385519,0.29356430872649647,1.0,0.2755152355307963
436847.42097362975,379761030214.4098,616247.5397228047,991897.5397861521,1568466053884.1565,1252384.1478891997,226703.8374650449,118192412413.42325,343791.2337646544,709875.0917767807,626393621107.7926,791450.3276313635,92385842.82527196,0.3461393901633281,0.27873092022692497,1.0,0.3439899600688554
491093.457389462,452827257371.8063,672924.4068777758,1164200.1687665188,2627305234269.791,1620896.429223592,173268.20014675628,53106878147.60225,230449.29626189414,708173.4312553857,578835832924.4373,760812.6135418874,112111402.92944717,0.3500043300235232,0.27701887537736436,1.0,0.4249245188859756
326512.2154683835,197269830068.24728,444150.68396687997,1102145.5732648917,2357832875344.8945,1535523.648578847,215447.83004097955,81197545399.91493,284951.82996414485,723970.9256498072,697185408916.6316,834976.2924278937,107158670.21763952,0.3568565682086611,0.2707476723145772,1.0,0.4923304096105337
273980.8085630755,135298597782.288,367829.5770901084,706387.3339669323,795389084928.228,891845.8863100889,179493.1729668119,74059598084.13242,272138.93158482935,634141.7461255201,631206851455.4834,794485.2745365916,65018281.907664195,0.3353027365105289,0.29016164075414513,1.0,0.30670232095295574
482233.6217866931,442599649803.04297,665281.6319447298,926177.5892061553,1728470881721.9617,1314713.2317436992,176750.89861618864,57446655043.325714,239680.31843129237,594798.6743756509,450728000344.3499,671362.793386966,87738792.5376571,0.3378832842042078,0.28779730338233744,1.0,0.31431105182656266
308289.093634475,197649765511.894,444578.1882997568,702694.8576011758,940653426062.1466,969872.8917039318,238775.13385556673,122363851434.30342,349805.44797687675,560849.3262951992,581273474343.8638,762412.9290245961,66280983.12565726,0.3622547150845057,0.2686605861295114,1.0,0.29066503572345564
486422.8074648279,424226147511.5875,651326.452335223,1144523.1553537685,1976497130310.1357,1405879.486410601,238745.50957562783,120414893187.58852,347008.49152086827,849845.9038604392,880645629243.3855,938427.2104129257,107031536.70546365,0.3578556400573694,0.27359608072931496,1.0,0.27228174652518256
554092.4504422774,663474544974.8943,814539.4680277281,1052997.5896571802,2332783821222.685,1527345.3510004492,234547.12964582443,116453182799.87102,341252.374057487,749723.9353149764,990316379894.2087,995146.4112853991,101145802.17297545,0.33583664558104015,0.28830852772410454,1.0,0.31600575638425
362285.6369652501,369310162693.2152,607708.9457077419,1050887.371676389,1853140556209.305,1361301.0527467115,275528.1938540186,198929801234.09457,446015.4719671668,724287.8511414883,1114205211187.5095,1055559.1935971708,100713270.06988694,0.34009894102245775,0.2851186479453935,1.0,0.3007463812341529
431425.1977859341,443123014253.65247,665674.8562576572,882579.6236389114,1361299116833.821,1166747.23776567,204024.70721658051,95878697367.41888,309642.854539579,642947.8075936151,610739352669.3223,781498.1462993512,81806509.741857,0.31249499762222727,0.3054404869487002,1.0,0.31035412214104474
347900.5492265628,245929100789.0126,495912.39225191035,723184.8205061937,771717784635.8849,878474.6920861665,176526.4001138174,67312437829.22091,259446.40646811994,578630.5484356177,469548573862.5639,685236.1445972942,67910914.06246416,0.32660199266447254,0.29366589776780716,1.0,0.2250908909325863
613155.466276542,984598255842.6274,992269.245639825,884835.0858632666,1235617724989.022,1111583.4314117057,210435.72335622256,91336312956.40173,302218.9817936685,780196.8273857934,726814579689.7462,852534.2102753099,84989267.33413863,0.3327977148731174,0.2942586013110075,1.0,0.25581676089260724
541475.2503202538,613193933507.673,783067.0044815277,1014322.8168282971,2045127639376.2043,1430079.5919724903,204475.49731620972,77596858701.20966,278562.12718388275,714446.0216844517,943631887938.0819,971407.1689760592,100000930.95827363,0.29547398041079814,0.31502835221974373,1.0,0.25232898673241017
448467.3104033581,543262148719.7471,737063.1918090518,948716.8948669606,2107487722850.161,1451718.8856146224,382682.5260007161,367623497683.4243,606319.6332656764,736845.4991572503,1261752865330.5994,1123277.7329452406,85923155.46303639,0.3167248523423514,0.29999169238331386,1.0,0.29278247476568947
520864.6202914195,731497372117.5216,855276.1963936104,980256.5591197431,1508315537678.259,1228134.9834925553,199606.92765644897,69599010915.5751,263816.2446013799,748946.6934290895,755264338461.2532,869059.4562291197,93201812.70376518,0.29144927948753097,0.3233186235540772,1.0,0.3254036729652211
384884.83530168765,342586341802.51917,585308.7576677109,1219468.8482102717,2592747663313.7925,1610201.125112572,164114.19400256465,55143265685.34146,234826.03281012404,634172.9397839658,635985380609.1382,797486.9156350705,121406435.12656529,0.3194064854650502,0.29870495546554143,1.0,0.27405355820292016
338447.58903888834,251921729669.39728,501918.05075071496,741541.9103371266,982852316781.1079,991389.0844573124,192689.779005839,87209115043.6812,295311.89451778133,624515.7796104518,478555476412.98456,691777.0424153901,65832432.006250225,0.33030457731562457,0.2918787672226689,1.0,0.36087968494687145
561441.4136938327,610846581320.9604,781566.7478347325,1402658.84750364,3501503524295.5674,1871230.4840119423,247718.27626606214,117938670900.26369,343422.0011884266,649346.5413715682,537617069942.6214,733223.7516219871,138078570.467613,0.36219703191322783,0.2725584432521287,1.0,0.3117444434182052
322636.1526502015,222803195086.0786,472020.33333965455,917963.3943780324,1370286497768.4473,1170592.3704554234,175055.60748872723,81319477169.2599,285165.7012497469,594967.3770666186,432171291904.5586,657397.3622585952,85311493.88566804,0.3590911937829446,0.2737015644397548,1.0,0.3033335845322818
365399.957716205,359998772402.0024,599998.9770007966,829938.246488922,1082854710357.1266,1040603.0512914743,132641.66645064735,42070967942.13586,205112.0862897549,668804.514936731,517305196402.1054,719239.3178922475,80347282.10418282,0.3083222307622241,0.307224330744896,1.0,0.25170431727159626
631055.6519879703,1040863160019.1772,1020227.0139626657,1244436.561261419,2275131001422.862,1508353.7388235102,190315.90525872004,67965825863.77231,260702.56205832024,817010.0198272263,807394659092.9087,898551.4226202687,121396827.77037033,0.3536783517754625,0.2759484056136828,1.0,0.2813742118820067
421391.298584205,454260098720.3043,673988.2036952162,917403.4259187541,1422505114873.4368,1192688.1884522194,171044.399213096,59340810870.08307,243599.69390391908,740179.2353939465,945410266550.0975,972322.1002065609,91408117.01068647,0.344742783343118,0.28577643096833544,1.0,0.26155992316195453
544029.6244799532,702499087434.8828,838152.1863211256,767222.5589013076,935483553941.6898,967203.98776147,215374.23325417333,86884246161.23386,294761.3376296726,596267.63847212,466485608626.5821,682997.5172916679,71812750.25425218,0.3542281812606699,0.2738022143113713,1.0,0.2932787091800687
407175.78013207804,443131037491.23773,665680.8826241278,927693.4890825844,1821681336778.7432,1349696.757341716,311294.52833539696,244237527932.15686,494203.9335458155,718734.4848903023,790721705707.8947,889225.3402304135,84222388.74757396,0.3341289875683981,0.2884547217132632,1.0,0.3860551441762643
282307.25479782483,153554042703.8521,391859.72324781236,756960.5793124397,1135714307288.9116,1065698.9759256183,196338.269086588,80234067506.36159,283256.1870575144,575486.7354643899,769052555890.9636,876956.4161866675,74183120.33234854,0.3575828121954465,0.2752566148124099,1.0,0.3805962334359778
466649.36867064645,536980630633.5121,732789.6223565888,978183.949394413,1833157022257.9207,1353941.2920278045,212624.85125299793,92377677437.59145,303936.9629340786,710797.4629383328,663845868527.3024,814767.3708042697,92551993.2278511,0.3255127589482795,0.2981625252905526,1.0,0.2819833979811971
512540.444915173,662018197332.6156,813645.0069487402,1059671.5214662799,1728246226658.9282,1314627.7901592252,198546.7019413669,86414517102.07812,293963.4621888886,652445.0036519378,555074471845.7649,745033.2018412098,102332813.02139606,0.34587178163294746,0.2799050956884671,1.0,0.23142026266602875
452639.39097258163,467653871217.9759,683852.2290802129,1261438.6482481982,2547523552973.642,1596096.3482740137,186925.44417333067,72566800631.27698,269382.2574544897,620601.9357345741,472824617432.0846,687622.4381388994,122487608.83139025,0.29514185880707,0.322691501749818,1.0,0.2597854577705667
601566.5967434546,1043832934161.0548,1021681.4249858195,978003.6066841519,1729252265435.0703,1315010.3670447129,206818.32019679208,90098049337.53873,300163.3710790488,757650.9072698029,957015570544.3171,978271.7263339042,93054625.96144468,0.3234484713870997,0.2977342797062409,1.0,0.28918276376383856
223802.64463894803,86059958126.35455,293359.7759174808,612552.4375570432,1016031112813.9583,1007983.6867796811,262346.66818641,132193800433.0002,363584.65373692574,481818.90315573156,754929133243.6998,868866.5796563359,58693240.19088583,0.2981018259432953,0.3191457962432732,1.0,0.2494754540489729
587273.5670245128,795684794186.517,892011.6558579921,965117.8267961135,1449294309686.3252,1203866.400264716,159777.89360130345,62599236301.14651,250198.39388202818,671880.8320677665,603243000642.5151,776687.1961365882,92063511.39202155,0.3129336249559887,0.30580923624989403,1.0,0.2954673324327191
539737.3634738814,702253026089.645,838005.3854777098,861610.3493888467,1104148066910.1672,1050784.500699438,139513.10396280573,33068788079.64512,181848.25564091923,815558.1297589358,802604364015.0592,895881.8917776267,85136080.71040072,0.3436809253384267,0.28385044098856077,1.0,0.26232923518267764
258670.77364237953,124088803870.06285,352262.407687881,915430.983909368,1300578277994.5469,1140428.9885804143,240526.17492738555,96975758686.13573,311409.3105321929,620885.9485635408,532306855367.58154,729593.6234422431,84356915.33718468,0.3324893520580232,0.293728112714299,1.0,0.351238075862085
503479.73392353713,792883087986.8708,890439.8283920542,879959.0357492319,1667312894646.2556,1291244.7074998044,265992.23461636464,224303302114.6246,473606.6955973327,581102.0753463294,603264330008.1078,776700.9270035074,85616318.11798455,0.3351224730315068,0.28899101739033706,1.0,0.41099000000732366
614628.391000226,732904844493.2107,856098.618439027,1442533.663043637,3374214281313.7964,1836903.4490995428,197837.66256926744,80691520082.24733,284062.52847260115,948145.8476326967,1040210880418.7883,1019907.2901096395,137436757.82301614,0.33832894358184806,0.29042987427538697,1.0,0.31508175169021974
674564.5309650475,1039635267102.5366,1019625.0620215926,1085693.4841101351,2328509347012.949,1525945.394505632,281041.7248260314,129270028956.8083,359541.41480058775,833417.903594416,924711545129.7499,961619.2308443867,102258395.40898083,0.3446196877266092,0.28514207836757327,1.0,0.2873305210587259
647804.2591175077,1154402854073.5415,1074431.409664452,1406527.6574950328,3103198036464.323,1761589.6333892078,269105.5028557804,137038927037.51135,370187.6916342727,889115.3598082634,948028129093.3408,973667.3605977253,135923940.0384028,0.33583410320860746,0.2922733635080715,1.0,0.25684212063674544
591624.8266321314,1041524653917.9713,1020551.1520340228,1352421.7767027903,2805919769452.753,1675087.9885703775,168942.30031566176,47514499224.8677,217978.208142162,824835.9423401877,794526452455.4897,891362.1331734313,133495750.2001632,0.2939024409189633,0.3222148891465979,1.0,0.42786451629400574
348216.3391624714,255305712039.85797,505277.85627301934,863326.5756770383,1281479060150.2554,1132024.3195931152,231463.93391046757,100448231067.07944,316935.6891659244,634752.3238477753,644514000234.853,802816.292955526,80842874.24568015,0.34480083420700386,0.2834092008982003,1.0,0.23582604801139032
482673.30166988185,474120913877.9589,688564.3861527831,873709.7239355647,1507038148539.81,1227614.8209189274,173533.13280785125,66244433263.263504,257379.93951212184,605662.6668205076,811072491369.5083,900595.6314403864,83486255.04816684,0.31404304914555464,0.30084718132959576,1.0,0.2574567951922054
449116.41821659816,552189749724.5021,743094.7111401763,1217757.3492259146,2670428042729.6235,1634144.4375359307,293313.276589777,264975090098.2401,514757.3118453395,841097.4351860891,913720726437.5135,955887.4025937958,113089980.70053563,0.3343366945972388,0.295714653821078,1.0,0.3430457394839467
390097.6799951362,337517478542.8692,580962.5448708972,701497.990281981,723571635253.96,850630.1401043581,187032.94763225675,61714141010.4144,248423.31011886627,517269.9609142484,345457868795.3349,587756.6407922031,66009499.99895251,0.321651368772324,0.29627999304406133,1.0,0.2513271729127219
430667.6301311332,581013996441.6809,762242.7411538144,785709.415433334,1059120015146.3306,1029135.566942631,164964.59953425045,47997838417.09003,219084.0898310282,665750.4985721385,558510378757.9697,747335.519534546,75712217.22248815,0.36574050437384553,0.27113766984931253,1.0,0.2933493164427799
314430.64254502975,191201982162.66638,437266.48872588715,819306.4694420183,920777383957.6488,959571.4584947015,188107.54708944357,80986288725.42032,284580.90014162986,591885.5988066612,440948557212.2533,664039.5750346913,76483713.70142658,0.3241052911346241,0.29646394526106473,1.0,0.25979772651470473
341110.74321465864,214329957149.59122,462957.83517464227,1053671.3226771306,1935776330861.794,1391321.7927071343,265818.60668241663,223752699388.0871,473025.0515438766,733982.6376954846,1098209890118.2078,1047955.099285369,100800403.7889578,0.35469040366690924,0.2762425049054297,1.0,0.2789063913119557
405735.5695435467,359804179322.6394,599836.7939053418,1214361.3026191106,2405410300476.13,1550938.5224682924,170970.62634946406,60110904386.31627,245175.25239370362,710484.7861177294,683032161832.2704,826457.5983269017,119098242.63569294,0.33286841131767514,0.29575217560024814,1.0,0.32638129578943403
377124.1663435655,311605183870.2094,558216.0727444252,969549.8505075504,1758991907106.838,1326269.9224165636,255764.83249741292,183371400378.58646,428218.8697133587,709134.4315072803,1047571242522.3281,1023509.2781808713,93062762.72006841,0.34155540968356096,0.29007861299814874,1.0,0.3663044779480624
571318.1228916972,757706457515.5879,870463.3579396596,975065.2914961976,1508737817813.3445,1228306.8907294075,169328.48637256643,59193975831.84163,243298.12130766985,676102.4731210881,592416503497.8157,769685.9771996731,95711998.79611602,0.38040885297031635,0.2572711595251776,1.0,0.2629112089304459
433503.8675147753,327462909138.9344,572243.7497596059,976516.4395088147,1642537528700.6328,1281615.2030545801,277290.6379252534,222645656851.8394,471853.427296909,732669.0734355636,821187371815.6656,906193.8930580285,91505531.18305025,0.30411638234116545,0.31510345277472396,1.0,0.2564988974219149
487862.8609257145,574061190767.7179,757668.259047268,1269352.6704181,3039767875552.8613,1743493.0098950386,234380.75574698273,91949855917.76382,303232.3464239325,698601.4573604376,879284250112.1538,937701.5783884304,121876203.54518528,0.35743059124715576,0.27285775376343957,1.0,0.28657355501463555
335402.90555670176,240655123224.07974,490566.1252309211,1068106.3004813762,2189088408920.9216,1479556.828554051,239665.64720113584,101010972527.71263,317822.2341619803,727391.174334878,1027710243741.7614,1013760.4469211459,107292497.18060587,0.3426971519885874,0.28752668782411334,1.0,0.30596465794336586
276044.0457452555,152257726564.74963,390202.1611482305,660491.3476867023,708259729372.6228,841581.6831256624,184473.9739305132,81110364254.77408,284798.8136470622,480860.6395709394,308748626837.0187,555651.5336404811,59182160.93830586,0.3066194144429082,0.3150738665296912,1.0,0.2942136385143536
346975.2301465371,350864337420.22784,592338.0263162478,814613.8924696604,1091173844999.3538,1044592.6694168181,212821.3601947624,89213845032.34473,298686.86786054843,507826.80912417546,433569941234.1979,658460.2806807696,78923449.94946867,0.35282359659194495,0.28076137354460917,1.0,0.27520451920549577
