source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
411088.1720413326,442610551953.79846,665289.8255300455,664649.2193997871,825725812417.3784,908694.5649762512,308176.1344558285,162223840561.5884,402770.2081355924,664882.1369701585,817907005494.1122,904382.1125465232,,,,,
246999.81283136972,164729818169.67197,405869.2131335807,537282.0024517212,408064827872.6065,638799.5208769387,241005.39119084072,97171161960.75479,311722.89290450705,542488.3376919299,410006231576.21375,640317.2897682943,,,,,
406265.56110547634,392120925651.14575,626195.5969592454,634317.8137106578,784212615057.482,885557.798823703,291196.47689331794,145704994298.74774,381713.2356871422,638892.6967005918,793018576753.1802,890515.9048288695,,,,,
645661.7796906553,1347488102576.5002,1160813.5520299978,670121.504433703,669468011592.7466,818210.2490147301,266876.4552045143,121788843573.51491,348982.58348163293,672364.6290490136,674361319644.5317,821195.0557842709,,,,,
518225.13993775815,591609855537.9672,769161.7876220627,687626.7007743798,766671235521.9585,875597.6447672518,306469.3209303764,191595508940.44446,437716.24249100516,682737.7388226065,754532550228.3573,868638.3310839772,,,,,
443678.8703627153,453068431342.73615,673103.5814365692,701662.9994438781,629686158361.722,793527.6670423798,239745.61844155437,110014851782.29736,331684.8681840903,698787.5868989201,626813439158.6227,791715.503927151,,,,,
392686.3120303694,379080415647.31024,615695.0670967815,693838.2296422285,575611617753.2212,758690.7260229435,183447.46047885087,62364062632.52353,249727.9772723183,692587.8887089443,571235352019.068,755801.1325865211,,,,,
254067.16812397595,127978277352.68344,357740.5167893112,702690.6797497753,694834984535.337,833567.6244524717,319876.4259094633,203369536233.185,450965.1164260768,701443.5384021509,688376172339.634,829684.3811592659,,,,,
319839.7033157062,204797810547.3609,452545.92092666234,611245.0643356704,613648259607.662,783357.0447807704,310580.8833808701,173616972561.27042,416673.7003474906,614095.444768178,623953653131.9504,789907.3699693847,,,,,
378064.50791335845,355269152729.81445,596044.589548311,591789.4356025807,441402395383.4178,664381.2123949757,204388.94497453197,63509907714.858826,252011.72138386505,596520.102117157,455837919131.7473,675157.6994537996,,,,,
297127.99471158365,167246768396.18277,408958.14993246284,510771.52293440356,456502896294.84033,675649.9806074447,253711.36585902222,107431087369.50519,327766.81859136565,513927.7200239231,459828349727.59924,678106.4442457388,,,,,
468015.22183559596,418278128005.7904,646744.2523948632,839939.4597095796,857128387348.0787,925812.2851572443,249400.7036965277,109330219987.21095,330651.2059364232,850115.21793225,886820226291.6959,941711.3285352874,,,,,
523410.4191054535,735587469643.2771,857663.9607930819,733422.7134855756,925446427543.5867,962001.2617162134,338168.9727749826,185156695507.53622,430298.3796245766,737018.9040953289,925629631993.452,962096.4774872903,,,,,
357613.5229345169,478507862091.5246,691742.6270597501,696922.7850726671,999071456247.646,999535.6202995699,320203.3550722709,188266247915.88785,433896.5866607939,690910.3141029819,982967892395.2172,991447.3724788508,,,,,
390682.03984605387,555675686110.866,745436.5741703757,618524.3554497386,566606019791.5327,752732.3692996952,299607.35411524697,188925219949.2881,434655.28864755353,616134.3756186508,565485335303.7568,751987.589860203,,,,,
359697.58708062593,300446755930.024,548130.2362851588,600129.9493361909,500087906903.21173,707168.9380220342,192662.68813366216,67950870486.148346,260673.87764436303,591913.5286627373,485152273631.8995,696528.7313757412,,,,,
597581.3541433164,892935860082.861,944952.8348456662,771365.3213640705,714541152270.56,845305.3603701801,213016.9573832513,98311808952.70105,313547.1399210987,772611.6578892625,720293159755.9795,848700.8658861964,,,,,
357781.00980361603,242088696734.6774,492025.0976674639,693788.8553310962,887724155853.6793,942191.146134201,296602.9132873458,143264446803.7638,378502.90197535313,698085.2059641279,892182394117.7445,944554.0715690894,,,,,
420045.76096950995,773627727211.3143,879561.0991917016,701009.8533141284,1167429958292.647,1080476.7273257887,461801.4578885833,397671620428.37427,630612.0998112662,704272.4634262171,1187192220809.9194,1089583.5079560995,,,,,
593570.6441684942,828395321742.787,910162.250229478,767046.1601628889,858160391597.1394,926369.468191358,243094.75977169833,116483902935.96889,341297.3819647155,760788.5458525966,843665667690.543,918512.7477017088,,,,,
344673.4265034168,374613456577.8634,612056.742939626,601157.0596918457,586843726798.5153,766057.2607831057,319148.92427690985,263806797255.69794,513621.2585706494,605144.748452244,603509650443.2295,776858.8355957789,,,,,
311069.4908385213,231964777893.06277,481627.2188041938,629640.8749815761,482675020965.95416,694748.1708978831,254355.7144959557,124833852704.30882,353318.344703907,624924.3634282206,477189680325.90564,690789.1721255521,,,,,
443518.1426744393,519305080067.8317,720628.2537257554,604726.0049084765,504822387508.57764,710508.5414747507,234800.42747826426,104060258249.6589,322583.72285293456,601174.2596134031,509848269368.09283,714036.6022607614,,,,,
317799.7652084773,253741335331.42368,503727.44151120423,587807.8869667982,445785338739.6485,667671.5799999641,221455.77518134587,92610785573.74574,304320.2023753036,585356.5413248027,450246178511.2015,671003.8587900978,,,,,
367559.7217082263,438140609795.50714,661921.9061154474,672478.8756575467,552286448098.3679,743159.7729279808,169621.28207326104,57819186499.65263,240456.20495144773,673168.0423022861,552274254299.17,743151.568860061,,,,,
611967.9205366796,1081538096428.7031,1039970.2382417985,743762.3790733252,714238798523.554,845126.4985335355,255630.36003484813,126242488494.58913,355306.1897780408,760766.7155927409,741203971244.4025,860932.0363677974,,,,,
435383.17407364625,538280573651.73883,733676.0686104862,739237.5748207415,936048608871.4471,967496.0510882962,293456.573451282,153117213058.81204,391301.94614748855,733703.7133638067,913753290654.5692,955904.4359425105,,,,,
466892.32257121935,526746130872.86395,725772.7818490191,610560.826214199,544799815549.47345,738105.5585412383,230446.10754575673,107049783061.90039,327184.6314573782,607741.615309486,540173352736.721,734964.8649675173,,,,,
342790.16199656413,261593121858.1969,511461.750141882,695201.8144993137,759159835008.0715,871297.7877901858,264652.00896108395,118946287422.52295,344885.90493454924,693249.8134026243,749925523593.8098,865982.4037437538,,,,,
198226.21210896593,79302841540.28938,281607.60206409445,551885.8093061,724692134756.1963,851288.5144040158,266132.74874263565,109997980785.57875,331659.4349412945,551705.5500537741,721633477435.0735,849490.1279209038,,,,,
488368.708486403,812808045745.2704,901558.6757085033,705435.2527179813,632433642294.2831,795256.9662029268,320969.9667781152,186940350144.55444,432365.99096662825,707295.3656715204,638247306469.2505,798903.8155305372,,,,,
536945.3930100234,1126569727498.5432,1061399.8904741528,614189.0881720344,499519935170.6629,706767.2425704681,254477.05927328844,118002117398.54254,343514.36272526154,624479.2969475201,518512659114.70776,720078.231246236,,,,,
352341.5910166639,341452727519.6939,584339.5652526824,580479.638697623,458039938783.41956,676786.479462629,253732.9240906012,113708891726.75844,337207.4906148415,580513.414811822,476855381739.8727,690547.1611265031,,,,,
626311.585439455,1375015001505.216,1172610.3366017272,758892.3197863601,974444513391.2269,987139.5612532338,262048.19366096146,114265554816.07431,338031.8843187345,752774.9005052258,957318823926.5089,978426.708510407,,,,,
188609.5486406335,78359466122.60359,279927.6087180462,447642.96791472204,720428838407.9581,848780.7952633932,249492.34966536154,113983502777.64801,337614.4291609113,448133.1217605909,713779122126.3778,844854.4976067641,,,,,
561896.5098420776,862462233182.5597,928688.4478567394,642296.5730307414,563327235074.7351,750551.2874379306,206071.3447227704,98207847702.62271,313381.3135823875,639080.6299361768,554377921175.6099,744565.592258741,,,,,
555962.9627818451,843076428501.9574,918191.934457038,770917.9470565026,727900349861.8434,853170.7624279229,199343.5713678943,68502805616.571396,261730.40636611445,768750.7653021899,728195294088.338,853343.5967348311,,,,,
243377.08770860915,146183918902.06735,382340.05662769283,593399.490648348,490841535199.2775,700600.8387086598,267447.96926035726,136407299975.28748,369333.58901579404,590943.2242250452,486736095902.4236,697664.7446319927,,,,,
356799.378299526,527484458716.5902,726281.253177163,547837.0068469078,574323651599.8691,757841.4422554821,311653.90517793834,279688880691.9404,528856.2003909384,548128.9734989753,573450206749.9062,757264.9514865363,,,,,
607499.8323519345,944728834133.6621,971971.6220824876,963719.3231443777,1201173757502.6296,1095980.728618268,223171.31959218226,95902346262.24207,309681.03955883713,971196.6354181336,1237871157324.7876,1112596.5833691866,,,,,
693439.880904756,1756755659645.5295,1325426.595344129,799509.9011206417,901892948109.1898,949680.4452599778,349005.6510760792,229862685907.67566,479439.97112013475,799177.9494913573,902418169194.298,949956.9301785729,,,,,
688182.3869920349,1141123184769.516,1068233.6751710817,877935.2575998503,1126565975640.845,1061398.1230626164,304283.9116945177,164751223369.9888,405895.5818557142,875948.9566257932,1136563894038.136,1066097.5068154582,,,,,
650976.0218578601,1566043637904.945,1251416.6524003686,832128.867671347,838852017848.0892,915888.6492626106,218471.0342970646,78339844338.72256,279892.55856260733,837090.8339055788,855424597806.0022,924891.6681460603,,,,,
344113.94889179606,311581732738.0265,558195.066923765,606683.9909987968,627221766872.1229,791973.337222992,282283.36507589335,130040984416.11357,360611.95822672546,605103.0610486174,624182651349.3868,790052.309248816,,,,,
406005.2897446344,404360059772.69336,635893.1197714702,576775.4945783578,756110373451.2924,869546.0732194082,386384.7024202517,281976160801.4505,531014.2755156875,578192.624831772,756781322469.6718,869931.7918490344,,,,,
432487.91198584024,598735703451.3856,773780.1389615694,811793.456244272,855768989098.84,925077.8286711016,297803.2314070876,167697227261.09286,409508.51915569825,799748.8881313658,825393872712.6301,908511.9001491561,,,,,
321502.2343864267,270943241608.75885,520522.0856109363,519055.0010734464,346325371024.8503,588494.1554721255,211910.67355622712,79908828519.8051,282681.4965996273,519623.85855261865,344910703348.1958,587290.9869461609,,,,,
463368.7878624581,464123917340.4753,681266.4070247962,638154.9330000972,544273891188.3868,737749.2061591031,166483.59944287676,43766815378.77193,209205.19921543996,642284.4279505042,555270826693.2933,745164.9660936116,,,,,
331393.69929879945,258402427542.78085,508332.988839777,586277.0285764319,429479049657.01227,655346.5111351493,228649.4244167046,107067814048.52655,327212.1850550901,590531.7143941983,439273192051.9679,662776.8795393876,,,,,
338847.63880439254,290415829285.5597,538902.4302093652,700132.3373240499,973134212608.8136,986475.6523142442,285545.22309386206,169852034587.1912,412131.0890811214,705620.9255103889,977548190550.3845,988710.3673727632,,,,,
383058.4638238525,327347512211.5973,572142.9124017856,693665.4723159804,696190533763.1915,834380.3292043692,259428.5454881183,116017812026.03508,340613.8752693952,687032.4985858656,692145345743.56,831952.73047425,,,,,
364225.2105118561,369889684111.95776,608185.5671684077,691719.8593384197,986336726823.3228,993144.8669873509,360875.7158742273,295607965276.4747,543698.4138991714,698596.0707991172,1021425784878.8964,1010656.1160349728,,,,,
510199.5717749259,832927843439.769,912648.8061898558,632094.6700918609,518055744261.74255,719760.8938124817,216763.2926274374,76868051882.70721,277250.88256434316,640356.3854195187,536433062372.51776,732415.9080553328,,,,,
415161.04165926465,431523695787.68976,656904.6321862023,684150.1153949457,738442869357.814,859326.9862850893,313894.92123727844,195225330634.29993,441843.1063559778,693230.2677331818,756648039061.0411,869855.182809783,,,,,
427694.9113769502,457544864777.23065,676420.6271080375,694196.9475855255,862531254630.2583,928725.6078251845,287991.03248818556,137387307155.03441,370657.93820588064,684734.5717521547,856151686581.4921,925284.6516513132,,,,,
328173.01416274946,332976108323.4537,577040.8203268237,692528.2185710841,897150970648.5164,947180.5375156926,350810.61418773304,218197217508.55344,467115.85020051873,688612.7343352883,891298146798.1194,944085.8789316359,,,,,
289885.1813250719,196953162334.66147,443794.0539649686,475776.28511996294,294515311413.1246,542692.6491239074,247257.17112636034,105888589275.48369,325405.26928045234,477414.3200662507,294867298988.53,543016.8496359298,,,,,
350302.6097627702,377492872277.9867,614404.4858869332,485646.894039266,409694542673.82416,640073.8572022952,248656.86483446535,111713911773.74464,334236.3112735429,489453.966761604,408133575425.2048,638853.328570185,,,,,
372716.2042026279,257031723019.19482,506982.9612710814,664039.8204380099,539318076996.71906,734382.7864245723,167881.05300911958,55985584380.23293,236612.73080760665,662014.865410458,535668382233.83594,731893.6959926871,,,,,
433224.5238050519,411406790361.0897,641410.0017625932,734547.5888466205,856521883038.1147,925484.6746640998,363441.55339342204,303678522485.03235,551070.3425925154,730122.3901858449,862123367325.8342,928505.9866935884,,,,,
434130.1188634833,632130452432.5636,795066.3195184183,644224.3799450923,628430095590.9497,792735.8296374333,251644.87243383005,118966874296.51952,344915.74956287444,640315.8452300463,618376639038.7133,786369.2765099062,,,,,
460713.18074840994,446882791504.0094,668492.9255452218,726322.4611716851,643456112163.5492,802157.1617604303,218767.16965276495,86838491860.15335,294683.71495580365,734738.4487827542,659312664360.3054,811980.7044260999,,,,,
377624.47354111646,437836949902.2963,661692.4889269156,561177.4479330686,448660533058.63416,669821.2694880882,259727.911178733,124967238865.37003,353507.0563162354,559034.3177807152,443404478500.7506,665886.2354041797,,,,,
408397.9497323811,448256608095.1724,669519.6846211263,549571.3834798996,409606762817.00104,640005.2834289738,275680.1157857322,128585769490.66176,358588.5796991613,555644.5771289838,419781857385.0735,647905.7473005417,,,,,
290904.80687188596,255970507787.01956,505935.2802355451,659338.9663980469,818524713162.2911,904723.5562105649,473451.42700975464,431317805971.4068,656747.901383329,660482.147054281,819069404628.4298,905024.5326113706,,,,,
905058.6452914018,1872494651575.4443,1368391.2640672054,1006274.4658104021,1629013397499.4438,1276328.091636098,397245.1564127261,263868344589.34073,513681.17017206375,1007727.8860007029,1632494845578.618,1277691.2168355146,,,,,
347597.24797858676,242552177703.84714,492495.86567183194,625679.8804453735,685327354459.8239,827845.0063024019,321782.82780800125,210274672264.1893,458557.1635730809,609844.0384030099,656987965396.0724,810547.941454466,,,,,
584892.995964334,864375781667.5203,929718.1194682183,758451.9132873096,700298170507.5472,836838.1985231956,251482.03326281146,125821180340.67053,354712.81389410014,754932.9361358732,707253594360.8584,840983.7063587251,,,,,
335999.2926464237,291587574406.8228,539988.4946985656,729010.503276086,796886704605.0023,892685.1094338935,264250.2923799226,140151185704.6654,374367.7145597165,722495.2768756093,794537406077.1714,891368.2774685059,,,,,
313728.99538126215,233657345774.76447,483381.15992947476,548049.679350418,399322555701.8345,631919.7383385287,244037.18964452826,108376269379.291,329205.51237682975,550713.6494428527,402155455107.86334,634157.2794724219,,,,,
320874.0576607196,263168149452.31503,512999.1710054852,667101.2113879686,716221771886.7875,846298.8667644472,325460.62850322237,315183169445.7427,561411.7646128754,671225.4046794302,736671542782.2632,858295.7198904485,,,,,
294292.3255247024,260227594505.1966,510125.07731457055,593925.1882821941,492117033750.2032,701510.537162631,233758.9524905567,89593447086.71938,299321.64486839133,601877.2890118238,505908826625.0783,711272.6809213738,,,,,
395798.58153743047,334237694292.269,578132.938252327,728718.8660447566,695459150625.94,833941.9348047801,241064.59943324156,93885598736.8012,306407.56964670634,732585.78438719,694706004103.3491,833490.2543541521,,,,,
