source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
295660.75513087766,180959603240.47427,425393.4687327419,680518.5107543437,1042279656698.0956,1020920.9845517407,629494.6793498691,913539251070.7625,955792.4728050344
253881.67467781936,99634840868.48245,315649.87069296016,747912.1968397781,1349522538763.4863,1161689.5190899703,641011.8400043134,1099102019728.0737,1048380.6654684518
303926.6904242823,165762801741.88446,407139.78157616145,699182.2215850365,965085629804.8645,982387.7186757092,598136.0557157561,648468287701.2007,805275.2869057889
340634.45074002567,231310056080.24854,480947.0408270006,748201.3553455601,876014966162.2484,935956.7116925057,627972.6673664327,629391515514.2313,793341.9915233476
477040.28418843,562766372814.684,750177.5608578838,652259.6867766071,604456595037.6414,777468.0668925517,576765.8657728615,460108829713.70953,678313.2238971237
331783.1665491186,175662185004.2172,419120.7284353963,847521.2179068859,1046275975311.5752,1022876.3245434783,668239.9722358261,611474562845.1993,781968.3899271117
370669.6399118036,238828718938.89948,488701.0527294774,618504.6291198614,536306723698.6622,732329.6550725378,527162.413425357,365160046818.2375,604284.7398521971
390403.0907254182,322825333686.372,568177.2027161702,764113.8621127412,1134294715170.63,1065032.7296241322,692321.6848068908,994806446404.8441,997399.8427936733
366629.7417608994,298180790361.4735,546059.3286095143,631324.66596485,952117572718.766,975765.1216961825,579875.2099415881,818282722426.836,904589.8089337709
340693.5233234295,198369703274.57373,445387.1386497074,812631.8844086812,1229828276088.031,1108976.228820091,670919.1780758104,778321842836.423,882225.5056596488
284524.46605795115,150622405972.65332,388101.02547230315,693524.5342887358,843511136047.297,918428.6232730865,603813.2688003287,716481601216.5629,846452.3620479554
270447.13042840565,126932138194.07422,356275.3684919492,783200.4339612426,938093963039.4652,968552.5091803052,694675.8766081883,687023611475.963,828868.8747178066
286765.5086250308,156730500566.7084,395892.03145139007,605440.4970087303,533235220269.4291,730229.5668277402,535586.5114418716,396062680008.118,629335.1094672201
358414.19545781537,212816436842.1388,461320.3191299282,852124.0123134297,1541068988973.873,1241397.9978128984,739623.0371223708,1127255031095.86,1061722.6714617428
261886.6295176304,124611070532.49619,353002.93275339255,660644.8100714773,760527361762.5227,872082.1989712453,599903.9063333521,634809628118.731,796749.4136293612
236450.37098910796,98815907111.74118,314349.9755236847,597846.6967770642,696996871509.6531,834863.3849377113,571000.5167911719,641805568413.0177,801127.6854615734
340567.52551005903,198404264678.10684,445425.93624317256,682793.4308900989,877999942632.7808,937016.5113981614,561684.5559690434,487803027592.0168,698428.9710428804
329776.0992553271,206034478887.47998,453910.2101599831,610013.777514354,593831872088.1117,770604.8741658151,537483.7848821658,418846249892.23413,647183.3201591603
258670.57688237887,114445524152.2906,338297.98130093917,606853.4547416817,661067047700.9044,813060.2977030083,549793.1925690765,585835117265.716,765398.665576127
311909.55034837464,190749986193.51675,436749.34023249167,637437.5376522217,955369412564.7697,977430.0039208791,579405.9667387262,868077407563.4475,931706.7175691327
338347.76912108227,232788419762.48434,482481.5227161392,657035.5898934741,723286728764.1942,850462.6557140497,572269.309180616,525147041954.2285,724670.2987940299
316282.47217918147,211587476717.45322,459986.38753495,637878.4323495899,712581626782.8461,844145.5009551648,547269.7147408216,477475078845.82935,690995.7155046834
468434.9391300228,385087960713.0673,620554.5590140059,1537206.1350316382,4955135283172.565,2226013.3160366686,1009941.3151828579,2146486087275.6182,1465089.1055753634
315803.6545513946,168087052454.99966,409984.21000692167,727279.8720739996,926318373421.313,962454.3487466369,558455.3705187101,418933576452.6947,647250.7832770036
338225.79765308584,228345016494.27295,477854.5976489846,796433.8101482167,892146344061.105,944534.9882672981,687345.1146607654,685127415984.2361,827724.2390942989
312671.07919128524,173170078475.96222,416137.09096397815,605310.8468585786,527633731920.4853,726384.0113331827,567647.0989525962,444303350648.05194,666560.8379195795
273375.25851631997,136943253253.14798,370058.4457260069,763111.3289117471,1206162255448.408,1098254.185263324,606579.424060906,792631013302.9706,890298.2720992839
367960.32397517364,240878274031.42734,490793.51465909503,767578.3482032332,983950591280.0043,991942.8366997789,658404.9032279365,674316771686.7563,821167.9314773297
341600.7058216368,190891692651.22345,436911.5387023138,587876.2488211812,691409065918.5199,831510.1117355819,553638.0807278155,566402394601.683,752597.0997829336
408597.6148300422,303161882217.36786,550601.3823242435,641289.7498106012,569346695268.1785,754550.6578541817,588091.2493228563,428680015268.3285,654736.5999150563
278109.82274412207,135623151952.30402,368270.487484816,827727.0619087571,1651354549228.5007,1285050.4072714427,735547.7825655703,1391652772019.739,1179683.335484459
361787.86127594486,316024506694.2879,562160.5702059581,604356.6047378165,546416486296.1925,739199.8960336727,578782.0429046288,455174046121.935,674665.8773955705
