source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
291926.31947783445,162469953781.01093,403075.61794409115,685812.8670428278,1077718845056.9996,1038132.3832040881,556920.9484528267,845099332261.3722,919292.8435821591,67594532.74320759,
254807.60741266602,100366674163.41383,316806.99828667584,732024.7956162754,1454642675548.8462,1206085.6833363234,464942.71935281565,926200465702.4594,962393.0931290287,72138426.40931606,
300775.27935093164,162165434599.87305,402697.6962932282,681056.1065293618,902497789397.7494,949998.8365244188,432346.4386454768,499880537803.6504,707022.3036111735,62259734.9501829,
326698.3903517277,226778136166.25504,476212.2805706033,761430.5928844396,937770871408.888,968385.7038437154,539313.0370815457,543910632368.4956,737502.9710913005,71098234.08474661,
475137.9976819621,556087021567.9177,745712.425515304,612945.4896673174,557714026767.3248,746802.5353246498,630482.4504057574,511972282690.8143,715522.3844792099,54602862.41626034,
309664.2361226404,149132629338.6036,386176.94045424776,862608.8891737509,1059620950369.7906,1029378.9148655565,483886.40967102826,370884396393.9392,609002.7884943871,83294100.99586304,
368305.19677799,239954138230.7055,489851.13884802343,610823.2716443624,541819286849.93823,736083.7498885152,399534.65058102866,261330730810.17804,511205.17486639164,57779750.02169905,
382086.8026152289,328302606438.86523,572976.9685064708,748765.9795456625,1147091065371.3154,1071023.3729341836,686563.1766522184,1071568931339.52,1035166.1370714945,66228511.75478591,
346118.29576652,279450604251.939,528630.8771268843,628878.8646336088,941458815660.6455,970288.0065530263,483046.79756869184,705837174137.9868,840141.1632207928,57036074.98723604,
334791.41842655384,187318256915.85062,432802.79217658774,850635.1452382191,1308404392485.3184,1143855.0574637149,513274.8709662857,694913740182.7485,833614.8632208692,79111859.1247392,
284767.1976969591,150919388461.8183,388483.44683115947,656819.3834042251,845535031239.3074,919529.7881196168,509744.2962565204,671082544972.6277,819196.279882073,52143223.58869138,
273818.4428444878,130468074380.3809,361203.6466875451,775191.9526032917,951558232764.9966,975478.4635064972,531185.8043933931,463211457775.80896,680596.3985915654,72488846.66577874,
282746.4035224676,153856321374.60858,392245.2311687276,590428.4341081462,501564280023.964,708212.0304145955,439749.1785984886,302097302168.9536,549633.7891441479,54471341.416572705,
354568.4896891039,205389624654.80585,453199.32111026585,836428.7459956468,1529823517297.8938,1236860.3467238708,618166.7220815448,978091979929.4023,988985.328470247,80058852.46822488,
274973.0831656282,130735783711.03404,361574.03627892595,637027.0295604195,740028075121.2013,860248.8448822243,544695.9255082418,694357725717.7607,833281.300472872,52795305.66058401,
246739.78607779453,106575798641.83453,326459.49004713364,619458.1782039129,729726169831.297,854240.1125159699,502753.6231301205,609236049696.6371,780535.745303594,56385220.908865824,
325459.0499817062,183920432813.0134,428859.4557812774,690758.2496991807,909941770415.014,953908.6803331932,460717.2264862794,369183235661.5913,607604.5059589266,65927972.751604006,
321453.19820731477,196497770609.14758,443280.6905439798,630797.0355639462,645947800989.7983,803708.7787188829,523056.0672987193,481871861874.2964,694169.9085053287,59995872.949272305,
282033.13763761905,132695960105.11142,364274.56692049117,598175.4732888185,667148988047.147,816791.8878436214,441386.978648468,569901136211.1696,754917.96654416,52893551.98518846,
333973.0443578682,206232585096.06647,454128.37953167653,652795.1879388726,978364794002.8942,989123.2451029012,512940.4214394743,874889416772.9001,935355.2356045804,62377236.36681151,
333521.34135752084,211912658655.93402,460339.72091916425,666527.6793188084,709455702539.4265,842291.9342718571,520321.5509864342,462264840637.5593,679900.6108524682,60343984.60821565,
321162.28735413455,219574953082.3427,468588.2553824228,644312.0746082085,690652713282.4458,831055.1806483405,483384.47640714457,459802940662.53796,678087.7086797386,58432942.74672074,
487788.55982734624,390525509653.3871,624920.4026541197,1600507.9889738497,4934957729983.39,2221476.4752261927,537667.0836324935,540208039983.8407,734988.4624834873,159574214.60911852,
