source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
396206.57968635316,388443019918.43585,623251.9714517042,1115513.5325873813,2061583885041.3586,1435821.675919875,225853.3067631184,96862377108.0092,311227.21138745116,1257183.660569363,2554707767723.423,1598345.3218010878,,,,,
383747.95282155514,356124520785.24713,596761.6951390622,659679.9685755225,673325646985.4135,820564.224777935,158338.99798135067,45926780518.185135,214305.34411951824,722415.21033568,838235925667.7102,915552.2517408333,,,,,
555945.4225899064,875505011621.5398,935684.2478216355,925787.4197413761,1574699964495.5461,1254870.4971014126,167497.59668047776,51768228625.288795,227526.32512588252,1146871.4208620174,2031895265794.0344,1425445.637614439,,,,,
376383.2691323295,357957942701.1941,598295.865522397,916043.6639966527,1431370174084.998,1196398.8357086435,202768.4449834556,76898143044.03683,277305.144279793,1038486.1415362264,1802996585126.2576,1342757.0834392412,,,,,
420561.28010652383,488697703954.2323,699069.1696493505,1215500.9338288165,2726226908453.385,1651128.9799568611,179810.19325596123,62445467549.04819,249890.9112974063,1222264.0946089874,2496277938078.0464,1579961.372337326,,,,,
331169.6120282772,295410273818.27246,543516.5809966357,1126924.914654936,2077537243972.05,1441366.4502728132,205516.34041513703,91423436796.8423,302363.08768902713,964538.5051838548,1805417039025.9473,1343658.0811448824,,,,,
362461.9097706557,297309026710.7338,545260.512700795,1407264.3575201598,3191542197794.458,1786488.7902795412,170750.59094326542,70024741076.20445,264621.88321490807,1285345.7662499815,2705305167842.6616,1644781.1914788731,,,,,
364628.83396960894,289410992290.3807,537969.3228153263,845749.8657061761,1326450653899.7368,1151716.394734284,203090.03870537475,63990112124.85209,252962.66942940827,1001672.3371032537,1658098968725.4744,1287671.9181241293,,,,,
405824.36574747134,402161064440.9833,634161.7021241374,999112.4548565558,2144422131539.5872,1464384.5572593242,271504.70196964877,149535795796.27817,386698.5852007713,920753.961394991,1952175937879.1438,1397202.89789248,,,,,
307738.0373331464,162452487082.49026,403053.9505853903,840566.44425417,1304878237195.6353,1142312.6705047244,194228.16491888915,85268130537.69087,292007.0727528545,825749.9982634793,989714899451.7722,994844.1583744523,,,,,
391784.0437072152,457472914960.02344,676367.4407894155,955219.8797498454,1657159530441.9004,1287307.084747808,339715.7007113382,292746091971.3361,541060.1555939377,984387.7571847604,1846049728065.8894,1358694.1260143467,,,,,
331832.33606990386,324834597391.46704,569942.6264032784,888420.9123987907,1935817187465.436,1391336.475287497,224035.62863811996,94851308626.29828,307979.3964314793,949382.8824647203,1810788056633.0974,1345655.2517762852,,,,,
250481.722559688,117569931531.29549,342884.72046927887,1038262.1879604374,2043713375566.4507,1429585.036143863,320324.8469111247,255243590181.01117,505216.3795652425,1058895.0596299577,2142870437060.9624,1463854.650250824,,,,,
527057.8941465552,777280280523.4586,881635.0041391611,1182522.3014065363,2640196495066.664,1624868.1469789061,245412.4194690067,104250750119.41525,322878.84743261716,1140320.1620741691,2458201020441.724,1567865.1155127229,,,,,
289163.8219619054,135638357278.82404,368291.13114331715,1079401.870421171,1694229327332.1196,1301625.6479234418,272624.43040075904,203025099064.6659,450583.0656656616,1090559.3111591267,2210034003259.77,1486618.3112217372,,,,,
356709.41898524103,398357637866.9693,631155.7952415309,802713.8733207184,1032836350730.273,1016285.565542615,230801.9370628893,133225661299.5694,365000.90588869696,829313.3755622479,1053123437320.6245,1026218.026211109,,,,,
176650.99289373864,57396747751.55246,239576.18360670257,651150.2257025714,740247401774.4622,860376.3140477905,136956.49317723652,35907145923.57228,189491.80964773195,638412.713405529,688852192929.7075,829971.2000604043,,,,,
333658.3975518469,264008249724.98065,513817.3310866233,904510.7370585693,1552017238158.0366,1245799.838721308,153930.70468231858,44061227701.5671,209907.66470419106,968953.9483085781,1374403480508.4368,1172349.55559698,,,,,
344203.0775847413,277180251986.9355,526479.1087848933,941016.8930761751,1514555422355.5144,1230672.7519351009,212000.25587301105,82127660267.36713,286579.23907248955,874814.4572492482,1295458608210.319,1138182.1507167993,,,,,
273256.0807404868,142732823432.38666,377799.97807356564,821913.9121933611,1135215159117.413,1065464.7620251987,192758.18547392104,84410713675.01247,290535.2193366795,792620.4916928614,1027183958221.052,1013500.8427332718,,,,,
291532.6558263712,141612453427.29004,376314.301385544,996296.7328578467,2005095903101.2957,1416014.0900080393,232866.32066712677,117964433871.60178,343459.50834356266,938915.48134205,1469331173147.5654,1212159.7143724773,,,,,
357113.5034840267,230324451321.24673,479921.2970073809,1101305.4181163178,1961994553118.4014,1400712.1592669927,208656.80660521667,107191576575.06508,327401.2470578954,1049660.5823469125,1894040282369.964,1376241.3605069295,,,,,
345725.71315898857,263366632806.20673,513192.58841706463,1035132.5965602575,1622643557430.45,1273830.2702599156,174103.40044017605,56866970732.50841,238467.965841344,968638.0248738377,1657443456362.3672,1287417.3590418794,,,,,
414946.01428913564,425846265871.5643,652568.974033829,1067058.0458214753,1872996943766.943,1368574.7855951984,218096.38624753847,106405517331.57373,326198.5857289601,972653.8021045049,1737797246396.6082,1318255.3798094692,,,,,
438311.51487575925,512317404046.52496,715763.5112567034,1006894.3361877836,1656147721190.4958,1286914.0302252113,305894.5503095067,271970195654.7976,521507.61802182486,1014128.7169990083,1638010251390.3792,1279847.7453941072,,,,,
349537.73624887934,238117361130.41934,487972.7053129297,849400.7731268017,1372742141876.2373,1171640.7904627754,184863.7637936515,66115739657.24659,257129.81090734422,832513.1144087777,1325768065835.1494,1151420.0214670359,,,,,
418880.23167355865,429690744505.4816,655508.0049133509,1260376.6524684227,2814731060590.8286,1677716.0250146114,320931.5943710878,293405728305.6997,541669.3902240552,1307602.2644897404,2694047623309.3633,1641355.4226033322,,,,,
367486.1977603261,334497569246.5355,578357.6482130546,802517.5032615601,1186779395916.1213,1089394.0498809975,193348.63709554856,76211439589.3659,276064.19468914456,829556.627019206,1297655279326.047,1139146.7330094255,,,,,
351506.5104391051,232814001503.14456,482508.03257888317,793221.7175737885,1175639042939.4246,1084268.8978936104,302420.7154282259,271268235008.28833,520834.1722739478,812869.6293949427,1124847942374.4656,1060588.4887054288,,,,,
