source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
418830.0646464209,436970569377.3957,661037.4946834678,798039.9402088607,959402845453.7688,979491.1155563224,211861.26992903615,85294939488.5183,292052.973771058,1091059.715334595,2093867596942.2534,1447020.2475923595,,,,,
359553.5159854561,337197251053.9268,580686.878665195,485339.3273743087,339695039548.8117,582833.6293907651,155916.18612922702,44224764516.837135,210296.84856610937,694180.279416106,723642230568.4847,850671.6349852537,,,,,
638841.863960667,975242274704.2513,987543.555851716,615401.3777588325,584994710784.4106,764849.4693627045,178997.85538786757,58418700165.40331,241699.60729261293,976968.5752486862,1667788637372.297,1291428.9130154618,,,,,
372103.80290156667,352787749372.76935,593959.3836052844,603201.9838817007,470217519625.23706,685724.0841805376,191055.38654322329,69738236265.10132,264079.9808109303,959907.181281444,1552029583863.847,1245804.7936429875,,,,,
406016.5399352532,488592850965.4906,698994.1709095225,751943.2613122589,693884453408.4065,832997.2709489549,179432.43841519544,62612524502.133125,250224.94780123967,1238116.2507370412,2693829477617.158,1641288.9683468777,,,,,
323103.57751026214,293065161576.0803,541354.9312383515,615875.1516206503,506253516938.12006,711514.9449857818,196831.1138330396,88435422443.96977,297380.9382660055,1085334.8879079737,2076326487990.185,1440946.3862303083,,,,,
381145.11035105673,318427513813.1737,564293.8186912681,770182.2500537701,734623673522.7153,857101.9038146604,174445.9556300823,72167712701.81857,268640.4896917413,1422228.7465590069,3236212429885.5625,1798947.589532714,,,,,
343313.55630353955,259707915421.7236,509615.4583818309,605020.3536097944,538238028387.71674,733647.0734540666,194634.23506634886,59827514137.62824,244596.63558117114,869483.0815832916,1448197687100.9468,1203410.8554857508,,,,,
415138.93288631836,413179284302.0834,642790.2335148562,709097.1235018964,1153420347759.2986,1073974.0908230974,246423.95832054157,126747630133.92827,356016.3340830421,946391.3606057749,2125869109541.7166,1458036.0453506343,,,,,
318151.2492592604,167066592761.91998,408737.80441980157,530333.7108185834,403921952599.0934,635548.5446439898,186338.05274634686,78529239276.1316,280230.68939024437,889321.7008644134,1368145031154.1855,1169677.319244152,,,,,
393625.99509060645,466033435678.17676,682666.4161053895,717490.1552718596,852390749260.0614,923250.1011427301,339587.20216545055,271146436896.03278,520717.23314677493,1023981.9596056902,1864653034837.2356,1365522.9894942215,,,,,
326354.82416469365,323969398825.7139,569183.0978039615,584227.1729486465,851848201149.8473,922956.22927084,221369.97120588142,91799940163.08578,302985.0494052236,860721.2964263717,1940492154341.397,1393015.489627232,,,,,
260655.48686262965,113708608842.23836,337207.07116286625,671723.9481287411,845222853543.6698,919360.0238990544,315727.1152597869,256630594105.3484,506587.2028637798,951708.181364239,2065810615600.5867,1437292.807885918,,,,,
533702.6761410831,746620668525.0844,864072.1431252626,685123.2441562718,750853457147.1764,866518.0073992556,247743.84538338464,111177626100.19745,333433.0908896078,1135159.7225414754,2705576122716.283,1644863.557477119,,,,,
283245.60729248094,133125257038.97552,364863.3402233986,618500.6210894794,676525830583.4333,822511.9030041045,264661.1991697127,197957169296.27484,444923.77919849916,1085089.029494628,1744520566319.493,1320803.0005718085,,,,,
366047.73507639073,395955002571.49976,629249.5550824805,599303.5303429627,444413734086.3592,666643.6335002077,225639.9043658296,130807124023.28635,361672.67525109823,846225.3154617129,1080899172727.7621,1039663.009213929,,,,,
184985.29079914285,60775407396.84826,246526.68698712572,507792.48494700715,419430976456.408,647634.9098499926,139614.850904968,36766952927.227196,191747.10669845113,659834.9002629921,745656297995.0874,863513.9246098395,,,,,
330906.7550062451,277451806735.86566,526736.942634429,627063.3545016658,492329341102.35913,701661.8424158172,166980.59157825744,49210043504.06924,221833.3687795171,910701.2805283645,1553096733864.9746,1246233.0174830768,,,,,
345919.1111845843,280506357735.0897,529628.5091789241,605522.2147888857,802249455737.9503,895683.7922715528,194881.6889013355,73561253085.56886,271221.7784131076,917795.958528444,1477265420979.2188,1215428.0813685434,,,,,
281295.7305654464,154677756635.70035,393290.93129094696,485011.0849947573,339610205524.3024,582760.8476247374,188590.23256493497,81249601433.25536,285043.1571416079,806274.8943010101,1127758158421.6714,1061959.5841752507,,,,,
266890.8578191462,130134245700.75835,360741.2448012541,670601.7931273612,653937660007.3958,808664.1206381026,240540.19001584663,123946665758.1384,352060.5995537393,982620.3091476219,2014675287359.848,1419392.5769003613,,,,,
336629.4876305558,219788354628.69525,468815.9069706309,629531.1215247423,530129385638.4467,728099.8459266742,190605.15663127025,100914469337.13379,317670.3784383017,1072957.1127964917,1949434064471.365,1396221.3522473308,,,,,
329861.8666861591,290209979706.27454,538711.4066977556,647951.5006133564,606865362936.0895,779015.637157618,179843.88968144002,57430636998.8295,239646.9006660205,1003151.8003996259,1598837084159.0671,1264451.2976619808,,,,,
418808.1170107501,436190426157.43726,660447.1410774955,644452.7239923256,601757790187.1519,775730.488112432,226249.63562013346,109062542077.38002,330246.1840466594,960172.5728636576,1720639477457.6057,1311731.4806993105,,,,,
461172.60497728136,546655577455.609,739361.6012856016,691839.6427203105,801561745706.6456,895299.8077217741,308503.4816154269,268849966181.62515,518507.440816065,1028420.1895866602,1742825992579.3396,1320161.350964093,,,,,
352925.06446276343,243750064571.59247,493710.5068474768,630093.7586526595,665462970710.2814,815759.1376811427,193053.22378106014,70455112279.23105,265433.819019414,819679.870172331,1323108225215.8223,1150264.4153479766,,,,,
409782.55506998795,425726425884.0483,652477.1458710629,899296.3114163637,1103517420942.7476,1050484.3744400712,322908.4218053506,295904594186.5769,543971.1335967901,1293969.7639086333,2939839989175.3745,1714596.1592093266,,,,,
337723.8258239089,310311304322.17584,557055.9256683083,523072.27604633407,340639688095.15326,583643.4597381806,196529.16404153357,74916474163.23792,273708.7396544691,827535.4263140515,1189863984378.9773,1090808.8670243644,,,,,
360713.2623828128,232891987465.89053,482588.8389363046,565887.2122810051,643864381032.3633,802411.6032513259,316152.5731777315,262426066156.84232,512275.3811738783,785616.6876295373,1114695225833.472,1055791.2794835311,,,,,
314509.9168442541,291165137618.4081,539597.1994167576,528131.6599562478,469478270073.4625,685184.8437271963,222724.40019507665,96183052996.7641,310133.92751642654,864330.8247544788,1308311271088.0967,1143814.3516708019,,,,,
482212.92890705226,405330735825.9125,636655.9006448558,626296.5703371243,999130894259.5496,999565.3526706243,306955.1455008589,239227721157.46194,489109.1096651768,1062692.955383434,2106077813679.748,1451233.2044436373,,,,,
355087.6332213597,339893669885.791,583004.0050340915,557129.9972043051,426977096258.05194,653434.8446923014,180371.81332555506,76961636757.13483,277419.6041326835,1097176.378437423,2109795039727.7754,1452513.3526848473,,,,,
354360.2836934332,318097133691.7591,564001.0050449902,702498.2669110491,1124013437752.9941,1060194.999871719,242776.3538206146,103692845655.32414,322013.73519669025,1198096.0790702174,3216034713064.9033,1793330.6201213717,,,,,
320772.8450869211,219073961001.0468,468053.3740942873,476805.48752478143,342870233065.6945,585551.221555975,191165.540483059,73635929922.21696,271359.41097042675,706699.964398681,882245365798.5936,939279.1735147722,,,,,
289528.1863730529,168051246728.2326,409940.5404790219,650985.3876852179,766528929253.8949,875516.378632573,305303.06152895116,165898858941.827,407306.8363553784,818157.7201939191,1311991301850.719,1145421.8881489558,,,,,
427967.7065885488,409593612063.7125,639995.0094053176,652421.6984558011,643487434773.8656,802176.6855087884,267560.96135215176,274953268009.2429,524359.8649870553,919273.3650798526,1537837213447.4072,1240095.6468947898,,,,,
352109.80272388656,239858082578.0089,489753.0832756532,624125.6333114863,596841021402.8004,772554.8662734579,242181.32567544305,96010078836.20259,309854.931921702,950618.2347798598,1532936758841.1287,1238118.2329814583,,,,,
278480.9053792696,173130687149.93234,416089.7585256483,479507.3434269259,353723220419.52435,594746.3496479187,206192.35600584533,87314171335.21812,295489.71443219157,592093.6381922269,617726702360.565,785955.9162959236,,,,,
315058.83237993275,195744096192.32727,442429.76413474634,669635.6323362001,786573769977.5552,886889.9424266549,294598.1130346522,192591413024.28018,438852.38181452337,933495.8821617292,1476509261990.0164,1215116.9746119163,,,,,
269579.0590219159,132226756743.52916,363629.9722843665,685753.3614885807,859542530437.2219,927115.1656818164,230686.1132807823,103962367855.09047,322431.9584890593,1079759.0433994173,1910682511926.4695,1382274.3982026395,,,,,
385040.69465001835,348530597388.02893,590364.8002616932,722717.2218385079,837064355429.2714,914912.2118702271,290242.5906743931,254143629083.12204,504126.6002534701,1083281.9574352452,2431474732855.208,1559318.6758501958,,,,,
287810.21349644626,201343563285.4556,448713.2305665341,645540.7505937502,561362771758.4017,749241.4642546165,242911.8049096365,131170568790.05066,362174.7765790029,944430.9728473107,1426981089189.9788,1194563.1373811846,,,,,
382350.798244389,339544624615.8974,582704.5774797873,565766.6628646195,418529434892.899,646938.5093599692,169422.5987163866,52328597757.18177,228754.4486063206,794300.5992598158,1270860805971.0164,1127324.6231547575,,,,,
301785.9692975099,184424703640.45007,429446.974189422,579288.304451876,438662131119.8781,662315.7337100472,173718.26120036026,73462062894.79326,271038.85864354076,843506.6879142864,1542676830742.5369,1242045.4221736565,,,,,
275842.6534454628,129928599494.48038,360456.099261034,476232.7021593199,350238960710.5277,591809.9025113789,224747.13380003817,107672721555.78644,328135.2184020887,665766.0681938304,655014791231.496,809329.8408136796,,,,,
259103.85763795537,140596141166.68378,374961.51958125486,513666.8253460542,384171193025.9628,619815.4507802809,214345.58677473504,88137680618.07407,296879.90942142595,789712.5989086465,909464741734.6595,953658.6085883457,,,,,
288940.24162776844,212587602682.98166,461072.2315244995,578841.2475625223,626047726786.4711,791231.7781702597,282257.8798727196,152346909304.65515,390316.42202789156,863287.0952333788,1212435979254.838,1101106.7065706383,,,,,
