source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
401234.15036688274,403046968621.0353,634859.8023351575,1128030.5495453042,2181475190368.507,1476981.7840340845,570105.7178801768,964739705987.1012,982211.6401199393,109615999.55724093,
398943.11356289685,429497085072.839,655360.2712041973,620774.1639072343,598720170486.4186,773770.1018302649,373152.087025707,278544072939.8576,527772.7474395183,59546047.74606245,
579518.2991300181,927497873459.813,963066.9101676233,933514.2934402287,1580979732734.6465,1257370.1653588917,620139.9892440096,714457679355.9581,845255.9845135426,90273185.76368631,
384520.6728092258,376312676232.2375,613443.2950422048,936697.4574501334,1482700458051.6833,1217661.8816616063,452185.52285377035,358881280153.40875,599067.0080662168,88402720.30957177,
423846.18795017997,478606016560.6834,691813.5706681992,1261734.3358967833,2756854306750.0723,1660377.7602551994,562898.1072222345,1197946288941.0862,1094507.3270385568,124732948.2823111,
340680.94913694746,310808131667.3036,557501.68759144,1113314.66817541,2006010670260.285,1416337.0609640507,415275.41168211,413987054406.42444,643418.2577502945,107350561.72174737,
376231.67780679575,295497461053.8026,543596.7816808729,1388406.1913943184,3167618428011.6245,1779780.4437659227,786326.4858040093,1001215325485.7002,1000607.4782279513,137980773.3980467,
354629.4372475969,273746479905.62637,523207.8744682904,855954.7331633236,1347230147251.2861,1160702.4369972204,414879.27473510534,436446519803.2551,660640.9916159117,82241005.22946331,
418968.5166584371,414103120976.4185,643508.4467016874,976670.2518950285,2158911239999.215,1469323.3953079272,647651.7948140679,1194783822374.2397,1093061.673637055,90702345.88541245,
305266.99186543626,155173091322.10345,393920.1585627517,816657.7832663774,1288309541381.3792,1135037.242288278,396971.71454411873,298171474987.0066,546050.7989070308,78936589.80296253,
395789.662585955,457407555587.5363,676319.1225949007,1015409.8661482711,1874780045349.806,1369226.0753249647,614298.4342961563,896134454483.9525,946643.784368731,91462128.4141386,
319120.60001745576,323030433498.79236,568357.6633589033,944936.3466190794,2015972604526.8584,1419849.5006608476,525862.9491566987,920132865437.5692,959235.5630592358,90022966.4132285,
269614.2456989264,129322844226.76973,359614.85540334636,1017648.1526748829,2141149220997.4153,1463266.6267626742,545198.6030208409,954205532041.5111,976834.444540891,100516117.08050609,
539959.9987674396,797099085651.1282,892804.057815111,1167746.328028279,2647162436203.26,1627010.2753834284,536026.9155117152,805359323029.5785,897418.1428016588,112209707.12040102,
351867.80700295494,186647651736.78757,432027.37382807996,1034361.9752793073,1886164796460.262,1373377.1501158238,676216.3274811778,859065767991.6212,926858.0085383204,100949837.07402618,
377938.85234615015,419876100245.73956,647978.4720542339,809399.3753582605,1035852560100.4861,1017768.4216463419,458677.7960107359,373265125510.74475,610954.2744843878,70059966.75894426,
