source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
374797.72032917576,370235759257.79596,608470.0150852102,1094903.216049404,2043809516228.502,1429618.6611220846,228843.26576325315,95222077974.77747,308580.7479004117,826867.2229874346,1080744921588.6558,1039588.823328077,108001149.14056137,0.34016697945011953,0.28596614511629326,1.0,0.35766922023960923
377750.6861124427,347080301856.527,589135.2152575222,699439.9280836238,716624342447.797,846536.6751935778,144412.6082308256,41284564722.59051,203186.03476270338,498615.8367061388,342981053532.0901,585645.8430929823,67207179.05606954,0.34545295384504565,0.279025625514449,1.0,0.28087011946463064
542802.3320205691,807695589571.7631,898718.8601402349,966329.3075838871,1736713393564.1653,1317844.222039982,178647.30841756836,58605298406.32116,242085.31224822617,620908.360141269,570741408695.9067,755474.2938683663,91568687.50635344,0.32805314491610815,0.2930900527212209,1.0,0.32010609527700595
342309.93667985004,295543517807.7642,543639.1430055089,966052.5064798157,1493149705148.6487,1221945.0499710077,188579.45385466737,68613617846.29377,261942.01237352853,595479.633710208,449904597803.0397,670749.2808814928,89693128.0041713,0.3475795227187092,0.28241135600956974,1.0,0.29128595687720116
433785.0096571862,524404677831.1521,724157.9094583944,1245378.5041113994,2692859984679.1333,1640993.5967818806,180816.729870191,61180230328.90227,247346.37723019568,720071.1929984033,605042150755.445,777844.5543651026,122413656.8441951,0.31572737872411344,0.30340050012234254,1.0,0.31548640212246315
324829.06925621635,301757374977.48724,549324.4714897446,1129799.936225705,2078692121905.232,1441767.0137387775,206928.4308738432,92889004862.66739,304776.97561113007,564565.1943382778,445078294739.1607,667141.8850133461,110519014.53700233,0.3387290068690262,0.2853818264887268,1.0,0.28793191093324144
375211.18013242655,299672739515.28033,547423.7294046362,1406583.6086854255,3197188680444.5913,1788068.4216339686,174302.87398135086,72002575091.8959,268332.95565751125,744182.3580614243,656236380387.7152,810084.1810501642,138186576.2899058,0.3341699194755575,0.2910400694234056,1.0,0.4917867376006384
339543.28688794526,272569160987.28903,522081.56545437325,888108.5530595155,1338363305452.296,1156876.5299081383,175973.69647274667,53619065538.50123,231557.90968675897,613029.663657495,545189046289.1961,738369.1802135272,86429756.80807322,0.30713418406917325,0.3112801552366235,1.0,0.2977918215881069
413498.09859095723,400126769759.0294,632555.7443886107,979981.7829519762,2178460123413.7607,1475960.7458918956,259432.44100456432,140772594810.80173,375196.7414714602,682928.8792114828,1071735422153.6626,1035246.5513845785,91210787.00330755,0.3512124224205186,0.2768428678873491,1.0,0.33486002849586594
312578.80231725756,157567988910.82782,396948.3453937399,843669.4988958159,1301820329878.643,1140973.413309286,194847.9184067498,88111920813.27727,296836.52203406044,512409.63182606833,358001356551.1367,598332.1456775799,79994341.58510141,0.33378199037532996,0.29092607575407625,1.0,0.3563670323957237
389948.4623953725,468875019928.58875,684744.4924412235,1026274.6171626842,1872150109482.5588,1368265.3651549318,358765.1158226708,293852772253.4141,542081.8870368333,723551.8145504576,834247513873.3247,913371.5092301295,90867575.54622686,0.33611426301244685,0.2900485645533238,1.0,0.4257442768491156
