source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
465325.89716022817,620966166899.9845,788014.0651663424,834793.5459591667,1111318194954.7615,1054190.7773049248,394429.7962882147,279646026176.49084,528815.6826120901,840644.0066375327,1136363357638.1113,1066003.4510441846,,,,,
355493.09644417226,390204691106.1023,624663.6623864897,479920.05950561585,330108197321.7516,574550.4306166271,179468.9078008539,56133867127.61936,236925.8684222121,481123.1202721766,336274243398.64655,579891.5790030465,,,,,
421942.7573536299,537257533583.768,732978.5355546013,657980.5265759899,641834374259.7777,801145.6635717239,250163.4790210158,103985211371.98996,322467.3803223978,649285.6919402335,612657606553.6747,782724.4767820121,,,,,
229764.3890138027,115102851992.17006,339268.1122536718,585728.7249029027,451055604652.0515,671606.7336261985,243453.287027828,95167112076.14088,308491.6726204143,580847.536725075,446635739988.8191,668308.1175541856,,,,,
455273.7548149001,529377516092.2762,727583.3396197828,711085.0809791975,834833244990.6681,913692.0952873939,202334.03933182106,70616928010.98148,265738.4579073595,709426.5574186492,834157956854.0242,913322.4823982075,,,,,
326026.3018323692,249840735162.38202,499840.7097890107,569185.0525035919,444220331855.6916,666498.5610304733,259912.79654803805,128634178781.61452,358656.0731140831,580550.2458267754,463060529166.81525,680485.5098874738,,,,,
372362.31864742376,378420809509.1295,615159.1741241688,685953.8058804694,594945489995.138,771327.0966296581,183486.39074698082,75920624466.50192,275536.974771993,703905.0541406531,621373796421.0256,788272.666290685,,,,,
406869.4950116339,348310194899.4491,590178.1043883695,608976.1064142692,524224576605.91046,724033.54660258,299773.2768191374,168642742562.34644,410661.34778226505,611971.50485836,528809831627.87225,727193.1185234581,,,,,
428269.3648013538,400411706872.644,632780.9311860179,666858.7611570434,1158562548829.9304,1076365.4346131384,366303.3601040164,253720771400.30157,503707.02933381975,669821.8881364622,1151008199820.4133,1072850.5020833113,,,,,
252954.02256634439,122751511345.11646,350359.11768514954,482368.61953196063,340014102084.6177,583107.2817969414,203135.30053866052,74174700899.7678,272350.32751911244,483674.89504809724,341521266714.01715,584398.2090270445,,,,,
449261.708106319,553546652452.0847,744007.158871529,679824.2642415904,809399996856.2831,899666.603168242,374705.0565669773,288368080211.53345,536999.1435854748,693942.9910108659,820981781719.1534,906080.4499155433,,,,,
260483.9711768082,278913962796.30493,528123.056489967,543460.0494393918,645325489488.1584,803321.5355560676,232174.6503868318,101678353639.54912,318870.4339375934,549732.9861549269,659996994596.4337,812401.9907634605,,,,,
162289.463515894,69645724874.67938,263904.7647820694,577649.6853264286,705310120714.8846,839827.4350810914,291462.6102267644,159781060409.82913,399726.23182602006,569100.9340718299,698875344768.7482,835987.6463015157,,,,,
360643.36148174317,333679296402.3194,577649.8042952316,651771.7854184334,686594504754.533,828609.983499193,321791.40335943236,242826228312.3537,492774.0134304504,636180.0317297097,675637708683.134,821971.8417823898,,,,,
216798.30738945497,101380331171.34433,318402.7813498876,576063.4869852958,620924659617.3735,787987.7280880543,345209.026883715,333824634836.5989,577775.5921087347,588182.3477987301,639269887689.4926,799543.5495890718,,,,,
358806.50364358973,453562125750.515,673470.2114797024,588805.0903998718,474017409683.2633,688489.222634068,298638.78617387987,157133342383.792,396400.4823203322,593323.8862201894,473580254615.1729,688171.6752491146,,,,,
154030.05256668694,54659616200.66405,233793.96100127147,458134.745854018,326442209470.4875,571351.2137647801,225239.3085065221,76141134783.55219,275936.8311471888,445642.1543227944,316295255377.31506,562401.3294590573,,,,,
264966.56417490146,274060046697.26395,523507.4466492945,576966.6513849227,418732414078.47327,647095.3670661483,194855.72414275262,64789049785.22144,254536.93206531237,585616.7564194025,440804608487.6153,663931.1775234052,,,,,
247329.77298545136,163261361334.4982,404056.1363653548,574138.5709836264,676590529020.5426,822551.2318515745,229597.29887753166,82487963347.92914,287207.1784408063,574193.6942425274,676491460802.0442,822491.0095569703,,,,,
272524.2886412609,197362427447.25787,444254.91268781474,490521.69718895754,357038235705.427,597526.7656811927,256172.9469965598,119254806067.28842,345332.8916672845,494583.6621810958,355389972882.4824,596145.9325387387,,,,,
211104.2907881301,112885484274.21217,335984.3512341195,616196.8809459346,552802519758.2598,743506.9063285558,263533.8381937825,125483738512.21701,354236.83957518736,618467.8412180993,558839967926.0602,747555.9965153515,,,,,
295746.6687836919,188656257000.9106,434345.78045712685,573046.4835322959,466329926978.6672,682883.5383714174,265745.1193914703,152154096324.22803,390069.34809624305,585586.4148654139,469418281922.50464,685141.0671697506,,,,,
355894.7403565249,399608558755.79376,632145.9948111621,646318.3809470765,683105694280.7108,826502.0836517661,295776.99255624745,148921609333.09415,385903.6270017349,656818.4777233262,723192181757.5046,850407.06826643,,,,,
315334.91688906145,332497836120.1406,576626.2534086881,565700.0221426972,460620689616.15375,678690.4225168893,193779.4005999097,67323291271.24631,259467.32216455758,570063.479622463,475940325671.5489,689884.2842618963,,,,,
427556.90319943405,519073449738.8066,720467.5216405016,708818.2062633702,826977767873.9854,909383.1798939243,394299.46028507175,365047226765.8114,604191.3825650043,700885.1233314878,806380626537.0563,897986.9857281097,,,,,
357093.232680076,258447072065.79025,508376.89961857063,644679.1761939098,687764008236.8247,829315.3852647524,279929.739925769,171952688009.186,414671.7834736118,640833.775628047,691060287539.3414,831300.3594004645,,,,,
413333.8442165656,604252855522.693,777337.0282719671,839032.2898432887,959351448396.5507,979464.8785926685,315131.5915324819,325044228768.7756,570126.5024262384,843685.6775938411,972469622921.2936,986138.7442552359,,,,,
250668.56606577607,150559370896.42465,388019.807350636,507768.64163465844,325043675773.76416,570126.0174503213,215243.88652566314,90604213387.3723,301005.33780544874,507566.4496208567,329072946805.8075,573648.800927717,,,,,
304793.78113065695,259458558856.24185,509370.74793929997,558163.9286180144,637172856635.2235,798231.0797226725,298536.580767674,165984219539.7893,407411.6094808656,563135.2127390004,639122749227.313,799451.5302551575,,,,,
229324.69184842645,115041407446.02298,339177.54560999904,440426.05991878966,344661279788.0687,587078.5976239202,192576.15394388567,87529598663.0242,295854.01579668344,449565.98365338263,363281239507.49475,602728.1638578827,,,,,
387146.0495523756,459771240895.276,678064.33389117,629485.6610348844,1003474440925.1132,1001735.7141108193,391344.2935884251,261883019544.7725,511745.0728094727,628099.2274362206,1004384265216.7961,1002189.7351384099,,,,,
272382.64867155656,240934784661.10416,490851.0819597978,522806.1314815031,344632122363.8639,587053.7644576209,168574.48182801795,58127585413.8605,241096.630863769,513587.30405756936,336994119901.7219,580511.9463901857,,,,,
378691.73771338107,456415670351.26276,675585.4278707192,606159.339588673,869353980759.9977,932391.5383356917,313931.61181132315,199083105972.3302,446187.2992055357,600725.2773694509,879080302408.7664,937592.8233560486,,,,,
289054.7390545912,204802974808.88525,452551.6266779794,457598.44488642894,308867998146.01666,555758.9388808934,214365.4911940213,70227757217.4189,265005.20224595384,458568.3434876727,311429341118.04596,558058.54631754,,,,,
315059.201754014,188819437426.65298,434533.58607437124,609902.0700542593,666505861994.1611,816398.1026399811,312559.6697144398,215643560535.60883,464374.3754080417,606650.815881637,664743442076.7872,815318.0005843041,,,,,
498296.1684974284,568344303519.9614,753886.1343200055,683774.1279510463,741698203396.3274,861219.0217339183,337894.43967633223,237972681522.01645,487824.437192333,685335.574567518,747441782031.5958,864547.1543135145,,,,,
387056.3450433637,270658561608.7657,520248.55752684764,633678.9209803209,668960987017.4398,817900.3527431932,262767.5686013611,117815766370.09341,343243.01357798005,636201.4694203307,681025276841.1664,825242.556368227,,,,,
226772.48988837533,170868350991.78555,413362.25153221906,463314.8869783277,334345320663.56635,578226.0117493559,247382.8171753117,98389457025.26746,313670.93748906266,462224.8616931897,336261673995.8211,579880.7411837551,,,,,
304144.59301620687,210719757833.5693,459042.2179207151,686815.6345562382,885297965047.0383,940902.7394194568,395499.55675387086,363513946256.39954,602921.177482098,669730.6804860767,876730883580.1394,936339.0857911141,,,,,
242122.6059066089,141652824584.0998,376367.93777379574,629815.1989168582,845770600100.6123,919657.8712220172,335682.007029383,208095087512.82855,456174.4047103351,632449.1309909343,843446517813.3022,918393.4439080574,,,,,
311878.06912882667,317211206934.5016,563215.0627730952,644290.1741589138,745595676654.9385,863478.8223546299,249511.30399109307,117742102694.21394,343135.69137327286,646468.429538838,739427072529.9447,859899.4548957133,,,,,
318321.0279361933,216419489362.3615,465209.08134124114,583124.9473003288,475417599296.3094,689505.3294183515,236737.88714652567,105933352717.20876,325474.04307749146,578717.9467336782,470630599679.0926,686025.2179614775,,,,,
375492.7324262923,346765359183.41266,588867.8622436554,550022.9485040109,455747862441.601,675091.0030815112,210061.12211121232,67320729702.84001,259462.38591140724,552901.7879625707,454557623755.1689,674208.8873303058,,,,,
251341.31787674053,248600967882.445,498599.0050957232,542604.4445957149,428636901808.06085,654703.6748087342,216803.3664040444,79055674513.65198,281168.40952292626,543578.3104908159,434610108715.73193,659249.6558328506,,,,,
243630.7066565089,101065570164.03844,317908.1159140773,468033.48420307436,329264268987.2117,573815.5356795524,243179.03218942843,111165650142.67564,333415.1318441856,465323.9757388097,321236986343.68915,566777.7221660085,,,,,
254247.98274059812,140203718756.1996,374437.8703552828,469358.2333748815,365037326099.4338,604183.1891896975,292039.43063669716,136651603239.76033,369664.1763002744,466299.1914097399,361038683361.87054,600864.9460252033,,,,,
