target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
542454.098326991,924176.3673653534,760824.5603159778,1556474.8833899659,702050.6687954139,1489457.2677620754
481739.99731494044,801993.4934871678,705032.8357774409,991060.0749906334,621559.7781042464,926113.56976957
477106.55320312816,756379.4665101707,790688.7198943234,1050358.872960265,569601.1535294278,940348.0193620976
819782.0562224479,1497670.1743420234,805423.4060464194,1407664.9359696917,770491.2543963065,1381675.8279924998
406160.7561541675,543161.0207705976,504679.4502196935,856683.1120597492,526150.3180120985,853061.2024822577
637012.2652305122,1083828.1740202578,667600.7383766614,944671.2477742422,689225.0941377485,935563.3596787192
530146.557176974,821444.1896933466,681772.9548917143,1134210.291425119,634140.5593506062,1145607.643300739
592896.065986035,863789.4623066329,665444.3169181745,883294.1079604231,689530.376576432,961211.7967498356
483954.28784120234,913217.0259891283,617559.7962314502,982483.0303989763,596827.8792451109,978738.9623382805
590648.605752331,992805.4073834484,655979.3039846068,1034568.7582005322,634650.5301488475,1015858.6387514219
541855.7501174046,851958.8245524077,669041.348058842,929202.1081111025,627398.1627213402,890758.3094219379
844607.0894257347,1473709.1944658668,848888.9216121865,1033039.8375960799,780159.8341230635,964495.2402766428
536903.4557957107,777851.9628068787,542999.3606422036,766653.8436800312,538723.8498770093,805665.2900084421
421946.9278382495,638719.1119873973,793235.3964097507,1412999.6412390436,716864.6635472247,1344900.9569415646
626429.3850357847,981900.1176851648,681572.122978478,893972.0853823223,657750.292401864,941769.8665348941
381144.89016203216,503334.4122316543,725846.092011227,1197373.2880923394,683678.1211361458,1103192.4513251763
711874.2201605752,1207286.7191472165,1203860.355138288,1731427.7017401624,909591.6244659388,1398841.5122734355
730909.4802844498,1317822.6874766678,677273.9386242861,908480.1445498333,683263.0037849848,856774.5823543286
545627.7632419752,800187.8189131698,570737.6956100011,1007410.7891697913,563877.0668970749,976670.5780687606
691907.17167668,1096810.8104927964,735130.7296022145,1160598.3677317346,673733.1659512365,1113578.880955089
631810.5973536193,1093025.7174144746,976464.5695186141,1730186.8523180205,864448.2027163033,1611458.9829874784
540528.2269923422,830044.0535456964,647412.713765463,891977.2828605794,593831.914513054,852022.6470877221
617599.2194426669,1017601.6669678333,772208.6032346429,1086545.0136978906,634387.043566962,933054.2134335635
625048.1110743645,1087762.8805733316,489019.0933013295,614279.5887930453,467153.53850270784,558378.3224903194
543537.9379050671,841878.4282028677,804660.9661988388,1224428.3674413268,751843.3490293314,1141185.6297464757
353393.49529780826,549680.197840493,636667.670721595,1237517.4077000865,627049.5568767961,1273795.2730167154
581698.0297327444,833121.566617423,676399.0722846456,912692.1631167189,578323.905988437,777292.6941770891
