source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
327738.632848493,187755396569.94772,433307.5080932105,901796.2507373946,1711139441732.6628,1308105.286944695,682581.2136109681,1327888725326.719,1152340.5422559422
509738.1649530612,586545717252.549,765862.7274208799,868627.9447788212,1347558308379.7864,1160843.7915498305,663319.0397569234,944748874409.4077,971981.9311126147
304548.87987222313,211570113121.82663,459967.5131156837,890672.3655591513,1451066186655.8713,1204602.0864401122,622712.5436631367,1050794102029.1069,1025082.4854757333
323439.0305357411,204729551759.82227,452470.49822040583,1097288.8373318717,2474819035852.552,1573155.7570223464,820857.6094970648,1798368894629.9312,1341032.7716465138
335119.34498225676,385311681810.97406,620734.7918483175,656625.375948841,775685473382.0016,880730.0797531566,556107.4097200164,624431822328.383,790209.9862241574
455282.8243493192,441765433796.46344,664654.371682353,1177949.9741906214,2581927908579.0576,1606837.8600776924,736050.1191075337,1684907429640.356,1298039.8413147249
295140.06137586624,153095596900.10696,391274.3243558245,1138292.5449916231,2956085385065.4424,1719327.015161875,814189.1754191247,2676176495943.3145,1635902.3491465847
260343.8083603215,123130195241.42087,350899.1240248697,1357094.8679830185,4028084506122.889,2007008.8455517304,907576.0904259846,2377129458903.376,1541794.2336457793
345083.0946897226,271007122380.74792,520583.44420539145,799507.3935285104,1108634874730.5193,1052917.3161889396,665070.0415296173,964772175774.607,982228.1688969254
239630.4831179558,97670403244.21161,312522.6443703106,658839.627809001,828133667480.104,910018.4984274242,607141.818177924,855763209367.4124,925074.7047495204
