source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
385897.0652521634,325514711675.1669,570538.9659568984,880489.3789659224,1977750460939.7788,1406325.1618810561,980903.321083831,2310567576826.244,1520055.1229564815,81648267.10867074,
355436.6266519953,236541715332.228,486355.54415697575,640071.251837061,857843652574.7599,926198.4952345581,713497.3451981868,1056244178635.5989,1027737.4074322677,57729740.74781974,
278976.01030198566,139272443854.15054,373192.2344504914,676179.1901684457,928195549791.8497,963429.05799641,702993.819976275,1076157931019.7266,1037380.3212996315,63769238.80779013,
259562.98543797998,116585483819.33897,341446.16533113824,870799.1979899332,1526939803083.7815,1235694.0572341445,905145.2681113306,1747722562631.5305,1322014.584878522,82796585.60747908,
312652.99364664394,163516204496.2076,404371.3695307911,996615.5166235993,1827780864170.025,1351954.460834397,843058.5326551923,1193540274320.2417,1092492.688451617,92131175.77955298,
309465.6638901421,189244525551.07712,435022.4425832271,795296.7736515733,1413474945771.125,1188896.5244171272,735963.1844677475,1355435322098.1792,1164231.6445184692,75260916.07506211,
321653.9565597927,175789523033.07388,419272.6118327715,791755.5482452039,1068995326258.2294,1033922.3018477885,773086.7349939146,1021922879223.0535,1010902.0126713832,71884006.82012641,
328705.484842422,201515274987.94974,448904.52769820637,733322.1845971834,875890258883.1229,935890.089104016,689746.9794065586,753313858339.6913,867936.5520242199,63022842.76407839,
268835.2897363369,130157698427.4479,360773.7496374257,735395.8213855678,980872201616.5975,990389.924028207,673129.5193482487,966522379208.5922,983118.7004673404,66855875.801325396,
375854.6946777663,305438164983.5017,552664.6044243305,705870.8241788,850926130978.8704,922456.5740341767,692510.636980896,938132818050.7473,968572.5672610945,63677729.454067074,
238612.0218961707,100878977461.01651,317614.5107847192,677661.6841690904,805760744234.9224,897641.7683212621,889160.0016147494,1244485556916.1677,1115565.1289441453,58415108.04745074,
281609.79415456916,172670142665.19083,415535.9703626039,743070.0780543556,1049774058664.3882,1024584.8225815119,701900.4587792782,967973313859.9849,983856.3481829981,63171120.0604079,
300314.66879689216,185564392157.48816,430771.85627369874,710074.7938692039,1062628154520.3132,1030838.5686034032,702437.0501167758,1017700183523.322,1008811.2725001252,64724349.6125418,
273705.823554055,126162296798.4376,355193.3231332447,659901.6526110512,957591496510.4187,978566.0409550389,832842.7591733718,1356714114776.7883,1164780.7153180328,59675046.08184729,
537742.0848498058,828086385752.7716,909992.5196136348,823484.83438805,1388360360308.6475,1178287.0449549411,899319.5265350048,1623519270673.6743,1274173.9562060097,79567560.66120778,
250003.64099168844,129554796704.77924,359937.21217009396,787143.8752134,1412833954856.9644,1188626.9199614169,704927.7025443726,1128106084531.1174,1062123.384796285,75609250.04154967,
301503.99052824196,165577755555.0339,406912.46669896203,763889.002677043,1061284911763.6663,1030186.8334256978,766185.048854067,1147663016782.9187,1071290.3512974055,72667663.85660037,
405211.72012087074,312512702359.41315,559028.3555951461,795082.5289451166,1151952329377.4287,1073290.4217300315,943311.5484864027,1574483770133.4006,1254784.3520435696,69469351.14237416,
234367.06797166026,101596648973.19766,318742.29241378943,804493.9778818667,2629670654100.5576,1621625.9291527616,939258.1822163527,2839651636642.9883,1685126.5936549064,83732972.06345278,
268609.4782618457,153751382652.43475,392111.44162397855,626530.96486555,702308722185.1045,838038.6161658092,638243.1834816344,762356812361.4554,873130.466975844,54448020.6193172,
306054.31865209143,209343313095.478,457540.5043222709,729492.9322280247,1051901501440.7295,1025622.4946054613,791069.8370270143,1181246949843.3257,1086851.852757921,68377495.07187566,
269545.9169584828,132023949571.94272,363351.0005104468,888974.1516042181,1781960302865.6147,1334900.858815221,892051.0178678856,1748037141099.665,1322133.5564532296,85423297.17623955,
307957.78672039334,155112076115.86414,393842.7047894427,846652.8564181871,1532487577833.887,1237936.82303819,762623.9414226356,1211144969992.4998,1100520.3178462903,80539357.69315657,
336482.1799388299,211078037709.02832,459432.2993750312,782399.3149081018,1065716036971.0791,1032335.2347813568,815910.664869459,1121935457982.0068,1059214.5476635066,70503401.76368722,
402520.74144139065,385711582299.61395,621056.8269487213,832338.0424048617,1214163018000.962,1101890.656100215,802432.6426241755,1055673330775.0005,1027459.6492198614,80074420.80353187,
264240.96385943086,155331077405.3005,394120.6381367265,758681.0892094615,1217002953002.2603,1103178.568048827,748432.3904771018,1103206437413.5688,1050336.3448979422,69239361.59865695,
297564.91811795736,142592154728.7331,377613.76395562314,816559.8552483368,1689531666039.929,1299819.8590727597,727197.2954838882,1170955354803.1963,1082106.9054410458,73537953.90747565,
375831.1985518755,270633874303.92966,520224.8305338084,765732.8022237031,1012071138110.6036,1006017.4641180956,911851.2532584561,1454430065930.9307,1205997.53976985,71362264.57601994,
429794.5506748247,392383417581.6,626405.1544979495,896234.0297342434,1759291018034.9707,1326382.681594935,894918.9148470326,1310384288332.2563,1144720.179053491,84804898.83077176,
316211.2681085273,166194322969.99298,407669.3794853778,800007.9729450722,1322412602095.0266,1149962.0002830643,799994.9092065234,1291930124268.718,1136631.0413976551,74367850.68110043,
415523.7009836372,375687303260.35974,612933.3595590631,829426.0008080238,1151469326263.7346,1073065.387692537,692670.080244448,756770554912.5933,869925.6030906283,77039336.20248754,
355162.0383060386,237922973872.67734,487773.48623380234,929852.4609005599,1398395996378.22,1182537.9471197615,877449.6866603795,1275857373467.632,1129538.5666136558,87082581.62832028,
238883.4786677138,103445023919.17188,321628.70506093185,764774.9644286229,2303642682194.1875,1517775.570430025,780262.6922383842,2210927285817.294,1486918.7219943441,79167644.48508556,
299933.184062139,144517891299.37595,380155.08848281374,1007579.6636495644,7389519114169.8,2718366.9940186148,1022936.864645229,7444667800675.365,2728491.854610412,110115610.46835954,
318889.13325774955,201206389535.84955,448560.35216662823,606382.5678833459,917745676595.3923,957990.4365886918,663600.6164392735,1110887660062.9475,1053986.5559213492,55932924.039932124,
392726.6667812604,284582908026.66504,533463.1271481329,768345.4048745153,993784033573.1044,996887.1719372781,784367.6883778037,1047149606590.6149,1023303.2818234361,69886246.0654382,
398585.86986783816,330905128842.8305,575243.5387232355,875277.0321869864,1243051650377.6106,1114922.2620333717,825185.07988291,1101423947340.0623,1049487.4688818643,77978237.54890394,
388764.7609960324,291538962043.5312,539943.4804158035,1053479.158123549,1833772898231.9707,1354168.7111405176,1073736.8343633278,2205617741818.2876,1485132.230415288,98939605.62854008,
311855.22686288453,151919657803.9583,389768.72348093597,1006484.5015224777,2186385459489.021,1478643.114307513,934993.1388172968,2356594603336.8164,1535120.387245514,95190643.74081795,
279945.858145698,145649434499.69064,381640.45186495973,745792.0671329945,1258140560079.064,1121668.6498601376,715848.6216177327,1177145429183.1743,1084963.3308011724,71164553.5619891,
332285.09444306995,191806002539.82617,437956.6217558837,1040627.1206522888,1820951756028.1946,1349426.4544717488,974195.674788423,1777807272864.748,1333344.3939450707,98431541.21995524,
371499.4063836495,231713928989.84604,481366.7302482028,924435.2777746012,1881384413818.5186,1371635.6709485645,806341.6087515923,1488864865416.6663,1220190.5037397505,84908073.67309293,
424822.6923893117,290574639633.3459,539049.7561759452,755605.4803769909,947369874635.4236,973329.2734914653,702812.6256906939,898611493533.1377,947951.2084137758,70403777.90846643,
235999.5432809225,100743741335.42325,317401.5458932474,851903.6169001795,1532747091168.3367,1238041.6354744846,880725.6722505508,1676270491487.0974,1294708.651198059,81176772.93797782,
349572.56210101146,277206676693.8598,526504.203871023,846621.9925376311,1548895538787.815,1244546.318458182,784394.726635587,1609073506973.8223,1268492.612108491,76429501.0073898,
296406.7581618148,146278227227.39874,382463.36717050266,716955.0105732456,967784780746.8258,983760.5301834516,743863.368897592,1055301228431.481,1027278.5544493182,64920419.67409898,
345309.7154953783,276834448491.4808,526150.5948789574,966795.9346797051,1819116278799.306,1348746.1876866624,882866.7091286599,1469597540177.8481,1212269.5823033126,94287037.6978701,
