source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
384929.3219586743,372145388136.4122,610037.202256069,829713.3796276986,1973542606593.0042,1404828.3192593337,289879.042460528,146849300856.46048,383209.2129065538,708764.7868610125,1727846107227.6252,1314475.6016098682,,,,,
365123.0580399431,223974104192.9376,473259.0244178526,664253.8784289669,906704888506.4666,952210.5274079186,321923.6845072835,184294176842.45398,429294.97649338265,564867.6296033179,773101648792.6128,879261.9909859705,,,,,
280203.1948389892,131318256277.12857,362378.6090225644,632384.2267412492,890545146289.6753,943686.995931212,226278.00526862874,91531266331.90038,302541.34648325405,577001.4621729811,1021595036684.3214,1010739.846194025,,,,,
257815.82256134885,120315782824.38628,346865.6552966671,899316.5273399563,1622202394252.9438,1273657.0944539758,266473.8927597108,130897199727.03162,361797.1803746287,628065.4918813119,1084535313603.7633,1041410.2523039435,,,,,
294793.3145583936,157346937242.24255,396669.8088363199,964634.3279267229,1691571711511.557,1300604.3639445305,291222.5928092055,165982907304.96817,407409.99902428535,690212.8636116273,1298616965255.1406,1139568.7628463411,,,,,
308070.9771519905,204416068946.49988,452123.95307758235,836343.3640274984,1421841231229.595,1192409.8419711215,319564.29830706364,163818535631.69052,404745.025456386,639648.0649488238,1155981288430.628,1075165.7027782407,,,,,
291862.3886047557,143890629587.25375,379329.18367462023,797808.4507817,1090937657693.6935,1044479.610951642,248405.28260090397,115067056700.7563,339215.35445901664,480102.37666868896,515026036995.3278,717653.145325322,,,,,
303688.0377930343,178204327469.81738,422142.54401779664,720989.8392868501,911728335864.111,954844.6658300558,252994.55423622846,140393816713.29364,374691.6288273514,529430.6055093036,584643835528.7786,764620.0595908916,,,,,
276398.82378348656,142732521317.69656,377799.5782391724,707812.5051240938,916786224444.4161,957489.5427337136,260444.77141357868,115171277204.89218,339368.9396584375,492847.2153782981,616235544515.3656,785006.7162230943,,,,,
384499.3669448439,322928001669.8792,568267.5440933427,670054.3780871592,750253815203.3939,866171.93166449,274304.86584973667,140342971624.88242,374623.7734379419,519945.51526885835,571131021564.4247,755732.1096555477,,,,,
250349.34286849972,104599430658.79689,323418.35238402424,686998.6680542759,841910944030.7896,917557.0521939165,299265.3679073414,162636344077.1302,403281.9659706223,555993.2243013633,701644602356.2008,837642.2878270895,,,,,
280429.68485017226,172631471736.50006,415489.4363717326,726162.3695349793,1025624503604.3408,1012731.2099487904,314230.80792854103,174534102444.4391,417772.78806121286,610870.2183941298,842206656421.2933,917718.1791929881,,,,,
299169.4402059835,182600186859.82605,427317.43102736404,755688.3200287127,1080806230226.8818,1039618.3098747741,373465.5051633341,221621782749.46582,470767.22777766275,609389.46710471,842033617294.1941,917623.8975169479,,,,,
281874.4912466018,128800451997.70435,358887.79861915665,671643.9274596215,951722232008.9838,975562.5208099089,283946.90249152214,201488731290.37888,448874.96175480634,598731.6837507166,893971437690.3916,945500.628075091,,,,,
551527.2247102273,882690346830.4615,939516.0173357672,760237.8641110891,1325910754235.5454,1151481.9817242236,214869.66177022853,86169032898.54987,293545.6231977405,573907.00295811,806530187473.94,898070.2575377608,,,,,
262038.5035426458,139692254655.67203,373754.270417974,776748.3336829527,1439694004081.917,1199872.4949268221,432171.6922831394,418695076345.5354,647066.5161678012,579219.9686746345,1089374190452.6733,1043730.8994432776,,,,,
304649.8442454805,169093229866.57294,411209.47200492956,759672.0110435981,1068577973855.0138,1033720.4524701124,258889.3334704809,108851831720.7826,329927.00968666177,521400.22595198354,648116544161.0865,805056.8577194324,,,,,
408613.82601257984,315216419047.4691,561441.3763230041,884915.7749332684,1383519418174.1516,1176231.0224501612,371902.6219752083,271512232572.3549,521068.35690948926,616514.235559658,893810820225.7917,945415.6864711902,,,,,
253519.99679966262,123518704759.18307,351452.279490663,822376.3786108535,2633901174214.101,1622929.8118569704,380579.12365304446,271000232806.19562,520576.82699693384,607694.2857935701,2349860932225.176,1532925.612097722,,,,,
291412.70856423717,166029449919.9569,407467.11513931636,642160.9130247878,758000181869.5175,870632.058833993,266511.7081157919,128594465603.79315,358600.7049683438,462056.53030028037,449438966844.7464,670402.0934071927,,,,,
307713.666681272,216913033297.16504,465739.2331521632,740477.0747533862,1071464326193.6761,1035115.6100618308,263499.42054029106,114428553908.14859,338272.8985717724,535602.4710042024,723192647086.759,850407.3418584525,,,,,
277297.72421931964,140438934178.05338,374751.83011968515,867442.8986527217,1662503551136.0422,1289381.072893519,445057.0432485289,470430696572.64594,685879.5058701243,526038.2102071859,1245019599894.997,1115804.463109463,,,,,
316911.48287373345,165024623426.71387,406232.228444167,857020.127522773,1570860178044.2258,1253339.610019657,319562.0447791533,231630039690.8524,481279.58578237286,553367.8728131962,848052632001.6533,920897.7315650492,,,,,
340043.90127797576,199954190733.88593,447162.3762503795,738963.8458326795,1028818910872.5503,1014307.1087558,266800.55933044397,131630942027.62634,362809.7876678995,604232.4081929161,840801212315.2875,916952.1319650701,,,,,
423158.4474375897,395860963656.8905,629174.8275772724,856698.2459879529,1239941840508.5205,1113526.7578772055,285498.0102083524,162114862829.4678,402634.9001632469,623868.0158328823,792675409026.8241,890323.2048120638,,,,,
245677.3501203462,145323362546.09964,381213.0146599138,775353.3103287695,1222328730138.3423,1105589.7657532573,346332.83856570005,308812891545.107,555709.3588784582,648196.0749715029,1247110127884.426,1116740.850817425,,,,,
288999.81605433114,140559041006.3587,374912.04436021886,820815.0536279674,1702373576655.0771,1304750.3886395579,304455.9350632567,178691066377.86273,422718.6610239282,597299.0560443283,1131438353084.7385,1063690.9105020775,,,,,
346812.1732386863,227311120717.12793,476771.560306535,813416.4436907044,1072990338603.4052,1035852.4695164872,292531.66547335114,176561443612.5254,420192.1508221273,547442.5767667771,768602899636.4248,876700.0054958508,,,,,
448152.62739268417,431573405060.78204,656942.4670858035,871502.004135017,1579816924072.522,1256907.6831941644,278190.13213629654,134887530187.48067,367270.3774979418,560037.8797647364,925455471197.9961,962005.962142645,,,,,
291266.63178897597,153969917266.2485,392390.00658305315,817213.0058859705,1337618946662.007,1156554.7746051664,280243.4842160573,167579087081.34772,409364.2474390597,602663.4375390561,878760188519.3972,937422.0973069695,,,,,
393029.41511208354,356454271522.99274,597037.9146444493,816671.861758917,1163476862257.7332,1078645.8465398795,280618.630623029,151895982105.311,389738.35082695034,513273.1420870074,549288671279.0784,741140.1158209414,,,,,
360861.89558087575,248194637211.42657,498191.3660546784,921995.5588551967,1400214120474.7368,1183306.4355756445,221589.58716222542,96650520373.56465,310886.6680537534,557763.6263448523,563768614351.9069,750845.2665842057,,,,,
235391.46312978424,96580048788.29424,310773.30771527695,748187.2583296933,2084602916937.0312,1443815.4026526492,498111.6730184396,574246370567.4285,757790.4529402759,661710.9533940983,2097196962779.2346,1448170.2119499748,,,,,
294303.80168304296,144537832042.0596,380181.3146934757,1009497.8645478641,7336876572187.73,2708666.936370681,625012.0886842812,718070917517.5155,847390.6522481325,858887.0818205033,6759445514965.384,2599893.3660758827,,,,,
309568.27085572603,196951748212.60535,443792.46074331336,610242.6795543854,946990483446.0105,973134.3604282044,294097.6153802468,139059417782.91113,372906.7145854458,471577.7668314839,695542048731.369,833991.6358881359,,,,,
398672.3595643889,294317563112.1087,542510.4267312369,791886.4162526699,1065261815097.1183,1032115.2140614527,242998.66667839183,113548386047.88834,336969.4141133411,597047.2819655752,550683223224.87,742080.334751481,,,,,
395656.20763581555,329476102203.6858,574000.089027594,879183.988181771,1281540551387.7688,1132051.479124412,290136.54464937357,140980624246.96027,375473.8662636326,559639.1896910227,698685513126.6478,835874.1012417168,,,,,
370207.42936469323,283854299402.5711,532779.7850918999,1064301.2076822345,1857312288462.3984,1362832.4506198105,361437.9487158055,212078841403.45328,460520.1856634009,583487.7122502241,797331153506.3966,892934.0140830097,,,,,
315268.7289529091,159757056748.69955,399696.2055720564,999514.1302569401,2135688358070.1045,1461399.4519193254,375414.72196096636,262810863676.458,512650.8204191797,707063.2331858699,2021508598929.162,1421797.6645532802,,,,,
281223.82188999146,151352704074.12686,389040.74860369944,751285.9413269359,1242952413979.778,1114877.7574154837,328091.9615987614,191316498003.66824,437397.4142626683,598510.0859412526,1010973522818.0476,1005471.7911597757,,,,,
328586.38728797395,186200363161.84598,431509.40101212857,992510.224208579,1769479924834.1707,1330217.9989889518,283173.4819906268,202990326067.6942,450544.4773467923,599007.2510085452,933812043739.3265,966339.507491713,,,,,
359402.06585478794,224814393645.3207,474145.96238428593,886860.5522676334,1783275798576.6929,1335393.4995261482,323922.30799849215,178020683520.40765,421924.9738050684,677937.705432346,1526791978297.8735,1235634.2413100542,,,,,
419255.64955015766,288969370603.7132,537558.7136338813,723063.2779531787,851911136410.9617,922990.3230321333,251383.484393858,114653216311.62317,338604.8084590991,494054.010676205,502156606275.17,708630.091285411,,,,,
238958.48921151186,100773174904.6043,317447.90896240645,825075.3457366381,1487644019118.8206,1219690.1324184027,385069.7161993098,291804304745.29443,540189.1379371622,670156.5755796183,1232581254909.4893,1110216.760326329,,,,,
326693.2376644814,230696378207.13293,480308.62807900185,824799.4190359339,1568906383727.6733,1252559.9321899426,360171.3957820062,269601804989.916,519231.9375673226,631466.6058563153,1291187354467.7139,1136304.2525959823,,,,,
310461.3325272246,158566472298.779,398204.05861665827,706541.7552437506,900830680728.5642,949121.0042605549,294915.6416387942,161621092878.55975,402021.2592370704,601410.3965768206,770620288876.9408,877849.8099771627,,,,,
397490.1324846762,328795758139.6764,573407.1486646085,961802.7025580219,1734941630416.9094,1317171.8302548493,259758.21088864218,120033693350.37447,346458.79026281676,541600.3091132985,657288360057.3115,810733.223728565,,,,,
260541.8464667262,106792656738.34683,326791.4575663612,670211.3841350474,758335439047.2002,870824.5742095248,231802.85105729385,93889854353.93225,306414.51394138014,495811.29971561575,641026552881.047,800641.3384787517,,,,,
305827.84861745796,170387534354.89365,412780.24947288074,868649.4813128775,1645027446114.5078,1282586.2334028492,288122.91405768064,139842173558.4103,373954.7747501164,685694.5554801448,1378880657281.1726,1174257.4918991034,,,,,
307225.49596929044,174721744210.26678,417997.3016782127,822217.8261443409,1427227365309.515,1194666.2150197078,393376.8933110304,355545696614.389,596276.526969148,601956.1493430238,1167186296998.3906,1080363.9650591789,,,,,
