source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
289452.94013347983,185253778395.62018,430411.17364169366,613571.8863385353,1340866671167.183,1157957.9746982113,612735.4866883376,1337359313419.0908,1156442.5249095135,60530671.1223473,
281429.3305740649,150999066112.67715,388585.9829081296,536887.2879448205,599723997476.5438,774418.4898855035,533020.0700325466,592216963871.3486,769556.3422332043,44279760.02403578,
231150.8655925828,115443287381.60722,339769.4621086586,509662.489004096,695979732766.0563,834253.9977525168,501035.0746622504,661597549123.8384,813386.4697201684,43335295.743973404,
231110.5640047127,117997050928.0793,343506.98817939544,612042.5848509907,912567526826.26,955284.0032295422,605578.1998322218,886060190100.8384,941307.7021361497,49735469.442689784,
239323.0463673,122552321353.4846,350074.73681127664,579732.7913805977,702825807048.6344,838347.068372422,586060.0904647718,690563274360.8943,831001.3684470648,49415057.47583085,
273441.6302482464,153652084989.00552,391984.801987278,539999.6779743782,811437224541.3141,900798.1042061057,540722.8257918212,816579303047.2678,903647.7759875625,48295927.47580323,
246482.6075855692,127435577630.6961,356981.2006684611,483975.6347942513,495499109908.2723,703916.9765734253,492457.97723844857,500958189370.2539,707783.9990917101,41770532.517825,
310582.37011096225,226591543300.91367,476016.3267167563,543636.6340568797,489460829686.8686,699614.7723475174,540638.7113791578,480238960580.72064,692992.7565138907,47755512.28758928,
236143.74127349054,132752621390.11772,364352.3313910832,506012.9573734474,536251299713.99365,732291.8132233855,503686.7909580813,529719512774.31506,727818.324016588,41617722.26223925,
304160.25062611233,264708600385.8704,514498.3968739557,435288.21523317596,324741694823.8362,569861.1188911174,436821.9793381149,327449784566.9927,572232.282003552,33889422.61933679,
196452.22940694744,85060454639.66812,291651.2551655969,557202.0099085681,565948782159.1782,752295.6746912601,558333.3374607601,571974999701.2941,756290.2879855684,42801779.085307114,
254220.07617481705,185892683606.8194,431152.7381413916,567666.0101065473,703748290512.1177,838897.0678886162,561259.6161602894,691901601725.9028,831806.228472655,43811101.92188014,
282812.000705805,185243337778.4153,430399.0448158724,570804.2480270038,704523396523.716,839358.9199643475,570878.9805219355,704904874564.2266,839586.1329037221,48120391.932427235,
228919.07408044644,112239741194.72093,335022.00106070784,529895.2562855829,639929148373.7981,799955.7165079815,527525.2350451426,639805162644.5181,799878.2173834452,42427316.470647536,
472816.71089281986,582805489687.4612,763416.9828393008,551210.1082576355,571633014336.7759,756064.1601985747,531886.7830257773,542958732809.56274,736857.335452096,46509117.639445536,
260101.54835982452,143413774570.4905,378700.1116589359,536278.5850695722,857600501582.9872,926067.2230367443,529988.7507998804,854728182606.8063,924515.1067488331,50836661.77968011,
280968.45727189,179066104946.33432,423162.0315509584,457664.4599452576,422055757731.1783,649658.1853029933,456229.9225328924,423023749756.11084,650402.7596467522,38323720.40989669,
386864.80074645375,380037144385.7657,616471.5276359207,603264.7990284249,802408471358.189,895772.5555955535,601354.4800301627,799929922674.8817,894388.0157263299,45047411.04344855,
209534.59661781965,93618233654.98003,305970.9686473212,614188.5948558578,2208922137500.6973,1486244.306128941,618774.0190707587,2229301581106.6245,1493084.586052185,74410019.92054182,
232257.3325056792,135979322322.32787,368753.7421129823,383875.575179984,288984721959.4321,537572.9922154127,385134.43849219964,291900891450.84534,540278.5313621534,30714531.647449285,
294486.8966978668,239919720109.32892,489816.0063833448,465302.4729312483,458783723354.4397,677335.7537842216,464253.691651547,459039414511.0882,677524.4752118466,38162280.59025996,
212403.32882089677,105760537144.02419,325208.45183362655,511851.296744131,982797878400.1628,991361.6284687252,503544.7104242272,968565869771.7397,984157.4415568577,41893047.03899944,
209911.80660993932,96083332389.22844,309973.1155910597,534200.8196627358,637834384461.7833,798645.3433544725,531292.7250940618,629370659978.3805,793328.8473126264,45262268.57969352,
341136.68885651394,218093518368.3543,467004.8376284279,480653.81649528345,506382258206.17224,711605.4090619128,480876.6552447065,516371246110.3797,718589.7620411661,38303636.45897877,
380070.7771907168,353992806420.02515,594972.9459563898,563250.4055794274,567021226789.7705,753008.1186745403,556876.073108369,554256919251.246,744484.3310985436,43207913.07659293,
267454.5634184409,179254013626.94467,423384.002563801,588510.9407102745,1018089148684.5819,1009004.0379922084,592261.3670772956,1018580414335.425,1009247.4495065247,58596670.0160783,
285516.38463381986,144388192946.42026,379984.4640855995,598289.850484224,987032125127.9905,993494.9044298065,589785.8449581403,957790725322.731,978667.831964825,49346765.53530181,
365279.46725277137,297565725897.8414,545495.8532361556,519721.8607357434,529979869296.5375,727997.1629728632,510615.7365778704,516944177004.05554,718988.3010202986,42274836.86000582,
307351.7023449864,190122115168.58408,436029.94755932083,568757.2288862013,759947247386.8688,871749.5324844567,563637.4158408989,752027116085.8287,867194.9700533489,48866011.32936053,
300623.31457904575,200914295674.18857,448234.64354530716,586035.8959675622,694755858288.1036,833520.1606968506,582110.2909640083,688121058049.8958,829530.625142855,49513756.73037158,
395794.9380440445,398826174369.9645,631526.8595791983,526561.418386265,457890389895.6239,676675.9859013943,528949.5589093376,463424902521.4902,680753.1876689893,43523270.741915494,
263399.63599409605,149597879227.69745,386778.85054343066,555074.5570970083,506642213528.71423,711788.0397482907,547178.1789469713,492711016182.5704,701933.769085496,41842781.86495028,
236215.01710787675,121998117275.00702,349282.2888080743,580544.7273264296,1762489955970.0862,1327588.0219292755,572882.4246030784,1750388545616.9807,1323022.5038210729,64182775.55237744,
267261.42097106914,118907470883.72606,344829.6258788187,856440.7998884203,7228206773343.001,2688532.4571860763,858353.6448881202,7245963833279.71,2691832.801880479,116674052.52736518,
280665.86330584734,208775559346.48093,456919.64211060235,419822.0398486394,559068737896.9777,747708.9927886234,419533.33744744095,561736562004.7189,749490.8685265745,36675533.167253174,
360813.92111681483,404024816555.85706,635629.4648266842,488327.14520277636,340152246278.426,583225.7249799824,485885.5928763058,334621349084.87634,578464.6480856686,35834392.91892686,
368750.84885428404,305642853748.2666,552849.756939683,557221.6065572716,577657905021.1234,760038.0944539052,552837.5557666199,578254746336.3243,760430.6321659618,46419946.32400512,
276870.07551216445,194285283164.80826,440778.04297039146,570068.5520361157,656221595520.9448,810075.0554861844,560138.6897522487,631382799228.4109,794595.9974908072,46730015.562287614,
255946.46856056576,114242567627.28766,337997.8810988135,672252.1688089728,1485179382034.4084,1218679.359813076,669673.514138994,1457082416945.55,1207096.6891453022,63542388.86695464,
271805.13255204365,155942319352.32077,394895.32708341937,550599.0248884511,801660193293.2993,895354.7862681582,550651.4406525668,803943830199.7883,896629.1486449614,48764977.27924635,
296459.0948062801,205551120382.9715,453377.4590591944,529002.4649690505,644078930332.9376,802545.2824189658,525520.8913127149,632410423046.5555,795242.3674871426,46264568.53236719,
340517.2856286281,195876857833.6038,442579.7756716904,685005.7457639283,1328231892249.6045,1152489.4325978025,686967.889817143,1336389344970.526,1156023.0728538795,67953060.46542324,
360648.51178287255,266552204540.59622,516286.94012205675,489191.2810805845,380790590987.4617,617082.3210783645,493422.4584364193,387956936268.343,622861.8918093665,37231359.730350636,
195357.40977417355,82778974712.2947,287713.35511632875,604272.8125936337,983581308794.7003,991756.6782203689,600871.9893172148,982634402606.5289,991279.1749081229,54688725.84622885,
357248.45653042686,398884920843.0178,631573.3693269673,622193.7970551274,1097149485595.1758,1047449.0372305355,621129.8217543308,1093094009673.8978,1045511.3627665162,59464034.52123667,
216572.34316439723,96084602203.57916,309975.16384958837,521381.40253685473,518131308252.5405,719813.3843243959,521962.8717954741,526121158844.7693,725342.0978026639,42871773.08170829,
340477.14957970957,239089784647.7349,488968.0814201832,477244.37079761626,403202285179.49414,634982.1140626672,473294.97793715313,397124766969.36127,630178.3612354214,42394975.10732088,
252208.9684214857,118178640932.77933,343771.20433913503,471890.01760855125,486378319852.9295,697408.2877718973,465017.90170934494,472383298251.9817,687301.460970353,39740781.030544445,
301642.43112752377,192089647220.56165,438280.3294930787,656095.8283829492,1148025706392.9846,1071459.6149146194,653536.7719794703,1132658085383.0967,1064264.1050900368,61372140.99613849,
290016.22885027766,185037638772.13327,430160.0153107367,597340.1918179336,1004130455368.2219,1002063.0994943492,593507.2312287325,995749616054.1527,997872.5449946765,54228424.07967201,
387200.7025777951,403131972727.5426,634926.7459538482,550920.7452225138,902484962164.3309,949992.0853166783,540592.3345190412,877350344419.3354,936669.8161141606,48609055.76882097,
318017.1440005095,239376897899.78372,489261.5843286531,536214.9944395007,471072363642.40393,686347.1160006458,533945.0214879265,472512750274.2681,687395.6286406454,44998495.325378336,
