source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
408277.1723715663,484222273782.1608,695860.8149494845,1056949.81792456,2017316550670.814,1420322.692443803,1245655.1529082984,2993292427890.4,1730113.414747831,99331478.4748123,
356052.53253557434,225798067251.68106,475182.14113293553,1040842.1758882245,1831476264642.317,1353320.458960965,931445.6065351083,1396714508489.9282,1181826.7675467196,91733603.97914834,
367693.6279085214,245203418177.8399,495180.18758613506,1090922.3507774018,2005206931394.3032,1416053.2939809517,982751.0954901576,1507782910566.143,1227918.1204649368,100105246.08274552,
361125.34569719556,213420942188.39056,461975.04498445644,704417.1112549385,834381335586.5475,913444.7632925307,972873.7458416406,1553415039636.789,1246360.718105633,62055215.361150086,
388844.3744778785,270910779850.9434,520490.90275521955,808323.3305927595,1258013526084.4766,1121612.0211929241,836513.3398669264,1388013051672.35,1178139.6571172494,72036827.5512447,
335161.8589928857,198571691818.27182,445613.8371036876,562379.4491467936,543344330033.83954,737118.938865255,619143.4802956295,670565750479.8098,818880.7913730849,49100275.62821985,
331988.9424770786,200516852673.65024,447791.08150302665,878992.5628028576,1340414770256.925,1157762.8298822367,847240.168597544,1246432780568.002,1116437.5399313667,80356197.78985472,
381023.85826793336,238056242486.54196,487910.07622977206,977791.6813434272,1722474785139.2302,1312430.8687086075,1037032.3642915161,1686957459537.4211,1298829.2649680409,89548412.8189025,
469037.98689468217,527867335515.39325,726544.7925044906,1128639.396776476,1849919274061.3137,1360117.3751045582,1227431.0558278896,2587282696699.052,1608503.2473386717,105282453.78465648,
496654.3856045758,641653584851.0388,801032.823828736,1080683.3320649134,2134420737371.2358,1460965.686582418,1023034.7425753771,1734415369793.2278,1316972.0459422166,102891167.75375323,
323922.9777884924,203860834668.4927,451509.5067310241,689847.3591986751,801904160677.6411,895491.0165253703,694323.3875574284,812717833999.7197,901508.6433305672,62257145.29659495,
341067.67829158535,204487026694.60828,452202.41783366026,1049169.1289419213,2419899538502.1846,1555602.628726946,1024038.0373105156,1845278847364.672,1358410.4119759507,98307685.69652721,
300173.45295270754,187448803286.1667,432953.5809831889,720073.9642637479,1825241986895.5713,1351015.1690101675,748874.3365185485,1935883244884.3545,1391360.2139217416,67631602.66105287,
322812.4820745366,206919563202.38123,454884.12063115725,751396.5419666148,853904995904.3337,924069.8003421244,855993.2951000055,1188973480098.9302,1090400.6053276614,65462419.18175885,
472153.70516519895,492231834389.3606,701592.356279172,1360034.3923607552,3324806127271.8057,1823405.0913803563,1117581.6091207904,2323136728869.8667,1524183.9550624678,127300176.51493415,
350404.39122153,254528357283.65753,504508.03490495327,824935.1436076154,1249365580595.1182,1117750.2317580248,835170.1841462137,1116438661895.7507,1056616.6106472823,79325634.31882834,
398728.8428564383,273457296542.02045,522931.4453559094,852495.2418971296,1382620178099.3306,1175848.7054461262,988042.3392617373,1601955767023.5156,1265683.912761601,77734725.59978162,
417229.1365280688,452625304291.94476,672774.3338534436,892117.3146470105,1461514874527.5757,1208931.2943784588,977095.2033857707,1443079560597.8516,1201282.4649506258,83701287.6908171,
509017.09125961637,780895713534.5034,883683.0390668949,983548.4375748606,1764881864605.635,1328488.56397247,1187631.240353717,2313516617962.2705,1521024.857772637,90659123.70014365,
362170.5305519643,236021927203.4669,485820.87975247303,744658.0300955417,917796581097.275,958017.0045971392,718529.9803153,874591096400.1066,935195.7529844255,65137359.89645944,
398499.86981169967,302993020166.2171,550448.0176785244,1134589.3824825843,2605417762938.354,1614130.652375561,1130466.0723473239,2530401728434.822,1590723.6492976465,108415481.46582197,
286955.2922011338,136628381297.13185,369632.765453946,810868.0368248766,1450108242599.4658,1204204.4023335348,778713.0664568524,1248892796469.7742,1117538.7225818057,80325992.50524913,
624296.7214700318,981921120194.9095,990919.3308210863,921156.9619785963,1696804641610.88,1302614.5406876432,1034294.9245442677,1774456904859.537,1332087.423880106,82625244.92813474,
501395.6063572326,763970200924.0745,874053.8890274869,1096537.646843588,2451360298479.1416,1565682.055360903,1059359.8740876473,2182985965473.9954,1477493.1355082483,106774320.69630751,
325692.362935834,207447515470.20538,455464.0660581309,739491.6590308037,1278357049621.0276,1130644.5284089192,861424.7368439522,1283783628690.1807,1133041.759464399,71356590.63120371,
391352.09632197616,306081035858.1536,553245.9090297493,1130498.789600936,2747789341682.1475,1657645.7226084673,1111172.3496447576,2141209445796.701,1463287.2055057068,103714178.3582616,
334018.2395332046,185420920397.93994,430605.2953668126,775572.2071872139,1104867705187.5444,1051126.873972664,852878.7221125312,1259210031422.3428,1122145.2808893966,66859886.97799749,
324212.45352548436,177753252734.5703,421607.9372290924,1035057.3261640094,2250795762789.7183,1500265.2308141112,986566.144463601,1803877034307.4531,1343084.8946762276,98162965.95231563,
344803.60746680683,220201684208.04767,469256.5228188604,1120561.66431329,2189624524885.0007,1479737.9919718897,1115217.1444428193,2272133181010.432,1507359.6720791068,106577827.36770806,
341844.0124481862,191232903144.89532,437301.84443344775,952985.3676100378,1660902240567.5872,1288759.9623543506,1003647.6223911723,1591326556470.1455,1261477.92547874,87362589.17066133,
356292.6637307321,222712826852.16876,471924.5986936565,758965.358696906,1205997658455.6375,1098179.2469609128,872955.1400426951,1400034156844.6592,1183230.3904331815,69441496.48142278,
376987.6803393441,255956311032.05817,505921.2498324795,923652.225076199,1953841111510.0781,1397798.666300007,1005016.7538574453,2281705618800.27,1510531.5682898753,86446906.75070514,
322045.0496090185,211286330015.0155,459658.92791831587,879568.0803114544,1259999389892.8308,1122496.9442688166,839795.0052524518,1292202913115.213,1136751.0339186909,81886816.61611854,
305856.76950831723,167325650739.99817,409054.5816147255,812490.6446268166,1368194520608.176,1169698.4742266599,842224.0529610253,1370544406000.642,1170702.5266909788,79503733.4463317,
360749.5045188823,252486365660.54153,502480.2141980732,1190810.8135190678,6566744502797.9375,2562565.999695996,1257756.1993891606,7551384642094.425,2747978.282682457,118253296.546766,
303390.8857324706,182373723518.21844,427052.3662482371,618470.5665377416,744777494276.9851,863004.9213515442,782305.3447793061,1110393352461.3242,1053752.035566871,53967189.1916328,
395732.3236936614,291349252618.63745,539767.7765656611,968387.6628402929,6893996519281.369,2625642.1156131253,1102344.346436146,7171136827289.697,2677897.8373510996,96472013.81552513,
530979.770479236,581426736288.9758,762513.4335137813,890449.3081496955,1291939583496.5557,1136635.2024711163,1014281.586050964,1684351722317.402,1297825.7673190967,84940154.22873777,
350250.01039206755,235339308926.1323,485117.82994045096,832810.6839437517,1382882295818.3545,1175960.1591118444,907764.9700075176,1404799572767.6736,1185242.4109724027,75212755.31159867,
376547.3194721387,287490605266.67816,536181.5040326159,1214111.4034643187,2587261789285.2764,1608496.7482980115,1167918.4931934676,2717274698176.436,1648415.814707089,111482714.29249701,
328570.22855902946,192779981307.89856,439067.171749265,856804.8051428008,1394768685082.4343,1181003.2536290635,887979.2750293651,1559211886899.4812,1248684.0620827517,81857411.49454732,
345165.2502864507,219833565996.58514,468864.1231706529,931802.4243924983,1453401020185.916,1205570.8275277384,943626.5818813865,1589509798069.5825,1260757.6285986067,87577806.36416908,
405655.5238211788,279339761881.13074,528526.0276288489,1002604.1926915243,2430338429770.743,1558954.2744323013,942449.2315944387,2295838477734.437,1515202.4543718365,94840241.36006723,
363222.0867523895,246025674017.05032,496009.7519374496,889486.605799615,1339506800944.5361,1157370.6411277833,960372.9625993939,1604961114553.7769,1266870.598977566,78225301.42283854,
295016.62355919793,144956993160.42508,380732.18035835255,864670.6616404046,1379982410715.002,1174726.5259263546,810391.7590707924,1324779520726.536,1150990.6692612828,79102977.98603539,
462722.75323428423,583841186602.7572,764095.0115023374,798180.5959065816,1227322738697.0322,1107845.9905135876,947011.5558619628,1694402641892.157,1301692.2224136384,77421937.04005255,
444622.04183477507,677471612455.7628,823086.6372720206,827939.4735481477,1393015575015.2268,1180260.8080484697,801753.7158400482,1220270149060.7068,1104658.3856834234,75400979.27070603,
332846.4571440123,194781836662.57077,441340.9528500282,738160.7749199844,895634447586.6165,946379.6529863776,984677.786290484,1850527361848.451,1360340.8991309681,64946261.93209857,
357075.51724063477,253624419998.1666,503611.377947487,830731.8892747469,1310679078367.7278,1144848.932552993,745103.6351317269,1094555103043.5674,1046209.8752370708,74575314.04398297,
279701.9461912991,121248134856.93076,348207.0287299364,881357.7974840209,1988460807093.0388,1410127.9399731923,825384.1012306297,1867735825350.4382,1366651.3181314531,74968328.6124216,
