source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
433009.3138465251,489962677434.52655,699973.3405169989,727848.0515346964,1350344276463.2883,1162043.1474189279,1076636.318147387,2072292969939.3943,1439546.0985808666,65319180.58843563,
375120.21657761134,248180963938.50754,498177.6429533019,575889.6968098959,594291105970.6791,770902.7863295599,1028556.1940253361,1794278750931.251,1339506.9058915863,46262010.19046044,
363030.3145143757,233303960350.97424,483015.4866574924,633593.4352941825,750593342440.8092,866367.9024760838,1078996.9646927544,1978851644770.5593,1406716.618502305,51338366.5034423,
352816.1675412747,244170455422.89584,494136.06974485866,579467.4760629648,534887160006.87665,731359.8020173631,754940.9654543,911467701954.9747,954708.1763318961,44886075.79708318,
389799.4988147,264102371559.94037,513908.9136801777,628323.2137162252,855404846595.1921,924880.990503747,801053.4573907921,1222079099272.9395,1105476.865100731,53884079.60282083,
308867.9810616907,173377574383.60416,416386.3282861292,467821.29506958375,473983182720.86224,688464.3656144175,563772.3776693625,557458086032.6642,746631.1579573037,38861786.101589434,
341663.28819768055,203366105498.6928,450961.3126407772,572998.4358457279,626347695624.0173,791421.3136023172,917307.6876205828,1438215104423.143,1199256.0629086446,48879033.782772794,
371852.34627067647,228396972207.5814,477908.9580742146,573870.6622192918,516458951720.44806,718650.7856535384,976612.9048096032,1725402093373.0159,1313545.6190681069,49275708.32114317,
461186.0045023095,544925542958.3965,738190.7226173981,638443.5207639951,658296987375.55,811355.0316449329,1153600.8299463117,1937303700928.0579,1391870.5762131973,53358697.7668698,
518848.30926920415,665324352228.0675,815674.1703818183,752019.4201757568,1251694602393.9658,1118791.581302776,1102843.4222373785,2198289263175.1472,1482662.8960000137,66642250.00090871,
317507.78395706974,202617925835.29843,450131.00963530433,509226.20549636043,449711969789.78485,670605.6738425234,673138.9711266197,821189428535.81,906195.0278697241,41933834.89990017,
330690.47077709064,195740761401.07678,442425.99539479683,615384.5727132795,760963492610.6488,872332.2145895157,1054831.1393226013,2521408601787.237,1587894.392517096,53176912.989871085,
309403.9334603315,185666640125.29416,430890.51988329255,584262.4817747333,1575258566223.9812,1255093.0508229185,733667.3373964749,1899239070195.8604,1378128.829317441,53767241.36791323,
367003.41434119816,248271523106.1839,498268.52510085754,572360.2175003622,534390154068.1718,731019.9409511151,783154.1506058947,977045662924.4973,988456.2018240856,42276404.002335906,
482192.73655740364,547905089585.68884,740206.1129075394,783076.5938824472,1295275398470.79,1138101.6643827518,1383720.7671473932,3443705677411.7627,1855722.4138894703,66930337.38319186,
341268.78675352415,244801556533.02423,494774.2480495769,526814.2691505717,437748586696.146,661625.7149598601,797319.2689766827,1190211105078.964,1090967.967026972,41462694.63795256,
400601.2660599569,273927553122.8143,523380.88723492215,548168.4502333434,630068105814.0309,793768.2947901301,869419.639943025,1354913089443.5078,1164007.3408031017,44324883.21555987,
468387.23543675296,516523689965.1757,718695.8257602277,597558.8196280239,491968746988.19104,701404.8381556767,974917.8704731205,1647815074463.174,1283672.4950170016,49712026.84465721,
522231.81203296373,785112556423.6438,886065.774321322,659947.3158887197,633451791999.2047,795896.8475871761,978130.6188790314,1762972302818.6123,1327769.6723523294,56216849.952849165,
340943.03467776696,222635170393.25934,471842.3151787675,572307.325367783,665838996852.6704,815989.58133831,718402.0334772548,929838255497.9904,964281.2118350074,50457368.43816305,
416208.33242507925,313662153979.67255,560055.4918752896,697669.3560559262,1151270490492.0605,1072972.7352044228,1113557.9842257223,2389390083599.3594,1545765.2097260307,57287631.59990023,
