source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
406380.15924880287,489805893867.2666,699861.3390288583,1032006.2627046134,2018684581932.6953,1420804.2025320362,796906.4500530283,1659112192256.614,1288065.2903702569,95154186.50360763,
351876.2883781575,227745536206.45834,477226.92317854235,1003987.0342365375,1790638030463.8762,1338147.237961457,525581.1329296066,628938808288.1659,793056.6236329951,90809141.5924081,
362736.4918599218,243919365215.17178,493881.934489582,1041117.2146443746,1834477636581.224,1354428.8968348335,586080.3620423615,801714102245.5422,895384.8905613397,93492656.14941092,
349711.06404760835,240988292351.86816,490905.5839485513,767188.5880603705,948991417078.0465,974161.9049614117,531412.5674190994,605420199570.1968,778087.5269339541,65578896.51342756,
367223.410203773,242661265234.1221,492606.60291364556,813086.0852447819,1247605381014.712,1116962.569209332,612547.1783027794,947811590062.5078,973556.1566044908,73742109.3434726,
324761.37305437186,186008568901.67276,431287.10727504105,562492.6064932778,554779885628.5386,744835.4755437865,488296.67104927404,591043422207.7046,768793.4847588815,51875658.60234508,
328791.47227488155,194290239482.57635,440783.6651721299,827554.2075988065,1303577932929.3716,1141743.3743750702,533115.3179638362,595592384521.4332,771746.3213527054,76306548.60875991,
378420.0613104849,238255644182.38672,488114.37612754933,1023670.127545805,1770164937984.4412,1330475.4556114296,510460.3986536153,492267202767.94586,701617.5616159745,94880891.5357152,
481201.7034027799,613316948457.6407,783145.5474288549,1084986.837806072,1869339400436.7073,1367237.8726603163,641356.2768200829,789025002248.5295,888270.7933105363,101988875.50553921,
501481.55002836906,639628511905.3171,799767.7862388039,1092481.007704641,2230481261355.5776,1493479.5818341735,713195.7918638916,1329327736985.979,1152964.7596461824,98769298.50051396,
320694.2172012988,199838852103.33002,447033.39036735275,681883.620623222,835572986964.5828,914096.8148749797,498620.1103432545,556738449355.8588,746149.0798465537,61958734.61966093,
