source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
397180.56974128546,481039844119.99884,693570.3598914812,1076778.5215300203,2053472476989.3193,1432994.2348067279,315956.02512692055,169173823392.97498,411307.4560386366,718509.1444975628,1407908050708.953,1186553.012178113,100164135.86871403,0.365946348707168,0.26433124086564325,1.0,0.28084683314579284
359166.82757291076,223420059113.75082,472673.3111925729,1050711.5054645482,1873837226192.7622,1368881.7429539931,307414.18723883433,227534853780.04855,477006.1359983208,516748.5705843313,515639716125.6728,718080.5777387889,93328010.17741096,0.36771679735920226,0.2635273602476517,1.0,0.3105905474698082
368582.5677322295,235252181908.62576,485028.021776707,1061612.6643651878,1977428081207.9712,1406210.5394314078,399075.86847322754,273109604479.298,522598.8944489818,594569.1894707546,676989567377.5692,822793.7574979342,95520907.18740663,0.33674984177627926,0.28442225231637125,1.0,0.3240409742868875
356923.40239440545,232394142061.73584,482072.75598371646,713756.3831737288,781714941523.564,884146.4480070957,287687.22735858447,140156589554.0676,374374.9317917368,619811.7915872223,595631845985.8927,771771.8872736249,60727652.52823624,0.34451637913046296,0.2816113442460699,1.0,0.2612874356183103
363940.57090339006,234438214327.93442,484188.20135143155,817092.1554556118,1324228851369.0293,1150751.4290102052,289997.8837499807,157184227463.05524,396464.66105197225,645670.6019064701,954747324686.735,977111.7257953335,76705602.54429641,0.3632329948851034,0.26550560032098297,1.0,0.27781705497750087
325168.947844496,187847376206.21857,433413.6317724889,570463.6968374174,566557989908.7661,752700.464931945,233804.67737526403,108875025796.53145,329962.1581280669,481298.7438185621,521225644071.54175,721959.5861760835,52657145.60455699,0.39447037175666666,0.24274596215002278,1.0,0.24091949785102632
334979.88255237025,199440575814.17102,446587.70226481947,894910.5267505837,1396232444130.3352,1181622.8011215487,296132.48178524,149665962814.68518,386866.85411738907,522544.1895900103,508950728942.5683,713407.8279235295,81916130.23877813,0.3651981933490876,0.266702217270036,1.0,0.3665394481846475
380806.8508061146,243721407463.39584,493681.48381663644,989309.9284219414,1760392653517.7412,1326797.8947517746,254761.60898504208,158638039155.0997,398293.91051722056,605785.6030295314,514107316347.3929,717012.7727923631,92495440.14157404,0.38068292794915487,0.2541123289713137,1.0,0.32208882041952486
466294.9911699271,604186030641.3854,777294.0438736073,1151734.6338665383,2096094855658.955,1447789.6448237759,326843.4598678835,167083485131.52927,408758.4679630861,644892.1609722148,636580831277.9897,797860.1577206308,108443305.10980722,0.3734284834160378,0.25979744977644315,1.0,0.22974742053683636
508669.11674529396,650946027498.3125,806812.2628581648,1095673.1249118114,2166483504086.5305,1471897.92583811,405632.28965666896,290845678222.33624,539301.1016327858,695504.8884636222,1150718771210.4148,1072715.6059321663,103036377.43173328,0.34972399780209235,0.27558614461789344,1.0,0.26040341553209556
322808.3288227769,191617998927.2184,437741.9318813522,667085.9758927838,772097298746.111,878690.6729595524,215903.5029915008,126073384393.83322,355068.14049395255,520347.01541180885,466083932082.5243,682703.3997883153,60724481.6404678,0.35625285490403724,0.27103652727787964,1.0,0.3042212047861626
344149.32267382246,210478480192.81207,458779.3371467508,1095362.3299894978,2473222097196.8423,1572648.1161394122,308531.79093621235,199850175716.70074,447046.0554760558,566860.0738502276,601228163014.6398,775389.039782379,102835871.39660262,0.3778940682968256,0.25564180152784505,1.0,0.3876707739591816
296767.8484888026,174260666447.3545,417445.40534943546,723742.2047516097,1891258463055.761,1375230.3309103393,360945.99939014576,228041410204.25848,477536.815548559,572735.0167743654,1547203844390.4956,1243866.4897771366,70098815.21534464,0.3491044088454364,0.27869353135029257,1.0,0.25463630294678385
326894.5661787819,195522026088.953,442178.72640930273,814132.2452290409,1033241653423.542,1016484.94992476,308104.4816922703,191144857636.66904,437201.1638098291,579835.1301606497,548093480023.64124,740333.3573625068,70216274.47166446,0.392909904748996,0.24608956825148195,1.0,0.24069009762056068
479864.9954254453,491513631236.07855,701080.3315142128,1362590.936349712,3393777993989.1606,1842220.9406010888,427199.1813626498,562474219320.2996,749982.8126832638,663265.2706992313,1007504743138.4312,1003745.3577170015,129487764.11913402,0.3595157252703614,0.26863365582921306,1.0,0.4135119783747343
352293.47386355104,240432693589.63828,490339.36573524086,814250.5376976789,1260627793137.9102,1122776.8224976459,258298.70674595705,125831945079.74638,354727.9874491811,485993.55045092216,372622718106.65186,610428.3070980996,78665719.30033752,0.36276065836240295,0.26923168430977984,1.0,0.2887564927723564
398482.617032692,277041523907.0648,526347.3415027997,884263.1678641305,1370240556737.9355,1170572.7473070333,323840.7612527845,187767346537.57648,433321.297119789,563839.7965819488,634806279797.8741,796747.312388234,80386556.97400384,0.39438821160057763,0.24356287168453222,1.0,0.29120730814607004
442295.0110099519,482900712665.2832,694910.578898669,919976.90341307,1542893427047.6455,1242132.6125046574,260972.73990190012,115341473894.76,339619.6017528435,583021.928497107,472912082287.9088,687686.0346756424,87188231.1665293,0.37738227563049254,0.25619492293111323,1.0,0.29090749973994295
523502.13829628995,756135057458.1407,869560.2667199903,948028.6239500385,1725226816400.7913,1313478.8983462169,238299.44706784308,147055247069.7506,383477.8312624481,686952.5532363934,627529120791.1068,792167.356554855,87416078.08950502,0.3585484298206048,0.2726305271891052,1.0,0.28532681076941907
352310.2987778051,210532550211.64877,458838.2614948853,676342.6626602471,915238304055.0597,956680.878901141,281201.61269720644,134563563779.89204,366829.0661601014,561390.0780302633,675907619080.2976,822136.0100861035,61810353.95292444,0.3668449841804847,0.26398291146748515,1.0,0.22808285449024665
394592.3796878215,285846554836.88684,534646.1959435294,1137551.725947622,2493872250858.438,1579199.8767915473,394747.3461826132,291848072385.1757,540229.6478213462,703093.6378748745,1120058364292.1572,1058328.0986027713,108146604.11322354,0.3829640527429088,0.2521846334075277,1.0,0.37115237133538137
