source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
414941.64058189193,593035240791.2273,770087.8136883009,626751.1150471073,1098098385549.9042,1047901.8969111107,629802.2071755755,1106120711510.7014,1051722.7350926201,58367039.33050198,
317568.76244641346,243733334461.99472,493693.5633183754,460200.94527827046,439750607050.3816,663136.9444167484,458380.1317309628,435604218318.2969,660003.1956879428,39803828.195945986,
339494.2818314168,221124068148.20898,470238.3099538031,555701.4414073983,605126020216.8691,777898.4639507069,549600.1724065597,586326865070.4734,765719.8345808168,44048263.011987105,
290620.3200520584,164596439497.99387,405704.86748126877,557233.3668110068,501983559147.34656,708507.9810046931,562622.3129249158,506623904089.78625,711775.1780511781,45474204.60330719,
287406.04640620947,188015854708.80716,433607.950467709,606436.6166111495,802734516515.2025,895954.5281515142,605857.8338455698,807306098044.3239,898502.1413688026,53609737.438947126,
308505.70515128074,177103070370.7501,420836.1562066051,465146.1760256701,473849722204.51025,688367.43255656,465433.1380430687,472998877069.6506,687749.1381816851,38553128.15982964,
287764.75079651445,192564076711.9222,438821.23548424843,481065.0961808233,453481700356.35516,673410.4991432456,480658.6096320177,455441541777.0989,674864.0913377291,37579203.35795109,
300594.6559252188,182204553018.2448,426854.2526650576,608715.825665366,528993586985.02985,727319.4531875453,603247.43223821,536116554388.7468,732199.8049636089,50102137.29099853,
416024.7870511546,653278126273.8688,808256.2256326077,597595.5361537908,545414105237.0136,738521.5672118274,585551.219928202,533348561097.16425,730307.1690029916,49487510.23501876,
493899.3997233581,551861333462.4934,742873.699536128,613441.4659083443,983456670514.0436,991693.839102595,619775.6993726052,985199360726.7931,992572.0934656551,55467355.707856484,
298224.7725116176,172196044512.51297,414965.1124040586,495337.3216264681,399410702652.5058,631989.4798590447,490823.4191180194,386787618757.5945,621922.5182911409,42071065.05858907,
331969.86899081356,230146900323.61438,479736.2820588145,544687.3548774522,579574325339.1062,761297.7901840424,538140.8458794686,560084829841.9491,748388.1545307549,48819943.51404227,
308589.0126779649,184100628526.39926,429069.4914887322,542340.7254662118,1447680105216.934,1203195.7883972726,540674.9120705826,1445685507435.9055,1202366.6277121573,54146766.317399554,
363363.93416040984,251669021978.48517,501666.24560407206,551423.4771715716,531868746564.48975,729293.31997797,547865.9685574328,527231829655.4791,726107.3127682155,47255125.218468964,
404251.5032406596,425871490461.9356,652588.3008926344,642519.2216184578,1054055192328.0718,1026671.9010122328,636001.0482707755,1064875642220.125,1031928.1187273293,56649274.78180176,
270540.7933620995,142435524997.45456,377406.3128744067,438709.4904170395,327566354537.93805,572334.1284057226,428838.9372950215,314532308619.16516,560831.8006489692,36657226.16434615,
350665.6422941361,244612767930.019,494583.4286852108,487366.3771203942,473927044971.1742,688423.5941418438,482743.87569755444,463868022395.3002,681078.572849932,39746134.50444501,
396607.3967740894,366381168215.3086,605294.2823249766,510502.9042526301,376874266388.8653,613900.860391045,511875.3378597677,370819710215.29224,608949.6779006392,40129210.47070654,
466546.1086475981,527055265310.10706,725985.7197700979,688765.183111069,658593161007.7543,811537.5290199181,686003.1165874931,654729762136.1185,809153.7320782242,54411361.314843655,
296503.84292619623,141553719965.41324,376236.2555169467,542080.5123048252,577752723748.2861,760100.4695093184,536892.7822924029,570137346490.0182,755074.3979834161,46381695.561305486,
312628.94418393483,212692371267.90222,461185.8315992613,667534.2413997024,1063694578775.8774,1031355.6994441237,657875.9379919184,1054519144280.6775,1026897.8256285663,55142874.14127035,
277810.27131529717,147971324443.54865,384670.4101481535,540346.3419265943,675518753434.9166,821899.4789114522,535794.6504155878,671963148167.4073,819733.5836522786,45251862.708214,
498017.06886245013,474857659915.6884,689099.1655166101,620671.0534137642,744790561698.455,863012.4922030127,602334.810995401,708250453520.9265,841576.1721442252,53023255.04951258,
318906.7474150412,198907627242.21155,445990.6134014611,580190.4092041566,647807971522.5093,804865.1884151216,577294.790884669,636705672546.6686,797938.3889415702,48063346.82156509,
287469.7874340354,234101913643.43668,483840.7936950301,500688.71168204246,752256469702.6892,867327.1987564377,501975.9179664638,751647580242.3252,866976.1128441343,41090060.920448005,
331281.9062514581,234729875814.65234,484489.2938080803,579721.9064378756,632219832898.543,795122.5269721283,549843.5858922915,580294498199.7855,761770.633589787,48223981.061255455,
274793.3067597142,152805279360.11032,390903.15854455606,553797.0059806044,662433907066.873,813900.42822625,556411.4166393604,666007999682.6837,816093.1317458098,41457310.10512819,
303932.59987861424,175119904720.27057,418473.3022789752,561834.5960834709,597803103614.7086,773177.278258168,548171.1572323954,565983838398.272,752318.9738390704,47699767.59301344,
350251.10041625716,254354082209.47186,504335.287491835,614938.2688166316,894553214793.4303,945808.2336253107,605588.0790283793,878766346584.9814,937425.3818757958,55876966.414578564,
279513.81708748644,140542958650.9552,374890.5955755028,569654.9655577552,749129401047.1832,865522.6172938425,562966.0755234931,750068616761.4753,866065.0187840838,48713346.701640114,
337975.4252610027,255362126603.66116,505333.6784775592,627376.8223365699,1123531204964.4949,1059967.5490148247,623152.1117835774,1101595365457.6064,1049569.133243545,62001163.02334691,
333154.35188953055,210135711138.58167,458405.6185722222,702780.7318582297,1596113298785.6287,1263373.7763566365,701860.069409063,1598163556771.1125,1264184.9377251386,60469208.58276175,
258206.9384391697,129886682554.13405,360397.95026350254,542272.3378574876,450820489571.28094,671431.6715580827,535486.1882020966,441590428688.5984,664522.7074288721,45636444.72193709,
221211.14601113176,110241302421.50539,332026.0568411844,583496.6824595426,905216872752.6166,951428.8584821341,585639.2393347111,910114126285.6575,953999.0179689167,48958100.01318631,
302784.8860142363,195397557307.58426,442037.9591252139,672483.5238408856,5391418070485.83,2321942.736263285,658770.3874406643,5302809408963.995,2302782.9704433708,88021606.78446372,
302101.8783469156,161389492029.86984,401733.110447558,534763.0669496877,570337014559.8254,755206.6038905019,540021.2049597133,582773859575.3025,763396.2664143062,37214153.46637503,
299279.2892267772,174116450647.26517,417272.63347512396,764566.4943722087,6636835455593.379,2576205.6314652716,761870.6292230893,6608114582822.755,2570625.329141288,116623871.05495235,
