source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
311512.5526025226,241855345521.80362,491787.90705120395,618409.9931990023,1233311833041.3909,1110545.7365824205,621899.3029138587,1249863692510.8657,1117973.0285256733,58268766.34142704,
299324.0504115781,162164199841.32263,402696.16318177484,628113.1176963546,704265697814.3667,839205.3966785287,635536.6796526724,719995357891.6343,848525.402030861,50648144.41407296,
305389.8839897564,230229308895.8271,479822.163823043,675543.8664905084,958671930855.6084,979117.9351107855,662004.6795577661,926174788787.1162,962379.7528975328,52789105.98087176,
301181.50601951376,269632938714.69748,519261.9172582344,804135.1454608061,6612166249203.001,2571413.2785693943,807156.6776724755,6618205956203.51,2572587.4049686845,113908055.24097618,
388889.48463596206,363245874410.98065,602698.8256260175,556055.7817879933,550837582216.0295,742184.3316966679,551113.4878919496,549938270819.389,741578.2297366806,44872109.83537891,
418920.1692850454,451825086114.6837,672179.3556147673,490810.8198358093,372512136989.70013,610337.7237150758,489490.1178156741,371022096778.6514,609115.8319881789,38855657.62269298,
322574.8506561037,266550472273.23654,516285.2624985886,521998.8887111281,587771966492.0333,766662.8766883351,523188.85526098945,596179915255.5642,772126.877692756,42664078.78298279,
320649.8376354167,236191493163.707,485995.36331502895,496037.61271980463,463470518729.7466,680786.6910639092,492091.52619461366,463171895209.4317,680567.3333399361,43625715.98436641,
386454.0143844065,474843149571.4366,689088.6369484238,549247.9517073276,886843593376.244,941723.7351666591,554761.9376659967,883035153079.6478,939699.5014788759,50380358.72556818,
406932.25409230834,350774057088.83374,592261.8146468956,517637.2966383531,569250853049.5516,754487.1457152545,506429.8436927679,555651992596.1868,745420.6816262793,41599203.735269696,
290074.7389818024,330538924096.4842,574925.1465160348,660466.839184639,1886767681521.2263,1373596.6225647274,657567.6966401539,1845612108089.5674,1358533.0721368424,70660619.78183602,
295756.0363036675,205453670465.14133,453269.9752522125,462537.2311671917,316104847968.06335,562232.0232502444,451466.7166242858,304883164582.66223,552162.2629106975,35083491.13220541,
272759.2695240431,148492330991.30176,385347.02670619084,577641.3811528967,803405290814.4731,896328.7849971533,582975.3636652527,801937327215.9753,895509.5349665325,51553574.73740091,
291355.43240226497,157461655804.65244,396814.3845737607,571583.8365993395,892763229641.093,944861.4870133575,562241.0171845169,866231928642.7092,930715.8151888842,52136689.00810555,
249728.2104047319,136468546132.51532,369416.49412623054,537846.8438775536,877089287424.0991,936530.4519470251,542143.7336420524,885028839282.7367,940759.7138923077,36436278.15523598,
264003.6979924064,160662235137.99704,400826.93913707574,469042.17518180027,603771576536.0991,777027.3975453498,466294.0268553321,598208419390.1364,773439.3443510204,41708285.5393002,
275866.54910751554,175461746145.08035,418881.5419006671,605904.5278734216,921639877992.263,960020.7695629626,604560.014575923,915705955128.5919,956925.260994082,55865405.44507191,
396076.70934505895,308631828031.4447,555546.4229310136,540275.0668994826,415776923176.2737,644807.6637077709,529616.652291982,398236234193.9445,631059.6122348066,42168534.137234226,
297218.61861935264,280697484031.3405,529808.9127518907,552339.4528372567,673260900132.7548,820524.7711877776,546391.020636569,653818516079.164,808590.4501533294,44206860.05425581,
271439.59771672444,157863142595.0406,397319.94990818243,528826.5347195016,641986099647.8333,801240.3507361779,521705.1252647124,624196578945.4081,790061.1235502023,45548464.749708876,
264772.72265267576,166198487318.87643,407674.4869609532,489785.68881402106,420236644158.5746,648256.6190626784,499812.33118728653,422734792661.1627,650180.5846541119,38826627.183570676,
368218.77813597204,791934350974.2261,889906.9338836652,470324.62067140854,353770403404.49603,594786.0148023792,471509.98394729086,356914901991.11633,597423.5532610983,35134869.6369565,
362475.49080942,406143587392.0254,637293.9568142989,553104.2304973676,570524710112.0492,755330.8613528572,547627.605333294,563324392083.3281,750549.3935000735,43107227.86565815,
355308.15774464124,245242762513.5782,495219.91328457114,613111.5055752755,851269972861.4929,922642.9281479878,606258.1126075324,834250243383.8627,913373.0034240462,50199655.76163489,
273057.16636355885,127079884881.4417,356482.657195889,515857.4539794244,693401136560.0519,832707.1133117885,519811.56692462275,694926200086.6161,833622.3366049017,48269699.04154731,
333655.6882224485,264708105923.60437,514497.9163452505,565437.8842089772,555735086932.0696,745476.4160803945,563010.2258286302,550190492400.0145,741748.2675409593,44533622.27058537,
319686.996131918,280240219132.5025,529377.1992941352,541174.3029180109,650427233724.487,806490.6904140228,541110.7270238423,644703342210.6293,802934.2078966553,43797209.267659575,
362316.26409307023,277745995596.5351,527016.1246077155,557085.8664858664,732118977882.8689,855639.5139793796,555890.761260244,731433510869.044,855238.8618795594,47405436.06035365,
323225.8354333587,349871873964.3743,591499.6821337898,575429.326413522,715824992588.7262,846064.413971375,574443.8933555107,705981242566.7512,840226.8994543981,49340844.22528495,
368162.1671609257,336706831911.491,580264.4499807748,534882.3550535601,612257658714.9279,782468.9506395304,536933.1111611433,610583570383.1813,781398.4709373197,42724151.33722732,
337091.95416391717,278535691047.5333,527764.8065639972,532142.8522004596,583534075046.9302,763894.0208215602,533390.5713701617,588365911644.984,767050.1363307252,44731864.07249483,
223843.77549294036,109466419283.47232,330857.0979795844,488531.3052698166,660829691075.3345,812914.3196397357,485465.30170449876,654573114164.329,809056.9288772756,43509266.908924684,
307727.5748842115,177988519966.10046,421886.8568302412,494323.89728251466,389737761396.12506,624289.8056160497,498841.1641865649,397809062897.9386,630721.0658428483,36726055.75180412,
245759.75077839472,115624398435.45024,340035.8781591293,502314.1036111747,487520722808.79706,698226.8419423569,501658.4742093398,484425212322.02826,696006.6180159699,44345056.35893245,
219832.98173930214,117050445854.00813,342126.3594843404,553289.8546016462,976927464134.2649,988396.4104215802,546054.2702862173,964938568731.5515,982312.8670294163,50661476.76847559,
266984.99627429916,160208268199.85565,400260.2505868596,471146.40212739207,448174244744.044,669458.1725127,459529.00443334115,435694895803.77466,660071.8868454971,36734925.383939475,
378002.83824329625,324419546340.844,569578.3934989494,601847.7886095763,691754493208.873,831717.7966166608,594163.0546603249,674256802002.3221,821131.4157930643,53827053.807458304,
338030.34062889154,295716099616.719,543797.848117036,564719.399165131,604764464241.2444,777666.0364457512,562794.2946997371,600751511500.8204,775081.6160255773,38980563.12062049,
