source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
280486.8078327362,143504645969.06064,378820.07070515765,720349.084897058,1494751792473.3035,1222600.4222448573,774264.467612396,1589572143257.5793,1260782.3536429987,60738811.3844593,
380599.18558908405,248519971116.23517,498517.7741226838,1448083.0012406586,3671493613191.5225,1916114.1962815062,1571330.0476259224,4166774363614.2207,2041267.8324056892,141556398.92174387,
339733.05837969604,247210623691.35062,497202.7993599298,892233.1255376537,1508409544952.9578,1228173.255266926,864380.5343200932,1485785354056.0032,1218927.9527748977,78045548.1634257,
390937.3472863051,336938720691.0725,580464.2286059258,959104.5892703937,3409862553235.042,1846581.3150887892,1073387.6618697736,3360760639968.2114,1833237.7478025623,95307139.40683147,
497045.0358663553,377573799776.12494,614470.3408433355,1329420.6196211223,2754666501608.6636,1659718.8019687743,1163078.485075241,2423652746886.143,1556808.513236661,129026975.95337434,
333994.6544919621,193090232997.57126,439420.33748743497,603915.2336015176,614005966604.6221,783585.3282218996,705301.8360098228,876698803282.4839,936321.9549292241,53635494.050308034,
346189.4385836079,210895862384.70035,459233.99524066196,835995.2631605564,1587765239989.9546,1260065.5697184787,843225.9842366801,1665451983388.2966,1290523.9181775348,75769739.35210301,
286770.4510609582,129455659879.0256,359799.4717603482,733532.2263931899,1063365835407.7926,1031196.3127396222,717644.5978597162,1085120208416.3767,1041691.0330882074,65068789.69305365,
309644.0507680811,202493578626.132,449992.8650835833,617529.9518751889,1021180320979.1826,1010534.6708446883,671667.8797172599,1130734992014.544,1063360.2362391327,56711961.30411533,
281383.3635589668,134787299894.82574,367133.8991360315,605924.5508899959,772350571083.1116,878834.7803103331,662764.4160446686,846739188100.4385,920184.3228942985,55433554.14406028,
223488.56115083408,75967836981.42162,275622.63510354445,617915.0396832466,864096563587.8711,929567.9445784859,713686.0648595924,988512592980.4178,994239.7059967067,55291936.08659184,
317731.6636404868,196562370922.04068,443353.5507042215,674692.9833013851,898159498359.1118,947712.7720776543,786206.4447787188,1147438699428.0344,1071185.6512426005,62296741.358931616,
357160.8932313412,230804585574.66595,480421.2584541466,711446.9565855019,842262655620.5411,917748.6887054327,637287.3628542308,673285959160.4374,820540.0411682768,62400756.279806755,
253723.26372381015,104908220940.50084,323895.38579686626,976255.1972385223,2333322566328.7637,1527521.707318349,1097401.7231232272,2645620058461.2817,1626536.2149246114,91638201.52061522,
354467.6370338948,225916093440.73868,475306.3153806592,859251.3465029853,1952427386163.3792,1397292.8777330038,789082.7818279669,1742944428404.0671,1320206.2067738005,83943460.7857637,
442372.49504351715,463845244557.5895,681061.850757763,762276.8228891477,1235355358859.086,1111465.4105545012,848320.6692368297,1603239620247.661,1266190.9888510741,71633163.67110822,
219261.024872523,73782233236.59749,271628.85199587594,603370.2775509313,755456596923.9778,869170.0621420286,697534.2373655062,1029126651678.9042,1014458.7974279212,54692893.72592312,
317050.00165422796,179673268920.1372,423878.83754693065,878704.250475873,1492577099764.7722,1221710.7267126585,776964.3881709448,1368679046661.4443,1169905.5716857854,80476186.50898986,
305566.77097913553,197321035537.62238,444208.3244803303,814439.430691333,2447921455621.8164,1564583.476718905,759090.2293138461,2162702245334.49,1470612.880854268,80000780.92171267,
299058.8428698475,159507941969.29916,399384.45384028053,673442.9786520102,910657359340.3864,954283.6891304316,705909.0617743048,999969519290.5408,999984.7595291344,57546474.579968944,
241650.3323708438,121358096029.12402,348364.8892025774,591294.2250187735,1885322144810.2332,1373070.3349829656,645008.8956933876,1751045094813.452,1323270.6052858017,58016320.69288315,
263137.0153111653,122026010698.20636,349322.2161532335,661815.5248664625,915674776116.6953,956908.9696082356,670431.0955297012,982315280281.2561,991118.1969277207,61079244.668759346,
279462.91925749736,132188044686.45718,363576.738373699,630166.8059294593,777908167310.7239,881991.0245068959,776943.9619584195,1262645498608.7002,1123674.9968779674,54011374.1011314,
304214.59773537464,151007714228.7289,388597.1104225158,881779.6322136128,1510458443767.5818,1229007.096711643,765909.9396610734,1159864129829.107,1076969.8834364435,81294698.0156851,
389727.48965540895,356101186213.19495,596742.1438219317,797317.2859656411,1551502348543.92,1245593.1713621104,852170.6532267602,1306596647325.7432,1143064.5858068315,77088643.52033776,
256211.02499024005,126428643524.0403,355568.057513664,527423.5668682092,488338179163.0645,698811.9769745397,544553.6716006611,534669510436.67053,731210.9890015812,45217709.22789813,
412783.2495776055,334918471887.6969,578721.4112919073,890466.403888883,7600182151161.679,2756842.7868055296,921974.3627100358,7192796988971.668,2681939.035282433,100852858.67491752,
313174.1682916016,179482832569.38907,423654.14263215824,975906.2756645461,2621478913528.1646,1619098.1790886445,997531.1603010653,2848716445536.0044,1687814.102777911,97111298.66315387,
346337.7504939061,265087031283.45227,514866.03236517,843286.4332065854,1266150588375.7944,1125233.5705869223,922486.3828201708,1771571678081.425,1331004.0112942655,77599159.10878836,
285421.9536641914,131786408047.1647,363023.9772345137,678807.2504177695,986646185258.5459,993300.6519974433,725834.7602477857,1171934765479.6099,1082559.3588711936,60984126.16231101,
