source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
275942.3561891538,134169545323.92653,366291.61241274216,746314.2122525648,1542159736653.316,1241837.2424167814,668246.3608270611,1457189665097.1248,1207141.1123382074,66185841.2614171,322.0510994035235
385547.4627972269,251325639389.22614,501323.88671319676,1478922.2738106616,3755361611249.326,1937875.5407015504,667359.8311070554,1024343317980.1978,1012098.4724720208,142544431.79794413,314.0249492761288
369728.84092026594,281978342670.1264,531016.3299467601,883886.4814934067,1465965020979.5735,1210770.4245560234,563720.5998750336,815283350263.673,902930.4238221642,75062850.89514425,309.1299026466815
427269.675819098,370018336748.2857,608291.3255573235,975235.9200486758,3356355041551.0044,1832035.7642663543,780440.4936008155,2786718698181.4336,1669346.7878728595,95339989.12955265,307.2640187053652
499486.2887733036,392872785646.7546,626795.6490330438,1339423.5957391625,2736791242520.4624,1654325.0111512134,529798.0264798565,447438086716.1117,668908.1302511666,129708484.82873744,318.0264931682524
328587.27571758244,193406210552.99213,439779.7295840182,628976.9058029474,653989230324.3026,808696.0061260985,505713.17569461855,459779456028.39825,678070.3916470606,55638216.18931261,313.5905672187816
349356.8933811759,214646764985.20187,463299.8650822185,858394.2301637206,1442285946130.502,1200952.0998484918,706141.3865151895,1372560960379.5996,1171563.4683531232,76303736.5230236,318.4843712902554
278322.03266919096,122784199299.03854,350405.76379254746,721556.4078753744,1073559229507.284,1036127.0334796231,505300.53823288216,691259708515.2074,831420.2959485698,65594962.745337196,304.19782513097977
315701.872600973,207511073957.40048,455533.83404243476,650469.0588413046,1027837424785.5472,1013823.172345921,526441.5807843353,772656493542.7736,879008.8131200811,59973089.434938,309.41896265097205
291087.0802539218,145824086529.67188,381869.20081314736,598433.7044897176,802779114182.5331,895979.4161600661,486871.0252403686,507320219879.6568,712264.1503541062,51626921.2204534,315.2319629806047
220513.95103120257,76212938483.6807,276066.9094326241,592410.9802093518,776254464959.6865,881053.0432157229,472717.7021690119,587343342719.9316,766383.2870828614,51182267.352467656,315.5064790869503
336561.61559591,216588141458.98138,465390.31087784946,655695.2486702031,951363226915.2616,975378.5044357199,558899.5856273511,718538338714.4226,847666.4076831301,64533329.503932595,309.96246822123777
328756.87546841055,203621134794.0091,451243.9858812626,694180.0540229215,831379301792.207,911800.0338847367,519019.74218830856,494126147080.4701,702941.0694222312,62213445.13841689,316.94611401076605
241821.49243614462,98282318210.12369,313500.1087880572,1009355.077242377,2456376993213.071,1567283.3161917697,710121.2424159036,1810123524820.3982,1345408.3115621065,97579817.68955351,321.4420404577496
355669.2059303961,223739252431.3505,473010.8375411186,845738.3456013328,1941548854744.1963,1393394.7232368137,645309.4113051046,1501037902390.7134,1225168.519996622,84011616.19893073,310.817727484076
453322.91200656665,474860392670.2927,689101.1483594355,744006.9656716814,1226992087357.2114,1107696.748824881,595089.7373492452,863772295889.7468,929393.5097092872,68602265.045528,308.6248250981831
216659.96967267198,74542549643.84393,273024.81506970007,614308.4266403463,724804808187.4122,851354.690001419,522808.96496279666,631045426755.5999,794383.6772968085,53685268.88542226,313.26255608143384
