source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
501850.5806626134,503577314945.0178,709631.8164689473,1753179.0909262341,5739140163198.896,2395650.2589482665,1871315.2190407205,6908444280777.291,2628391.957219716,171190467.40016735,
387018.6598351027,345087354903.4359,587441.3629490486,734438.0743272671,931914441690.13,965357.1575795821,734645.5392258195,790729954325.4744,889229.9783101525,69088669.78852168,
329599.12430040905,210591845864.56693,458902.87192887225,719582.069134532,1009589583153.6136,1004783.3513517298,713253.473426706,1035811658843.2744,1017748.3278508859,65504879.538342424,
338453.06667442125,228078989301.98563,477576.16073458444,689976.2404590563,1404851129309.0166,1185264.1601385814,698231.8077590552,1653728650594.8054,1285973.8141170703,52470977.218294114,
391525.68574757664,295126758928.3586,543255.7030794602,854022.3891293169,1632912400049.827,1277854.6083376727,865313.9791974856,1306655462296.771,1143090.3123973936,77873123.96278042,
348137.2907977429,219497790643.95865,468505.91313659924,674021.0016044012,829201083437.6779,910604.7899268254,719209.5385423459,947742790206.0077,973520.8216602291,65398555.272731185,
340571.613390302,216118544500.67914,464885.5176284578,821400.3634042054,1320300722581.3591,1149043.3945597352,801218.0408886553,1170498520495.6729,1081895.7992781342,79904542.52283697,
418684.86306622013,291509794491.9134,539916.4699209624,908518.9068014888,1797180467592.1643,1340589.597002813,906243.3651931557,1773880082150.5632,1331870.8954514184,86211864.02037525,
419621.8454039974,448018756424.53094,669342.032465115,693867.5213197303,874456190502.5685,935123.6231122431,784347.7413233895,1069569534842.0486,1034199.9491597592,62794736.53189504,
257608.50911968297,115480883147.89154,339824.78301014414,596672.3432306608,657029317925.1207,810573.4500494824,607164.1240527674,565330248131.5203,751884.4646164199,54250245.09952807,
385293.16021803266,383856600591.649,619561.6196889934,791103.5823233938,1096562258234.769,1047168.6866187172,841491.9064112522,1178600232100.216,1085633.5625339777,71223763.90170051,
245958.88766626926,111507258245.14464,333927.02532910486,663031.7313950309,1146894757312.9832,1070931.7239268725,694669.3343993378,1286270574605.3499,1134138.6928437587,60592347.18085987,
287106.9888722588,156741286159.1808,395905.6531033382,733480.8443246706,1162174768182.3994,1078042.0994480685,923247.2701030282,1597622789257.259,1263971.0397225323,64398248.362940446,
297738.21151690074,151747426516.63834,389547.72046135546,791392.9842843342,1090994117399.4061,1044506.6382744564,811084.6550842434,1075668393765.9268,1037144.345675146,69263706.74340452,
359941.61586983193,208742669011.0496,456883.64931462536,762867.4004707517,961533380730.1837,980578.0849734425,731753.194283063,894775168321.9985,945925.561723542,69564074.2815142,
297578.2438790865,174066365026.64682,417212.61369551957,835416.6031648305,1817277001079.9993,1348064.1680127839,853076.3423629785,2051104532617.1807,1432167.7739068076,85151843.80496514,
420945.1644903085,302290343422.47614,549809.370075189,894328.15713106,1288058814229.204,1134926.788048112,904837.9453592453,1381944342329.9526,1175561.2882065964,81039261.17430629,
296122.2463167037,158237829714.60846,397791.188583418,846733.856183024,1290778959326.2856,1136124.5351308482,814381.7853345793,1134900799594.6104,1065317.2295586937,75502115.05433008,
280335.6850021055,154162065922.9835,392634.77421515214,594709.0362900038,845905513213.3817,919731.2179182469,697111.1367893927,1146190436627.3518,1070602.837950354,53534907.7353702,
440133.61891020386,376802107353.23364,613842.0866584773,935816.9171655073,2112097920727.3037,1453305.85931775,880809.974525604,2328402510440.209,1525910.3874212957,89720856.16380438,
256337.6047251081,120445606213.27573,347052.7426966624,683992.5580781583,1174830058162.512,1083895.7782750665,709743.669614131,1234348675765.9758,1111012.4552704059,61624197.8757123,
292426.2192481814,188162302994.14725,433776.78936769685,569165.099548304,620349212039.259,787622.5060517627,659695.8479805044,822890812937.2761,907133.2939195188,50154054.44432971,
391795.0845059357,314803746318.8315,561073.7441003914,680638.1638443467,774116739428.7156,879839.0417733891,874866.2543851796,1201639675769.4473,1096193.2657015584,63189525.685478315,
322659.84543935396,204301758209.28952,451997.5201362166,873836.9955857593,1342567583470.2793,1158692.186678705,820048.1967686643,1175943805984.6753,1084409.427285043,82975940.15327597,
366805.75972210465,377854164746.4089,614698.4339872755,796698.4298178937,1209885566617.0205,1099947.9835960518,837445.278302279,1385299218528.1729,1176987.348499623,74228011.16147482,
320113.30712245085,185028074149.35104,430148.897649815,683439.9830392337,1979136187356.7563,1406817.752005126,737839.2994197118,2305641633579.6025,1518433.941131323,70118524.87636027,
635598.2353738365,766689455022.7454,875608.0487425554,1660812.6829736847,6411818285241.722,2532156.8445184673,1888800.2706467265,6808099514761.867,2609233.510968665,163169019.9681473,
314788.6109604565,175433411119.97644,418847.71829386445,908299.9105749107,1444202332087.474,1201749.6961045898,994845.240259029,1626411429165.0767,1275308.3663040388,86126010.20496266,
444119.6608747957,349596280515.4892,591266.6746194048,698908.8620869326,856901431673.7384,925689.7059348442,721276.8933403688,1059006077507.2922,1029080.2094624559,57024966.4984852,
277192.8212072103,128125241315.3344,357945.86366563087,469047.1908317967,380843213667.68335,617124.9579037323,467961.29766320897,432339295953.9219,657525.1295227597,42615719.02176775,
310780.30027988914,157076765921.13052,396329.1131384755,712156.6544166632,922370172907.1047,960401.0479518984,949073.2478260782,1538332261998.5974,1240295.2317890276,59944646.32091959,
401870.3908580869,304143357918.49243,551491.9382171351,1023451.6369692626,2193969754610.6118,1481205.5072172165,1007771.273801073,2127144436807.2073,1458473.3239957483,93256230.07367861,
305932.79031591734,177158723198.9927,420902.27274153876,743265.828712996,1457136375976.3643,1207119.039687621,745149.4996719307,1352625146982.0112,1163024.1386067665,74710091.9834818,
478515.3938014038,592258389674.4568,769583.2571427582,940934.5370452096,1476351133473.5337,1215051.9056705083,1081477.1544967087,1983750868192.2715,1408456.9103072595,89949235.89256054,
601137.4233187864,667476728991.0988,816992.4901681158,1633146.7663052548,4750656387643.116,2179600.052221305,1858105.7911705542,5593070855845.446,2364967.411159284,160525869.28732577,
346281.86492270284,211422554704.85385,459807.08422647626,740394.943946598,823600828456.2053,907524.5608005357,767601.2371428325,913374771756.9712,955706.4255078393,69017659.79278998,
405410.5832661676,282975795086.06647,531954.6927004841,812182.2923910592,1069901685337.4025,1034360.5200013206,923966.6592431512,1738631637996.4204,1318571.8175345703,74830081.45022215,
293417.18756001926,159363773883.4056,399203.9251853689,586824.526482118,715577744056.0093,845918.2845027109,656166.6194194354,672091888245.6492,819812.1054520049,54075638.849703856,
363995.694991512,214022541873.214,462625.70386135485,786104.2039398759,1149231509977.2454,1072022.1592752854,856201.4205593754,1592115068539.7993,1261790.421797455,76432191.61474133,
301548.6982773529,177528711960.74277,421341.5621093447,639058.2870105973,763079041506.4521,873543.9551084148,622705.4226024419,767980998178.6881,876345.2505597826,55616382.14146788,
290733.40394950565,163057188003.57715,403803.4026646843,662992.5262091648,952590296574.3975,976007.3240372725,720744.4018683669,1180981365728.9417,1086729.6654315377,59348339.40314251,
349860.7908435614,245963534862.99088,495947.1089370225,839608.6565559416,1395395230269.9705,1181268.4835675464,857496.1545904905,1437096246036.8538,1198789.4919613092,78080377.4984107,
320105.15440954757,156587535375.40945,395711.4294222615,731284.3478935753,1039575713229.8402,1019595.8577935869,755803.1135180847,1001338525143.5865,1000669.0387653585,69642813.18372953,
365206.1083075063,391023872762.5412,625319.0167926617,817203.5743270214,1145750265876.889,1070397.2467625695,781619.7094393946,1189867953825.3035,1090810.6865195737,71018326.1916209,
372722.5299559839,244406915190.80893,494375.2776897414,904650.5760074363,1353564431220.8118,1163427.879681767,808784.9977491258,1056122389128.7657,1027678.154447571,81744364.4318799,
274182.08727763523,133907598584.26118,365933.8718734044,721811.0692919117,944284068864.1362,971742.7997490572,689494.7581006385,1026925886462.3997,1013373.5177427914,66539443.18736711,
338440.8564172409,202983932582.20627,450537.3820030989,788882.1024708026,1184648356032.7769,1088415.5254464063,807495.0857394602,1242069481078.9226,1114481.7096206301,70683021.93351927,
375946.48834808724,256535171437.53275,506493.0122297175,798753.4461517383,1275838684234.6375,1129530.293632994,925335.4077129748,1451704877856.728,1204867.1619131828,73144260.24292569,
285373.6316025582,146972118497.58978,383369.4282250344,653093.5211769434,976999386251.804,988432.7929868596,736263.1075769714,1123179735164.5776,1059801.7433296558,59535263.349807635,
490247.1652839601,557093240600.7772,746386.7902105297,822492.0460020911,1252217302036.3335,1119025.1570167372,896960.3785673439,1514567233784.5513,1230677.5506949623,77274748.88967387,
423364.8626372911,336869246324.2959,580404.3817238942,975618.9176219389,2153686973827.6995,1467544.5389587667,981772.2956128913,2422225650233.081,1556350.1052889999,90038432.30097914,
361173.18677513243,234701312281.16412,484459.81492912717,787931.7821676977,1038915751919.1804,1019272.1677349875,901188.4018197133,1541059622143.865,1241394.2251129835,74361402.08642729,
329699.8045896558,191754694779.96576,437898.0415347456,909000.3293007787,1865376107624.9385,1365787.7242181299,935365.3794530999,2082985907951.0479,1443255.316273267,80944080.34747075,
349218.5507432775,212442934312.72104,460915.3222802655,916500.2853558639,1547403406007.0781,1243946.7054528815,843992.8998055464,1322109678182.8901,1149830.282338611,87018192.49697526,
332712.83755812474,173676352865.53632,416744.9494181499,686868.7375718415,872362995826.7496,934003.745081758,739254.2464058569,953006710857.2834,976220.6261175204,66186476.598885596,
376593.47540065524,243441003607.60364,493397.409405039,825296.6199526073,1363205176028.3826,1167563.7781416408,846503.8285593056,1401733677010.0818,1183948.342205048,81766519.58609208,
339699.34557006916,211384550751.18582,459765.75639251975,780485.5041797189,1284371514095.983,1133301.1577228636,776211.3314129986,1222844682775.9404,1105823.0793286692,67980415.24731065,
362658.53261851956,229123993349.7373,478668.98097718565,531987.4440979715,506536479399.75055,711713.7622666507,667746.4326470727,786280497184.1316,886724.589252002,48907796.71960753,
270637.1953344916,170633653077.23172,413078.26507483027,721917.032945641,1614158578831.7625,1270495.4068518952,842590.3869519539,2090815639354.353,1445965.2967323777,70383492.7717989,
275997.97560201044,127195201113.66206,356644.36223451234,585269.1192984619,652849908688.8204,807991.2800821679,582647.7574366145,683245979247.728,826586.9459698284,52564388.80443999,
355981.6042687165,262589875531.20306,512435.24032915913,716530.3894378458,1059175114145.1483,1029162.3361477762,818161.0506399993,1347779022084.5068,1160938.853723359,65723567.97824555,
284162.1215134417,168939150074.12704,411022.0797890632,792919.3274090391,1450832834631.866,1204505.2239952576,753334.2764599082,1594071764955.615,1262565.5487758308,71353471.95739841,
308091.32273341273,146553726376.8702,382823.3618483467,919602.8938337043,1856445348315.001,1362514.347929959,880050.9706550693,1789623523834.0881,1337768.112878345,86812413.39271061,
380215.8047781254,295888684993.90924,543956.5102045469,727628.2882074787,970395879774.1257,985086.7371831405,655652.9297045451,725131562946.288,851546.5712139813,64906570.90799423,
268775.7218510831,161936224358.1365,402413.0022230103,509870.80713037326,601263891517.0231,775412.0785214937,619730.9425252171,1001480560823.1948,1000740.0066067084,46314689.176192336,
409037.47477874893,397130210142.30365,630182.6799764523,808033.6375714524,1573235706157.4094,1254286.9313508011,912268.4425595814,1841114979160.974,1356876.9211542269,76165801.37171885,
288477.31586348155,133745515553.62921,365712.33989794384,1020534.8983937101,2018746850968.4014,1420826.1156694726,942925.3796880496,1636907308753.0737,1279416.7846144093,97023432.48674643,
245929.6140329667,120513369570.88799,347150.35585591436,643874.8192286666,885464209883.3729,940991.0785354837,797939.6910015753,1139366593155.8564,1067411.1640580946,58612172.92390472,
421009.3196594601,346453861424.03015,588603.3141463188,687280.1433862282,776637310997.3525,881270.282601968,728749.1898213913,983508763170.4877,991720.1032400662,61035421.37078314,
254862.1138677946,123272339547.24928,351101.6085796949,639070.5521700782,1070523352328.4624,1034660.9842496539,694008.5087845749,1082041564058.3239,1040212.268750145,51340211.4931444,
460301.592057857,429506528692.63477,655367.476071734,824038.612653364,1302399430987.8838,1141227.160116637,1029112.6491079511,1899647731693.117,1378277.0881405224,79488836.47489849,
332870.0749541143,195732136847.79675,442416.2483993968,842452.994269958,1369748933113.564,1170362.7356993062,775718.1722895385,1135196092547.8958,1065455.814451212,78883137.63117494,
403497.02789465,399393463818.7257,631975.8411669909,733689.9915460049,833182485236.5546,912788.3025305235,730352.0419568828,852174819455.0746,923133.1536972738,66973747.50878144,
318065.05361305777,180248528539.1514,424556.8613733046,923512.619779659,2645669291252.7446,1626551.349098068,819277.5914625878,2642402040216.4424,1625546.6896451921,89626300.09371035,
267989.540770552,121856494635.33887,349079.4961542984,983627.0323365419,2830760868577.745,1682486.5136391867,828296.7191706006,2255498477718.736,1501831.7075220963,95260022.17521802,
396593.53611825756,312306596172.55475,558843.9819596832,804769.4785224763,1049720502780.0125,1024558.6868403452,767743.7039193324,1068046471132.068,1033463.3380686844,73491423.2477582,
408492.99131238286,328175392302.9297,572865.9461889227,967669.0438072185,2309353867662.3267,1519655.8385576408,925236.5105215958,2092033215210.531,1446386.2607237843,92793279.26685867,
302656.64430578693,153869730762.68954,392262.32391435397,708446.3494267518,816813808579.9457,903777.5216168776,670881.5168637075,913400159556.4257,955719.7076321203,61943325.12910731,
364873.951491724,269561170035.83417,519192.80622504215,659245.683743134,751669255277.1484,866988.6131185049,686191.2998836234,742163344039.442,861489.0272310158,56857611.00602085,
422614.43087315664,327853926197.0972,572585.3003676371,1152542.5671425716,2430043718702.07,1558859.7495291454,1205813.761008666,2485099549585.483,1576419.8519383988,110470982.79186454,
326858.1215546988,180915260708.90457,425341.34610792843,723476.3958269672,1534150621866.3943,1238608.340786705,813937.1054256414,1626218863529.32,1275232.866393162,77628799.83662999,
395034.9991222207,384434573925.82214,620027.8815713227,800968.6492956913,1025623953065.8444,1012730.9381399604,887531.208461919,1154248510668.1277,1074359.5816430026,75017994.99992894,
332586.5762452594,188695971202.69806,434391.4953158016,870346.2145350776,1539991825146.2388,1240964.0708522703,805392.1265362329,1361998932971.3625,1167047.0997227842,84161749.13115956,
313125.5172152342,159114758142.88068,398891.91285720584,694994.7586434147,769568838553.3818,877250.7273028515,604730.0778518957,625139649135.5193,790657.7319773198,61954909.719623186,
428726.44342164067,332634630262.03973,576744.8571613273,779406.9994027759,1084625083454.3964,1041453.3515498409,822253.7407545566,1116021482754.3486,1056419.1794710795,71396045.52176037,
361354.27985894494,250429816331.4966,500429.63174805767,763577.3595530753,1062671176663.2411,1030859.4359384023,741974.0583126332,973305514315.461,986562.4735998532,71594113.73869546,
262431.8562693383,120130543034.00606,346598.53293689236,668705.528488797,789205076012.347,888372.1495028685,649269.2547350503,804493839260.1428,896935.8055402532,61948730.569014065,
270648.05696974625,144420948471.48248,380027.56277865224,771406.83929732,1950314025947.84,1396536.4391765222,822759.1656388277,2417443295740.991,1554812.945579304,72693535.6235084,
275623.4593472809,131697236322.00381,362901.13849642826,809447.4544105119,1137399977476.2673,1066489.5580718394,775017.7000138378,1112798064130.9282,1054892.4419726061,72492121.16776994,
306763.9390230176,170044593704.77155,412364.6368261609,916687.6153275444,1951891561843.4277,1397101.1279944726,931821.5485908542,1852740260495.0615,1361154.0179182743,79674925.54271244,
376925.62421510805,252411158335.107,502405.3725181559,793727.1042868851,1471011011217.719,1212852.4276340131,850986.9180450592,1537279711152.8147,1239870.8445450335,77103997.17164855,
373588.66418461665,237708186984.0942,487553.2657916407,631468.4707362888,650436045202.7534,806496.1532473378,688058.9393418909,796931638704.2809,892710.2770240079,55234262.29844572,
290808.71014926943,148994743586.4136,385998.37251783017,612229.3454377771,789535365443.8069,888558.0259295433,646176.3797620683,883908940868.0757,940164.3158874281,52034088.67809114,
284326.2024200661,147904235283.73248,384583.19682967494,687101.691349086,761303503096.0066,872527.0787179081,671406.4863883202,798384027826.5077,893523.3784442955,58745382.58184204,
290100.2157673131,264228152856.2437,514031.27614595956,802799.4615478307,1693924297346.9675,1301508.4699482243,855902.5475947979,1692438508748.5554,1300937.5499033593,81121473.4118713,
292439.539269816,141071134851.38925,375594.37542565685,880743.0741924522,1496636784460.7456,1223371.0739022505,842556.062124593,1565570845628.0032,1251227.7353175972,80234857.48977353,
252630.12848176932,108598313724.08282,329542.58256571763,800476.5367297265,1149830820764.8442,1072301.6463499644,647267.4134729602,889835591596.6105,943310.9729016251,76216183.3393037,
298096.609982752,164642448722.9005,405761.5663451881,722993.5595561895,1247605021030.8823,1116962.4080652322,825507.997225609,1466791611130.686,1211111.7252882519,66069088.52642744,
278897.8023054392,136075317043.20265,368883.8801617694,805796.7980669817,1342369727657.126,1158606.8045964197,866732.3667326638,1399187392518.2742,1182872.5174414504,77186400.41896905,
502598.69852113706,402802413376.1336,634667.1674004679,1720471.3787073363,6014789766821.64,2452506.8331855144,1679444.9125792661,5048676277189.174,2246925.9616616596,168308096.20308277,
