source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
521140.86613093404,551220391897.5059,742442.1808447483,1709140.2092432855,5451489560152.856,2334842.512923057,805076.3004458697,1274485392334.2688,1128931.0839614032,169724296.1363725,1.3467754953586892
400868.81314137107,344035966366.7705,586545.7922164053,719878.3984484146,924809432194.7457,961670.1264959548,570645.0676106168,614499213273.5399,783900.0020879831,67315060.8428516,1.3512867186757185
329898.798382613,212046534552.9776,460485.10785146744,720144.9582112704,1022552759226.1368,1011213.5082296601,505123.63984851143,518889289107.0321,720339.7039640617,65588939.79214634,1.3718311758237356
340900.39126496896,241554375856.12598,491481.8164043569,694915.6794662523,1512488541526.5623,1229832.7290841476,594668.963962023,1354783994408.6086,1163951.886638193,55774960.410486504,1.3518950192326218
400227.5507043563,304698558631.21716,551995.071201924,915986.1531362926,1774090159025.3652,1331949.7584463782,645407.104011038,878351675844.314,937204.1804453894,86695128.75597726,1.312114569220196
348064.55388346,213123571740.6347,461653.08592127345,668269.5294873198,848680655668.1871,921238.652938633,481976.1654791066,553595953236.9353,744040.2900629343,64365906.36740124,1.3358074110315696
315849.30097010796,202946143747.42487,450495.4425379072,853688.7498764908,1334467322810.9292,1155191.465866559,612658.2909375797,742782783630.2137,861848.4690653072,82614786.8724087,1.3613082295324004
440841.79061563703,321910061138.8966,567371.1846215815,863843.6865327288,1840149542579.5066,1356521.1176312394,701897.4201889518,1497332736550.9639,1223655.481151032,83566768.82265253,1.3679132758767492
407867.1715718383,436345058260.5419,660564.1969260382,715823.3747987297,962741478072.6189,981193.9044208432,580553.7819356737,607019481989.919,779114.5499796028,65375683.793448515,1.369123456009084
250090.4344011881,108993341470.89085,330141.39617880527,593822.873411581,619910793082.1813,787344.1389139702,448631.1469180198,361359697100.8303,601132.0130394241,52571513.6557031,1.3154602238363209
384118.73466462654,386738247154.2207,621882.8242958803,852366.7410862341,1225235762282.8381,1106903.6824777657,620505.881319626,714064623492.6718,845023.4455283899,81097731.04504353,1.3128542685415527
258898.07098620074,113741570698.14853,337255.9424208097,635668.3766918823,1123101209424.9722,1059764.6953097524,573375.4409088896,1018684506360.7554,1009299.0173188298,59784261.213652976,1.3445551845572061
