source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
516804.3505574424,528096775386.33514,726702.6733034186,1738000.8750969982,5315442140774.23,2305524.265926132,681112.0760974258,1100477134548.7156,1049036.2884803917,167283496.80991334,
391099.5829782694,350306456562.7221,591866.9247075072,727645.046437352,929033746172.0297,963863.9666322367,487669.0245560487,599253089111.4105,774114.3901978638,67057723.16605981,
342545.76231047267,215764573232.14484,464504.65361731825,711759.7063311565,987185973556.3458,993572.3293028775,471877.22930567706,463445102082.02734,680768.0236923789,63892583.01218631,
347395.03270333936,227175581262.62375,476629.3961377369,686706.8163117995,1431938517812.7957,1196636.334820565,588134.1767110988,1379636518332.6633,1174579.2941869285,53173693.10178907,
384884.11665234366,284055837596.2078,532968.8898952807,889555.8132097853,1674268079944.3796,1293935.1142713376,616363.8977185382,888282647084.7041,942487.4784763478,86391772.1903155,
353875.9204490088,224443374660.90482,473754.55107144336,664083.0022074004,805262101230.2992,897363.9736641422,497962.1068457182,579068300197.8071,760965.3738494329,64263382.542561725,
333402.76955215074,215975081354.14334,464731.1925771105,901163.6854407323,1454901041852.5657,1206192.7880121674,630012.183282147,914406643453.0702,956246.1207519068,85732142.18298778,
441910.0136315953,318998375567.2296,564799.4117978786,888637.1518315733,1847214288542.9565,1359122.617184688,674812.4744096857,1484299883122.1882,1218318.4653949016,83430480.89376107,
394061.68731974036,402948188801.3281,634782.0010061156,738616.4612074256,1009774367235.9856,1004875.2993461356,506810.84818565095,657755291212.775,811021.1410393536,69447888.52773255,
247569.07443784145,106564591714.32706,326442.3252495409,585639.1510003933,650224976144.2075,806365.2870406858,408660.6182667825,400870123597.2494,633143.0514482879,51402080.12529844,
385116.6731599102,401631571117.60516,633744.0896115759,785175.4373234381,1157963508429.2268,1076087.1286421127,601033.8396311039,782813379463.3153,884767.4154620045,71469369.2367308,
260248.92609867157,118428195627.89476,344133.9791823742,675214.6909373908,1168105394600.5142,1080789.2461532517,582933.9720646628,1023149034900.265,1011508.29700021,64003494.513930514,
292644.14662212547,154842604349.88974,393500.4502537319,700932.1940565935,1095972143343.994,1046886.8818282107,579811.8240572031,1062492307588.0792,1030772.6750297949,62180894.197943166,
307583.5328336482,156966684290.57944,396190.21225994395,788884.6261260286,1077163578556.7356,1037864.9134433323,483804.53876420826,559761230464.9927,748171.9257396609,69650338.34630206,
367886.75282811007,213514477913.28464,462076.2685025976,752683.335485271,935302874227.1704,967110.5801443651,537804.8580588629,603776480598.7228,777030.5531951255,66284656.66779831,
290057.44408282574,166462374400.79153,407998.0078392437,874714.6264989731,1897625918395.076,1377543.436119194,618055.0429191971,1589743721933.489,1260850.396333161,85403590.45840673,
417193.1975254438,291553786087.23395,539957.2076444891,904439.6516900387,1294881079437.251,1137928.4157789764,575469.0258847546,642689330762.8507,801679.069679913,82536328.84768938,
320127.7217212066,187318189522.67792,432802.71431990573,810687.8428803046,1267080015022.5037,1125646.4875894669,512140.5570585042,699438955600.8151,836324.6711659385,74359611.08255272,
279439.9901489342,142958490570.07394,378098.5196613099,582349.7816300223,772173248246.6339,878733.8893240853,538268.6473493758,835779676942.4059,914209.8648244865,48311532.226470314,
443982.8634926338,387745935905.34686,622692.4890388086,957108.8702601998,2125938895402.1108,1458059.9766134832,618442.0689936813,1582453408209.8987,1257956.043830586,91016559.30381556,
281394.8935207066,143360909436.10458,378630.30707552267,604415.4547730525,1030740486583.7686,1015253.9025208268,499330.4241466222,809375787446.0889,899653.1484111467,53520003.84935085,
292951.34926498594,187073201622.5185,432519.5968074955,574691.3672497855,607664945434.5083,779528.6687701154,509646.224987021,578864513228.2848,760831.4617760525,49839991.100928016,
403692.1984488738,322413999308.4261,567815.1101445135,689919.9646855881,785531429258.5322,886302.1094742651,535573.8574100184,475486199209.33154,689555.0733692934,63164051.043770015,
354270.902222287,212413877047.27362,460883.7999401515,821280.4075115733,1269821285859.941,1126863.4725910416,523941.9118024975,543460820368.114,737197.9519559953,77780783.32604589,
375778.3000330752,378479471366.37604,615206.852502779,767068.0262271921,1115177264201.1526,1056019.5377932894,502948.1578352606,726045655139.8298,852083.1268953927,72530767.3425408,
320493.0841704497,188433736056.23425,434089.548430084,681167.3149264648,1991442124771.5164,1411184.6529676816,633189.4773930201,2006510388483.0532,1416513.462160898,70008154.82367802,
641984.0256684495,779294231938.0065,882776.433723741,1764115.5277017856,6411821875273.831,2532157.5534065473,696141.2765952393,1260371428913.6252,1122662.6514290147,171780237.0647524,
319556.26837236405,174134359000.53143,417294.09173930495,957798.4074544035,1592331206460.979,1261876.0662049896,504915.70498707594,609442389668.1982,780667.9125391272,92372968.30831611,
