source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
359063.8264482357,264877892586.37454,514662.8921793124,943073.443470815,2037710208504.2546,1427483.8732904322,297526.74354688113,169428295974.49194,411616.6857338171,673150.4125764206,1229636476094.5176,1108889.749296348,90431724.3576297,32.26444000829992,0.27959912744661697,1.0,0.21523264593190908
364984.0797766114,251163968463.00528,501162.616785216,985515.7854490976,2147685713874.2603,1465498.4523616054,270057.825692705,139028048419.22345,372864.6516086279,644811.4736285794,803406493249.1118,896329.4557522428,92818182.49881484,35.64487445683481,0.2579481025557361,1.0,0.2622096948860106
345047.3483846306,240169474935.6811,490070.8876638982,809049.3785474284,1308193461179.6714,1143762.8518096185,296234.53308929247,172372252005.88187,415177.37414975045,572736.9215986829,536619930010.5032,732543.4662943238,75866523.44479667,33.79572237779182,0.272172029506092,1.0,0.30611848934990465
564336.0748781108,741223502740.9572,860943.3795209515,929605.277803753,1736223633812.5254,1317658.390407971,318213.6465127662,177850354406.7086,421723.07786829566,665886.1777079682,1053216760251.9537,1026263.4945529115,87031991.34818926,32.981729557091846,0.2766427465042296,1.0,0.30477290015437647
378205.91424036585,253188521609.81393,503178.4192608164,658687.8548413971,677137234263.2627,822883.4876598647,230911.10909304765,90462076136.68999,300769.14093152905,516095.9752917715,406431277302.61096,637519.6289547569,60260199.06120954,35.036204187828616,0.2597207714878068,1.0,0.22877935324302767
422420.74227473995,335726374628.14844,579418.9974691444,828994.1608900507,1278847979350.774,1130861.6092832817,338914.0843351568,191535736023.36688,437647.95900742745,597386.5761466909,788984496827.9202,888247.9928645605,80870606.87221675,34.39267379512395,0.2651722470559728,1.0,0.27124121496781545
363932.8305138665,223508254404.00977,472766.5961169526,1063109.793694282,2084454715935.5818,1443764.0790432424,359391.1663529775,280812589681.02026,529917.5310187617,625574.1714407817,797914638052.0916,893260.6775472049,101642925.22048694,32.927465236353285,0.27742763454851366,1.0,0.37641015588035454
377476.2907801015,254311634247.37164,504293.20265830634,1081916.898364739,2202688556225.504,1484145.7328124836,318275.5428513168,169130577600.14737,411254.8815517542,655861.5365039031,673260259766.8132,820524.3809703727,102375648.01819642,33.05813210374839,0.27514556358867076,1.0,0.2783413210078385
376955.2748587734,247844210433.94092,497839.5428588823,624050.2160699668,620912192224.6443,787979.8171429547,202420.00489580937,85356643413.74706,292158.5929144427,477194.8541983686,386787824465.73413,621922.6836719611,57136994.78881792,33.79732241305104,0.26765860243584755,1.0,0.2697249848961452
289620.57947060774,164630298456.06894,405746.59389336704,849463.9301219098,1046148234291.9816,1022813.8805726003,332808.2896164867,200439832752.40515,447705.0734048087,459096.74669659423,408169939338.4444,638881.7882350727,72305953.8951504,34.961351335708535,0.2633358690325871,1.0,0.2394635107497292
