source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
296461.82017222454,180144893789.63763,424434.7933306571,612727.6868776843,1024118408160.2708,1011987.3557314195,476502.90538681054,380846061896.2322,617127.265558922,608660.3583348246,1017625619264.2169,1008774.3153273764,,,,,
286911.6023102497,154754680558.73178,393388.7143255787,518762.5585017032,527760097817.17474,726470.9889714625,303359.8006203584,155264575825.98465,394036.2620698565,507529.2422619376,493484400794.3229,702484.4487918027,,,,,
331350.62208522693,213510982240.55066,462072.4859159553,543182.8374922175,515386328654.3081,717904.1221878504,311294.42404368846,175414491160.0822,418825.13195853255,533617.2734567665,503049808194.1912,709260.0427164858,,,,,
546815.0012244119,644023932363.8208,802511.0169734873,601070.7680496532,970007267541.0565,984889.4697076705,343543.0843607137,210662819258.39917,458980.19484330603,596326.710608444,944179465658.0791,971688.9757829298,,,,,
291034.0607889462,158260953809.73883,397820.2531417158,486960.0823375627,372088605605.04333,609990.6602605021,256286.8463654735,117952659955.16391,343442.36773462285,481390.79333676986,364996729319.4168,604149.5918391544,,,,,
319593.0185869481,272195780964.4352,521723.8550846944,529625.020466951,655070461204.8672,809364.2327190319,437319.36680629244,331414720452.9255,575686.303860814,532884.295951903,648753538868.1556,805452.3815025663,,,,,
292616.36036450195,209120385017.40717,457296.8237560886,578820.3048879842,743458287120.4758,862240.2722678151,398274.7546585569,446667803616.3522,668332.1057800172,559059.6224170465,723375466870.8523,850514.8246038115,,,,,
278661.72148099163,160116231120.77753,400145.2625244706,590829.3626254691,535461650927.62103,731752.4519450694,332193.15721205773,190023543110.59845,435916.89931751724,582591.633003693,520608517182.54205,721532.0624771584,,,,,
355943.5626847809,274924545483.378,524332.4760906748,430396.5004900834,333504218039.1932,577498.2407238944,231470.60322208062,95574081766.57806,309150.58105489315,431466.2600004548,329030911520.13354,573612.1612380036,,,,,
276811.38632585236,154470932979.73846,393027.9035637781,426367.0204269104,367469525549.3535,606192.6472247527,319188.8570098767,182529100767.98303,427234.24578091,428815.1247622627,367831425073.1895,606491.075839694,,,,,
374164.0722272359,339316525272.8141,582508.8199098912,569747.9794994828,575890260124.6309,758874.3375056445,349702.5239868002,237601288438.11093,487443.6259077668,562797.6605030124,573850467936.6006,757529.1861945654,,,,,
265423.5057162545,140980439830.1171,375473.62068475207,519617.8014808403,590599127961.6449,768504.4749132206,303684.25751718314,191544303358.90665,437657.746828394,520196.4368312674,585486068871.5166,765170.6142237276,,,,,
222851.65315308076,106269838342.28204,325990.5494677446,570605.0724721326,708587673706.6896,841776.4986661777,358112.6823848909,223214037473.43176,472455.32854803506,557695.307489083,667072942103.7151,816745.334913959,,,,,
216240.39734920175,81594407139.95494,285647.3475107986,487661.00495319813,533543720871.3576,730440.7716381648,343927.8159449041,277958580113.59753,527217.772949279,473845.0406929355,518972259069.6178,720397.2925196331,,,,,
456963.0418553886,422581915122.5363,650063.0085788118,593649.6335278179,684072326505.0679,827086.6499376397,320037.45151817176,165398062438.1126,406691.6060580948,581322.4393110798,679683444113.9321,824429.1625809534,,,,,
287660.9242945182,149190625730.68658,386252.0235942934,469308.75045319536,316352994113.47974,562452.6594420901,229537.1838914548,91576076005.31332,302615.39287569845,463748.07195165305,309782384014.95197,556580.9770509157,,,,,
317819.46835404396,183657233411.94852,428552.48618103773,527999.9529132434,426078068020.94666,652746.5572647217,253030.20593397997,124818915136.78595,353297.20510752127,528754.7510559295,426755989935.79065,653265.6350488602,,,,,
492159.6989192842,702036459069.6519,837876.1597453718,552553.6795661073,477953878571.111,691342.085057109,300574.7787780129,160687979801.73352,400859.05228862364,545151.5929108632,472811614502.6247,687612.9830817803,,,,,
287964.4410671839,161153241129.49432,401438.96314320853,479992.6762267976,423139030398.25226,650491.376113667,311205.32783399225,154158708517.346,392630.4987101053,476379.9987611223,414985569841.0451,644193.7362634358,,,,,
269417.4178403558,126453718058.39043,355603.31558970374,485757.477388982,572917504978.7024,756913.1422948755,275199.11698725575,120950442739.76575,347779.301770197,487724.51039433567,569928152751.303,754935.860024746,,,,,
309857.6176919872,224487505026.09433,473801.12391814176,551648.3201754503,600191819318.0768,774720.4781842782,340638.6873196489,196043021114.57156,442767.45715394616,550442.5497758191,594162508113.1434,770819.3745055604,,,,,
410371.97974837496,574097301305.1262,757692.0887175252,474024.0915345377,432229115239.77783,657441.3397709166,240934.72986900207,91751130328.66132,302904.4904399096,468625.88708723994,423243493022.0027,650571.6663227831,,,,,
468241.8247018506,679053211149.6482,824046.8500938816,537946.4099052815,467422505309.0461,683683.0444797107,237300.5090989401,97248858895.74902,311847.4930086003,542535.0374503313,465960695962.68744,682613.1378479962,,,,,
234877.03289491596,115855454967.82353,340375.4617592513,495213.9557731578,545635189744.4518,738671.2325144737,327241.21581518673,180276845091.35376,424590.2084261409,489228.9860162463,534707740475.62225,731237.1301264879,,,,,
210864.73688978833,94222041126.34543,306956.0898994275,607528.9032670169,1658025403868.0847,1287643.3527448836,517088.890887283,439024494016.47626,662589.2347574598,613401.8799517981,1591140097339.8635,1261404.018282748,,,,,
318510.41706262133,228723410978.37766,478250.36432644527,516709.0119553338,439745652633.47736,663133.20881515,226998.03329186895,88151722837.56653,296903.55814231414,517805.9421784453,435513270298.3404,659934.2924097371,,,,,
279248.1867229749,204632310271.47806,452363.0292933741,519941.0976123161,444716484861.09534,666870.66576743,323284.32278999465,178593598150.3898,422603.35794973257,516336.60923089186,442505318338.6537,665210.7322786169,,,,,
326638.7337989909,262749304598.65594,512590.7769348332,619261.7306207739,1596908664919.3232,1263688.5157820035,503089.3143923666,547438433639.8896,739890.8254870374,619391.0218013067,1595854954953.531,1263271.528592935,,,,,
269478.97817816125,121167974793.03705,348091.9056700932,467257.87224835483,545251815114.94446,738411.6840319799,301666.95231960586,156283003409.22974,395326.4516943304,461367.7291179159,536391440597.1852,732387.4934740388,,,,,
504389.7152862829,686427999764.7518,828509.5049332577,646665.0453379609,1097508955993.4688,1047620.6164415956,454595.51364420436,481509859997.68616,693909.1150847394,646511.9267692757,1099567549246.4495,1048602.6650960073,,,,,
390425.1700205541,399925824267.37683,632396.8882492835,698999.7747026625,751156917248.4303,866693.0928814595,316773.845693264,168395448353.75403,410360.1446945768,691137.1826171072,735758305626.8844,857763.5487865432,,,,,
279261.56761937094,144047577334.2366,379536.002685169,557599.4991028243,501951436680.09,708485.3115485811,257892.36964162867,103429657315.30212,321604.81544171897,534778.6576901951,446584322004.9938,668269.6476759915,,,,,
468314.7373784465,745401198209.459,863366.2016835377,628576.4726063744,714082122602.0497,845033.7996802552,391939.2127980206,231215687740.90652,480848.9240301017,619375.8341976741,701278639657.6328,837423.8112554675,,,,,
