source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
413973.6371482962,394618396445.7926,628186.5936533449,1176897.7894693578,2793193963676.363,1671285.123393481,1007766.4291533653,2226400373858.62,1492112.7215658408,112607756.58274363,
275333.9611977621,139001848366.6099,372829.5164905937,878807.788239022,1457355532425.1562,1207209.812926136,705531.8531820722,960365311431.2423,979982.3015908208,82894981.63782227,
241405.60858975787,212966316515.77618,461482.7369639911,852783.3773028902,1742139027735.2358,1319901.1431676373,774708.7610237801,1564715074407.4475,1250885.71596587,85094548.34305406,
336028.88993158465,249177833383.33972,499177.1563116042,1222832.9215705509,3165678308287.618,1779235.3156026378,1021138.7793493533,2365632028030.064,1538061.1262333055,112123877.06405818,
395800.82786389,309856914253.8172,556647.9266590483,904605.5003189957,1923949819485.382,1387065.1821329026,796045.1657440249,1696974852635.5303,1302679.8734284376,86502297.23405436,
393430.74601326237,574984416832.1017,758277.2690989106,780599.0973125066,1788234004861.3552,1337248.6697923297,697571.4170096853,1601694713040.0654,1265580.7809223658,79708377.08205715,
336910.48095508816,214930663464.63568,463606.1512368399,826129.6485548635,1336354211262.688,1156007.8768168874,724254.4255971793,1123642190321.8083,1060019.9009083784,81675742.17804764,
342318.74179005687,273707407502.21722,523170.53386273317,892284.0744578684,1488734534045.6772,1220137.096414037,715525.6126631441,894099038236.8467,945568.1034366835,82006444.56110014,
328990.4755215783,221242534708.70932,470364.2574736194,744912.0779886195,1467934263730.8816,1211583.3705242416,644139.7450238212,1223228950552.0671,1105996.8130840464,71328128.32230337,
232741.0078864928,115875810589.42555,340405.36216315033,663468.6572677386,900416546387.2784,948902.8118765791,562690.0244106625,732175452026.3688,855672.5144740649,63467983.70349631,
471967.74912654434,386946496178.81683,622050.2360571988,983681.6517773363,1617822403667.5967,1271936.4778429766,824000.2424479169,1104217771801.441,1050817.668200074,91886810.08846316,
406544.9294731612,326487848403.76874,571391.1518423861,977858.9939512447,1548344231605.4639,1244324.8095274256,849450.1402342909,1303187956884.498,1141572.5806467577,94230200.75439306,
240283.6401652909,132407827066.13773,363878.8631758345,647708.360266654,683959127146.927,827018.2145194428,559702.0836025823,503093953866.5518,709291.1629694478,57359037.70904094,
285314.6356538598,135540600623.59236,368158.3906738951,996798.8095185255,2433012290122.965,1559811.620075631,885583.4838389263,2153527794567.6775,1467490.3047610493,95155567.6851984,
461425.593938589,579947674545.3112,761542.9564675333,683011.1860440971,891035084481.7809,943946.547470661,612912.5299312454,759737671972.1586,871629.3202802201,63452084.48153424,
