source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
406795.22357187123,418422033906.373,646855.4969283117,1205118.5056881271,2819295473694.03,1679075.7796162833,692415.9140444788,1396304302497.2253,1181653.2073739846,114993922.5887795,
274591.35415984347,141100922907.52917,375634.0278882215,877536.3810827051,1471088901652.8162,1212884.5376427288,527202.018916424,646565990459.4327,804093.2722386332,84863483.38888267,
269643.45088614995,232051717061.46133,481717.46601245564,823410.927590383,1720509889123.7585,1311682.083861695,644918.322764017,1325932244813.495,1151491.313390377,81272868.65770169,
367542.01627951075,258904338724.07742,508826.4328079639,1175648.2704452567,3222500439871.4287,1795132.4296194497,736132.2141895012,1582677886677.5732,1258045.2641608622,113981041.4385044,
379391.24869785825,293118505249.993,541404.1976656562,881816.0553209333,1930608212004.7502,1389463.2819922771,699769.1421507383,1615834277086.1672,1271154.7022633268,83392304.94600278,
410702.0323936523,582674948553.1935,763331.4801272076,815693.6034225657,1657623767722.2056,1287487.3854613898,696336.030650066,1409396616398.5305,1187180.111187233,80228071.79952638,
335678.5801700586,211186768552.02792,459550.61587601854,799490.324389072,1279994610130.6667,1131368.4678877464,590305.9376627735,999316566553.1467,999658.2248714541,78664640.43676814,
362581.9792376313,294021327978.3303,542237.3354706685,882036.1799190316,1494203181206.2622,1222376.0391983567,479125.0327594169,616983350707.7039,785482.8774121711,82689413.79956977,
320182.83181581355,218461361097.57382,467398.50352517585,777722.6693847359,1506576665047.0366,1227426.8471265554,652320.765744615,1434719722763.9495,1197797.8639002282,78079896.87590647,
230294.78356185547,109107267444.32634,330313.8922968974,666260.5364707146,994077476791.3975,997034.340828538,537661.2678929624,808529893777.5405,899182.9034059425,64919183.2955261,
441963.8442727608,379089898599.6368,615702.7680623474,891148.8592893094,1558849047562.4707,1248538.7649418302,546360.373070349,573262921728.144,757141.2825412072,85428431.33466734,
438388.79391153844,342606718054.3865,585326.1638218358,936258.7543967576,1574725133644.6924,1254880.5256456458,514829.26559076185,966090730422.251,982899.1456005295,90294245.4340542,
251123.6799454997,138938656505.8115,372744.7605343521,671069.377465367,741291184948.4901,860982.6856264243,477101.93220846204,513777512259.31415,716782.7510894177,60411508.87604711,
304289.64659756946,153090722617.66888,391268.09557855455,951466.7241681697,2342127088217.5117,1530400.956683415,704766.524616713,1704984677911.2422,1305750.6185758605,91360960.96561559,
470045.6428472884,593057261000.511,770102.1107622748,660765.9983459234,836525309754.7668,914617.5756865636,558701.0829025138,666849862643.3994,816608.7573883833,61187014.21852484,
371109.5883319769,311998071972.74274,558567.8758868458,665471.8055570229,713528410056.2834,844706.1086888643,507937.44880342146,583932883645.0287,764155.0128377283,58315943.917328395,
375313.1303623911,405025384253.5229,636416.0465085107,1195936.2789881076,2669739470185.4917,1633933.7410634165,706384.7619260763,1515250589860.8672,1230955.1534726466,110287737.64061923,
282719.56104552466,140833751970.41702,375278.2327426106,919570.3280439075,1617481636907.4116,1271802.5149005689,604190.0330509451,873621008238.3214,934676.9539462933,89757341.76460652,
520643.94867757463,555222260737.3052,745132.3779955513,1077548.0453211125,2289998227886.308,1513274.0095191975,610917.6193562265,1353266735276.3032,1163299.9334979365,105279000.36553286,
330083.94717678503,240566880927.09784,490476.1777365929,604834.6251681088,658770565480.3864,811646.8231197522,500874.49719625554,503575258567.9113,709630.3675632204,49459247.562721975,
313589.1060986998,214222247908.05243,462841.49328690534,1450181.47774504,4034456188035.311,2008595.5760270187,682134.1333587174,1333079786019.0461,1154590.743951746,141932803.91538328,
362843.556243308,421053484038.47644,648886.3413868999,839466.4099226028,1165223589689.93,1079455.2282007486,500998.5385504646,630440380054.6073,794002.7582159947,78174321.4373441,
307559.0995190911,154339182403.86176,392860.2581120439,887232.8439492121,1561353708912.096,1249541.3994390485,507876.9665313377,880453349291.7773,938324.7568362338,83111412.40071127,
281150.1334367844,175984393659.20474,419504.9387780849,947195.7169055694,1538798626119.577,1240483.2228287398,428486.6919031822,380822943693.9434,617108.5347764553,90122272.68447879,
302557.0492352662,172371987877.45197,415177.05605855916,657996.0454013809,1022130511497.4602,1011004.7039937353,602924.8816025136,1098335093863.3322,1048014.8347534648,64031427.182324454,
339083.6810664037,239429135750.48563,489314.9657945132,764288.4288902319,1455737649957.8892,1206539.535182287,618556.2572423563,1414989372171.6853,1189533.2581192025,72491917.56005622,
385775.0065257972,330067382479.83734,574514.9105809503,827808.8602291953,2359140180729.686,1535949.2767437622,642030.3821951061,2076542498619.8047,1441021.3387107786,79767003.36472467,
445520.2480223225,431640227311.00385,656993.3236426408,873590.6623239517,1691430568958.0596,1300550.1024405248,636247.0022352899,1092874177921.3198,1045406.2262686787,80416389.96343163,
390909.43845555856,331863618749.4551,576076.0529213613,854427.4738054675,1364615878740.7354,1168167.7442648103,609961.1525953276,999606152139.6028,999803.0566764651,82413113.17186697,
317266.3635032384,200806630003.7553,448114.52777583024,925529.683559404,1390318936866.7546,1179117.8638570253,508228.74716120126,607530838567.0576,779442.6461049316,88118141.6253288,
260167.38410617335,123652780468.57451,351642.9730117957,640751.6270956473,896757440421.2769,946972.7770222736,469336.53398793703,597726535149.8137,773127.7612075598,65158812.13889661,
248757.21911188733,110497407070.8438,332411.5026151228,721071.7700566947,1805707742069.021,1343766.2527646022,590727.8653600443,1709448093189.3313,1307458.6391887628,71551806.6809149,
372810.6336938409,304238798678.82184,551578.4610359815,722774.5701738326,1255415464934.065,1120453.2408512481,560547.4206031625,846417241255.4083,920009.3701997867,67464021.06041297,
342708.01633778587,268481149957.86902,518151.66694498726,690499.2794333803,826302923723.2987,909012.0591737486,500021.2837680161,534570945918.5039,731143.5877572229,59091655.72296321,
597205.9739238912,827312103912.4279,909566.9870396726,1016904.3381078345,1744276169397.6772,1320710.4790216808,568155.4153950599,635308630282.9581,797062.5008636137,99126695.02828996,
323880.4127030859,238290399204.63382,488149.97613913065,767993.3480014333,1042678354227.345,1021116.2295387068,446265.91931512073,411237496476.688,641278.0180831774,74478918.00371097,
382984.43254809215,305232379963.5163,552478.3977347135,1013440.5843675025,2007262912305.8396,1416779.0626296818,653006.1684199824,1182321083165.5398,1087345.8893864178,93970975.29157749,
306580.1887090837,292323212871.08093,540669.2268578645,653505.1488135222,1455996626968.13,1206646.8526325878,516955.9020001341,1254397627491.876,1119998.9408440867,64054651.46642206,
398531.3580660216,294286880265.43726,542482.1474163341,842982.3222264197,1244222396986.0276,1115447.1735523953,551627.6257734444,731742370330.4961,855419.4119439283,76824947.51671195,
323217.5734540507,191555941090.50598,437671.0420972651,1173276.8769351623,5353163686598.343,2313690.4906660146,974403.368614274,5575776517496.454,2361308.221621323,112029415.1154053,
321290.86570851837,204483297362.28476,452198.2942938692,754345.4742444726,1920953024097.3826,1385984.496340916,520736.2875032859,1482835259117.2302,1217717.2328242834,71058355.87757255,
350693.6029597226,216956367414.17996,465785.75269557134,679662.6428780541,884498275345.4734,940477.684661084,467490.7296532997,508695342830.75354,713228.8151994096,60304165.09276645,
349204.0136225953,188405224207.8839,434056.70621231495,1075482.8563037028,2932935305959.619,1712581.4742544715,753209.6722996281,2443716315718.648,1563239.0462493727,109086959.4554102,
413506.8902583403,389046967627.985,623736.2965452508,1073855.0662705777,2392258557835.04,1546692.7806888607,578327.1955706953,965321066626.404,982507.5402389561,102586988.45454152,
279263.69104299066,130405690714.71022,361117.2811078282,927170.0080827809,1901085240440.2087,1378798.4770952603,569590.5110772197,1407852786381.2185,1186529.7241878177,85946281.56425434,
383115.1970340368,298754677309.5516,546584.5564133252,1027878.4859269799,1971964961534.9028,1404266.6988627561,493686.5921617692,624528517258.8539,790271.1669160491,99633903.78563823,
542344.0800059644,611731613542.0609,782132.7339665953,1052482.8601842278,1995678136818.3394,1412684.7266174925,550666.7745402486,751964332565.2145,867158.7701022313,102381961.45783165,
226248.92440166883,88650808329.64183,297742.8560513952,901462.6034516963,1734243219482.1174,1316906.6859432817,654522.3320189455,1485737491318.6804,1218908.3194886646,85062118.9360978,
258959.10792670157,123807828839.68408,351863.3667202144,683208.4172371267,935817892341.1064,967376.8099045514,535637.7142895726,849413193419.0906,921636.1502345112,59294944.22539782,
362692.85824113403,274313815962.53598,523749.7646419862,760570.1109721111,1221896933394.5457,1105394.4695874616,686089.2095774338,1146833652177.861,1070903.1945875692,77788825.01459143,
450825.89033062063,558153492187.1547,747096.7087246167,1006426.4585528133,3137813400223.605,1771387.4223962429,798060.2460521304,2507643440632.799,1583554.0535873093,101438858.20122759,
322998.4515540442,253613845195.74008,503600.8788671244,848978.3094360456,1775499023743.6228,1332478.5265600428,575694.4222328161,1263999115821.5864,1124277.152583644,83548966.34420252,
309255.0663847302,191805792631.13632,437956.38211029227,1091957.8776610051,2054115943574.4385,1433218.7354254194,709483.348180478,1166953532913.7136,1080256.234841398,101425279.61264287,
532625.9357725368,601766229851.3599,775735.9279106259,1376201.2987030072,3440246156809.345,1854790.0573405458,755107.5379056586,1149675576793.5085,1072229.2557067769,127836797.03557508,
274007.1388443642,146429427649.71167,382660.9826592093,760112.5319666198,1119077686915.9229,1057864.6827056487,518570.609379345,668365862977.7153,817536.4597237944,70674399.30502011,
528408.0563197526,636163144212.0095,797598.3602114598,999067.8368904309,2143797928168.7615,1464171.4135198656,674498.9301829459,1306146725834.9888,1142867.7639320258,95929177.03725214,
448487.4864027116,437371640227.8441,661340.7897807636,851662.1403436437,1136855002475.915,1066234.0280050694,631761.4010352778,901754602692.0752,949607.6045883769,74294068.64267272,
317773.61050945794,189345984679.6358,435139.0406291256,671674.2081195487,799656565753.0911,894235.1848105122,522001.79658173525,595055986267.5629,771398.720680533,60524489.54121571,
337169.4267223001,240056645245.59836,489955.7584574329,1138779.7446156007,2094669858966.801,1447297.4327921683,552654.6309251273,747378204577.277,864510.384308527,106403514.37257126,
461723.7478363035,433225055677.8115,658198.3406829673,792616.654645662,1139585536366.888,1067513.7171797315,557331.2384735924,730758905955.309,854844.3752843607,70603576.89231864,
339712.97595739027,249839650029.64996,499839.6243092878,940427.7019290787,2246322161446.236,1498773.5524241931,806978.4726661992,2014834621319.2854,1419448.703306775,86793775.3855118,
378713.9166834936,292547243632.6507,540876.3663099458,895318.4428915126,1747777588343.8604,1322035.3960253336,779241.5033917101,1540914754408.9128,1241335.8749383315,83313919.04956174,
327969.65246418107,198945128510.04803,446032.65408493136,675070.499142112,1442326920278.4207,1200969.1587540542,546804.511248592,1171721282401.1365,1082460.7532844488,65644942.37343456,
316325.9720444177,221551776511.1807,470692.86855781096,913678.8718057312,1813796871816.3071,1346772.7617591273,722407.2347140185,1759270316064.5872,1326374.8776513324,87769121.99505289,
323457.51429538714,202264681098.13977,449738.4585491214,667425.1179529773,703937886455.6145,839010.0633816108,474783.7740184223,453279775672.5926,673260.5555597272,54360088.543100975,
280777.00085434335,178820895995.25925,422872.19818197936,923994.9827539955,3890727397114.6377,1972492.686200544,731270.0501807778,3711749222605.516,1926590.0504792181,104530884.27360965,
553751.2629736974,803947794838.4646,896631.3594998028,815929.2564488212,1081922428216.7781,1040155.0020149776,563144.8559510547,510892754441.9625,714767.6226872357,71293974.35837412,
338621.25264536834,242151654500.77643,492089.0717144371,845097.6137189507,2238114773840.52,1496033.012282991,647836.679518507,1964315069511.3293,1401540.248980146,78998768.84938733,
418542.441646817,435154867897.3754,659662.6925159368,816860.0173517279,1050706118967.9072,1025039.5694644706,564211.9206977945,678510725853.494,823717.6250715374,71645994.57132769,
343629.84785956726,206781227038.4845,454732.0387200406,760424.4811864153,991749021593.9867,995865.9656771019,433726.9204024548,373522529238.74866,611164.8952932004,71101970.84798561,
282486.00715312856,150566481356.54575,388028.9697387886,568573.8188191936,488805665493.7438,699146.3834518088,433044.9263854493,294478458983.93774,542658.6947464657,52069280.037518024,
453515.73645052785,403136665767.6296,634930.4416765899,1731747.475836156,4799988225818.6045,2190887.5429420387,624652.7543307741,1133982602076.8313,1064886.1920772714,173195419.9900358,
466003.2248156288,506885746671.4255,711959.0905883746,793072.4520970498,1065918627989.2738,1032433.35280747,475381.4252822211,737094954909.5323,858542.3431080917,76991371.0780268,
380654.9177355363,238925297387.10855,488799.85411936097,1015290.1843528063,1686244809123.0361,1298554.8926106421,606978.1417554636,660524845760.5305,812726.796507,95826968.28231342,
555068.368136972,693198578301.939,832585.478075338,1112191.8784052501,1897036111770.0264,1377329.3403431245,495036.2260486785,368479994180.3253,607025.5300894068,109879906.03584705,
