source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
406751.9748340428,365142859389.0587,604270.5183848197,1171936.343938329,2816814238336.799,1678336.747597692,748844.6414721322,1240472390543.2485,1113764.9619840123,111746923.44502227,291.8852243522547
275118.7965417311,137823297188.27667,371245.6022477259,870639.9501541426,1457179817326.8162,1207137.0333673041,518695.1094608326,520330882036.0023,721339.6440207638,82641823.42899498,295.86621154499363
265411.7514590853,235445496740.03787,485227.2629810055,819737.620412289,1698732798366.6516,1303354.440805206,639427.6762271599,1325158677593.7502,1151155.3664009694,79600760.89566974,284.4370609816165
369041.1160023806,283464951021.15686,532414.266357652,1200553.0366684909,3237056301755.61,1799182.120230081,714135.973806282,1316460069233.0154,1147370.9379416124,111183339.67254965,282.54765735532203
374273.64497504645,296385991815.06726,544413.438312343,924522.5889621004,2026495289715.0186,1423550.2413736645,624009.9019840495,1449861093988.0342,1204101.7789157336,88582357.89687924,292.1615341237831
387407.1301150381,568464225844.9628,753965.6662242404,778087.6881972712,1671727640459.8518,1292953.0697051042,631186.0795826319,1194022922798.5999,1092713.5593551495,76495618.48256871,301.7464676174124
329447.8872376652,208749390272.72864,456891.00480610103,791626.702855904,1272253169900.758,1127942.0064439299,584034.7568381124,897923646731.4944,947588.3318886395,77127630.4551938,305.3413755319438
355206.25258180837,277533660507.6024,526814.635813777,868155.0133057156,1447052319424.6528,1202934.877466213,509869.89177850186,510283668083.91815,714341.4226292062,80116710.52041884,298.667334077176
324653.8987633394,231101964493.36398,480730.65691025363,757840.7763707913,1513880892495.7622,1230398.6721773404,613825.6186648258,1258146180106.3464,1121671.1550656664,75790942.04794873,294.5918383740853
231907.75422599746,116418582807.03944,341201.6746838143,651923.1068302471,945505934022.3452,972371.2943224646,464218.49801659904,619438218962.9006,787043.9752408379,61544515.33954563,290.7728263298436
468812.44593014877,411769521648.26013,641692.7003233403,988945.2187658527,1771172225882.9333,1330853.946112395,593209.6899723375,513831994766.7107,716820.7549776378,94367620.75553294,289.7398437516652
