source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
332708.35485532484,208593123977.68405,456719.96231573244,661583.1555731851,977699406759.811,988786.8358548323,344680.47908516094,196880900724.34055,443712.6330456916,656358.3716954273,956594842678.8124,978056.666394546,,,,,
264975.2959035627,156379233358.39322,395448.1424389211,466532.8518850682,452464618228.7731,672654.9027761361,290636.01267355704,147311528134.9358,383811.83949291584,470755.55308283947,461819406898.74786,679572.959216851,,,,,
308881.0976655444,244820025151.39337,494792.91137949156,601014.5839599004,1226133743325.5947,1107309.2356363668,407014.0920217953,269830261082.7478,519451.88524323195,597140.9735511843,1211980354811.328,1100899.7932651853,,,,,
307656.4237503448,194389494341.3364,440896.2398811498,633628.6960456535,1127229437533.2883,1061710.6185459804,448487.43265950127,299816120989.18976,547554.6739725539,620828.4071913145,1105856990355.5972,1051597.3518203616,,,,,
329846.8239309635,249133384338.33878,499132.6320111106,607440.1529143162,1329125271748.0186,1152876.9542965193,463070.142655357,353343119976.2532,594426.7153958116,610921.4460349529,1321240629083.9631,1149452.317011873,,,,,
379030.2109984659,322277815598.57245,567695.1784175839,611081.5053381784,1074054232139.1486,1036365.8775447735,371437.79030655697,268773954633.58157,518434.13721858786,603449.86340257,1062828565279.6545,1030935.7716558557,,,,,
295896.6840622519,191420087483.48737,437515.81398103473,551028.5093565178,824709172215.4393,908134.9966912625,268337.2419789248,138149783184.78766,371685.05913580605,552167.54501402,820257341443.9617,905680.5957090842,,,,,
292132.0785215886,214317278101.9001,462944.1414489442,479730.5862923613,453037495760.6707,673080.6012363384,257757.36624528252,107855203832.28716,328413.1602604974,461129.6476600736,418827690944.911,647168.9817543104,,,,,
335221.5217452258,303599050809.3728,550998.2312216372,613827.3946449552,1193820005074.89,1092620.7050366974,414596.07789844356,283755303455.04443,532686.871862865,611222.1457622402,1189989858969.4077,1090866.5633199175,,,,,
234774.78608130856,129404568328.11395,359728.46471764497,430232.11939893966,525420818683.79095,724859.1716214888,256167.151431193,100257755518.48619,316635.0509948104,429260.88595372974,527525040759.45764,726309.190881857,,,,,
314209.84629510617,266561648904.332,516296.0864700913,584391.187075409,573122230922.9204,757048.3676245002,282890.58547227224,150640111036.99963,388123.83466749324,588473.1370311254,574525594485.4408,757974.6661237702,,,,,
357911.52678515564,311225981280.862,557876.3136044244,564256.9504865903,827848065241.327,909861.5637784284,332514.824304448,197374079136.02188,444268.0262364397,558749.5596345658,821338182149.1896,906277.1000909101,,,,,
235664.03140978084,140039920497.59265,374219.0808839024,479861.7362870704,483600243230.3268,695413.7209103131,316144.59800850565,165070742859.9129,406288.9893412236,478943.55321664806,480219580333.7633,692978.7733644973,,,,,
243379.5609909633,133170237654.51625,364924.97537783877,650762.7060603729,1515941392799.1584,1231235.717805148,501307.24607743765,517157072459.4687,719136.3378800078,642315.0522725489,1487884479825.7134,1219788.7029423225,,,,,
353402.7937969276,655057368397.3707,809356.1443501684,480292.3296672813,525642003040.6199,725011.7261400811,332953.61062450596,195497785324.57812,442151.3149642078,476351.5800294587,523800536672.97906,723740.6556723057,,,,,
272636.5624813004,127889967173.76988,357617.06778867514,488516.14721143624,514754867112.51373,717464.1922162484,263299.38033533486,115474294817.67392,339815.08915537276,485378.66108253243,502855497717.1184,709123.0483612266,,,,,
286474.3015924405,354825649637.90063,595672.4348481308,752430.6785888319,1295938340230.6438,1138392.87604528,571332.1100732267,611497221717.1312,781982.8781483206,750088.1901258831,1293530946040.296,1137335.0192622647,,,,,
280312.23819763475,167354196904.01242,409089.4729811712,549959.1466400906,598712463466.318,773765.121639841,322730.61972615635,158412954260.51282,398011.2489120286,544581.6897213195,586916703737.9678,766104.8908197674,,,,,
549298.9625054698,691307586857.5032,831449.0885541358,655021.239420359,1053249789808.821,1026279.5865692843,321501.119201428,175622678252.81152,419073.5952703433,645447.6439570424,1027364094502.3369,1013589.707180542,,,,,
300958.31811901036,298712795206.699,546546.242514482,494676.1463955747,455649552610.4843,675018.1868738681,325382.4830890108,169814362868.79767,412085.38298366964,496519.08360293834,456614011664.9913,675732.2041052885,,,,,
314641.2553791829,213768923050.11145,462351.51459696924,630889.0445877503,985034475419.8639,992489.0303775977,382696.65891969285,275458896967.794,524841.782795343,650246.2636497855,1019509831290.7712,1009707.795003471,,,,,
374396.557091226,413905598032.42566,643354.9549295674,502038.25271908974,520381320839.9225,721374.6050700167,346334.5974508563,240063808125.4033,489963.0681239182,499889.1215965256,516319564680.7676,718553.8008254967,,,,,
288572.0195416622,155973496211.48196,394934.7999499183,544988.8249968932,753118258824.4346,867823.8639403934,379256.7634378244,384711284035.3282,620250.9847112927,537486.396031005,747813571050.8721,864762.1470964557,,,,,
236355.00177669115,109703792589.61157,331215.62854070094,436929.54931740835,278158240849.21735,527407.0921491456,262007.98887447786,106389648182.2909,326174.26045335166,433391.0568039066,276076771418.25964,525430.0823309032,,,,,
266149.67154623364,186473243549.56952,431825.4781153719,545747.3090437878,810771011532.2812,900428.2378581212,372219.6122445872,287903136530.3415,536566.0598009732,537798.9630273776,793137452554.7366,890582.6477956645,,,,,
330780.737396975,259413366195.8056,509326.38474342326,588980.8433530848,1102521496406.0125,1050010.236333919,353379.906368709,220015044424.60962,469057.6131186974,576881.2867591061,1072868508192.6279,1035793.6610119932,,,,,
335284.3541457186,295856306187.05145,543926.747078181,618097.1770648784,1834183271068.3506,1354320.2247136203,534878.7457135736,516627586368.3937,718768.1033326351,624186.6237594574,1846136672812.538,1358726.1213403302,,,,,
361585.53662615555,367361286270.9706,606103.3626956466,589270.5431599976,804581802201.0319,896984.8394488236,350425.14838213654,217503040483.15222,466372.21238314814,582949.5072453592,794770720736.3069,891499.1423082284,,,,,
337412.7273651859,338649960291.189,581936.3885264342,587128.4757821378,860095162042.9749,927413.1560652861,445598.23567458644,338451220152.0209,581765.6058517217,585409.5196542102,854048060774.3169,924147.2073075355,,,,,
275514.25235751027,169283104789.06458,411440.28095103253,520242.6372762795,467916721362.52576,684044.3855207977,281800.8064749377,132964277914.41379,364642.67154903,513408.89228769933,455013131916.1145,674546.6121152152,,,,,
317752.941593785,206574405587.3905,454504.5715802983,430903.3772566662,416877743026.12634,645660.7027116691,284462.3715073613,178277094540.5723,422228.7230170069,430262.2666982162,419377167608.20825,647593.3659390036,,,,,
227855.56649701478,135605806682.12762,368246.93709809403,544896.1831864599,1386018183804.7905,1177292.734966453,351074.982578502,222625748502.59808,471832.3309212692,540769.667278331,1362784769266.1548,1167383.7283713333,,,,,
303986.0383979959,225454461358.4002,474820.4517061162,504334.55845233845,777821556155.1715,881941.9233459602,375126.48209642875,254359733843.4519,504340.890513006,508086.54097895906,780826408546.9644,883643.8244830121,,,,,
