source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
298357.41054152563,146212764851.4272,382377.7776642194,782660.4576085791,1557386977746.8296,1247953.1152037843,685946.9026400767,1596403347483.503,1263488.5624664368,71819292.92046912,
261577.85198480243,113339042592.35896,336658.644018476,666421.0388225506,1132693224162.0442,1064280.6134483726,567344.1822943186,1148889025489.5618,1071862.409775416,64562278.14003491,
261170.83813884723,129110852948.17291,359319.98684761877,651301.0831505035,895783712010.4543,946458.5104538151,599445.5147788095,847234172613.9196,920453.2430351471,56399942.648775116,
265183.9923037285,126985597658.7518,356350.38607913954,829721.0244582908,2021461105899.5356,1421780.9627011947,659002.728327619,1554238838128.344,1246691.155871551,81868155.6151695,
336957.19829283195,254086438741.2338,504069.8748598589,787693.0017392556,1126204340917.2188,1061227.7516712511,694238.5654131831,830185575256.9314,911145.1998759207,77207600.9021079,
331027.68422105594,195575638492.0659,442239.3452555594,699805.4873453735,1422873614436.4775,1192842.6612242192,598648.0957412886,1398936293881.119,1182766.373330388,61539921.009047754,
433963.1269776764,404467804599.5274,635977.8334183727,677278.6871708028,870719356764.0522,933123.4413324167,584208.7179465254,702323935608.8998,838047.6929202179,58109731.6048763,
359319.83806862234,252284368649.09012,502279.17401489994,1074393.9042924002,2257443425590.6,1502479.0932291204,778407.2189232754,1533968660167.3247,1238534.8845177211,95973664.19921108,
358189.9670021467,221448902656.54816,470583.5766965823,558553.9483976363,507842122785.30615,712630.4251049812,482408.75502289744,429165941203.9916,655107.5798706588,51817836.74460979,
292501.4466544971,146926005567.49426,383309.281869738,790818.0549965788,1407632808087.8887,1186437.0223858866,551722.5093254591,884885103764.1566,940683.3174688263,73861893.95384817,
249973.73717975063,112395795246.36542,335254.8213618492,626209.3800763828,862831093709.4917,928887.018807719,522253.76842243073,694199251701.3335,833186.2046993658,58674322.9802034,
314381.96947605856,228052725194.11874,477548.66264509497,616011.5292417607,852362559495.9546,923234.8344251069,533582.4300293796,796189579960.4678,892294.5589660781,58285010.748954,
309943.4290458746,212710725711.66907,461205.73035432794,576393.1346563366,587898669713.052,766745.5051795556,494287.62518972525,428431113656.55804,654546.4946484383,50155789.644153245,
