source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
301047.8745535612,149945695329.5783,387228.22124630626,765258.6426404022,1563231842394.3076,1250292.7026877776,634523.9695907435,1254666606046.0332,1120119.0142328774,70886315.9411492,1.2986160750634432
245792.4687760914,102941905454.4807,320845.6099972083,700486.9868097658,1263355273971.7166,1123990.7801987152,581284.3337802265,1094592309194.7457,1046227.6564853109,67650209.4276509,1.3673881936499954
258092.50836749573,127209125618.31595,356663.88325469114,674575.9667421342,934903305977.3439,966903.9797091249,589094.8889690987,803611210349.6503,896443.6459419244,57874702.43593529,1.3971029006448599
274451.52157918114,129145857229.97331,359368.6926124385,823761.803878275,1990058582865.199,1410694.3619598113,653552.9261912762,1589155625664.2307,1260617.1606257907,81376162.80721554,1.2937737587154572
340390.6573850373,245576595009.99216,495556.85345880565,760591.7289107502,1073198024667.6798,1035952.713528798,542925.0437617606,571762111636.4078,756149.5299452402,74366344.0219861,1.2261183994585672
320376.2992565958,196490973558.7998,443273.0237210469,687525.377441011,1484585966742.9678,1218435.8689496005,582014.3301665857,1286515860278.0496,1134246.8251126162,62517510.12733927,1.3005329809522492
415036.06667763076,369918466684.9453,608209.2293651465,715031.7133876883,937313168858.557,968149.3525580426,539570.5769481327,558005020797.3495,746997.3365396623,65092111.602609456,1.2975795864398842
361935.12197550404,250808749863.7879,500808.0968432798,1035692.3366879922,2243017383275.5405,1497670.6524718779,774080.3121060483,1441945122809.2805,1200810.194331011,90033110.17402199,1.3747071459820284
355407.942910296,222436445790.03952,471631.68446367077,543875.3066178613,491641837365.2695,701171.760245141,495090.79861734563,411877107666.49005,641776.5247081651,51136661.73104924,1.2711120769299693
268633.16055821726,136706508597.65181,369738.4326759281,802119.4231222586,1410222717592.3062,1187527.9860248794,573877.2586143838,767115455656.3461,875851.2748499862,78245691.60462052,1.323665476778198
252101.59571239192,114633150858.01305,338575.17755738244,627400.6718160784,865015490641.7058,930062.0896702036,506221.03981447645,677557695523.0898,823138.9284459155,57967537.14914617,1.2822756981640644
313726.1604524226,217794250647.4906,466684.3158361877,632488.986632413,868506525857.8734,931936.9752605985,581230.2130566577,800732338582.5264,894836.4870648304,61437475.60521787,1.4044078397228803
307023.7094888604,222087966800.80038,471262.09989856003,629934.1509780308,672735665609.3612,820204.6486148206,481068.78476025135,360960252408.4977,600799.6774370786,55575036.55977312,1.296737871720259
340629.9908878218,181597549618.87656,426142.63999144296,880707.585146419,2028156495103.8884,1424133.5945422705,674890.6728730507,1529706632701.0872,1236813.095298189,81370750.56666103,1.3102376459612437
436258.93751741963,447476032054.289,668936.4932893772,831703.7306583765,3319958430832.0713,1822075.308770763,646889.6508662404,2296029533596.161,1515265.4993749978,80698374.46380194,1.378457069148176
239139.37540418902,93005270236.9498,304967.6544110044,675658.2927640517,1471295917628.306,1212969.8749879594,593859.5105419735,1515767642443.902,1231165.1564448623,53966074.13310275,1.316816437289725
347099.51849769946,212878714962.0304,461387.8140588787,724557.0748059361,1061357932953.06,1030222.273566758,569532.9234832276,647581394276.6698,804724.4213248843,67654703.1672047,1.3528819634181952
287202.4415302153,140382945888.48547,374677.12218453566,590508.5604229353,593621928824.9656,770468.6423372242,454298.79525352526,376657382503.6086,613724.190906313,52300991.59963436,1.2780226806377368
356068.3027394023,260120913653.69107,510020.50316991284,616525.159890671,702070495785.3096,837896.4708037083,499576.9006700736,495690712657.0857,704053.0609670592,54097340.84967209,1.224774592863503
392485.4593449406,411146288364.18933,641206.8998101855,594439.1174951246,590363602202.4672,768351.2232062022,400908.4538382343,257238485951.57376,507186.83534923673,55354426.33639799,1.3220449306750555
375116.5331182357,309829753674.525,556623.5295731982,677434.7537843027,652125413737.326,807542.8247079693,485610.9911224906,395813578372.39764,629137.1697590261,62240033.057053804,1.2649883670888014
288790.0205196543,150957011588.5714,388531.8668894115,844875.5707857109,2407005054960.6396,1551452.5629102038,650131.5945555944,2103285612344.6648,1450270.8755072842,80170301.2559632,1.3069464600594938
406587.89843575243,323775174732.6042,569012.4556919683,788842.1947729773,1075424128760.3348,1037026.5805466776,508037.20522376685,735180303560.6312,857426.5586979629,74302108.43519391,1.3177979895295906
270577.7261814851,120956078321.91133,347787.40391496546,821107.4695212936,3213169460806.9907,1792531.578747496,765583.1414614861,3010272873919.8,1735013.7964638206,78532649.68408841,1.3142683980630738
304123.0772752604,179087206366.14355,423186.96384239383,783494.3706432916,1480644611322.7073,1216817.4108397313,564692.6934130962,919920894114.0114,959125.0669824095,76411558.42789482,1.2877320297882626
293588.3241622277,140188485055.3122,374417.5277084557,732935.245843623,1044308161064.8616,1021913.9695027472,524855.6773795903,529612305598.2221,727744.6706079146,67054901.55317071,1.3059198076022551
431244.4683120709,349424269345.70935,591121.1968333645,643856.10468438,773099685588.1709,879260.874591933,512241.438026135,592104576005.0227,769483.3175612208,59411680.50255387,1.3089987313722788
398211.229710108,267215316396.1405,516928.7343494657,896091.4624417309,1490211267840.6956,1220742.0971854357,645478.0514292537,891115876265.6871,943989.341182244,81536119.59711817,1.2910623505868764
403316.66350608296,283622380622.04175,532562.0908608139,973642.9559515144,1901725401599.9497,1379030.6021259825,620450.5970149016,1020662515311.5553,1010278.434547405,94545031.1395993,1.2783942137512248
317198.43582405796,247035597287.98053,497026.7571147257,664591.7041832182,834117809735.7288,913300.503523199,511215.3431338651,556900686294.423,746257.7880963273,65380976.49224033,1.2590185213288976
432756.8600980874,353924025588.77216,594915.1415023593,892703.6689797881,1748246611553.4666,1322212.7709084747,626800.1885200202,1006867882905.598,1003428.0656357973,83185937.64446363,1.3217877588100602
411973.46116515127,383549543597.1204,619313.7682928747,712140.099626761,873185945856.0312,934444.1908728585,559212.1033628018,602901080604.8417,776467.0505596756,66285947.418652736,1.2818848949790371
302048.262285137,146660482466.85312,382962.7690348673,678322.1318171913,1480300821372.7085,1216676.1366003314,600712.2702974207,1265925956605.3503,1125133.7505405082,68282383.55910724,1.2148738492023563
301087.89764854783,155616077604.88638,394482.0371130812,662309.5604787532,837871334854.6344,915353.1203063845,497991.2122411308,435459099579.53705,659893.2486240006,57366593.2626092,1.342739691240063
361866.7581209751,296886013932.92957,544872.4749268673,587945.4747700263,572670653678.8632,756750.060243713,532280.9355970932,412739211730.66583,642447.828022374,52050302.62918549,1.361964358155133
383018.74388056307,248541141981.503,498539.0074823664,698375.942254826,977475259035.7264,988673.4845416491,611415.9538217359,907033284402.4861,952382.9504996854,68031989.9036843,1.3442163029196998
280276.3340805209,161835238400.45203,402287.50713942386,669594.8464079394,1176742699452.215,1084777.7189139787,568452.9725528525,1014697306661.6484,1007321.8485973828,61438891.10642922,1.3040807334072029
263840.4479621126,123531943641.86018,351471.1135240849,639895.3889506011,1051834369732.4446,1025589.7667841878,546207.958361778,838171215736.0479,915516.9117695467,64441198.37620924,1.3577248428590873
275181.74974201847,133283968884.83629,365080.77035751456,714526.3444839324,1094220302272.3999,1046049.8564946128,548983.938534591,769085798480.5574,876975.3693693782,64809188.071531996,1.3303241544893127
240677.99645477263,98172714876.18857,313325.2541308928,559092.5131312622,545412317461.47095,738520.3568362019,461811.24806328485,422303299813.46,649848.6745492831,47732478.98233449,1.3209675057591932
322135.072963357,183427253293.88254,428284.08013126353,675821.6089752561,889950138255.6775,943371.6861638776,571529.6882682332,721708787294.6553,849534.4532711167,58114836.678068556,1.3730117072763912
282457.9112985559,135690409385.7653,368361.79143033456,780749.8614737886,1640902037119.0757,1280976.9853978937,662668.6832143264,1486065526718.742,1219042.8732078057,71844916.20797946,1.3921953172525696
379864.7697801518,263228672944.2716,513058.1574678173,592497.0367982086,535358505385.8259,731681.9701112129,417758.3533458056,308796650272.51306,555694.7455865613,53748579.78468768,1.2622306923241884
315264.0127270382,172718016011.2459,415593.57070489664,709844.5271256272,1133834475141.9773,1064816.6392116426,558809.1203299552,921937677860.9917,960175.8577786632,67686997.19411036,1.2938258998707277
225503.64269891867,95413935560.15616,308891.4624267821,678920.415396525,1051179204790.792,1025270.308158191,563299.1883706171,767182379843.8037,875889.4792402771,67882446.92675452,1.3398838019550652
334044.73158378695,213162159583.63223,461694.87714683625,661382.4690251399,856921865411.4944,925700.7429031773,441198.7952258904,421673033298.62744,649363.5601869167,62500825.400363356,1.3210509115847366
413601.11542646785,392720574138.80023,626674.2169092329,768897.9131228119,933959403961.4738,966415.7510934275,658619.3950919283,853983096324.9343,924112.058315946,64243015.32647523,1.3382464452419294
