source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
277849.8135224018,146964147895.10214,383359.0326249039,609785.4686106143,1195248125408.5234,1093274.039483479,607946.0887194761,1196879462660.7056,1094019.863924191,61497100.70034483,
224595.38998179932,105470846663.76096,324762.7544281532,553553.0025130629,1031398777470.8823,1015578.0509005117,553197.7927139607,1023204340245.8578,1011535.6346890888,49534423.06270453,
246853.5016513365,139939446289.21713,374084.8116259428,554779.5286740591,760672132234.4191,872165.1977890537,547387.6643147757,747642086774.6467,864662.9902884978,49384847.69896287,
237501.42893096022,124329822165.95976,352604.3422392296,581527.4740757449,1328806564560.1655,1152738.7234582542,587796.4870044921,1343769235594.4785,1159210.6088172582,61145565.0091863,
311009.1891705278,284426977720.2461,533316.9580280061,533396.4526626822,548019227018.44763,740283.2073054526,524486.6729144352,542419344521.5737,736491.2385911823,41494483.234512895,
279250.9960953943,140463848718.5007,374785.0700314791,605087.3739282604,1324901888038.0469,1151043.8254202344,597926.4168448284,1321579211515.6326,1149599.5874719303,59535977.45309312,
309665.9096134711,210151098788.9629,458422.40214562253,567918.9945390457,587540736388.7872,766512.0588671695,563307.4144269841,577446264563.9332,759898.8515348166,47389898.0604919,
386844.07671342016,309946786441.13745,556728.647045522,692216.5347030122,1242415241836.6802,1114636.8205997325,689454.3147926007,1240821718786.742,1113921.7740877238,65556929.5510154,
320349.9774446926,242120179851.9681,492057.09003322787,483902.8983976139,382434552363.44257,618412.9303009782,481773.80220627284,376769208380.2983,613815.2884869343,36715800.34415205,
278192.7819229042,151299319130.96204,388972.13156081253,503396.0069525335,629922988607.7838,793676.8792196128,498608.4395347792,615216719895.2374,784357.5204555875,46186551.10477321,
228767.3987983903,115311585799.50258,339575.5965900709,475995.61434329516,623238356005.1053,789454.4673412808,472363.5490153221,612833441546.4231,782836.7911298134,43339989.22795129,
271095.4170697977,205615822727.697,453448.809379512,553326.679880277,756268437282.8634,869636.9571740057,553152.1233839099,758495981910.4419,870916.7479790717,49709629.95248369,
255488.93055887028,144640560411.87735,380316.3951394646,458426.7634557086,351400235813.4389,592790.2123124495,454357.23797884263,346422405051.1791,588576.5923405204,34831702.019023076,
274564.6911820252,143949335897.2108,379406.5575305872,676813.3511797072,1450731217969.1528,1204463.0413462892,671812.6639129138,1422482122397.8447,1192678.5494834075,60489083.88674147,
421132.0216494473,560812721723.6526,748874.3030199745,592982.9524979814,2154488070117.875,1467817.4512240528,589374.9995004756,2152156664412.2207,1467023.0619905812,71052568.88627858,
238650.53217311017,119425519485.31487,345579.97552710556,576432.2930333029,1478969528014.834,1216128.910936186,572518.011153343,1483534435799.5266,1218004.2839824196,60560327.1141714,
306174.0466424352,203151863095.46048,450723.71037639066,549818.3833926851,575833699731.6781,758837.0706098102,546220.6082318822,568043577405.5682,753686.6573089696,46395318.933617346,
312151.49308505305,200131217278.1563,447360.27682188805,438545.9967176135,365534237500.7738,604594.2751141246,435997.4094682604,359937593290.6474,599947.9921548596,37897540.04166031,
322383.9778076544,312711684756.3424,559206.2989240575,482061.1275746094,452229550670.4434,672480.1489043698,479172.5415809288,443874772803.0256,666239.2759384766,38519283.146494485,
328814.0140862845,416577879068.03033,645428.446125541,383919.76429881185,234516718138.93903,484269.26202159375,376951.2919655575,226275599286.73315,475684.3483726716,33199988.719605073,
349696.8556165508,234460734648.66705,484211.4565442117,488125.8501187067,377508279591.6459,614417.0241714058,489334.1225169343,374731160921.2636,612152.8901518505,40351420.03632697,
307376.60106194543,191111644112.46368,437163.1779009569,610878.7490478969,1719580524489.9695,1311327.7715697053,610942.4588909516,1701865636525.767,1304555.723810128,55637354.66386087,
346865.19624553726,247635976039.84457,497630.36085014406,489341.1920348252,680552846293.1841,824956.2693217042,487505.04365519894,676635224832.7214,822578.4004170797,44116117.63752074,
265511.3880286781,134566224872.7712,366832.6932986906,735932.2988583444,2890363812838.908,1700107.0004087707,734125.4008295817,2877399612118.774,1696289.9552018736,82143324.84938128,
269579.9982361227,153309319145.61185,391547.3395971576,532439.6016729283,841171369393.8079,917153.9507595265,535420.9512013339,847807320589.6953,920764.5304798047,49738050.51115809,
270849.67413329176,147933412869.2066,384621.12899476365,468509.150887807,414744492009.80365,644006.5931415638,463626.9474058784,411799000707.20447,641715.6696756006,42249343.86515316,
365986.85936237575,392331856006.9852,626363.9964166086,456701.40564840985,522398653699.0271,722771.5086381221,454986.87176437693,518177356682.59106,719845.3699806584,33879812.648274995,
363995.34328662493,239811074106.9966,489705.08891270123,613157.9140477438,805696474752.774,897605.9685367371,609785.9223799476,800269849345.5437,894578.0286512427,51232755.907002434,
281128.20153216587,147397525281.80643,383923.85349416157,594807.1842497651,839963274017.7446,916495.1031062548,587371.6554131203,825138267966.4331,908371.2170508448,51866206.81531127,
255879.45994515385,234751799001.92432,484511.91832804726,498583.51054463047,545580135203.8027,738633.9656445556,492192.8105784964,529270094267.904,727509.5148985366,46582259.80879408,
401666.2003812764,358827292767.0377,599021.9468158389,627098.3027804795,961675649365.2058,980650.6255365392,628136.9265046227,961294996279.3867,980456.5244208367,55192971.9647398,
312182.21292161994,180936268148.76172,425366.0401921641,535029.6994858073,560918509135.2211,748944.9306425814,534107.1365328389,554139132686.2384,744405.2207542867,43333822.55800117,
246165.39511739477,112534837120.79788,335462.12471871974,584473.2406571349,1170118827056.893,1081720.3090711078,577234.7032951128,1142066112920.4023,1068674.9332329277,50995451.65197781,
302731.4337043656,187278426999.6275,432756.77579863206,496089.8747596312,411062638157.7665,641141.6677753571,494364.49234976893,411314248094.7388,641337.8579927578,35518079.79024878,
318530.3301186512,304233715483.82587,551573.8531546124,502661.8726324325,372731674769.6202,610517.5466517077,496943.5482772977,362066939706.062,601719.9844662482,41409739.75562362,
286562.2092803584,181062927167.63913,425514.8965284754,588382.616110256,848612141614.9716,921201.4663552005,589054.9667419216,846563539777.2942,920088.8760208408,53104795.84335946,
275150.67430082976,173877905000.84457,416986.6964314864,548808.7978339389,932460881753.0796,965640.1409184892,549672.6769130072,937392834352.3665,968190.4948678056,45524705.41249938,
249045.2111540292,135514474552.20152,368122.9068561226,536693.019600216,820806627541.6687,905983.7898890182,534187.0916904779,816595873911.8002,903656.9448146792,48355296.76078124,
234957.16180614394,122782447338.0358,350403.26388039795,531163.8472327599,719926804175.8726,848485.0052746204,532334.8795476375,718029090363.8386,847365.971917588,47522878.11716323,
237235.8325640527,103611810591.68486,321887.8851272363,457020.8036552219,386690170140.79156,621844.1686956561,457804.68313703843,388213377972.7121,623067.7153991468,34488135.78586299,
272110.83032099745,161732104807.8895,402159.30277427315,548465.6180710084,689260075374.802,830216.8845396979,537974.6699762656,659224064870.5256,811926.1449605657,44133639.364183925,
236211.2696996954,102494887136.43684,320148.2268206976,585922.9272990164,1292166723873.58,1136735.1159674712,584571.8907191355,1274804884072.3496,1129072.5769729551,56335150.174104586,
317008.9203942669,178574303473.51877,422580.5289805941,426730.664886615,336560489182.36975,580138.33624608,419051.1365103844,327448943074.8904,572231.5467316447,38624817.001822054,
283772.0871880709,151110084276.58704,388728.8055657659,566622.3674288319,929104336704.0038,963900.5844504939,563961.4629027615,932805719135.3196,965818.6781872256,49179586.74441935,
195141.48152757794,96072120520.19235,309955.0298352849,517542.94869984535,697845969829.4717,835371.7554654764,515900.5089538602,692223174394.4554,831999.5038426738,46080654.08941777,
319868.94673569134,233132856457.0503,482838.33366567973,439722.9823129558,412136016587.70087,641978.2056952564,428600.84726053214,398401551635.22766,631190.5826572729,37001924.33099385,
379337.17573641107,337258252433.88947,580739.4014821876,637620.0915382506,759293741749.675,871374.6276715171,636434.0603441169,767166937795.152,875880.6641290536,51398989.98022938,
288558.71975065186,224629602189.0916,473951.05463443336,613318.1157362624,683755506275.0944,826895.0999220484,596843.7774704171,642782481177.5035,801737.1646478062,47596130.847917765,
344891.5034454578,274999639994.65796,524404.0808333379,495015.735353533,406183493147.4943,637325.2647961591,490875.92366904445,400001414145.01685,632456.6500124865,34778434.46572076,
348048.66188334674,264169295487.78516,513974.02219157456,475741.53912700625,360717801222.51056,600597.8698118322,461698.10611486883,341333950766.99097,584237.9230818477,39859353.760926194,
