source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
364138.1299286911,225875391801.6114,475263.49723244197,654503.3058231422,753651200705.2434,868130.8661171099,883024.8009095666,1402396567269.633,1184228.258094542,55452471.50514232,
409080.4835806628,304750848205.6855,552042.4333379505,631913.2657699496,684298753056.9806,827223.5206139756,797020.7849994334,1050895479915.7578,1025131.9329314436,55182213.51537689,
355077.7669556652,215359950755.0162,464068.90733490884,502569.1651413053,443906686882.95685,666263.226422528,646104.789266247,671714159905.7336,819581.698127608,41484747.74828044,
301346.9710740615,148836287376.9574,385793.06289377133,605990.4546811141,768384388953.7065,876575.3755118304,698706.5076810597,935604979524.9882,967266.7571693902,51726307.231110916,
310832.53379553533,182932374696.90515,427705.9441916901,610370.8579855752,771272232207.259,878221.0611271282,839856.8545423556,1283228848265.329,1132796.9139547164,52131944.72040973,
332553.21590626176,223578949571.46725,472841.3577210302,778355.6632129741,2349911566124.814,1532942.127454528,1019567.0375724657,3123425833177.8555,1767321.655267613,74683827.74431211,
413426.4361390985,324526254205.9408,569672.0584739441,516496.13491723425,466502489377.71405,683009.8750221069,695059.9193929058,825014437400.5515,908303.0537219126,40595973.51824018,
366716.6965153119,250382842198.04642,500382.69574201544,606429.2799598161,600006030671.0698,774600.5620131383,887695.9889324957,1173146881901.5002,1083119.0525060024,53877270.72350717,
388232.5659728621,298455697642.2336,546310.989860385,628108.8872670021,647570309460.9418,804717.53395893,751481.894351168,987230436955.7124,993594.7045731033,53292017.70660683,
285406.47564327397,150751266737.22156,388267.00444052875,550230.0975224491,607419287110.3171,779371.0843432139,692273.6964847313,904109510459.1545,950846.7334219299,46601990.10557452,
332208.7727000091,206654419138.94904,454592.58588207205,559211.9324481259,508955185927.1143,713410.9516450629,797319.9231127506,1041189936846.2504,1020387.1504709624,51729112.97768243,
295013.91678140993,144499534146.91904,380130.94342202536,557662.2494270303,1059207816835.452,1029178.2240386998,681857.1606159973,1352529371234.301,1162982.9625726687,49826716.1111424,
367980.8933761835,276429635983.0825,525765.7615165545,597185.1173649423,731558233147.9642,855311.7754058833,772123.2123330352,1077377291284.0325,1037967.8662097553,47432527.74549886,
378775.8996822527,499531517034.3392,706775.4360716982,687241.9979472159,1654155311888.2834,1286139.6937690258,857678.097821574,2113350484646.4624,1453736.7315461428,62557060.23334386,
229246.66199693212,81050008749.04073,284692.8322754908,461607.6539523544,452176735489.9617,672440.8788064284,609142.5531801609,788688058818.66,888081.1104953534,37066453.9123711,
349217.8301531369,197628382787.76123,444554.13932136685,736571.4999268807,2187919748139.7703,1479161.839738901,801331.6513316827,2487119924834.6973,1577060.5330280436,69205201.12721476,
338939.13407036447,221588231480.05148,470731.5917590952,656553.1917490137,1317042629152.262,1147624.7771603146,762578.0068367849,1357407120849.0232,1165078.1608325783,60602677.734459035,
379447.9396226623,270513247504.2903,520108.88043205946,572898.8423854647,610454949439.8417,781316.1648397156,841028.8353317432,1225123764653.0752,1106853.0908178715,49543600.95995493,
